D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
51070001,10,10,1,1,1
51070002,1,-1,5,-1,10
51070003,10,10,1,1,1
51070004,10,1,1,1,5
51070005,10,10,1,1,1
51070006,10,-1,1,1,10
51070007,10,10,1,5,1
51070008,1,1,10,1,2
51070009,10,1,1,1,1
51070010,1,1,1,1,1
51070011,10,1,5,1,5
51070012,10,10,1,1,1
51070013,10,-1,10,1,1
51070014,10,10,7,1,7
51070015,10,10,10,1,1
51070016,10,1,10,10,1
51070017,10,-1,1,10,1
51070018,1,1,1,1,1
51070019,10,10,1,1,1
51070020,10,10,5,3,1
51070021,10,10,1,1,10
51070022,10,10,1,1,1
51070023,10,1,1,5,8
51070024,10,10,1,1,5
51070025,8,-1,1,1,1
51070026,10,10,1,1,5
51070027,10,5,1,5,1
51070028,10,1,1,1,10
51070029,10,10,10,10,10
51070030,10,10,1,1,1
51070031,10,10,1,10,10
51070032,1,1,1,1,1
51070033,10,10,5,1,1
51070034,10,10,1,10,1
51070035,10,1,1,1,1
51070036,10,-1,1,1,10
51070037,10,10,5,5,10
51070038,10,10,1,1,10
51070039,10,1,1,1,1
51070040,10,10,1,1,1
51070041,10,10,10,1,1
51070042,10,10,1,1,1
51070043,10,10,1,1,1
51070044,10,10,10,1,1
51070045,10,10,1,1,1
51070046,10,-1,1,1,1
51070047,10,10,1,1,5
51070048,10,10,5,1,5
51070049,8,8,8,5,5
51070050,10,10,1,5,5
51070051,7,8,8,5,5
51070052,10,10,10,10,10
51070053,10,-1,1,1,1
51070054,10,10,1,1,1
51070055,6,7,9,1,1
51070056,1,5,1,1,5
51070057,10,10,1,10,10
51070058,1,2,1,1,5
51070059,10,1,1,1,1
51070060,10,1,1,1,1
51070061,10,1,1,10,1
51070062,10,1,1,1,10
51070063,10,1,1,10,1
51070064,10,10,1,3,1
51070065,10,10,1,1,2
51070066,10,10,1,1,1
51070067,10,1,10,1,1
51070068,10,4,1,10,1
51070069,10,1,1,1,10
51070070,10,10,5,5,5
51070071,10,1,5,1,1
51070072,10,1,5,1,1
51070073,10,10,10,1,10
51070074,10,8,1,3,5
51070075,10,10,1,1,1
51070076,10,8,8,1,7
51070077,10,5,5,1,2
51070078,10,10,1,1,8
51070079,10,10,1,1,1
51070080,10,5,5,1,4
51070081,10,1,1,10,1
51070082,10,5,5,9,1
51070083,7,9,1,10,8
51070084,6,6,6,3,8
51070085,9,10,10,10,10
51070086,5,1,5,5,1
51070087,5,6,5,5,1
51070088,10,1,5,1,5
