D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
51070001,10.0,10.0,1.0,1.0,1.0
51070002,1.0,-1.0,5.0,-1.0,10.0
51070003,10.0,10.0,1.0,1.0,1.0
51070004,10.0,1.0,1.0,1.0,5.0
51070005,10.0,10.0,1.0,1.0,1.0
51070006,10.0,-1.0,1.0,1.0,10.0
51070007,10.0,10.0,1.0,5.0,1.0
51070008,1.0,1.0,10.0,1.0,2.0
51070009,10.0,1.0,1.0,1.0,1.0
51070010,1.0,1.0,1.0,1.0,1.0
51070011,10.0,1.0,5.0,1.0,5.0
51070012,10.0,10.0,1.0,1.0,1.0
51070013,10.0,-1.0,10.0,1.0,1.0
51070014,10.0,10.0,7.0,1.0,7.0
51070015,10.0,10.0,10.0,1.0,1.0
51070016,10.0,1.0,10.0,10.0,1.0
51070017,10.0,-1.0,1.0,10.0,1.0
51070018,1.0,1.0,1.0,1.0,1.0
51070019,10.0,10.0,1.0,1.0,1.0
51070020,10.0,10.0,5.0,3.0,1.0
51070021,10.0,10.0,1.0,1.0,10.0
51070022,10.0,10.0,1.0,1.0,1.0
51070023,10.0,1.0,1.0,5.0,8.0
51070024,10.0,10.0,1.0,1.0,5.0
51070025,8.0,-1.0,1.0,1.0,1.0
51070026,10.0,10.0,1.0,1.0,5.0
51070027,10.0,5.0,1.0,5.0,1.0
51070028,10.0,1.0,1.0,1.0,10.0
51070029,10.0,10.0,10.0,10.0,10.0
51070030,10.0,10.0,1.0,1.0,1.0
51070031,10.0,10.0,1.0,10.0,10.0
51070032,1.0,1.0,1.0,1.0,1.0
51070033,10.0,10.0,5.0,1.0,1.0
51070034,10.0,10.0,1.0,10.0,1.0
51070035,10.0,1.0,1.0,1.0,1.0
51070036,10.0,-1.0,1.0,1.0,10.0
51070037,10.0,10.0,5.0,5.0,10.0
51070038,10.0,10.0,1.0,1.0,10.0
51070039,10.0,1.0,1.0,1.0,1.0
51070040,10.0,10.0,1.0,1.0,1.0
51070041,10.0,10.0,10.0,1.0,1.0
51070042,10.0,10.0,1.0,1.0,1.0
51070043,10.0,10.0,1.0,1.0,1.0
51070044,10.0,10.0,10.0,1.0,1.0
51070045,10.0,10.0,1.0,1.0,1.0
51070046,10.0,-1.0,1.0,1.0,1.0
51070047,10.0,10.0,1.0,1.0,5.0
51070048,10.0,10.0,5.0,1.0,5.0
51070049,8.0,8.0,8.0,5.0,5.0
51070050,10.0,10.0,1.0,5.0,5.0
51070051,7.0,8.0,8.0,5.0,5.0
51070052,10.0,10.0,10.0,10.0,10.0
51070053,10.0,-1.0,1.0,1.0,1.0
51070054,10.0,10.0,1.0,1.0,1.0
51070055,6.0,7.0,9.0,1.0,1.0
51070056,1.0,5.0,1.0,1.0,5.0
51070057,10.0,10.0,1.0,10.0,10.0
51070058,1.0,2.0,1.0,1.0,5.0
51070059,10.0,1.0,1.0,1.0,1.0
51070060,10.0,1.0,1.0,1.0,1.0
51070061,10.0,1.0,1.0,10.0,1.0
51070062,10.0,1.0,1.0,1.0,10.0
51070063,10.0,1.0,1.0,10.0,1.0
51070064,10.0,10.0,1.0,3.0,1.0
51070065,10.0,10.0,1.0,1.0,2.0
51070066,10.0,10.0,1.0,1.0,1.0
51070067,10.0,1.0,10.0,1.0,1.0
51070068,10.0,4.0,1.0,10.0,1.0
51070069,10.0,1.0,1.0,1.0,10.0
51070070,10.0,10.0,5.0,5.0,5.0
51070071,10.0,1.0,5.0,1.0,1.0
51070072,10.0,1.0,5.0,1.0,1.0
51070073,10.0,10.0,10.0,1.0,10.0
51070074,10.0,8.0,1.0,3.0,5.0
51070075,10.0,10.0,1.0,1.0,1.0
51070076,10.0,8.0,8.0,1.0,7.0
51070077,10.0,5.0,5.0,1.0,2.0
51070078,10.0,10.0,1.0,1.0,8.0
51070079,10.0,10.0,1.0,1.0,1.0
51070080,10.0,5.0,5.0,1.0,4.0
51070081,10.0,1.0,1.0,10.0,1.0
51070082,10.0,5.0,5.0,9.0,1.0
51070083,7.0,9.0,1.0,10.0,8.0
51070084,6.0,6.0,6.0,3.0,8.0
51070085,9.0,10.0,10.0,10.0,10.0
51070086,5.0,1.0,5.0,5.0,1.0
51070087,5.0,6.0,5.0,5.0,1.0
51070088,10.0,1.0,5.0,1.0,5.0
51070089,10.0,10.0,5.0,1.0,10.0
51070090,10.0,5.0,5.0,5.0,6.0
51070091,5.0,6.0,5.0,5.0,5.0
51070092,10.0,10.0,5.0,1.0,5.0
51070093,10.0,10.0,1.0,1.0,1.0
51070094,1.0,1.0,1.0,1.0,1.0
51070095,10.0,8.0,3.0,2.0,3.0
51070096,2.0,9.0,5.0,1.0,3.0
51070097,10.0,7.0,5.0,7.0,3.0
51070098,10.0,-1.0,5.0,9.0,7.0
51070099,8.0,8.0,5.0,5.0,8.0
51070100,10.0,10.0,1.0,1.0,1.0
51070101,10.0,10.0,10.0,5.0,1.0
51070102,10.0,10.0,1.0,1.0,5.0
51070103,10.0,10.0,1.0,10.0,1.0
51070104,10.0,10.0,1.0,5.0,1.0
51070105,5.0,10.0,1.0,5.0,10.0
51070106,10.0,5.0,5.0,5.0,5.0
51070107,5.0,10.0,5.0,1.0,10.0
51070108,10.0,10.0,1.0,1.0,1.0
