D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
170070052,8.0,8.0,5.0,4.0,8.0
170070053,6.0,6.0,2.0,5.0,1.0
170070054,8.0,7.0,10.0,5.0,10.0
170070057,10.0,5.0,8.0,1.0,3.0
170070069,7.0,6.0,10.0,10.0,10.0
170070074,5.0,5.0,5.0,5.0,5.0
170070075,5.0,6.0,3.0,2.0,7.0
170070076,10.0,10.0,10.0,1.0,1.0
170070080,1.0,10.0,1.0,1.0,10.0
170070085,10.0,10.0,10.0,10.0,1.0
170070087,1.0,8.0,3.0,5.0,10.0
170070093,9.0,5.0,5.0,5.0,5.0
170070104,10.0,10.0,1.0,1.0,1.0
170070105,5.0,8.0,5.0,5.0,5.0
170070112,10.0,10.0,9.0,1.0,1.0
170070113,10.0,5.0,1.0,3.0,10.0
170070122,3.0,2.0,5.0,5.0,5.0
170070126,9.0,10.0,5.0,5.0,7.0
170070128,10.0,10.0,1.0,10.0,5.0
170070132,5.0,3.0,5.0,5.0,10.0
170070154,10.0,10.0,9.0,2.0,2.0
170070156,10.0,7.0,7.0,5.0,5.0
170070197,1.0,5.0,4.0,3.0,2.0
170070198,7.0,7.0,5.0,5.0,5.0
170070210,7.0,8.0,1.0,3.0,10.0
170070213,9.0,5.0,5.0,4.0,7.0
170070214,9.0,9.0,10.0,1.0,10.0
170070215,5.0,5.0,5.0,5.0,5.0
170070219,2.0,3.0,6.0,5.0,3.0
170070222,8.0,6.0,5.0,5.0,2.0
170070224,1.0,5.0,1.0,1.0,1.0
170070253,10.0,1.0,10.0,1.0,1.0
170070255,5.0,10.0,1.0,1.0,10.0
170070261,7.0,1.0,1.0,1.0,1.0
170070308,10.0,6.0,6.0,1.0,4.0
170070312,10.0,1.0,1.0,5.0,5.0
170070323,7.0,5.0,6.0,4.0,5.0
170070332,10.0,6.0,10.0,10.0,10.0
170070334,10.0,6.0,9.0,1.0,4.0
170070337,3.0,5.0,9.0,10.0,7.0
170070341,7.0,3.0,9.0,3.0,7.0
170070344,10.0,9.0,9.0,10.0,9.0
170070358,8.0,6.0,7.0,5.0,3.0
170070366,10.0,10.0,6.0,1.0,1.0
170070369,10.0,10.0,7.0,5.0,5.0
170070378,1.0,1.0,10.0,10.0,10.0
170070385,1.0,10.0,5.0,1.0,1.0
170070388,10.0,1.0,1.0,1.0,1.0
170070389,10.0,5.0,10.0,5.0,10.0
170070390,9.0,9.0,1.0,10.0,1.0
170070393,9.0,7.0,10.0,8.0,5.0
170070394,5.0,3.0,5.0,8.0,9.0
170070395,6.0,5.0,8.0,5.0,5.0
170070407,10.0,9.0,5.0,10.0,5.0
170070408,8.0,9.0,9.0,3.0,3.0
170070414,9.0,7.0,5.0,7.0,7.0
170070415,10.0,8.0,9.0,10.0,10.0
170070418,5.0,4.0,9.0,5.0,4.0
170070421,7.0,6.0,5.0,5.0,3.0
170070422,10.0,1.0,10.0,10.0,10.0
170070423,1.0,10.0,10.0,1.0,1.0
170070426,10.0,10.0,5.0,5.0,5.0
170070432,5.0,7.0,4.0,4.0,5.0
170070442,1.0,1.0,10.0,1.0,1.0
170070465,5.0,5.0,8.0,10.0,6.0
170070471,10.0,10.0,10.0,1.0,9.0
170070497,10.0,10.0,1.0,1.0,1.0
170070503,6.0,8.0,9.0,3.0,5.0
170070507,10.0,1.0,10.0,10.0,9.0
170070510,10.0,10.0,10.0,10.0,10.0
170070514,10.0,1.0,1.0,1.0,1.0
170070515,10.0,10.0,10.0,10.0,10.0
170070522,7.0,2.0,3.0,4.0,7.0
170070530,10.0,10.0,10.0,1.0,10.0
170070531,3.0,5.0,8.0,3.0,4.0
170070534,5.0,5.0,4.0,2.0,5.0
170070538,5.0,9.0,10.0,5.0,5.0
170070541,4.0,6.0,5.0,2.0,4.0
170070544,10.0,10.0,5.0,5.0,5.0
170070545,5.0,4.0,5.0,5.0,5.0
170070553,3.0,10.0,10.0,10.0,10.0
170070558,10.0,10.0,1.0,1.0,10.0
