D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
276070001,5,6,5,5,1
276070002,10,3,10,1,2
276070003,7,5,6,3,3
276070004,7,8,5,4,5
276070005,5,5,2,2,3
276070006,5,5,5,3,5
276070007,5,-2,5,3,5
276070008,6,6,4,4,5
276070009,6,3,2,3,8
276070010,4,5,7,3,8
276070011,7,7,8,2,3
276070012,5,7,5,8,7
276070013,3,3,2,5,8
276070014,7,-2,8,3,7
276070015,-1,7,7,3,7
276070016,7,5,6,3,5
276070017,5,4,4,2,7
276070018,6,4,6,4,7
276070019,8,-2,8,2,7
276070020,5,-1,5,5,6
276070021,1,8,1,7,4
276070022,7,-2,6,-2,9
276070023,5,7,3,4,7
276070024,6,-2,5,3,7
276070025,4,-2,4,9,6
276070026,3,5,1,1,2
276070027,6,8,6,5,8
276070028,8,7,7,5,7
276070029,7,5,3,4,3
276070030,5,5,1,8,9
276070031,9,-1,3,2,7
276070032,9,5,6,1,2
276070033,10,5,10,1,1
276070034,4,5,5,2,5
276070035,3,5,3,1,8
276070036,10,1,1,1,1
276070037,3,5,3,3,6
276070038,4,7,7,5,6
276070039,4,4,7,4,4
276070040,2,4,9,-1,8
276070041,10,3,5,5,7
276070042,6,3,2,1,2
276070043,7,1,8,1,7
276070044,8,8,6,6,10
276070045,5,8,9,8,9
276070046,3,4,5,3,4
276070047,5,-1,5,-1,7
276070048,7,1,5,5,3
276070049,7,6,4,3,4
276070050,6,5,3,5,6
276070051,3,5,5,1,4
276070052,7,8,1,1,8
276070053,6,5,5,1,3
276070054,5,5,6,1,10
276070055,10,8,7,1,8
276070056,1,7,3,5,5
276070057,10,8,5,3,5
276070058,4,3,5,2,4
276070059,6,8,5,6,6
276070060,1,5,1,4,10
276070061,4,5,5,1,7
276070062,4,7,1,5,8
276070063,4,7,3,4,7
276070064,6,5,8,9,6
276070065,10,6,1,1,9
276070066,1,9,2,9,7
276070067,6,3,6,5,6
276070068,1,5,1,10,10
276070069,8,5,6,5,10
276070070,4,8,3,4,8
276070071,8,1,3,3,8
276070072,5,5,1,1,8
276070073,8,5,7,3,7
276070074,3,7,3,5,4
276070075,2,5,2,10,8
276070076,6,5,4,5,4
276070077,10,5,10,1,1
276070078,1,1,1,3,10
276070079,8,6,6,3,8
276070080,7,3,8,2,2
276070081,7,9,2,2,5
276070082,4,9,3,4,4
276070083,1,5,1,5,10
276070084,7,5,7,3,3
276070085,8,7,5,10,7
276070086,9,5,5,3,3
276070087,7,5,5,4,7
276070088,5,6,5,8,6
276070089,3,4,6,3,3
276070090,8,3,8,1,1
276070091,3,5,4,3,7
276070092,5,3,2,5,5
276070093,5,6,6,5,7
276070094,1,5,3,5,7
276070095,1,8,1,1,7
276070096,5,5,6,5,6
276070097,2,5,3,3,2
276070098,8,-1,2,1,1
276070099,10,1,5,1,1
276070100,5,10,7,1,4
276070101,6,-1,6,2,7
276070102,5,6,7,1,1
276070103,5,7,2,3,5
276070104,2,7,1,2,3
276070105,5,5,5,8,5
276070106,7,5,2,1,5
276070107,2,5,3,1,1
276070108,10,-1,2,-1,5
276070109,5,5,8,5,7
276070110,8,3,8,3,2
276070111,6,5,5,2,3
276070112,4,8,4,3,8
276070113,7,3,7,2,9
276070114,5,5,4,4,6
276070115,8,3,6,3,2
276070116,5,5,5,5,5
276070117,3,3,3,2,3
276070118,7,5,6,3,6
276070119,5,4,9,6,5
276070120,4,6,2,1,5
276070121,7,6,7,2,10
276070122,5,3,3,3,6
276070123,6,5,5,6,6
276070124,9,8,6,1,4
276070125,7,3,6,3,3
276070126,2,10,2,5,5
276070127,3,6,4,4,4
276070128,9,-1,5,2,6
276070129,3,8,2,7,10
276070130,2,8,3,2,2
276070131,7,5,6,7,4
276070132,4,5,4,4,4
276070133,3,6,7,4,6
276070134,7,4,3,3,7
276070135,4,7,3,5,7
276070136,7,5,5,5,9
276070137,5,3,4,5,4
276070138,6,5,4,1,3
276070139,6,-1,-1,2,5
276070140,5,5,5,3,8
276070141,8,-1,2,4,8
276070142,6,6,6,6,6
276070143,1,-1,4,-1,-1
276070144,10,7,3,10,7
276070145,-1,-1,-1,-1,-1
276070146,4,8,1,5,10
276070147,5,9,2,5,6
276070148,2,8,2,5,6
276070149,5,5,5,2,5
276070150,3,5,6,9,2
276070151,10,5,8,1,10
276070152,4,3,1,2,3
276070153,8,6,2,5,9
276070154,8,4,4,1,1
276070155,5,4,4,3,7
276070156,7,4,5,8,5
276070157,7,5,7,5,2
276070158,5,5,5,3,7
276070159,7,4,5,3,3
276070160,2,7,4,4,7
276070161,5,3,7,4,5
276070162,1,8,3,2,10
276070163,7,7,6,8,8
276070164,4,6,7,3,5
276070165,6,3,3,2,8
276070166,3,5,1,1,8
276070167,7,5,7,2,4
276070168,7,5,5,2,6
276070169,5,7,3,4,3
276070170,5,5,3,4,5
276070171,8,5,3,3,7
276070172,7,1,7,1,4
276070173,5,5,2,2,5
276070174,8,6,5,8,6
276070175,8,2,2,1,1
276070176,8,3,3,2,3
276070177,1,7,9,9,9
276070178,7,2,6,1,5
276070179,3,5,5,3,1
276070180,10,1,5,1,1
276070181,9,10,10,1,8
276070182,5,5,3,1,1
276070183,5,5,6,7,8
276070184,5,-2,-2,1,1
276070185,8,7,4,1,5
276070186,8,-1,5,7,-1
276070187,7,5,7,1,6
276070188,1,7,1,4,8
276070189,3,5,4,5,4
276070190,5,5,5,2,5
276070191,5,5,2,1,1
276070192,5,6,7,6,8
276070193,4,6,6,4,7
276070194,5,5,5,-1,10
276070195,1,1,10,1,1
276070196,5,2,1,1,1
276070197,1,5,8,7,1
276070198,1,1,1,1,10
276070199,7,6,5,2,2
276070200,4,4,8,6,1
276070201,8,6,8,6,7
276070202,8,5,8,3,2
276070203,1,8,1,4,8
276070204,10,1,10,8,8
276070205,3,4,1,1,1
276070206,5,6,5,4,5
276070207,8,7,2,1,7
276070208,4,5,4,3,7
276070209,5,3,5,4,1
276070210,2,5,2,10,9
276070211,8,7,2,6,8
276070212,8,5,5,1,6
276070213,7,9,7,4,3
276070214,5,5,5,5,1
276070215,6,7,6,4,5
276070216,8,2,9,1,2
276070217,1,1,1,5,1
276070218,10,5,1,1,10
276070219,5,10,5,10,10
276070220,8,1,5,3,5
276070221,6,4,8,2,1
276070222,6,8,4,4,5
276070223,7,4,5,3,8
276070224,6,5,6,7,4
276070225,1,7,1,4,1
276070226,7,5,2,8,7
276070227,5,-2,5,3,5
276070228,7,1,3,10,8
276070229,4,3,9,4,2
276070230,7,5,5,8,4
276070231,1,5,1,1,8
276070232,3,5,5,5,7
276070233,3,5,3,3,5
276070234,8,5,4,3,8
276070235,6,7,4,4,7
276070236,6,5,4,9,1
276070237,7,7,4,1,5
276070238,6,5,7,4,6
276070239,4,4,4,3,5
276070240,8,6,5,1,4
276070241,8,5,7,1,3
276070242,9,8,8,3,3
276070243,8,5,6,3,7
276070244,4,5,3,3,7
276070245,7,8,3,3,3
276070246,8,9,2,4,3
276070247,1,7,1,4,8
276070248,9,5,8,9,7
276070249,1,5,2,3,6
276070250,8,6,2,5,8
276070251,6,5,1,4,5
276070252,7,4,5,3,4
276070253,2,5,3,3,2
276070254,7,5,6,9,5
276070255,2,5,3,1,3
276070256,7,3,2,4,8
276070257,6,5,5,3,7
276070258,8,6,6,4,7
276070259,8,7,8,2,5
276070260,9,10,8,2,7
276070261,2,9,4,5,5
276070262,7,6,3,3,10
276070263,4,5,4,5,5
276070264,6,5,3,3,2
276070265,8,5,8,2,5
276070266,4,8,7,4,7
276070267,10,1,10,10,10
276070268,8,4,3,2,7
276070269,7,8,5,3,3
276070270,8,5,8,2,5
276070271,5,8,3,3,5
