D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
300070001,-1,-1,1,5,10
300070002,7,4,3,4,6
300070003,6,-1,1,1,6
300070004,10,5,2,5,7
300070005,10,1,5,10,5
300070006,5,3,3,5,8
300070007,6,-1,1,1,5
300070008,-1,5,1,5,3
300070009,6,7,10,1,4
300070010,9,1,1,1,5
300070011,2,8,2,2,8
300070012,4,6,4,2,8
300070013,6,7,3,3,5
300070014,2,6,3,2,8
300070015,9,3,3,2,8
300070016,2,7,1,5,8
300070017,2,8,2,5,5
300070018,1,5,1,2,5
300070019,1,-1,8,1,3
300070020,3,5,5,3,8
300070021,1,3,1,6,10
300070022,3,6,4,3,5
300070023,1,1,5,1,1
300070024,1,1,10,1,10
300070025,2,3,1,3,3
300070026,4,8,5,9,7
300070027,5,10,5,5,7
300070028,5,5,5,5,5
300070029,4,1,1,10,10
300070030,8,3,10,7,7
300070031,5,6,4,7,4
300070032,6,3,8,10,4
300070033,4,6,7,9,3
300070034,5,4,7,4,5
300070035,3,8,7,5,4
300070036,5,6,7,8,4
300070037,8,7,10,10,7
300070038,5,4,7,4,4
300070039,6,4,4,8,3
300070040,5,3,8,10,7
300070041,5,10,1,10,8
300070042,5,5,2,10,7
300070043,5,5,1,1,8
300070044,5,5,5,10,5
300070045,4,4,2,7,10
300070046,5,5,5,5,5
300070047,5,5,5,4,7
300070048,5,3,3,8,7
300070049,4,4,1,1,1
300070050,4,3,3,5,10
300070051,5,5,4,3,8
300070052,5,5,5,10,10
300070053,4,5,4,3,6
300070054,3,5,5,4,8
300070055,2,-1,3,5,9
300070056,9,3,5,5,5
300070057,3,5,4,7,8
300070058,2,-1,5,5,7
300070059,7,-1,5,4,4
300070060,6,7,4,5,8
300070061,7,-1,7,8,8
300070062,3,5,5,3,3
300070063,8,3,8,3,2
300070064,7,8,4,3,8
300070065,3,5,3,3,8
300070066,4,5,4,4,7
300070067,3,7,7,7,7
300070068,3,6,3,3,7
300070069,3,5,3,3,8
300070070,3,5,5,3,8
300070071,9,5,1,5,6
300070072,10,1,1,-1,8
300070073,-1,-1,2,4,3
300070074,-1,-1,1,3,9
300070075,4,-1,1,5,10
300070076,7,1,5,1,1
300070077,-1,-1,1,1,2
300070078,4,7,1,5,6
300070079,7,4,1,2,-1
300070080,-1,-1,1,5,7
300070081,7,8,4,4,3
300070082,2,7,4,7,4
300070083,8,1,5,5,6
300070084,7,4,3,2,5
300070085,3,7,3,5,7
300070086,6,7,5,5,3
300070087,8,3,5,1,8
300070088,3,8,4,7,3
300070089,3,8,4,7,5
300070090,1,9,2,9,8
300070091,9,1,1,4,5
300070092,6,-1,1,7,8
300070093,7,3,5,3,6
300070094,9,1,4,3,4
300070095,6,4,1,5,5
300070096,8,2,3,1,3
300070097,-1,5,1,1,8
300070098,3,6,1,6,7
300070099,5,3,1,1,2
300070100,7,3,1,3,5
300070101,2,6,2,5,8
300070102,3,4,2,5,6
300070103,3,7,2,5,5
300070104,3,5,2,5,5
300070105,3,6,1,5,5
300070106,2,5,2,5,5
300070107,2,6,2,5,5
300070108,4,4,1,5,5
300070109,2,6,1,5,7
300070110,6,6,2,4,5
300070111,5,3,1,1,9
300070112,1,-1,5,5,5
300070113,5,1,5,2,1
300070114,1,7,1,10,7
300070115,6,6,7,1,1
300070116,1,1,1,1,8
300070117,1,1,1,5,10
300070118,4,1,5,10,1
300070119,1,1,10,10,10
300070120,4,5,5,5,5
300070121,3,7,4,7,5
300070122,7,4,6,7,3
300070123,7,7,8,3,2
300070124,7,5,7,9,3
300070125,10,1,1,-1,9
300070126,4,6,4,3,3
300070127,2,-1,1,4,2
300070128,7,6,8,8,7
300070129,5,6,4,6,2
300070130,7,5,3,8,5
300070131,5,5,5,1,5
300070132,3,4,3,7,4
300070133,2,7,4,6,3
300070134,8,2,5,5,4
300070135,3,7,4,7,5
300070136,6,4,5,3,4
300070137,5,5,4,5,4
300070138,2,8,3,7,2
300070139,4,4,3,4,4
300070140,7,3,8,5,5
300070141,8,7,5,5,4
300070142,4,8,4,6,5
300070143,-1,-1,1,5,8
300070144,3,7,4,6,5
300070145,5,7,3,7,5
300070146,4,7,4,7,5
300070147,5,5,5,3,4
300070148,8,5,5,4,4
300070149,7,5,3,7,4
300070150,5,5,5,5,6
300070151,3,3,1,4,3
300070152,4,8,6,9,6
300070153,4,5,1,2,4
300070154,3,7,1,3,8
300070155,9,1,1,2,4
300070156,2,1,1,1,5
300070157,9,1,1,4,6
300070158,2,8,5,2,7
300070159,8,5,7,1,3
300070160,9,1,9,2,6
300070161,4,7,1,5,9
300070162,8,7,3,7,9
300070163,7,6,1,5,6
300070164,5,5,1,5,5
300070165,6,7,8,4,7
300070166,8,8,8,9,7
300070167,8,2,2,1,1
300070168,7,8,8,4,7
300070169,6,6,8,9,9
300070170,6,4,3,8,7
300070171,8,5,8,7,7
300070172,5,6,4,3,3
