D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
300070001,-1.0,-1.0,1.0,5.0,10.0
300070002,7.0,4.0,3.0,4.0,6.0
300070003,6.0,-1.0,1.0,1.0,6.0
300070004,10.0,5.0,2.0,5.0,7.0
300070005,10.0,1.0,5.0,10.0,5.0
300070006,5.0,3.0,3.0,5.0,8.0
300070007,6.0,-1.0,1.0,1.0,5.0
300070008,-1.0,5.0,1.0,5.0,3.0
300070009,6.0,7.0,10.0,1.0,4.0
300070010,9.0,1.0,1.0,1.0,5.0
300070011,2.0,8.0,2.0,2.0,8.0
300070012,4.0,6.0,4.0,2.0,8.0
300070013,6.0,7.0,3.0,3.0,5.0
300070014,2.0,6.0,3.0,2.0,8.0
300070015,9.0,3.0,3.0,2.0,8.0
300070016,2.0,7.0,1.0,5.0,8.0
300070017,2.0,8.0,2.0,5.0,5.0
300070018,1.0,5.0,1.0,2.0,5.0
300070019,1.0,-1.0,8.0,1.0,3.0
300070020,3.0,5.0,5.0,3.0,8.0
300070021,1.0,3.0,1.0,6.0,10.0
300070022,3.0,6.0,4.0,3.0,5.0
300070023,1.0,1.0,5.0,1.0,1.0
300070024,1.0,1.0,10.0,1.0,10.0
300070025,2.0,3.0,1.0,3.0,3.0
300070026,4.0,8.0,5.0,9.0,7.0
300070027,5.0,10.0,5.0,5.0,7.0
300070028,5.0,5.0,5.0,5.0,5.0
300070029,4.0,1.0,1.0,10.0,10.0
300070030,8.0,3.0,10.0,7.0,7.0
300070031,5.0,6.0,4.0,7.0,4.0
300070032,6.0,3.0,8.0,10.0,4.0
300070033,4.0,6.0,7.0,9.0,3.0
300070034,5.0,4.0,7.0,4.0,5.0
300070035,3.0,8.0,7.0,5.0,4.0
300070036,5.0,6.0,7.0,8.0,4.0
300070037,8.0,7.0,10.0,10.0,7.0
300070038,5.0,4.0,7.0,4.0,4.0
300070039,6.0,4.0,4.0,8.0,3.0
300070040,5.0,3.0,8.0,10.0,7.0
300070041,5.0,10.0,1.0,10.0,8.0
300070042,5.0,5.0,2.0,10.0,7.0
300070043,5.0,5.0,1.0,1.0,8.0
300070044,5.0,5.0,5.0,10.0,5.0
300070045,4.0,4.0,2.0,7.0,10.0
300070046,5.0,5.0,5.0,5.0,5.0
300070047,5.0,5.0,5.0,4.0,7.0
300070048,5.0,3.0,3.0,8.0,7.0
300070049,4.0,4.0,1.0,1.0,1.0
300070050,4.0,3.0,3.0,5.0,10.0
300070051,5.0,5.0,4.0,3.0,8.0
300070052,5.0,5.0,5.0,10.0,10.0
300070053,4.0,5.0,4.0,3.0,6.0
300070054,3.0,5.0,5.0,4.0,8.0
300070055,2.0,-1.0,3.0,5.0,9.0
300070056,9.0,3.0,5.0,5.0,5.0
300070057,3.0,5.0,4.0,7.0,8.0
300070058,2.0,-1.0,5.0,5.0,7.0
300070059,7.0,-1.0,5.0,4.0,4.0
300070060,6.0,7.0,4.0,5.0,8.0
300070061,7.0,-1.0,7.0,8.0,8.0
300070062,3.0,5.0,5.0,3.0,3.0
300070063,8.0,3.0,8.0,3.0,2.0
300070064,7.0,8.0,4.0,3.0,8.0
300070065,3.0,5.0,3.0,3.0,8.0
300070066,4.0,5.0,4.0,4.0,7.0
300070067,3.0,7.0,7.0,7.0,7.0
300070068,3.0,6.0,3.0,3.0,7.0
300070069,3.0,5.0,3.0,3.0,8.0
300070070,3.0,5.0,5.0,3.0,8.0
300070071,9.0,5.0,1.0,5.0,6.0
300070072,10.0,1.0,1.0,-1.0,8.0
300070073,-1.0,-1.0,2.0,4.0,3.0
300070074,-1.0,-1.0,1.0,3.0,9.0
300070075,4.0,-1.0,1.0,5.0,10.0
300070076,7.0,1.0,5.0,1.0,1.0
300070077,-1.0,-1.0,1.0,1.0,2.0
300070078,4.0,7.0,1.0,5.0,6.0
300070079,7.0,4.0,1.0,2.0,-1.0
300070080,-1.0,-1.0,1.0,5.0,7.0
300070081,7.0,8.0,4.0,4.0,3.0
300070082,2.0,7.0,4.0,7.0,4.0
300070083,8.0,1.0,5.0,5.0,6.0
300070084,7.0,4.0,3.0,2.0,5.0
300070085,3.0,7.0,3.0,5.0,7.0
300070086,6.0,7.0,5.0,5.0,3.0
300070087,8.0,3.0,5.0,1.0,8.0
300070088,3.0,8.0,4.0,7.0,3.0
300070089,3.0,8.0,4.0,7.0,5.0
300070090,1.0,9.0,2.0,9.0,8.0
300070091,9.0,1.0,1.0,4.0,5.0
300070092,6.0,-1.0,1.0,7.0,8.0
300070093,7.0,3.0,5.0,3.0,6.0
300070094,9.0,1.0,4.0,3.0,4.0
300070095,6.0,4.0,1.0,5.0,5.0
300070096,8.0,2.0,3.0,1.0,3.0
300070097,-1.0,5.0,1.0,1.0,8.0
300070098,3.0,6.0,1.0,6.0,7.0
300070099,5.0,3.0,1.0,1.0,2.0
300070100,7.0,3.0,1.0,3.0,5.0
300070101,2.0,6.0,2.0,5.0,8.0
300070102,3.0,4.0,2.0,5.0,6.0
300070103,3.0,7.0,2.0,5.0,5.0
300070104,3.0,5.0,2.0,5.0,5.0
300070105,3.0,6.0,1.0,5.0,5.0
300070106,2.0,5.0,2.0,5.0,5.0
300070107,2.0,6.0,2.0,5.0,5.0
300070108,4.0,4.0,1.0,5.0,5.0
300070109,2.0,6.0,1.0,5.0,7.0
300070110,6.0,6.0,2.0,4.0,5.0
300070111,5.0,3.0,1.0,1.0,9.0
300070112,1.0,-1.0,5.0,5.0,5.0
300070113,5.0,1.0,5.0,2.0,1.0
300070114,1.0,7.0,1.0,10.0,7.0
300070115,6.0,6.0,7.0,1.0,1.0
300070116,1.0,1.0,1.0,1.0,8.0
300070117,1.0,1.0,1.0,5.0,10.0
300070118,4.0,1.0,5.0,10.0,1.0
300070119,1.0,1.0,10.0,10.0,10.0
300070120,4.0,5.0,5.0,5.0,5.0
300070121,3.0,7.0,4.0,7.0,5.0
300070122,7.0,4.0,6.0,7.0,3.0
300070123,7.0,7.0,8.0,3.0,2.0
300070124,7.0,5.0,7.0,9.0,3.0
300070125,10.0,1.0,1.0,-1.0,9.0
300070126,4.0,6.0,4.0,3.0,3.0
300070127,2.0,-1.0,1.0,4.0,2.0
300070128,7.0,6.0,8.0,8.0,7.0
300070129,5.0,6.0,4.0,6.0,2.0
300070130,7.0,5.0,3.0,8.0,5.0
300070131,5.0,5.0,5.0,1.0,5.0
300070132,3.0,4.0,3.0,7.0,4.0
300070133,2.0,7.0,4.0,6.0,3.0
300070134,8.0,2.0,5.0,5.0,4.0
300070135,3.0,7.0,4.0,7.0,5.0
300070136,6.0,4.0,5.0,3.0,4.0
300070137,5.0,5.0,4.0,5.0,4.0
300070138,2.0,8.0,3.0,7.0,2.0
300070139,4.0,4.0,3.0,4.0,4.0
300070140,7.0,3.0,8.0,5.0,5.0
300070141,8.0,7.0,5.0,5.0,4.0
300070142,4.0,8.0,4.0,6.0,5.0
300070143,-1.0,-1.0,1.0,5.0,8.0
300070144,3.0,7.0,4.0,6.0,5.0
300070145,5.0,7.0,3.0,7.0,5.0
300070146,4.0,7.0,4.0,7.0,5.0
300070147,5.0,5.0,5.0,3.0,4.0
300070148,8.0,5.0,5.0,4.0,4.0
300070149,7.0,5.0,3.0,7.0,4.0
300070150,5.0,5.0,5.0,5.0,6.0
300070151,3.0,3.0,1.0,4.0,3.0
300070152,4.0,8.0,6.0,9.0,6.0
300070153,4.0,5.0,1.0,2.0,4.0
300070154,3.0,7.0,1.0,3.0,8.0
300070155,9.0,1.0,1.0,2.0,4.0
300070156,2.0,1.0,1.0,1.0,5.0
300070157,9.0,1.0,1.0,4.0,6.0
300070158,2.0,8.0,5.0,2.0,7.0
300070159,8.0,5.0,7.0,1.0,3.0
300070160,9.0,1.0,9.0,2.0,6.0
300070161,4.0,7.0,1.0,5.0,9.0
300070162,8.0,7.0,3.0,7.0,9.0
300070163,7.0,6.0,1.0,5.0,6.0
300070164,5.0,5.0,1.0,5.0,5.0
300070165,6.0,7.0,8.0,4.0,7.0
300070166,8.0,8.0,8.0,9.0,7.0
300070167,8.0,2.0,2.0,1.0,1.0
300070168,7.0,8.0,8.0,4.0,7.0
300070169,6.0,6.0,8.0,9.0,9.0
300070170,6.0,4.0,3.0,8.0,7.0
300070171,8.0,5.0,8.0,7.0,7.0
300070172,5.0,6.0,4.0,3.0,3.0
300070173,8.0,3.0,5.0,7.0,7.0
300070174,4.0,7.0,3.0,2.0,4.0
300070175,8.0,5.0,7.0,6.0,8.0
300070176,8.0,6.0,8.0,9.0,7.0
300070177,8.0,6.0,4.0,8.0,3.0
300070178,7.0,6.0,8.0,8.0,7.0
300070179,7.0,4.0,4.0,3.0,8.0
300070180,7.0,4.0,8.0,6.0,4.0
300070181,8.0,6.0,8.0,3.0,2.0
300070182,8.0,5.0,6.0,3.0,5.0
300070183,8.0,5.0,7.0,2.0,5.0
300070184,10.0,-1.0,1.0,1.0,1.0
300070185,8.0,4.0,7.0,2.0,7.0
300070186,8.0,5.0,8.0,4.0,4.0
300070187,8.0,4.0,7.0,2.0,5.0
300070188,7.0,5.0,7.0,2.0,8.0
300070189,8.0,7.0,7.0,2.0,6.0
300070190,8.0,6.0,8.0,3.0,3.0
300070191,3.0,5.0,2.0,5.0,5.0
300070192,3.0,6.0,2.0,5.0,5.0
300070193,3.0,2.0,4.0,5.0,5.0
300070194,2.0,2.0,1.0,4.0,8.0
300070195,3.0,5.0,1.0,5.0,5.0
300070196,2.0,4.0,2.0,5.0,5.0
300070197,2.0,6.0,2.0,5.0,5.0
300070198,2.0,5.0,2.0,5.0,5.0
300070199,2.0,2.0,2.0,4.0,5.0
300070200,3.0,5.0,1.0,5.0,5.0
300070201,8.0,4.0,5.0,5.0,4.0
300070202,6.0,1.0,7.0,1.0,4.0
300070203,9.0,1.0,2.0,5.0,3.0
300070204,9.0,2.0,1.0,1.0,9.0
300070205,4.0,2.0,2.0,1.0,2.0
300070206,3.0,1.0,2.0,1.0,1.0
300070207,1.0,10.0,1.0,10.0,10.0
300070208,4.0,5.0,3.0,3.0,5.0
300070209,5.0,3.0,2.0,1.0,9.0
300070210,8.0,8.0,6.0,8.0,9.0
300070211,8.0,5.0,6.0,4.0,6.0
300070212,4.0,4.0,2.0,1.0,5.0
300070213,2.0,5.0,4.0,3.0,7.0
300070214,3.0,5.0,3.0,5.0,4.0
300070215,2.0,8.0,7.0,7.0,5.0
300070216,2.0,9.0,1.0,10.0,10.0
300070217,3.0,4.0,1.0,4.0,8.0
300070218,10.0,1.0,10.0,1.0,7.0
300070219,2.0,8.0,8.0,5.0,5.0
300070220,3.0,8.0,2.0,3.0,7.0
300070221,4.0,1.0,2.0,4.0,6.0
300070222,3.0,6.0,3.0,4.0,9.0
300070223,2.0,6.0,1.0,5.0,6.0
300070224,1.0,10.0,1.0,1.0,10.0
300070225,4.0,7.0,2.0,3.0,8.0
300070226,2.0,8.0,4.0,6.0,5.0
300070227,8.0,8.0,6.0,3.0,3.0
300070228,1.0,9.0,2.0,4.0,10.0
300070229,5.0,8.0,6.0,6.0,7.0
300070230,3.0,5.0,3.0,4.0,6.0
300070231,4.0,5.0,1.0,2.0,6.0
300070232,2.0,3.0,2.0,1.0,9.0
300070233,8.0,3.0,1.0,2.0,9.0
300070234,5.0,3.0,1.0,6.0,3.0
