D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
458070001,5,5,5,5,5
458070002,5,5,6,5,5
458070003,8,8,2,3,3
458070004,5,5,9,8,1
458070005,10,5,1,1,1
458070006,8,7,8,8,5
458070007,3,7,7,7,7
458070008,5,7,3,4,8
458070009,5,5,5,5,5
458070010,6,6,6,6,6
458070011,6,7,8,7,5
458070012,1,1,10,5,8
458070013,5,5,4,1,1
458070014,10,5,9,2,3
458070015,10,10,10,1,1
458070016,10,5,7,2,2
458070017,4,5,5,4,4
458070018,6,6,6,7,6
458070019,6,5,5,6,6
458070020,6,6,6,6,5
458070021,5,4,7,2,2
458070022,8,1,1,1,5
458070023,8,7,3,3,7
458070024,5,5,5,5,5
458070025,6,10,1,1,1
458070026,2,1,1,1,1
458070027,5,5,7,7,7
458070028,5,5,5,5,5
458070029,5,5,10,1,1
458070030,5,5,10,1,1
458070031,8,8,8,8,8
458070032,5,5,5,5,5
458070033,1,1,7,9,9
458070034,6,6,4,5,5
458070035,5,3,1,1,1
458070036,5,5,5,5,5
458070037,3,4,5,6,3
458070038,4,4,6,3,2
458070039,10,2,1,1,10
458070040,5,5,5,5,5
458070041,2,2,3,6,4
458070042,1,10,5,1,1
458070043,9,3,8,3,3
458070044,5,6,3,4,3
458070045,8,8,8,8,8
458070046,4,4,3,3,2
458070047,5,5,1,4,3
458070048,6,5,5,5,5
458070049,5,5,4,3,3
458070050,4,5,5,3,3
458070051,2,5,5,5,5
458070052,3,5,5,5,4
458070053,10,5,5,1,3
458070054,7,10,1,1,1
458070055,2,5,5,5,5
458070056,5,3,5,5,4
458070057,10,10,1,1,5
458070058,1,5,5,5,5
458070059,6,6,5,6,7
458070060,5,5,6,6,5
458070061,10,1,10,1,1
458070062,3,3,4,3,4
458070063,4,4,4,4,4
458070064,8,9,9,9,9
458070065,7,1,7,5,6
458070066,7,2,5,5,8
458070067,4,4,4,4,4
458070068,5,5,6,6,5
458070069,5,6,6,6,5
458070070,5,6,6,4,3
458070071,3,6,3,5,7
458070072,1,1,1,1,1
458070073,2,3,4,4,4
458070074,2,4,3,3,3
458070075,7,7,6,5,5
458070076,5,9,5,6,4
458070077,7,7,3,1,1
458070078,5,2,3,3,8
458070079,5,3,5,5,4
458070080,8,7,8,5,3
458070081,6,5,9,8,8
458070082,8,7,9,8,7
458070083,6,7,8,4,3
458070084,8,4,9,2,1
458070085,7,3,7,3,3
458070086,3,5,5,3,3
458070087,4,6,3,3,5
458070088,5,6,6,5,1
458070089,5,5,5,5,4
458070090,4,3,3,5,7
458070091,1,6,1,1,1
458070092,1,1,1,1,1
458070093,5,5,5,5,5
458070094,1,3,1,1,1
458070095,5,5,5,5,5
458070096,5,5,6,5,6
458070097,1,1,1,1,1
458070098,4,4,4,5,5
458070099,5,5,5,5,5
458070100,1,1,1,1,1
458070101,1,1,1,1,1
458070102,1,1,1,1,1
458070103,8,9,8,9,5
458070104,3,4,3,3,3
458070105,2,3,2,3,4
458070106,5,6,5,5,5
458070107,4,4,5,5,5
458070108,4,4,5,5,5
458070109,5,5,5,5,5
458070110,5,5,5,1,1
458070111,3,5,5,5,5
458070112,8,4,5,5,5
458070113,1,1,1,1,10
458070114,5,5,5,5,5
458070115,2,8,2,6,1
458070116,8,8,8,3,8
458070117,5,5,5,5,5
458070118,5,5,5,4,5
458070119,1,1,1,1,10
458070120,5,4,2,2,1
458070121,5,6,5,6,5
458070122,8,5,7,4,1
458070123,6,8,5,8,6
458070124,2,1,1,1,10
458070125,5,4,5,5,4
458070126,5,4,4,4,5
458070127,5,5,5,5,5
458070128,5,5,5,5,5
458070129,4,4,5,3,3
458070130,4,4,6,6,7
458070131,7,7,7,6,7
458070132,9,9,1,10,2
458070133,6,6,7,6,6
458070134,7,3,7,3,3
458070135,6,7,3,3,2
458070136,3,5,5,5,5
458070137,8,5,7,2,3
458070138,8,8,4,2,2
458070139,8,2,9,2,2
458070140,3,8,3,5,7
458070141,3,3,7,3,1
458070142,5,6,8,6,6
458070143,1,1,1,1,10
458070144,5,8,7,7,7
458070145,4,4,5,5,4
458070146,4,10,1,1,2
458070147,6,5,6,7,7
458070148,3,1,1,1,10
458070149,4,5,6,5,6
458070150,4,6,3,1,1
458070151,9,8,3,3,5
458070152,1,1,1,1,10
458070153,7,7,4,1,7
458070154,6,7,7,8,7
458070155,8,7,5,5,9
458070156,6,3,8,4,3
458070157,8,2,7,3,4
458070158,7,3,7,3,4
458070159,6,3,6,3,3
458070160,8,5,6,4,4
458070161,8,7,7,7,6
458070162,3,4,4,5,5
458070163,6,6,8,7,7
458070164,8,9,3,6,2
458070165,7,7,7,3,3
458070166,9,1,1,10,10
458070167,5,5,5,1,1
458070168,8,5,7,3,5
458070169,7,10,2,4,5
458070170,10,10,10,1,1
458070171,9,9,8,4,2
458070172,1,10,1,1,10
458070173,1,5,10,1,10
458070174,1,10,1,1,10
458070175,5,5,5,10,1
458070176,7,10,1,10,10
458070177,1,10,10,1,10
458070178,5,6,6,5,6
458070179,3,3,7,7,7
458070180,5,5,6,6,5
458070181,8,6,1,5,1
458070182,4,7,3,3,5
458070183,3,3,3,3,3
458070184,8,7,3,8,5
458070185,7,3,3,3,7
458070186,8,8,7,7,8
458070187,8,7,3,3,3
458070188,3,3,5,3,5
458070189,7,8,7,7,8
458070190,8,7,6,6,7
458070191,5,6,7,6,7
458070192,8,7,8,8,8
458070193,6,6,5,7,8
458070194,8,8,9,9,8
458070195,6,7,7,6,7
458070196,7,6,7,8,8
458070197,7,7,7,8,8
458070198,6,7,8,6,8
458070199,7,1,1,1,4
458070200,6,8,7,5,8
458070201,7,9,8,9,6
458070202,5,4,3,4,3
458070203,3,4,3,6,4
458070204,5,4,6,4,7
458070205,6,4,4,4,5
458070206,4,6,3,3,7
458070207,7,8,4,2,2
458070208,3,2,1,2,5
458070209,3,3,3,3,3
458070210,4,5,2,4,3
458070211,6,5,2,2,2
458070212,5,5,3,5,1
458070213,4,6,5,6,6
458070214,6,7,7,5,6
458070215,7,8,3,2,2
458070216,3,3,3,3,2
458070217,5,4,3,5,3
458070218,2,2,5,3,5
458070219,5,8,2,3,3
458070220,1,2,1,1,1
458070221,2,2,4,6,2
458070222,4,6,3,6,3
458070223,6,6,5,10,4
458070224,6,7,6,6,6
458070225,5,5,1,4,3
458070226,4,4,3,5,4
458070227,4,6,7,1,2
458070228,5,6,7,6,6
458070229,5,5,5,5,5
458070230,9,8,9,9,9
458070231,5,5,4,1,3
458070232,2,6,1,2,2
458070233,5,3,3,4,3
458070234,8,8,8,8,7
458070235,10,1,4,1,2
458070236,4,5,5,5,3
458070237,3,10,5,5,6
458070238,7,8,1,7,10
458070239,5,6,6,4,4
458070240,3,2,2,3,2
458070241,2,2,7,3,7
458070242,8,7,8,8,4
458070243,2,9,3,5,6
458070244,2,5,3,4,2
458070245,2,2,2,5,3
458070246,4,2,2,3,8
458070247,9,5,6,4,2
458070248,1,2,2,4,4
458070249,2,2,3,3,3
458070250,10,5,3,3,2
458070251,8,7,9,2,4
458070252,2,2,4,8,6
458070253,4,2,1,1,3
458070254,7,7,3,4,4
458070255,3,7,3,3,3
458070256,4,5,2,2,4
458070257,4,4,2,5,7
458070258,3,7,4,4,3
458070259,7,6,4,5,2
458070260,7,5,8,3,2
458070261,10,10,10,1,10
458070262,9,8,8,8,8
458070263,5,5,4,4,5
458070264,9,5,5,5,5
458070265,6,5,6,4,1
458070266,4,4,10,2,2
458070267,6,6,8,6,3
458070268,3,3,3,8,7
458070269,9,8,9,1,1
458070270,6,6,7,4,2
458070271,8,2,5,2,1
458070272,7,3,4,3,4
458070273,4,3,7,3,3
458070274,9,7,7,8,8
458070275,6,4,7,6,5
458070276,7,5,1,1,3
458070277,5,4,4,3,4
458070278,2,2,3,6,3
458070279,5,8,2,4,5
458070280,8,2,7,7,7
458070281,5,8,4,1,4
458070282,3,3,5,6,5
458070283,8,9,9,9,8
458070284,3,2,4,5,1
458070285,1,4,1,1,4
458070286,10,10,1,3,3
458070287,4,8,9,8,8
458070288,8,8,8,8,2
458070289,5,10,1,1,3
458070290,3,7,9,4,5
458070291,10,10,1,1,1
458070292,5,5,5,5,5
458070293,8,3,3,3,3
458070294,9,8,7,7,8
458070295,9,8,9,3,6
458070296,8,8,8,8,8
458070297,9,1,1,8,8
458070298,8,7,8,6,8
458070299,8,9,8,5,8
458070300,6,6,6,4,3
458070301,8,3,2,2,3
458070302,5,5,3,4,5
458070303,1,1,1,10,1
458070304,9,9,8,7,6
458070305,8,5,4,4,3
458070306,9,9,7,3,7
458070307,5,5,4,4,4
458070308,6,7,6,5,7
458070309,3,7,1,1,6
458070310,4,1,1,8,10
458070311,2,3,1,1,4
458070312,7,5,3,4,4
458070313,6,4,6,1,2
458070314,7,7,5,7,7
458070315,5,1,1,5,3
