D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
458070001,5.0,5.0,5.0,5.0,5.0
458070002,5.0,5.0,6.0,5.0,5.0
458070003,8.0,8.0,2.0,3.0,3.0
458070004,5.0,5.0,9.0,8.0,1.0
458070005,10.0,5.0,1.0,1.0,1.0
458070006,8.0,7.0,8.0,8.0,5.0
458070007,3.0,7.0,7.0,7.0,7.0
458070008,5.0,7.0,3.0,4.0,8.0
458070009,5.0,5.0,5.0,5.0,5.0
458070010,6.0,6.0,6.0,6.0,6.0
458070011,6.0,7.0,8.0,7.0,5.0
458070012,1.0,1.0,10.0,5.0,8.0
458070013,5.0,5.0,4.0,1.0,1.0
458070014,10.0,5.0,9.0,2.0,3.0
458070015,10.0,10.0,10.0,1.0,1.0
458070016,10.0,5.0,7.0,2.0,2.0
458070017,4.0,5.0,5.0,4.0,4.0
458070018,6.0,6.0,6.0,7.0,6.0
458070019,6.0,5.0,5.0,6.0,6.0
458070020,6.0,6.0,6.0,6.0,5.0
458070021,5.0,4.0,7.0,2.0,2.0
458070022,8.0,1.0,1.0,1.0,5.0
458070023,8.0,7.0,3.0,3.0,7.0
458070024,5.0,5.0,5.0,5.0,5.0
458070025,6.0,10.0,1.0,1.0,1.0
458070026,2.0,1.0,1.0,1.0,1.0
458070027,5.0,5.0,7.0,7.0,7.0
458070028,5.0,5.0,5.0,5.0,5.0
458070029,5.0,5.0,10.0,1.0,1.0
458070030,5.0,5.0,10.0,1.0,1.0
458070031,8.0,8.0,8.0,8.0,8.0
458070032,5.0,5.0,5.0,5.0,5.0
458070033,1.0,1.0,7.0,9.0,9.0
458070034,6.0,6.0,4.0,5.0,5.0
458070035,5.0,3.0,1.0,1.0,1.0
458070036,5.0,5.0,5.0,5.0,5.0
458070037,3.0,4.0,5.0,6.0,3.0
458070038,4.0,4.0,6.0,3.0,2.0
458070039,10.0,2.0,1.0,1.0,10.0
458070040,5.0,5.0,5.0,5.0,5.0
458070041,2.0,2.0,3.0,6.0,4.0
458070042,1.0,10.0,5.0,1.0,1.0
458070043,9.0,3.0,8.0,3.0,3.0
458070044,5.0,6.0,3.0,4.0,3.0
458070045,8.0,8.0,8.0,8.0,8.0
458070046,4.0,4.0,3.0,3.0,2.0
458070047,5.0,5.0,1.0,4.0,3.0
458070048,6.0,5.0,5.0,5.0,5.0
458070049,5.0,5.0,4.0,3.0,3.0
458070050,4.0,5.0,5.0,3.0,3.0
458070051,2.0,5.0,5.0,5.0,5.0
458070052,3.0,5.0,5.0,5.0,4.0
458070053,10.0,5.0,5.0,1.0,3.0
458070054,7.0,10.0,1.0,1.0,1.0
458070055,2.0,5.0,5.0,5.0,5.0
458070056,5.0,3.0,5.0,5.0,4.0
458070057,10.0,10.0,1.0,1.0,5.0
458070058,1.0,5.0,5.0,5.0,5.0
458070059,6.0,6.0,5.0,6.0,7.0
458070060,5.0,5.0,6.0,6.0,5.0
458070061,10.0,1.0,10.0,1.0,1.0
458070062,3.0,3.0,4.0,3.0,4.0
458070063,4.0,4.0,4.0,4.0,4.0
458070064,8.0,9.0,9.0,9.0,9.0
458070065,7.0,1.0,7.0,5.0,6.0
458070066,7.0,2.0,5.0,5.0,8.0
458070067,4.0,4.0,4.0,4.0,4.0
458070068,5.0,5.0,6.0,6.0,5.0
458070069,5.0,6.0,6.0,6.0,5.0
458070070,5.0,6.0,6.0,4.0,3.0
458070071,3.0,6.0,3.0,5.0,7.0
458070072,1.0,1.0,1.0,1.0,1.0
458070073,2.0,3.0,4.0,4.0,4.0
458070074,2.0,4.0,3.0,3.0,3.0
458070075,7.0,7.0,6.0,5.0,5.0
458070076,5.0,9.0,5.0,6.0,4.0
