D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
484070001,10,10,1,10,5
484070002,1,5,5,1,5
484070003,1,3,3,2,2
484070004,10,10,1,1,10
484070005,10,10,10,10,10
484070006,7,6,10,4,1
484070007,6,9,4,9,5
484070008,6,3,1,1,1
484070009,1,1,1,7,1
484070010,10,10,5,10,1
484070011,9,10,10,10,10
484070012,1,10,1,1,1
484070013,10,2,10,5,1
484070014,1,5,5,5,5
484070015,10,10,1,5,1
484070016,2,2,3,1,4
484070017,6,5,1,5,1
484070018,8,8,6,6,5
484070019,1,6,10,10,10
484070020,10,7,8,5,5
484070021,10,10,10,1,1
484070022,4,7,3,8,8
484070023,7,5,7,1,6
484070024,3,4,4,4,4
484070025,6,5,5,1,7
484070026,10,1,1,1,1
484070027,2,1,1,2,10
484070028,10,10,10,1,1
484070029,6,4,4,5,8
484070030,1,1,1,1,1
484070031,6,6,7,3,5
484070032,1,1,2,1,1
484070033,-1,-1,-1,-1,-1
484070034,-1,2,2,4,1
484070035,4,7,4,8,7
484070036,3,7,8,8,4
484070037,1,10,5,1,10
484070038,1,5,1,1,1
484070039,9,5,8,8,7
484070040,2,2,3,3,1
484070041,5,10,1,1,1
484070042,10,10,6,1,10
484070043,1,10,1,10,1
484070044,10,1,10,1,5
484070045,5,5,5,10,1
484070046,10,1,10,1,10
484070047,6,8,4,5,6
484070048,6,9,9,8,8
484070049,10,1,10,1,5
484070050,8,5,9,1,1
484070051,10,10,10,10,1
484070052,1,6,10,6,6
484070053,10,5,5,6,5
484070054,7,9,1,5,9
484070055,1,5,10,1,1
484070056,1,1,1,1,1
484070057,5,4,8,1,1
484070058,5,1,5,5,1
484070059,8,1,4,2,1
484070060,10,8,10,8,1
484070061,10,1,10,10,1
484070062,10,-1,3,7,3
484070063,8,7,9,7,7
484070064,1,1,1,8,5
484070065,6,5,2,1,2
484070066,5,-1,10,1,1
484070067,4,5,5,5,4
484070068,10,10,10,1,1
484070069,5,8,10,1,1
484070070,5,5,2,5,1
484070071,8,7,6,4,3
484070072,10,10,10,1,1
484070073,10,10,7,5,1
484070074,1,1,1,1,10
484070075,1,8,1,1,1
484070076,4,5,3,9,3
484070077,10,5,1,10,1
484070078,5,8,9,5,8
484070079,5,5,5,5,5
484070080,1,10,10,5,5
484070081,1,10,6,1,1
484070082,5,-1,8,5,2
484070083,7,8,7,4,5
484070084,6,10,10,7,1
484070085,8,4,8,7,3
484070086,8,5,8,1,1
484070087,4,5,1,5,9
484070088,7,-1,7,8,1
484070089,8,10,10,1,1
484070090,10,5,5,5,1
484070091,8,9,5,9,3
484070092,10,10,10,5,1
484070093,10,6,7,10,4
484070094,1,7,8,10,10
484070095,1,1,1,1,1
484070096,10,1,5,1,1
484070097,9,6,5,1,1
484070098,5,1,10,4,1
484070099,10,10,5,6,1
484070100,4,7,10,3,3
484070101,10,5,5,5,5
484070102,10,1,1,1,5
484070103,1,2,1,8,8
484070104,1,1,8,1,1
484070105,7,-1,1,7,10
484070106,10,5,10,10,1
484070107,5,6,10,5,1
484070108,10,1,1,1,1
484070109,10,2,1,1,1
484070110,3,1,10,2,2
484070111,10,10,1,10,1
484070112,1,1,1,1,1
484070113,1,5,2,2,6
484070114,2,10,1,3,4
484070115,1,6,1,5,6
484070116,1,10,1,5,4
484070117,1,5,1,7,4
484070118,6,3,1,4,3
484070119,6,5,3,4,5
484070120,1,3,1,5,2
484070121,10,10,4,6,6
484070122,10,5,1,1,10
484070123,4,8,9,9,8
484070124,2,2,3,10,9
484070125,5,5,5,5,5
484070126,10,5,6,1,10
484070127,5,8,4,2,2
484070128,1,5,5,1,5
484070129,8,4,5,7,5
484070130,1,10,1,1,1
484070131,4,1,1,10,1
484070132,1,4,1,5,1
484070133,5,4,4,6,5
484070134,4,9,2,1,1
484070135,7,4,8,8,3
484070136,5,5,1,1,1
484070137,5,7,4,8,6
484070138,2,5,5,3,3
484070139,3,3,1,1,1
484070140,1,1,6,1,1
484070141,1,10,1,5,1
484070142,1,1,4,9,9
484070143,3,10,3,7,1
484070144,1,5,5,5,1
484070145,5,6,5,5,1
484070146,2,7,2,9,1
484070147,1,5,1,1,1
484070148,1,7,5,6,6
484070149,1,1,5,7,5
484070150,1,2,1,5,1
484070151,6,7,2,5,9
484070152,10,10,1,10,10
484070153,10,10,5,1,1
484070154,10,9,9,9,10
484070155,8,5,10,1,3
484070156,7,5,6,4,6
484070157,6,2,7,7,8
484070158,6,6,9,3,7
484070159,2,5,2,2,2
484070160,10,1,1,1,1
484070161,10,5,2,3,1
484070162,10,8,2,3,3
