D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
484070001,10.0,10.0,1.0,10.0,5.0
484070002,1.0,5.0,5.0,1.0,5.0
484070003,1.0,3.0,3.0,2.0,2.0
484070004,10.0,10.0,1.0,1.0,10.0
484070005,10.0,10.0,10.0,10.0,10.0
484070006,7.0,6.0,10.0,4.0,1.0
484070007,6.0,9.0,4.0,9.0,5.0
484070008,6.0,3.0,1.0,1.0,1.0
484070009,1.0,1.0,1.0,7.0,1.0
484070010,10.0,10.0,5.0,10.0,1.0
484070011,9.0,10.0,10.0,10.0,10.0
484070012,1.0,10.0,1.0,1.0,1.0
484070013,10.0,2.0,10.0,5.0,1.0
484070014,1.0,5.0,5.0,5.0,5.0
484070015,10.0,10.0,1.0,5.0,1.0
484070016,2.0,2.0,3.0,1.0,4.0
484070017,6.0,5.0,1.0,5.0,1.0
484070018,8.0,8.0,6.0,6.0,5.0
484070019,1.0,6.0,10.0,10.0,10.0
484070020,10.0,7.0,8.0,5.0,5.0
484070021,10.0,10.0,10.0,1.0,1.0
484070022,4.0,7.0,3.0,8.0,8.0
484070023,7.0,5.0,7.0,1.0,6.0
484070024,3.0,4.0,4.0,4.0,4.0
484070025,6.0,5.0,5.0,1.0,7.0
484070026,10.0,1.0,1.0,1.0,1.0
484070027,2.0,1.0,1.0,2.0,10.0
484070028,10.0,10.0,10.0,1.0,1.0
484070029,6.0,4.0,4.0,5.0,8.0
484070030,1.0,1.0,1.0,1.0,1.0
484070031,6.0,6.0,7.0,3.0,5.0
484070032,1.0,1.0,2.0,1.0,1.0
484070033,-1.0,-1.0,-1.0,-1.0,-1.0
484070034,-1.0,2.0,2.0,4.0,1.0
484070035,4.0,7.0,4.0,8.0,7.0
484070036,3.0,7.0,8.0,8.0,4.0
484070037,1.0,10.0,5.0,1.0,10.0
484070038,1.0,5.0,1.0,1.0,1.0
484070039,9.0,5.0,8.0,8.0,7.0
484070040,2.0,2.0,3.0,3.0,1.0
484070041,5.0,10.0,1.0,1.0,1.0
484070042,10.0,10.0,6.0,1.0,10.0
484070043,1.0,10.0,1.0,10.0,1.0
484070044,10.0,1.0,10.0,1.0,5.0
484070045,5.0,5.0,5.0,10.0,1.0
484070046,10.0,1.0,10.0,1.0,10.0
484070047,6.0,8.0,4.0,5.0,6.0
484070048,6.0,9.0,9.0,8.0,8.0
484070049,10.0,1.0,10.0,1.0,5.0
484070050,8.0,5.0,9.0,1.0,1.0
484070051,10.0,10.0,10.0,10.0,1.0
484070052,1.0,6.0,10.0,6.0,6.0
484070053,10.0,5.0,5.0,6.0,5.0
