D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
528070001,8,-1,6,3,3
528070002,5,6,8,4,4
528070003,3,3,2,4,5
528070004,5,3,3,4,5
528070005,-1,-1,-1,-1,-1
528070006,9,5,6,2,4
528070007,3,7,4,4,3
528070008,8,-1,-1,-1,-1
528070009,5,4,7,4,4
528070010,5,7,6,6,6
528070011,7,8,7,5,7
528070012,8,2,8,1,2
528070013,6,5,4,4,3
528070014,1,-1,3,7,5
528070015,8,2,4,2,2
528070016,4,7,5,5,4
528070017,6,3,5,7,7
528070018,8,1,10,8,3
528070019,7,7,4,5,4
528070020,7,-1,10,7,7
528070021,8,4,4,5,3
528070022,3,3,3,5,10
528070023,2,-1,10,5,1
528070024,9,5,8,-1,3
528070025,6,4,4,5,8
528070026,7,6,7,4,4
528070027,6,5,5,5,3
528070028,5,5,5,5,10
528070029,3,5,6,3,3
528070030,7,3,7,3,4
528070031,5,5,3,8,5
528070032,-1,-2,-1,-2,-2
528070033,-1,-1,5,5,-1
528070034,-5,-5,-5,-5,-5
528070035,6,4,4,2,4
528070036,6,6,3,5,7
528070037,8,5,7,5,7
528070038,6,7,6,9,8
528070039,5,6,5,4,4
528070040,5,5,8,8,1
528070041,6,6,7,7,6
528070042,4,6,4,8,2
528070043,-1,-1,-1,-1,-1
528070044,5,6,6,5,5
528070045,4,-1,4,6,5
528070046,1,1,1,-1,-1
528070047,4,4,3,1,2
528070048,3,-1,5,3,-1
528070049,-5,-5,-5,-5,-5
528070050,4,5,5,5,3
528070051,8,5,7,6,4
528070052,5,4,2,8,9
528070053,8,5,5,5,5
528070054,9,-1,10,4,3
528070055,2,8,4,4,7
528070056,5,8,3,6,7
528070057,7,4,7,5,3
528070058,5,-1,4,4,4
528070059,7,9,1,7,10
528070060,7,5,6,4,5
528070061,7,4,4,3,3
528070062,6,8,5,7,7
528070063,8,-1,3,2,5
528070064,1,10,7,10,4
528070065,5,5,7,5,4
528070066,1,10,1,3,8
528070067,10,6,8,1,1
528070068,4,-1,6,4,4
528070069,1,5,1,5,5
528070070,6,6,6,7,6
528070071,8,7,8,1,1
528070072,-5,-5,-5,-5,-5
528070073,7,-1,4,-1,7
528070074,10,1,6,5,1
528070075,4,6,3,7,8
528070076,7,5,7,5,4
528070077,4,8,4,4,6
528070078,6,5,4,3,3
528070079,7,4,3,-1,3
528070080,-1,-1,-5,-1,-1
528070081,7,-1,3,4,1
528070082,6,7,6,4,7
528070083,7,6,5,6,6
528070084,4,7,6,4,4
528070085,1,-1,7,5,4
528070086,5,2,10,-1,10
528070087,10,8,5,3,2
528070088,5,7,6,5,7
528070089,-1,5,6,5,6
528070090,1,9,4,3,5
528070091,6,4,10,5,7
528070092,9,1,9,5,1
528070093,4,4,2,4,3
528070094,10,-1,5,10,10
528070095,3,6,8,3,9
528070096,5,6,4,4,5
528070097,8,4,7,4,1
528070098,1,-1,1,6,7
528070099,6,9,2,7,5
528070100,6,8,2,2,5
528070101,5,6,6,5,4
528070102,4,5,6,5,5
528070103,6,5,6,4,6
528070104,3,7,3,4,7
528070105,5,5,5,5,4
528070106,7,6,7,5,6
528070107,10,-1,8,4,6
528070108,7,7,7,7,7
528070109,3,3,2,5,5
528070110,5,6,4,4,4
528070111,7,3,6,4,3
528070112,7,-1,10,7,10
528070113,-5,-5,-5,-5,-5
528070114,9,6,1,5,7
528070115,8,-1,9,7,4
528070116,4,6,5,5,5
528070117,5,5,-1,-1,3
528070118,7,6,6,7,6
528070119,7,5,6,5,4
528070120,10,7,6,7,8
528070121,5,5,5,7,6
528070122,10,6,8,1,3
528070123,5,4,4,5,5
528070124,3,5,5,4,4
528070125,5,-1,-2,9,6
