D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
604070001,5,5,5,5,5
604070002,6,5,7,5,8
604070003,10,1,1,1,10
604070004,10,5,10,5,1
604070005,10,5,10,1,1
604070006,7,10,5,6,10
604070007,10,1,10,10,10
604070008,9,8,9,10,10
604070009,7,10,10,1,1
604070010,8,4,4,4,4
604070011,7,-1,-1,-1,5
604070012,-1,-1,3,1,1
604070013,7,-1,8,3,5
604070014,6,6,5,1,1
604070015,3,-1,6,5,2
604070016,1,6,5,3,1
604070017,9,8,2,3,2
604070018,7,6,4,2,2
604070019,6,-2,7,3,2
604070020,6,4,3,1,2
604070021,4,3,3,4,2
604070022,8,7,8,1,2
604070023,9,8,9,1,1
604070024,3,4,4,3,1
604070025,5,3,5,3,3
604070026,7,3,7,3,3
604070027,3,7,3,5,2
604070028,5,6,2,4,2
604070029,6,3,8,3,2
604070030,3,7,3,4,2
604070031,4,6,6,4,4
604070032,6,4,6,3,3
604070033,5,5,6,4,3
604070034,4,4,5,3,4
604070035,7,3,7,3,3
604070036,4,3,3,3,3
604070037,7,3,3,4,3
604070038,9,9,9,6,5
604070039,10,8,9,6,5
604070040,7,6,6,3,2
604070041,3,3,3,3,5
604070042,4,8,2,8,9
604070043,7,5,6,5,5
604070044,6,8,6,4,5
604070045,3,8,7,6,4
604070046,8,6,3,3,8
604070047,4,8,6,5,5
604070048,4,3,1,4,2
604070049,4,9,2,2,9
604070050,6,2,8,2,10
604070051,10,9,3,2,3
604070052,8,8,3,2,10
604070053,7,8,2,6,2
604070054,9,5,4,5,5
604070055,2,8,2,8,2
604070056,2,5,2,2,2
604070057,7,7,8,7,7
604070058,8,6,9,1,1
604070059,7,7,3,7,7
604070060,3,8,2,2,2
604070061,2,2,8,1,2
604070062,1,1,8,1,2
604070063,8,8,10,9,2
604070064,2,3,8,3,3
604070065,2,3,2,3,1
604070066,7,6,3,3,2
604070067,2,4,7,1,2
604070068,2,3,4,2,2
604070069,8,8,4,1,2
604070070,8,9,3,5,7
604070071,8,6,5,2,1
604070072,9,7,2,1,5
604070073,1,7,5,1,5
604070074,5,8,2,1,3
604070075,2,1,9,2,1
