D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
604070001,5.0,5.0,5.0,5.0,5.0
604070002,6.0,5.0,7.0,5.0,8.0
604070003,10.0,1.0,1.0,1.0,10.0
604070004,10.0,5.0,10.0,5.0,1.0
604070005,10.0,5.0,10.0,1.0,1.0
604070006,7.0,10.0,5.0,6.0,10.0
604070007,10.0,1.0,10.0,10.0,10.0
604070008,9.0,8.0,9.0,10.0,10.0
604070009,7.0,10.0,10.0,1.0,1.0
604070010,8.0,4.0,4.0,4.0,4.0
604070011,7.0,-1.0,-1.0,-1.0,5.0
604070012,-1.0,-1.0,3.0,1.0,1.0
604070013,7.0,-1.0,8.0,3.0,5.0
604070014,6.0,6.0,5.0,1.0,1.0
604070015,3.0,-1.0,6.0,5.0,2.0
604070016,1.0,6.0,5.0,3.0,1.0
604070017,9.0,8.0,2.0,3.0,2.0
604070018,7.0,6.0,4.0,2.0,2.0
604070019,6.0,-2.0,7.0,3.0,2.0
604070020,6.0,4.0,3.0,1.0,2.0
604070021,4.0,3.0,3.0,4.0,2.0
604070022,8.0,7.0,8.0,1.0,2.0
604070023,9.0,8.0,9.0,1.0,1.0
604070024,3.0,4.0,4.0,3.0,1.0
604070025,5.0,3.0,5.0,3.0,3.0
604070026,7.0,3.0,7.0,3.0,3.0
604070027,3.0,7.0,3.0,5.0,2.0
604070028,5.0,6.0,2.0,4.0,2.0
604070029,6.0,3.0,8.0,3.0,2.0
604070030,3.0,7.0,3.0,4.0,2.0
604070031,4.0,6.0,6.0,4.0,4.0
604070032,6.0,4.0,6.0,3.0,3.0
604070033,5.0,5.0,6.0,4.0,3.0
604070034,4.0,4.0,5.0,3.0,4.0
604070035,7.0,3.0,7.0,3.0,3.0
604070036,4.0,3.0,3.0,3.0,3.0
604070037,7.0,3.0,3.0,4.0,3.0
604070038,9.0,9.0,9.0,6.0,5.0
604070039,10.0,8.0,9.0,6.0,5.0
604070040,7.0,6.0,6.0,3.0,2.0
604070041,3.0,3.0,3.0,3.0,5.0
604070042,4.0,8.0,2.0,8.0,9.0
604070043,7.0,5.0,6.0,5.0,5.0
604070044,6.0,8.0,6.0,4.0,5.0
604070045,3.0,8.0,7.0,6.0,4.0
604070046,8.0,6.0,3.0,3.0,8.0
604070047,4.0,8.0,6.0,5.0,5.0
604070048,4.0,3.0,1.0,4.0,2.0
604070049,4.0,9.0,2.0,2.0,9.0
604070050,6.0,2.0,8.0,2.0,10.0
604070051,10.0,9.0,3.0,2.0,3.0
604070052,8.0,8.0,3.0,2.0,10.0
604070053,7.0,8.0,2.0,6.0,2.0
604070054,9.0,5.0,4.0,5.0,5.0
604070055,2.0,8.0,2.0,8.0,2.0
604070056,2.0,5.0,2.0,2.0,2.0
604070057,7.0,7.0,8.0,7.0,7.0
604070058,8.0,6.0,9.0,1.0,1.0
604070059,7.0,7.0,3.0,7.0,7.0
604070060,3.0,8.0,2.0,2.0,2.0
604070061,2.0,2.0,8.0,1.0,2.0
604070062,1.0,1.0,8.0,1.0,2.0
604070063,8.0,8.0,10.0,9.0,2.0
604070064,2.0,3.0,8.0,3.0,3.0
604070065,2.0,3.0,2.0,3.0,1.0
604070066,7.0,6.0,3.0,3.0,2.0
604070067,2.0,4.0,7.0,1.0,2.0
604070068,2.0,3.0,4.0,2.0,2.0
604070069,8.0,8.0,4.0,1.0,2.0
604070070,8.0,9.0,3.0,5.0,7.0
604070071,8.0,6.0,5.0,2.0,1.0
604070072,9.0,7.0,2.0,1.0,5.0
604070073,1.0,7.0,5.0,1.0,5.0
604070074,5.0,8.0,2.0,1.0,3.0
604070075,2.0,1.0,9.0,2.0,1.0
604070076,5.0,7.0,5.0,7.0,5.0
604070077,7.0,-2.0,-2.0,-2.0,-2.0
604070078,-2.0,-2.0,6.0,5.0,5.0
604070079,-2.0,6.0,6.0,5.0,7.0
604070080,8.0,-2.0,6.0,7.0,-2.0
604070081,9.0,8.0,9.0,2.0,3.0
604070082,9.0,8.0,6.0,8.0,8.0
604070083,3.0,6.0,7.0,3.0,4.0
604070084,9.0,7.0,10.0,2.0,3.0
604070085,6.0,8.0,2.0,6.0,6.0
604070086,2.0,5.0,3.0,2.0,1.0
604070087,8.0,1.0,10.0,1.0,1.0
604070088,8.0,3.0,7.0,1.0,1.0
604070089,10.0,10.0,10.0,1.0,1.0
604070090,9.0,3.0,8.0,1.0,1.0
604070091,8.0,4.0,2.0,1.0,1.0
604070092,9.0,7.0,5.0,1.0,7.0
604070093,5.0,8.0,8.0,1.0,1.0
604070094,9.0,8.0,3.0,2.0,1.0
604070095,8.0,6.0,6.0,6.0,5.0
604070096,5.0,2.0,10.0,5.0,3.0
604070097,9.0,5.0,9.0,5.0,1.0
604070098,6.0,1.0,8.0,2.0,5.0
604070099,10.0,10.0,1.0,1.0,1.0
604070100,10.0,5.0,8.0,5.0,5.0
604070101,4.0,6.0,4.0,3.0,4.0
604070102,9.0,8.0,10.0,9.0,2.0
604070103,8.0,8.0,9.0,9.0,9.0
604070104,8.0,7.0,9.0,3.0,8.0
604070105,8.0,8.0,8.0,2.0,3.0
604070106,6.0,6.0,2.0,3.0,7.0
604070107,3.0,4.0,7.0,2.0,2.0
604070108,6.0,7.0,5.0,4.0,8.0
604070109,8.0,7.0,9.0,5.0,8.0
604070110,9.0,5.0,6.0,5.0,8.0
604070111,3.0,4.0,1.0,3.0,3.0
604070112,9.0,5.0,3.0,1.0,4.0
604070113,9.0,8.0,1.0,5.0,5.0
604070114,9.0,3.0,2.0,1.0,3.0
604070115,8.0,7.0,6.0,5.0,7.0
604070116,1.0,10.0,1.0,1.0,1.0
604070117,1.0,10.0,5.0,1.0,1.0
604070118,7.0,5.0,7.0,5.0,1.0
604070119,10.0,5.0,7.0,1.0,1.0
604070120,10.0,5.0,10.0,5.0,5.0
604070121,9.0,9.0,2.0,3.0,3.0
604070122,9.0,2.0,3.0,3.0,2.0
604070123,8.0,8.0,3.0,2.0,2.0
604070124,9.0,8.0,7.0,2.0,3.0
604070125,7.0,5.0,2.0,3.0,8.0
604070126,10.0,5.0,10.0,1.0,1.0
604070127,10.0,5.0,10.0,1.0,1.0
604070128,10.0,5.0,10.0,5.0,1.0
604070129,10.0,5.0,10.0,1.0,1.0
604070130,10.0,5.0,10.0,5.0,1.0
604070131,6.0,4.0,4.0,2.0,2.0
604070132,8.0,7.0,8.0,4.0,4.0
604070133,5.0,4.0,10.0,5.0,5.0
604070134,8.0,5.0,5.0,5.0,5.0
604070135,5.0,5.0,5.0,5.0,5.0
604070136,3.0,3.0,2.0,2.0,2.0
604070137,8.0,5.0,1.0,2.0,1.0
604070138,5.0,4.0,4.0,5.0,5.0
604070139,8.0,5.0,5.0,5.0,5.0
604070140,4.0,5.0,5.0,1.0,5.0
604070141,7.0,4.0,7.0,5.0,6.0
604070142,8.0,5.0,8.0,7.0,5.0
604070143,7.0,5.0,6.0,4.0,7.0
604070144,8.0,6.0,8.0,6.0,8.0
604070145,10.0,5.0,10.0,5.0,5.0
604070146,8.0,6.0,2.0,3.0,8.0
604070147,8.0,6.0,3.0,2.0,8.0
604070148,9.0,8.0,3.0,8.0,7.0
604070149,7.0,8.0,2.0,3.0,7.0
604070150,2.0,2.0,7.0,2.0,3.0
604070151,8.0,4.0,5.0,2.0,2.0
604070152,4.0,5.0,5.0,2.0,2.0
604070153,3.0,5.0,4.0,3.0,2.0
604070154,1.0,5.0,2.0,3.0,2.0
604070155,8.0,4.0,7.0,3.0,2.0
604070156,8.0,5.0,8.0,2.0,2.0
604070157,8.0,5.0,8.0,2.0,2.0
604070158,8.0,5.0,8.0,3.0,2.0
604070159,8.0,4.0,9.0,2.0,2.0
604070160,8.0,3.0,8.0,2.0,2.0
604070161,7.0,5.0,10.0,4.0,7.0
604070162,2.0,8.0,8.0,2.0,2.0
604070163,9.0,8.0,4.0,5.0,4.0
