D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
840071001,10,10,1,1,10
840071002,5,5,6,5,3
840071003,10,10,10,10,9
840071004,1,1,10,5,1
840071005,6,1,8,1,7
840071006,1,10,9,10,1
840071007,1,1,1,1,10
840071008,7,8,10,10,7
840071009,1,1,1,-2,-2
840071010,10,10,10,10,1
840071011,3,5,3,5,4
840071012,10,1,10,1,1
840071013,5,1,10,5,1
840071014,1,3,5,1,1
840071015,1,3,1,8,7
840071016,1,2,2,1,6
840071017,1,1,10,1,1
840071018,1,4,1,4,3
840071019,10,5,1,1,5
840071020,10,1,5,10,10
840071021,2,5,2,2,2
840071022,5,5,5,5,5
840071023,8,5,7,5,7
840071024,8,8,7,4,7
840071025,1,3,8,3,10
840071026,10,1,10,1,1
840071027,6,5,5,5,4
840071028,7,7,8,7,8
840071029,10,5,1,2,1
840071030,1,1,5,5,6
840071031,1,2,10,5,7
840071032,5,3,1,4,4
840071033,1,10,1,1,1
840071034,5,5,5,5,5
840071035,4,2,5,2,3
840071036,1,1,1,7,2
840071037,7,7,6,6,7
840071038,5,5,4,5,4
840071039,5,5,5,3,4
840071040,6,7,1,-2,7
840071041,5,1,1,1,1
840071042,10,5,10,4,5
840071043,9,1,10,1,3
840071044,1,5,5,5,5
840071045,5,5,5,5,5
840071046,3,4,5,5,5
840071047,5,8,6,5,8
840071048,6,6,6,6,6
840071049,8,7,6,7,7
840071050,4,5,4,10,10
840071051,10,1,10,1,10
840071052,5,5,10,4,5
840071053,10,5,10,5,1
840071054,1,1,1,1,1
840071055,5,5,5,5,5
840071056,5,5,1,5,5
840071057,1,4,5,5,5
840071058,1,4,1,5,1
840071059,1,1,1,1,10
840071060,1,1,10,1,1
840071061,1,9,1,1,1
840071062,1,1,10,1,1
840071063,1,1,10,1,10
840071064,5,5,5,5,5
840071065,1,1,5,5,2
840071066,6,4,7,5,6
840071067,6,8,5,1,6
840071068,5,5,10,7,3
840071069,5,5,3,5,2
840071070,4,5,6,7,1
840071071,1,1,1,10,6
840071072,1,1,10,1,6
840071073,5,6,5,6,6
840071074,10,5,5,5,4
840071075,5,5,5,1,5
840071076,1,1,1,1,1
840071077,4,4,4,5,7
840071078,10,1,1,4,1
840071079,5,7,5,4,3
840071080,10,1,1,2,8
840071081,1,10,1,5,6
840071082,4,7,5,5,2
840071083,10,6,1,10,6
840071084,5,5,5,5,3
840071085,5,5,1,1,1
840071086,5,5,3,4,5
840071087,10,4,5,5,2
840071088,5,3,5,5,7
840071089,1,5,5,1,10
840071090,2,1,10,1,1
840071091,1,1,5,1,1
840071092,5,1,5,1,2
840071093,10,1,1,1,7
840071094,4,3,1,4,5
840071095,4,4,7,5,6
840071096,10,1,8,1,1
840071097,8,8,8,8,8
840071098,7,7,7,7,8
840071099,3,2,10,5,1
