D_INTERVIEW,Q106,Q107,Q108,Q109,Q110
840071001,10.0,10.0,1.0,1.0,10.0
840071002,5.0,5.0,6.0,5.0,3.0
840071003,10.0,10.0,10.0,10.0,9.0
840071004,1.0,1.0,10.0,5.0,1.0
840071005,6.0,1.0,8.0,1.0,7.0
840071006,1.0,10.0,9.0,10.0,1.0
840071007,1.0,1.0,1.0,1.0,10.0
840071008,7.0,8.0,10.0,10.0,7.0
840071009,1.0,1.0,1.0,-2.0,-2.0
840071010,10.0,10.0,10.0,10.0,1.0
840071011,3.0,5.0,3.0,5.0,4.0
840071012,10.0,1.0,10.0,1.0,1.0
840071013,5.0,1.0,10.0,5.0,1.0
840071014,1.0,3.0,5.0,1.0,1.0
840071015,1.0,3.0,1.0,8.0,7.0
840071016,1.0,2.0,2.0,1.0,6.0
840071017,1.0,1.0,10.0,1.0,1.0
840071018,1.0,4.0,1.0,4.0,3.0
840071019,10.0,5.0,1.0,1.0,5.0
840071020,10.0,1.0,5.0,10.0,10.0
840071021,2.0,5.0,2.0,2.0,2.0
840071022,5.0,5.0,5.0,5.0,5.0
840071023,8.0,5.0,7.0,5.0,7.0
840071024,8.0,8.0,7.0,4.0,7.0
840071025,1.0,3.0,8.0,3.0,10.0
840071026,10.0,1.0,10.0,1.0,1.0
840071027,6.0,5.0,5.0,5.0,4.0
840071028,7.0,7.0,8.0,7.0,8.0
840071029,10.0,5.0,1.0,2.0,1.0
840071030,1.0,1.0,5.0,5.0,6.0
840071031,1.0,2.0,10.0,5.0,7.0
840071032,5.0,3.0,1.0,4.0,4.0
840071033,1.0,10.0,1.0,1.0,1.0
840071034,5.0,5.0,5.0,5.0,5.0
840071035,4.0,2.0,5.0,2.0,3.0
840071036,1.0,1.0,1.0,7.0,2.0
840071037,7.0,7.0,6.0,6.0,7.0
840071038,5.0,5.0,4.0,5.0,4.0
840071039,5.0,5.0,5.0,3.0,4.0
840071040,6.0,7.0,1.0,-2.0,7.0
840071041,5.0,1.0,1.0,1.0,1.0
840071042,10.0,5.0,10.0,4.0,5.0
840071043,9.0,1.0,10.0,1.0,3.0
840071044,1.0,5.0,5.0,5.0,5.0
840071045,5.0,5.0,5.0,5.0,5.0
840071046,3.0,4.0,5.0,5.0,5.0
840071047,5.0,8.0,6.0,5.0,8.0
840071048,6.0,6.0,6.0,6.0,6.0
840071049,8.0,7.0,6.0,7.0,7.0
840071050,4.0,5.0,4.0,10.0,10.0
840071051,10.0,1.0,10.0,1.0,10.0
840071052,5.0,5.0,10.0,4.0,5.0
840071053,10.0,5.0,10.0,5.0,1.0
840071054,1.0,1.0,1.0,1.0,1.0
840071055,5.0,5.0,5.0,5.0,5.0
840071056,5.0,5.0,1.0,5.0,5.0
840071057,1.0,4.0,5.0,5.0,5.0
840071058,1.0,4.0,1.0,5.0,1.0
840071059,1.0,1.0,1.0,1.0,10.0
840071060,1.0,1.0,10.0,1.0,1.0
840071061,1.0,9.0,1.0,1.0,1.0
840071062,1.0,1.0,10.0,1.0,1.0
840071063,1.0,1.0,10.0,1.0,10.0
840071064,5.0,5.0,5.0,5.0,5.0
840071065,1.0,1.0,5.0,5.0,2.0
840071066,6.0,4.0,7.0,5.0,6.0
840071067,6.0,8.0,5.0,1.0,6.0
840071068,5.0,5.0,10.0,7.0,3.0
840071069,5.0,5.0,3.0,5.0,2.0
840071070,4.0,5.0,6.0,7.0,1.0
840071071,1.0,1.0,1.0,10.0,6.0
840071072,1.0,1.0,10.0,1.0,6.0
840071073,5.0,6.0,5.0,6.0,6.0
840071074,10.0,5.0,5.0,5.0,4.0
840071075,5.0,5.0,5.0,1.0,5.0
840071076,1.0,1.0,1.0,1.0,1.0
840071077,4.0,4.0,4.0,5.0,7.0
840071078,10.0,1.0,1.0,4.0,1.0
840071079,5.0,7.0,5.0,4.0,3.0
840071080,10.0,1.0,1.0,2.0,8.0
840071081,1.0,10.0,1.0,5.0,6.0
840071082,4.0,7.0,5.0,5.0,2.0
840071083,10.0,6.0,1.0,10.0,6.0
840071084,5.0,5.0,5.0,5.0,3.0
840071085,5.0,5.0,1.0,1.0,1.0
840071086,5.0,5.0,3.0,4.0,5.0
840071087,10.0,4.0,5.0,5.0,2.0
840071088,5.0,3.0,5.0,5.0,7.0
840071089,1.0,5.0,5.0,1.0,10.0
840071090,2.0,1.0,10.0,1.0,1.0
840071091,1.0,1.0,5.0,1.0,1.0
840071092,5.0,1.0,5.0,1.0,2.0
840071093,10.0,1.0,1.0,1.0,7.0
840071094,4.0,3.0,1.0,4.0,5.0
840071095,4.0,4.0,7.0,5.0,6.0
840071096,10.0,1.0,8.0,1.0,1.0
840071097,8.0,8.0,8.0,8.0,8.0
840071098,7.0,7.0,7.0,7.0,8.0
840071099,3.0,2.0,10.0,5.0,1.0
840071100,1.0,5.0,5.0,1.0,1.0
840071101,6.0,2.0,10.0,2.0,1.0
840071102,5.0,1.0,8.0,2.0,4.0
840071103,5.0,5.0,10.0,2.0,6.0
840071104,6.0,5.0,7.0,6.0,6.0
840071105,4.0,6.0,3.0,1.0,1.0
840071106,8.0,1.0,10.0,1.0,2.0
840071107,-2.0,4.0,4.0,7.0,5.0
840071108,6.0,6.0,10.0,6.0,7.0
840071109,3.0,3.0,7.0,6.0,1.0
840071110,5.0,8.0,5.0,8.0,9.0
840071111,1.0,1.0,1.0,5.0,8.0
840071112,10.0,8.0,8.0,1.0,6.0
840071113,8.0,2.0,10.0,10.0,1.0
840071114,1.0,1.0,2.0,5.0,5.0
840071115,1.0,5.0,1.0,5.0,7.0
840071116,7.0,10.0,1.0,2.0,8.0
840071117,5.0,3.0,1.0,10.0,7.0
840071118,6.0,4.0,1.0,4.0,4.0
840071119,1.0,8.0,1.0,8.0,10.0
840071120,10.0,1.0,10.0,1.0,1.0
840071121,1.0,3.0,1.0,1.0,10.0
840071122,3.0,1.0,8.0,1.0,2.0
840071123,2.0,5.0,2.0,2.0,1.0
840071124,3.0,1.0,10.0,1.0,6.0
840071125,5.0,1.0,10.0,1.0,3.0
840071126,9.0,5.0,9.0,1.0,1.0
840071127,4.0,7.0,3.0,5.0,8.0
840071128,10.0,10.0,10.0,1.0,10.0
840071129,4.0,1.0,2.0,1.0,4.0
840071130,1.0,1.0,1.0,1.0,1.0
840071131,10.0,10.0,10.0,10.0,10.0
840071132,1.0,1.0,1.0,1.0,1.0
840071133,10.0,10.0,10.0,1.0,1.0
840071134,1.0,1.0,1.0,4.0,1.0
840071135,10.0,1.0,4.0,1.0,8.0
840071136,4.0,4.0,1.0,5.0,10.0
840071137,4.0,5.0,1.0,5.0,10.0
840071138,10.0,3.0,8.0,1.0,1.0
840071139,-2.0,-2.0,-2.0,5.0,5.0
840071140,8.0,7.0,10.0,8.0,7.0
840071141,1.0,5.0,10.0,6.0,5.0
840071142,6.0,1.0,5.0,1.0,1.0
840071143,1.0,5.0,1.0,5.0,5.0
840071144,5.0,1.0,5.0,1.0,1.0
840071145,1.0,1.0,1.0,4.0,3.0
840071146,5.0,4.0,4.0,5.0,10.0
840071147,6.0,6.0,6.0,-2.0,-2.0
840071148,5.0,4.0,2.0,3.0,3.0
840071149,4.0,6.0,-2.0,6.0,10.0
840071150,5.0,3.0,1.0,1.0,1.0
840071151,8.0,5.0,5.0,5.0,5.0
840071152,5.0,1.0,8.0,1.0,1.0
840071153,5.0,1.0,6.0,1.0,1.0
840071154,1.0,10.0,7.0,1.0,1.0
840071155,10.0,1.0,10.0,7.0,1.0
840071156,1.0,1.0,1.0,10.0,1.0
840071157,5.0,4.0,1.0,3.0,3.0
840071158,8.0,1.0,8.0,7.0,4.0
840071159,5.0,5.0,5.0,2.0,3.0
840071160,10.0,1.0,10.0,1.0,1.0
840071161,10.0,3.0,1.0,1.0,1.0
840071162,10.0,10.0,10.0,1.0,10.0
840071163,7.0,1.0,1.0,3.0,6.0
840071164,7.0,7.0,4.0,6.0,7.0
840071165,3.0,1.0,1.0,3.0,1.0
840071166,2.0,2.0,1.0,1.0,4.0
840071167,5.0,5.0,5.0,5.0,5.0
840071168,6.0,6.0,2.0,5.0,5.0
840071169,6.0,8.0,6.0,6.0,8.0
840071170,2.0,2.0,1.0,2.0,2.0
840071171,2.0,4.0,4.0,9.0,10.0
840071172,5.0,4.0,8.0,6.0,6.0
840071173,1.0,1.0,2.0,2.0,1.0
840071174,1.0,1.0,6.0,5.0,1.0
840071175,1.0,5.0,2.0,1.0,3.0
840071176,5.0,5.0,6.0,5.0,7.0
840071177,1.0,1.0,10.0,2.0,1.0
840071178,10.0,6.0,3.0,3.0,10.0
840071179,1.0,1.0,5.0,5.0,4.0
840071180,5.0,8.0,8.0,7.0,4.0
840071181,8.0,2.0,3.0,10.0,7.0
840071182,7.0,3.0,6.0,5.0,5.0
840071183,3.0,3.0,3.0,3.0,2.0
840071184,10.0,2.0,10.0,3.0,1.0
840071185,1.0,2.0,5.0,5.0,1.0
840071186,5.0,5.0,1.0,2.0,4.0
840071187,1.0,5.0,6.0,1.0,1.0
840071188,5.0,5.0,8.0,3.0,3.0
840071189,5.0,1.0,7.0,5.0,1.0
840071190,1.0,1.0,5.0,5.0,5.0
840071191,1.0,4.0,3.0,4.0,10.0
840071192,5.0,5.0,4.0,5.0,7.0
840071193,4.0,8.0,2.0,1.0,4.0
840071194,5.0,4.0,4.0,5.0,6.0
840071195,4.0,7.0,5.0,-2.0,6.0
840071196,1.0,1.0,1.0,5.0,3.0
840071197,1.0,10.0,1.0,10.0,5.0
840071198,3.0,1.0,6.0,2.0,4.0
840071199,4.0,4.0,9.0,9.0,7.0
840071200,3.0,1.0,9.0,3.0,5.0
840071201,5.0,5.0,5.0,5.0,5.0
840071202,9.0,5.0,5.0,7.0,8.0
840071203,5.0,4.0,4.0,5.0,7.0
840071204,7.0,4.0,4.0,4.0,6.0
840071205,5.0,5.0,5.0,5.0,5.0
840071206,2.0,5.0,4.0,2.0,4.0
840071207,10.0,1.0,10.0,5.0,1.0
840071208,8.0,1.0,10.0,3.0,1.0
840071209,7.0,6.0,8.0,5.0,1.0
840071210,1.0,2.0,3.0,10.0,3.0
840071211,1.0,1.0,8.0,6.0,1.0
840071212,2.0,2.0,1.0,3.0,7.0
840071213,1.0,8.0,3.0,5.0,3.0
840071214,10.0,1.0,10.0,1.0,1.0
840071215,1.0,1.0,5.0,1.0,1.0
840071216,5.0,5.0,5.0,3.0,5.0
840071217,5.0,5.0,5.0,5.0,5.0
840071218,6.0,4.0,2.0,5.0,1.0
840071219,4.0,2.0,5.0,5.0,5.0
840071220,5.0,5.0,5.0,5.0,1.0
840071221,10.0,10.0,10.0,1.0,1.0
840071222,6.0,4.0,6.0,4.0,7.0
840071223,3.0,6.0,4.0,6.0,4.0
840071224,6.0,6.0,6.0,6.0,6.0
840071225,1.0,3.0,4.0,4.0,6.0
840071226,1.0,1.0,5.0,1.0,4.0
840071227,7.0,4.0,1.0,4.0,5.0
840071228,1.0,5.0,3.0,2.0,4.0
840071229,10.0,5.0,5.0,5.0,1.0
840071230,1.0,3.0,10.0,5.0,5.0
840071231,6.0,5.0,5.0,6.0,7.0
840071232,5.0,5.0,5.0,5.0,5.0
840071233,1.0,1.0,1.0,4.0,1.0
840071234,4.0,3.0,1.0,5.0,3.0
840071235,4.0,1.0,5.0,5.0,5.0
840071236,6.0,5.0,5.0,4.0,1.0
840071237,6.0,6.0,6.0,6.0,6.0
840071238,5.0,5.0,5.0,5.0,5.0
840071239,3.0,3.0,3.0,7.0,6.0
840071240,1.0,3.0,1.0,4.0,2.0
840071241,1.0,4.0,1.0,4.0,1.0
840071242,4.0,5.0,4.0,5.0,4.0
840071243,5.0,4.0,5.0,7.0,4.0
840071244,5.0,5.0,6.0,6.0,6.0
840071245,1.0,10.0,1.0,6.0,1.0
840071246,6.0,5.0,5.0,2.0,4.0
840071247,5.0,1.0,5.0,5.0,5.0
840071248,5.0,1.0,5.0,5.0,5.0
840071249,5.0,5.0,5.0,5.0,5.0
