D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
51070001,1,1,1,8,1,1,4,1,9,10,1,1,1,1,1,1,10,1,1
51070002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070003,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1
51070004,1,1,1,1,1,5,5,1,5,1,1,1,1,5,1,1,1,1,1
51070005,1,1,1,2,1,1,2,2,5,10,5,10,1,2,2,2,8,1,2
51070006,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
51070007,1,1,1,1,1,1,1,1,5,8,1,5,1,2,1,1,5,1,10
51070008,1,1,1,1,1,1,1,1,7,1,1,1,1,5,1,8,1,1,1
51070009,5,5,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
51070010,1,1,1,1,1,3,3,5,5,6,6,5,1,1,1,1,2,1,1
51070011,1,1,1,4,1,5,1,5,8,5,5,1,1,1,1,1,5,1,1
51070012,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070013,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
51070014,1,1,1,1,1,1,1,1,6,5,1,10,1,1,1,1,1,1,1
51070015,1,1,1,1,1,1,1,1,5,5,1,7,1,1,5,1,5,1,1
51070016,1,1,1,1,1,1,1,1,4,1,1,-1,1,4,1,1,1,1,1
51070017,1,1,1,1,1,1,1,3,3,5,1,1,1,1,1,1,1,1,1
51070018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070019,1,1,1,3,5,1,1,1,10,1,2,4,1,2,1,1,1,1,10
51070020,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,2,1,1,1,5
51070021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070022,7,1,1,1,1,1,1,1,7,1,1,1,1,2,1,1,1,1,10
51070023,10,1,1,1,1,2,1,1,10,5,5,8,1,3,1,1,1,1,4
51070024,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070027,1,1,1,1,1,1,1,1,5,1,1,-1,1,5,1,1,1,1,5
51070028,1,1,1,1,1,1,1,8,7,1,1,9,1,8,5,5,1,5,2
51070029,-1,2,3,4,5,2,2,1,1,7,3,10,1,2,3,-1,4,-1,1
51070030,1,1,1,1,1,1,1,3,3,10,1,5,2,1,5,1,5,1,5
51070031,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1
51070032,2,2,3,1,1,1,1,1,7,1,1,1,1,1,-1,1,1,1,1
51070033,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070034,1,1,1,1,1,-1,1,1,1,1,1,1,1,3,1,-1,1,1,5
51070035,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
51070036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070037,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1
51070038,1,1,1,1,1,1,4,1,1,10,1,5,1,1,1,1,1,1,1
51070039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070040,-1,1,1,1,1,-1,1,-1,-1,-1,1,1,1,2,1,1,1,1,-1
51070041,-1,1,1,1,-2,1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,1
51070042,10,1,1,1,1,1,1,10,1,1,1,10,1,1,1,1,1,1,1
51070043,1,1,1,1,1,1,3,1,5,3,1,5,1,1,1,1,1,1,10
51070044,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,6
51070045,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1
51070046,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070047,1,1,1,1,1,1,2,1,1,10,1,10,1,1,1,1,1,1,5
51070048,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070049,1,3,1,1,1,1,1,5,5,1,1,1,1,2,1,1,1,1,1
51070050,1,1,1,5,1,1,1,5,5,1,1,10,1,5,1,1,3,1,1
51070051,9,1,1,1,1,1,1,1,5,1,1,7,1,2,1,1,1,1,1
51070052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070053,5,1,1,5,1,1,1,1,4,1,1,1,1,1,5,-2,1,1,1
51070054,1,1,1,1,1,1,1,1,6,5,1,10,1,1,1,1,1,1,5
51070055,9,1,10,1,1,1,10,10,10,10,10,10,4,5,5,1,5,5,5
51070056,1,1,1,1,1,5,1,5,8,5,1,5,1,3,1,1,1,1,5
51070057,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070058,7,1,1,3,1,1,3,3,4,4,1,2,1,2,1,1,2,1,2
51070059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070060,1,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,5,1,1
51070061,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
51070062,1,1,1,1,1,1,1,1,5,1,1,1,1,4,1,1,1,1,1
51070063,10,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,7
51070064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070065,1,1,1,3,2,1,1,5,8,-1,5,8,1,1,1,1,1,1,7
51070066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070068,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
51070069,5,1,1,1,1,1,1,3,1,4,1,-1,1,1,1,1,1,1,5
51070070,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,10
51070071,1,1,1,1,1,1,1,5,5,1,1,-1,1,5,1,1,1,1,1
51070072,7,5,1,10,1,1,10,5,5,10,-1,1,1,5,3,3,5,-1,1
51070073,1,1,1,1,10,1,1,1,7,8,1,3,1,1,1,1,2,1,1
51070074,2,1,1,4,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1
51070075,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070076,1,1,1,1,1,7,7,7,6,7,6,8,1,1,1,1,1,1,7
51070077,5,1,1,8,1,1,1,1,5,1,-1,5,6,8,7,1,1,1,1
51070078,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1
51070079,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
51070080,1,1,1,1,1,1,1,1,7,1,1,1,9,8,1,1,1,1,1
51070081,1,1,1,1,1,10,1,1,10,10,1,1,1,1,1,1,1,1,1
51070082,1,5,1,5,1,1,1,1,5,-1,1,1,1,5,2,1,3,-1,1
51070083,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070084,1,1,1,1,1,1,1,3,3,1,1,-1,1,3,1,1,1,1,1
51070085,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5
51070086,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
51070087,1,1,1,1,1,1,1,5,5,1,1,5,1,5,1,1,1,1,1
51070088,1,1,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1
51070089,1,1,1,1,1,1,1,5,5,1,1,5,5,5,5,1,1,1,5
51070090,4,1,1,1,1,5,3,1,5,5,1,5,1,1,3,1,3,1,3
51070091,1,1,1,1,1,1,1,1,5,5,1,1,1,5,1,1,1,1,1
51070092,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
51070093,1,2,1,2,2,1,1,5,5,1,1,5,1,1,1,1,1,1,1
51070094,10,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070095,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070097,1,1,1,1,1,1,1,5,5,1,1,1,1,3,1,1,1,1,1
51070098,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070099,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1
51070100,7,2,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,10
51070101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070102,10,1,1,1,1,1,1,2,1,10,1,1,1,1,1,1,2,1,1
51070103,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070104,1,1,1,1,1,1,1,7,6,1,1,8,1,1,1,2,1,1,9
51070105,1,1,1,1,1,1,1,5,1,1,1,10,1,1,1,1,1,1,4
51070106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
51070107,1,4,1,1,1,1,1,1,5,1,1,-1,5,5,1,1,1,1,1
51070108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070109,10,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1
51070110,1,10,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1
51070111,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
51070112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070113,1,1,1,8,1,1,1,6,8,1,1,1,1,1,1,1,4,1,1
51070114,1,1,1,1,1,1,5,1,5,4,1,1,1,4,1,1,5,1,1
51070115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070116,1,1,1,1,1,-1,1,1,6,6,1,1,1,1,1,1,6,1,5
51070117,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1
51070118,1,1,1,1,1,1,1,5,6,1,10,1,1,6,1,1,1,1,1
51070119,1,1,1,5,1,1,1,5,5,1,1,10,1,1,1,1,1,1,5
51070120,1,1,1,1,1,1,5,1,5,10,1,1,1,2,1,1,1,1,10
51070121,1,1,1,10,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1
51070122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070124,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1
51070125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070126,1,1,1,1,1,1,1,5,1,1,1,1,1,8,1,1,1,1,1
51070127,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1
51070128,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070129,1,1,1,1,1,1,1,5,7,8,1,1,1,1,1,1,1,1,1
51070130,1,1,1,1,1,1,1,5,5,5,2,5,1,2,1,1,1,1,5
51070131,1,1,1,1,1,1,1,1,10,5,1,1,10,3,1,-1,3,1,1
51070132,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1
51070133,1,1,1,1,1,1,1,1,7,5,1,1,2,1,1,5,8,1,1
51070134,2,5,1,1,1,1,1,5,5,5,1,5,1,2,1,1,1,1,1
51070135,1,1,1,4,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1
51070136,1,4,1,4,1,1,1,1,1,1,1,10,1,1,1,1,1,1,10
51070137,1,1,1,1,1,1,1,-1,5,1,1,1,1,1,1,1,1,1,1
51070138,1,1,1,1,1,1,1,1,3,1,1,3,1,2,1,1,1,1,1
51070139,6,5,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1
51070140,1,1,1,10,5,1,1,5,10,6,1,1,1,1,7,1,5,1,8
51070141,-1,1,1,10,10,1,10,1,10,10,1,10,1,1,1,1,10,1,10
51070142,10,6,1,10,10,10,3,6,8,10,1,5,1,1,1,1,10,1,1
51070143,1,1,1,1,1,1,2,1,5,7,1,5,1,4,1,1,1,4,8
51070144,5,1,1,1,1,1,1,1,10,10,10,10,1,1,1,1,1,1,8
51070145,1,1,1,1,1,3,3,1,10,6,1,9,1,1,1,1,2,1,5
51070146,1,1,1,1,1,1,1,3,5,6,1,7,1,1,1,1,10,1,1
51070147,1,1,1,2,1,1,1,3,3,1,4,4,1,2,1,1,1,1,6
51070148,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
51070149,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2
51070150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
51070153,5,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
51070154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51070155,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
51070156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
