D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
170070052,6.0,4.0,5.0,5.0,6.0,6.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
170070053,1.0,2.0,1.0,3.0,10.0,4.0,7.0,2.0,7.0,8.0,10.0,5.0,1.0,4.0,3.0,3.0,5.0,2.0,8.0
170070054,5.0,1.0,7.0,2.0,1.0,8.0,6.0,2.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0
170070057,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,1.0
170070069,1.0,10.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0
170070075,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070076,1.0,10.0,1.0,1.0,1.0,5.0,1.0,1.0,8.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
170070080,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
170070085,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0
170070087,1.0,6.0,1.0,1.0,1.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0
170070093,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0
170070104,1.0,1.0,1.0,1.0,1.0,8.0,1.0,6.0,8.0,7.0,1.0,9.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0
