D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
276070001,3,1,1,1,1,10,10,8,10,10,10,8,1,1,1,1,7,1,5
276070002,2,3,1,1,1,10,2,2,5,9,2,2,1,7,2,1,2,2,2
276070003,1,1,1,1,1,8,8,3,10,10,5,10,1,1,1,1,1,1,1
276070004,1,1,1,2,1,10,7,10,10,10,7,9,1,1,1,1,6,1,1
276070005,1,1,1,1,1,5,1,1,1,1,3,10,1,1,1,1,1,1,4
276070006,2,2,1,2,1,10,5,5,9,9,9,9,1,1,1,1,5,1,1
276070007,1,1,1,1,1,1,1,1,7,8,1,9,1,2,1,1,1,1,1
276070008,1,1,1,1,1,-2,1,1,5,9,1,3,1,1,1,1,1,1,2
276070009,10,4,1,1,5,9,5,8,8,8,2,7,1,1,1,1,7,1,3
276070010,1,1,1,1,1,10,1,6,10,10,2,9,1,1,1,1,5,1,7
276070011,1,1,1,1,1,10,8,9,10,10,8,10,1,1,1,1,5,1,6
276070012,1,5,1,1,1,10,4,6,10,10,1,10,1,1,1,1,10,1,1
276070013,1,2,1,1,1,5,1,1,5,7,5,1,1,1,1,1,5,1,3
276070014,1,2,1,1,1,9,8,7,10,10,-2,10,1,1,1,1,3,1,1
276070015,1,4,1,1,1,10,8,10,10,10,8,10,1,1,1,1,10,1,1
276070016,3,2,1,2,1,10,2,10,7,10,2,7,1,1,1,1,-1,1,1
276070017,3,5,3,2,1,10,10,10,10,10,10,10,1,2,1,1,2,1,2
276070018,1,5,1,1,2,10,7,7,10,10,10,7,2,2,3,1,8,1,1
276070019,1,1,1,1,1,7,5,5,6,10,2,7,1,1,1,1,1,1,2
276070020,1,2,1,1,1,9,2,5,8,9,2,8,1,1,1,1,2,2,1
276070021,1,2,1,2,1,10,4,-1,8,10,1,8,1,1,2,1,3,1,1
276070022,1,2,1,1,1,1,1,1,5,1,1,1,1,1,3,1,1,1,1
276070023,1,2,1,1,1,10,9,10,10,10,10,10,1,2,1,1,-1,1,1
276070024,1,3,1,1,1,4,7,7,8,10,3,7,1,7,2,1,3,1,8
276070025,1,3,1,1,1,10,1,9,9,10,9,9,1,1,1,1,-1,1,1
276070026,1,1,1,1,2,10,1,2,3,10,1,1,1,1,1,1,2,1,1
276070027,1,1,1,1,1,10,7,5,10,10,5,8,1,1,1,1,7,1,1
276070028,8,1,1,1,1,10,1,5,10,10,1,1,1,3,1,1,4,1,8
276070029,2,6,2,2,1,10,1,5,5,10,5,8,1,1,1,1,5,5,1
276070030,1,5,1,1,1,10,10,5,7,10,5,10,1,1,5,1,10,1,1
276070031,2,2,2,1,2,10,10,10,10,10,-1,10,1,1,1,1,10,1,1
276070032,1,3,1,1,3,8,8,10,10,10,1,8,1,6,1,1,7,1,4
276070033,1,1,1,1,1,6,6,6,6,6,6,8,1,1,1,1,3,1,1
276070034,7,5,1,1,1,10,5,5,10,10,5,8,1,1,1,1,5,1,1
276070035,3,1,1,2,2,10,7,10,10,10,5,9,1,1,1,1,7,1,1
276070036,1,1,1,1,1,1,1,1,1,5,5,10,1,1,1,1,1,1,1
276070037,1,1,1,1,1,10,10,10,10,10,3,10,1,2,1,1,10,1,1
276070038,1,1,1,1,1,9,7,7,7,9,2,7,1,1,1,1,1,1,1
276070039,4,4,1,1,1,5,5,-1,7,5,5,6,1,2,2,1,4,2,1
276070040,3,5,2,2,2,10,3,-1,10,10,-1,7,1,1,1,1,-1,1,1
276070041,1,1,1,1,1,6,5,6,6,10,1,10,1,1,1,1,1,1,3
276070042,1,2,1,2,2,7,3,3,8,9,7,7,1,1,1,1,1,1,3
276070043,1,3,3,1,1,10,7,10,10,10,10,10,1,1,1,1,5,1,1
276070044,1,1,1,1,1,10,6,6,10,10,10,10,1,1,1,1,10,1,1
276070045,1,1,1,1,1,3,1,1,5,5,1,1,1,2,1,1,2,1,1
276070046,1,1,1,1,1,1,1,2,2,5,1,1,1,1,1,1,1,1,10
276070047,1,1,1,1,1,2,5,5,9,10,2,5,1,3,1,1,2,1,1
276070048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
276070049,3,5,3,3,4,10,10,8,10,10,7,6,1,1,1,1,10,1,2
276070050,1,1,1,1,1,6,5,5,5,10,5,5,1,1,1,1,5,1,1
276070051,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1
276070052,1,1,1,1,1,10,5,10,10,10,5,10,1,1,1,1,3,1,1
276070053,1,1,1,1,1,10,5,5,5,10,1,5,1,1,1,1,3,1,1
276070054,1,1,1,1,1,10,10,5,7,10,6,10,1,1,1,1,1,1,3
276070055,1,1,1,1,1,10,3,4,5,10,10,10,1,1,1,1,5,1,5
276070056,1,1,1,1,1,10,4,5,5,10,3,10,1,1,1,1,1,1,5
276070057,1,2,1,4,5,10,10,5,5,10,1,10,1,1,1,1,5,1,10
276070058,4,4,2,2,3,9,4,6,8,10,5,7,1,1,2,1,4,2,2
276070059,1,1,1,1,1,10,3,5,5,9,2,7,1,1,1,1,2,1,1
276070060,2,1,1,2,1,6,8,10,10,10,8,8,1,2,1,1,5,1,10
276070061,1,3,1,2,1,10,3,8,10,10,3,10,1,1,1,1,2,1,1
276070062,4,2,2,1,1,10,3,10,10,10,8,10,1,1,1,1,10,1,1
276070063,3,7,1,4,2,10,8,9,10,10,6,5,1,1,1,2,7,4,1
276070064,1,1,1,1,1,10,7,5,10,10,1,8,1,1,1,1,6,1,1
276070065,1,1,1,1,1,10,10,10,10,10,10,10,1,1,1,2,10,1,1
276070066,5,7,6,1,2,10,6,6,8,10,3,8,1,1,3,2,4,3,1
276070067,7,1,1,1,1,1,1,1,4,6,9,2,2,2,3,3,4,2,7
276070068,1,1,1,1,1,10,10,10,10,10,10,10,1,1,1,1,10,1,6
276070069,3,7,1,1,2,10,1,5,9,9,3,5,1,1,1,1,3,2,1
276070070,2,3,1,2,2,10,6,7,9,10,3,5,1,1,2,1,8,2,1
276070071,1,1,1,1,1,10,8,8,10,10,5,10,1,3,1,1,1,1,1
276070072,1,1,1,1,1,5,5,8,10,10,10,10,1,3,1,1,5,1,1
276070073,1,4,1,7,1,10,10,10,10,10,7,7,2,2,2,2,8,2,1
276070074,3,4,1,1,1,10,6,10,10,10,10,7,1,1,1,1,10,1,1
276070075,1,4,1,1,1,10,6,9,10,10,7,9,1,1,1,1,6,1,1
276070076,1,1,1,1,1,8,1,1,5,10,1,10,1,1,1,1,1,1,5
276070077,1,1,1,1,1,5,5,5,7,8,2,8,1,1,1,1,3,1,6
276070078,1,1,1,10,8,1,1,1,1,10,1,10,1,3,1,1,1,5,10
276070079,1,1,1,1,1,3,1,1,7,10,1,1,1,1,1,1,1,1,3
276070080,1,3,1,1,1,10,1,4,7,10,1,4,1,1,1,1,1,1,1
276070081,1,3,1,3,2,10,5,5,5,10,8,10,1,1,5,1,10,1,8
276070082,3,1,1,1,1,9,6,2,8,9,2,9,1,1,1,1,5,1,9
276070083,1,1,1,1,1,10,1,1,5,10,5,10,1,1,1,1,5,1,1
276070084,1,1,1,1,2,5,5,7,7,7,2,5,1,3,1,1,2,1,5
276070085,1,1,1,1,1,10,5,5,5,5,1,10,1,1,1,1,5,1,1
276070086,1,1,1,1,1,10,3,8,8,10,8,9,1,1,1,1,2,1,1
276070087,2,2,1,2,2,9,2,5,5,5,2,4,2,2,2,1,1,1,1
276070088,1,7,1,1,1,10,10,10,5,10,10,10,1,2,1,1,8,1,5
276070089,2,2,2,2,2,5,4,5,9,10,1,6,3,2,3,1,6,2,3
276070090,1,1,1,1,1,10,7,1,10,10,5,7,1,1,1,1,3,1,8
276070091,5,7,4,2,1,10,7,7,7,10,4,9,1,1,1,1,6,3,1
276070092,1,1,1,1,1,1,1,3,10,10,3,10,1,1,1,1,1,1,1
276070093,1,1,1,1,1,10,1,5,7,7,5,5,1,1,1,1,6,1,5
276070094,1,1,1,1,5,5,7,5,10,10,6,6,7,6,6,1,10,1,1
276070095,1,1,1,1,1,8,1,5,1,1,10,5,10,7,10,10,5,10,10
276070096,1,2,1,2,1,5,5,5,5,5,5,6,1,1,1,1,1,1,1
276070097,2,5,2,5,5,2,4,2,4,4,2,6,3,5,3,2,2,2,5
276070098,1,1,1,1,1,8,5,-2,-2,-2,5,9,1,1,1,1,1,1,1
276070099,1,4,1,1,1,10,7,5,10,10,4,9,1,4,1,1,8,1,1
276070100,1,1,1,1,1,10,7,6,5,10,3,10,1,1,1,1,1,1,2
276070101,2,2,1,1,1,8,5,5,10,10,5,8,1,1,1,1,5,1,3
276070102,1,1,1,1,1,4,2,4,3,1,2,3,1,1,1,1,3,1,1
276070103,2,1,1,1,1,3,1,1,2,1,2,8,1,1,1,1,1,1,1
276070104,1,1,1,1,1,6,3,6,9,9,-1,5,1,1,1,1,4,4,5
276070105,1,1,1,1,1,10,2,4,10,10,10,10,1,1,1,1,8,1,3
276070106,5,1,1,1,2,10,2,8,8,10,1,5,1,3,1,1,4,1,4
276070107,1,1,1,1,1,10,6,1,10,10,6,7,1,1,1,1,6,1,1
276070108,-1,1,1,1,1,-1,5,-1,1,1,1,1,1,1,1,1,1,1,1
276070109,1,5,1,1,1,10,10,10,10,10,5,10,1,1,1,1,7,1,1
276070110,1,1,1,1,1,1,1,1,5,9,1,10,1,1,1,1,1,1,4
276070111,3,3,1,1,1,10,3,5,5,10,2,9,1,2,2,3,9,3,3
276070112,4,6,2,1,3,10,3,3,8,10,2,5,1,1,1,5,3,3,1
276070113,1,1,1,1,1,10,10,5,10,10,10,8,1,1,1,1,10,1,4
276070114,1,1,1,1,1,5,5,5,5,10,5,5,1,2,2,1,5,1,5
276070115,2,2,2,2,1,10,10,5,5,10,2,10,1,2,3,1,5,2,2
276070116,1,1,1,1,10,10,5,5,5,10,3,10,1,1,1,1,5,1,7
276070117,1,2,1,1,1,8,5,5,7,10,4,8,1,1,1,1,6,1,1
276070118,1,1,1,1,1,5,5,5,8,8,1,8,1,1,1,1,1,1,1
276070119,9,1,1,1,1,10,1,1,3,1,1,1,1,1,1,1,1,1,1
