D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
300070001,3,3,1,1,1,10,10,10,10,10,1,1,1,1,1,1,10,1,-1
300070002,1,1,1,1,1,3,3,6,7,10,1,1,1,1,1,1,5,1,1
300070003,-1,4,1,3,3,4,4,1,3,3,1,1,1,1,1,1,1,-1,3
300070004,2,2,1,1,1,7,7,10,10,10,3,3,1,1,1,1,8,2,1
300070005,1,1,1,1,1,10,8,10,10,10,5,4,1,1,1,1,10,1,1
300070006,4,1,1,3,1,1,1,3,5,3,1,1,1,1,1,1,5,4,3
300070007,5,1,5,1,8,6,8,10,10,2,-1,1,1,1,1,5,-1,5,4
300070008,1,3,1,1,1,4,4,1,3,3,1,1,1,1,1,1,3,-1,2
300070009,1,1,1,1,1,2,2,5,5,7,1,1,1,1,1,1,5,1,-1
300070010,1,1,1,1,1,1,1,5,5,8,1,1,1,1,1,1,1,1,-2
300070011,1,6,1,2,1,7,6,2,7,6,1,1,1,1,1,1,3,1,1
300070012,1,4,1,1,1,4,4,2,5,5,1,1,1,1,1,1,3,1,1
300070013,1,4,1,3,1,5,3,3,5,6,1,1,1,1,1,1,2,1,1
300070014,1,5,1,2,1,5,4,2,5,5,1,1,1,1,1,1,5,1,1
300070015,1,4,1,3,1,5,5,1,6,4,1,1,1,1,1,1,5,1,1
300070016,1,3,1,2,1,5,4,3,5,6,1,1,1,2,1,1,6,1,1
300070017,1,2,1,2,1,6,6,6,7,7,1,1,1,1,1,1,5,1,1
300070018,1,2,1,2,1,6,5,3,6,8,1,1,1,1,1,1,5,2,1
300070019,2,2,2,2,1,5,5,2,5,9,1,2,1,1,1,1,5,2,1
300070020,1,4,1,2,1,7,6,5,7,10,1,1,1,2,2,1,5,1,1
300070021,1,1,1,1,1,10,10,10,10,10,1,10,1,1,1,1,10,1,1
300070022,2,2,1,1,1,6,3,9,9,9,7,5,2,3,3,1,5,5,-2
300070023,1,1,1,1,1,6,6,7,10,10,1,1,1,1,1,1,10,1,1
300070024,1,1,1,1,1,8,1,1,10,1,1,1,1,1,1,1,1,1,1
300070025,2,6,1,1,1,9,1,1,10,10,6,1,1,1,1,1,6,1,6
300070026,1,6,1,1,6,1,1,5,8,10,1,1,1,1,1,1,10,1,1
300070027,1,1,1,1,1,-1,1,7,10,10,1,9,1,1,1,1,10,1,1
300070028,1,1,1,1,1,5,7,7,8,10,1,1,1,1,1,1,10,1,1
300070029,1,1,1,1,1,7,7,7,8,8,1,10,1,1,1,1,-1,1,1
300070030,8,7,5,1,1,10,5,7,9,10,8,7,1,1,1,1,10,1,1
300070031,1,7,2,3,2,10,10,10,10,10,1,5,1,1,1,1,1,1,5
300070032,1,6,1,1,1,4,3,7,8,9,1,5,1,1,1,1,7,1,2
300070033,1,4,1,1,1,1,3,1,1,2,1,2,3,2,2,2,3,2,8
300070034,3,6,1,3,1,1,1,5,8,10,1,5,1,1,1,1,4,1,3
300070035,4,10,1,5,2,4,3,7,8,8,2,6,1,1,1,1,8,2,8
300070036,1,8,1,2,3,4,7,9,6,8,1,5,1,1,1,2,6,2,6
300070037,2,8,1,3,1,5,7,10,10,9,2,6,1,1,1,1,8,3,5
300070038,1,6,1,3,2,1,1,5,7,8,1,4,2,2,2,1,6,2,3
300070039,3,7,1,2,2,1,1,5,6,9,1,5,1,2,1,1,6,2,3
300070040,1,1,1,1,1,1,1,4,5,5,1,3,1,1,1,1,5,1,2
300070041,1,5,10,3,3,1,7,7,7,7,7,7,3,3,5,5,3,3,3
300070042,1,7,1,1,1,-1,-1,7,10,10,8,10,1,1,1,1,10,10,2
300070043,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
300070044,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
300070045,1,1,1,1,1,-1,8,1,1,9,1,1,1,1,1,1,1,1,10
300070046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1
300070047,1,1,1,1,1,9,-1,-1,8,8,4,-1,1,1,1,1,5,5,1
