D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
300070001,3.0,3.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,-1.0
300070002,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,7.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
300070003,-1.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,3.0
300070004,2.0,2.0,1.0,1.0,1.0,7.0,7.0,10.0,10.0,10.0,3.0,3.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0
300070005,1.0,1.0,1.0,1.0,1.0,10.0,8.0,10.0,10.0,10.0,5.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0
300070006,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0
300070007,5.0,1.0,5.0,1.0,8.0,6.0,8.0,10.0,10.0,2.0,-1.0,1.0,1.0,1.0,1.0,5.0,-1.0,5.0,4.0
300070008,1.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0,2.0
300070009,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,-1.0
300070010,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0
300070011,1.0,6.0,1.0,2.0,1.0,7.0,6.0,2.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
300070012,1.0,4.0,1.0,1.0,1.0,4.0,4.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
300070013,1.0,4.0,1.0,3.0,1.0,5.0,3.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
300070014,1.0,5.0,1.0,2.0,1.0,5.0,4.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
300070015,1.0,4.0,1.0,3.0,1.0,5.0,5.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
300070016,1.0,3.0,1.0,2.0,1.0,5.0,4.0,3.0,5.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0
300070017,1.0,2.0,1.0,2.0,1.0,6.0,6.0,6.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
