D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
392070001,1,2,1,2,1,10,2,2,5,5,1,1,1,1,1,1,1,1,5
392070002,8,1,1,1,1,8,1,9,10,8,1,9,1,1,1,1,1,1,10
392070003,4,1,1,1,1,5,1,6,6,5,1,5,1,1,1,1,1,1,7
392070004,5,1,1,1,1,1,1,1,10,10,10,10,1,1,1,1,5,1,10
392070005,5,1,1,1,1,3,1,7,7,7,1,6,1,1,1,1,1,1,9
392070006,1,1,1,1,1,3,1,6,10,10,1,10,1,1,1,1,5,1,5
392070007,2,1,1,1,2,-1,1,-1,-1,-1,2,8,10,10,10,10,10,5,-1
392070008,1,1,1,1,1,-1,1,-1,-1,-1,1,7,1,1,1,1,1,1,-1
392070009,1,3,3,3,3,1,1,3,2,2,1,1,1,1,1,1,1,1,8
392070010,1,2,1,1,2,6,1,10,10,8,2,7,1,1,1,1,2,1,1
392070011,1,1,1,1,1,10,1,3,5,10,2,3,1,1,1,1,1,1,8
392070012,1,1,1,1,1,6,2,3,5,3,1,3,1,1,1,1,1,1,5
392070013,5,1,1,1,1,7,5,5,5,5,1,5,1,1,1,1,5,5,5
392070014,1,1,1,1,1,10,1,6,10,8,8,8,1,1,1,1,5,1,6
392070015,7,2,1,2,1,8,8,8,8,8,4,8,2,2,4,1,7,4,7
392070016,1,1,1,1,1,1,1,1,10,-1,1,1,1,1,1,1,1,1,1
392070017,1,1,1,1,1,1,1,5,5,5,1,10,1,1,1,1,1,1,8
392070018,1,1,1,1,1,5,1,3,3,3,1,3,1,1,1,1,1,1,7
392070019,2,1,1,1,1,10,2,5,5,8,1,8,1,1,1,1,3,1,9
392070020,2,1,1,1,1,10,1,7,10,10,1,5,1,1,1,1,1,1,7
392070021,8,10,10,10,10,-1,10,5,6,-1,10,5,10,10,10,10,10,10,8
392070022,1,1,1,1,1,5,1,5,5,5,1,1,1,1,1,1,1,1,10
