D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
392070001,1.0,2.0,1.0,2.0,1.0,10.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
392070002,8.0,1.0,1.0,1.0,1.0,8.0,1.0,9.0,10.0,8.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
392070003,4.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,6.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
392070004,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,5.0,1.0,10.0
392070005,5.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,7.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
392070006,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,10.0,10.0,1.0,10.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0
392070007,2.0,1.0,1.0,1.0,2.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,8.0,10.0,10.0,10.0,10.0,10.0,5.0,-1.0
392070008,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
392070009,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
392070010,1.0,2.0,1.0,1.0,2.0,6.0,1.0,10.0,10.0,8.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
392070011,1.0,1.0,1.0,1.0,1.0,10.0,1.0,3.0,5.0,10.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
392070012,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
392070013,5.0,1.0,1.0,1.0,1.0,7.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0
392070014,1.0,1.0,1.0,1.0,1.0,10.0,1.0,6.0,10.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0
392070015,7.0,2.0,1.0,2.0,1.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,2.0,2.0,4.0,1.0,7.0,4.0,7.0
392070016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
392070017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
392070018,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
392070019,2.0,1.0,1.0,1.0,1.0,10.0,2.0,5.0,5.0,8.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0
392070020,2.0,1.0,1.0,1.0,1.0,10.0,1.0,7.0,10.0,10.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
392070021,8.0,10.0,10.0,10.0,10.0,-1.0,10.0,5.0,6.0,-1.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0
392070022,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
392070023,1.0,1.0,1.0,1.0,1.0,9.0,3.0,7.0,9.0,9.0,1.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,8.0
392070024,1.0,1.0,1.0,1.0,1.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0
