D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
458070001,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
458070002,6,7,5,5,7,5,5,6,7,6,5,7,6,5,7,6,7,6,6
458070003,9,8,8,9,8,8,8,8,10,8,8,7,8,7,8,8,8,9,8
458070004,4,8,5,6,7,5,4,7,8,8,5,5,4,6,8,4,5,6,7
458070005,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2
458070006,5,5,6,5,4,1,1,1,3,1,1,3,1,4,3,1,1,1,1
458070007,3,4,3,4,2,3,3,3,3,4,4,4,2,3,3,2,4,4,4
458070008,8,7,8,8,7,6,3,4,4,4,5,5,3,4,5,4,3,4,3
458070009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
458070010,5,6,5,4,6,4,6,6,6,6,4,5,5,4,5,6,5,5,5
458070011,7,8,7,8,8,7,7,8,7,7,7,7,8,7,7,7,7,7,7
458070012,4,10,6,6,10,4,4,4,1,4,3,7,7,4,9,10,5,1,10
458070013,5,5,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
458070014,7,3,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,5
458070015,3,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4
458070016,5,5,4,4,5,3,3,3,4,4,5,5,5,5,4,5,4,5,4
458070017,6,6,5,5,6,6,6,6,5,5,6,6,5,5,5,5,6,5,5
458070018,4,1,1,1,1,5,5,5,1,1,5,5,1,1,1,5,1,5,1
458070019,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
458070020,6,8,3,4,4,3,2,2,8,3,2,3,4,6,3,3,3,3,3
458070021,7,5,5,5,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1
458070022,1,1,1,1,1,1,1,1,5,1,1,1,1,6,1,1,1,1,7
458070023,2,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,5
458070024,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,10
