D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
458070001,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
458070002,6.0,7.0,5.0,5.0,7.0,5.0,5.0,6.0,7.0,6.0,5.0,7.0,6.0,5.0,7.0,6.0,7.0,6.0,6.0
458070003,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0
458070004,4.0,8.0,5.0,6.0,7.0,5.0,4.0,7.0,8.0,8.0,5.0,5.0,4.0,6.0,8.0,4.0,5.0,6.0,7.0
458070005,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0
458070006,5.0,5.0,6.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0
458070007,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0
458070008,8.0,7.0,8.0,8.0,7.0,6.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0
458070009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
458070010,5.0,6.0,5.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0
458070011,7.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
458070012,4.0,10.0,6.0,6.0,10.0,4.0,4.0,4.0,1.0,4.0,3.0,7.0,7.0,4.0,9.0,10.0,5.0,1.0,10.0
458070013,5.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
458070014,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0
458070015,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
458070016,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0
458070017,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0
458070018,4.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0
458070019,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
