D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
484070001,10,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2
484070002,7,1,1,8,2,10,10,3,10,8,9,10,1,8,3,4,5,2,4
484070003,4,1,1,1,1,-1,-1,1,7,-1,1,1,1,1,1,1,1,-1,1
484070004,10,5,1,5,1,1,9,10,10,5,1,10,1,1,1,1,1,1,5
484070005,8,1,1,1,1,10,6,7,6,9,1,1,1,1,1,1,1,1,10
484070006,10,2,3,4,4,6,1,1,1,1,1,1,1,1,1,2,1,1,4
484070007,5,6,8,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,6
484070008,4,1,1,10,1,10,1,1,1,2,2,6,1,1,1,1,7,1,9
484070009,1,4,1,1,1,1,1,1,1,1,1,3,1,7,1,1,1,1,1
484070010,1,1,1,1,1,5,3,1,6,6,1,1,1,2,1,1,1,8,8
484070011,8,10,7,9,8,7,10,8,10,10,10,8,10,10,10,8,8,9,10
484070012,2,2,1,5,10,2,2,2,2,1,1,1,2,1,1,1,1,1,1
484070013,1,2,1,1,6,10,8,1,10,10,1,5,1,10,1,1,2,1,1
484070014,5,1,1,1,1,5,5,1,5,3,1,1,1,5,5,3,3,2,1
484070015,10,1,1,2,2,1,1,1,1,3,1,1,1,5,1,1,1,1,1
484070016,2,2,4,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1
484070017,10,8,8,2,2,7,10,1,1,1,10,1,8,9,5,1,1,1,9
484070018,7,7,5,5,5,10,10,5,5,5,5,5,5,5,5,5,5,5,5
484070019,5,1,1,9,2,10,1,1,1,1,10,10,10,10,2,10,10,10,1
484070020,5,2,1,1,2,6,3,3,7,7,2,7,1,7,6,4,6,4,2
484070021,1,1,1,1,1,1,10,10,10,10,1,1,1,1,1,1,10,1,1
484070022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070023,7,4,3,8,3,5,6,1,5,1,1,4,3,4,5,1,4,1,4
484070024,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
484070025,7,8,5,5,6,1,5,5,5,5,1,10,1,1,1,5,1,5,5
484070026,10,1,1,5,1,5,5,1,5,1,1,1,1,1,1,1,5,1,1
484070027,2,1,1,1,1,1,7,1,1,1,5,1,10,1,1,1,1,1,5
484070028,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1
484070029,10,10,1,10,1,5,5,1,5,10,1,5,1,1,1,1,10,1,10
484070030,6,2,1,1,1,10,2,2,10,7,1,2,1,1,1,1,7,8,3
484070031,3,1,1,1,1,6,7,2,7,8,4,9,2,2,5,1,6,6,5
484070032,9,9,4,5,4,5,6,7,6,8,5,5,2,3,2,1,4,1,4
484070033,-1,-1,1,-1,-1,5,1,1,5,-1,1,-1,1,-1,-1,-1,-1,-1,-1
484070034,-1,-1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,-1
484070035,9,6,6,5,5,9,5,6,9,8,9,4,7,9,9,8,9,9,6
484070036,7,4,2,2,3,3,1,1,1,1,1,1,1,1,1,3,2,2,1
484070037,10,8,1,8,10,1,10,10,10,8,9,5,9,9,10,5,10,6,10
484070038,10,9,1,1,1,10,1,9,9,10,1,10,1,1,1,1,1,1,10
484070039,10,5,5,8,7,-1,-1,-1,7,3,5,-1,10,9,5,-1,-1,-1,-1
484070040,10,10,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1
484070041,3,3,1,1,5,3,6,10,10,8,1,8,1,1,1,1,2,2,5
484070042,10,9,1,1,1,5,5,6,10,5,1,10,1,1,1,1,1,1,6
484070043,1,7,9,1,1,7,1,1,8,8,1,1,1,1,1,1,1,1,1
484070044,5,3,1,1,1,5,5,9,9,10,5,5,1,1,1,1,1,1,1
484070045,10,1,1,1,1,1,1,1,10,2,1,8,1,6,1,10,1,5,8
484070046,10,5,5,1,1,5,1,5,10,10,1,5,5,1,1,1,1,5,8
484070047,8,6,5,6,6,5,5,4,3,3,4,1,1,9,10,10,9,10,10
484070048,10,10,10,8,8,10,7,7,5,7,7,7,1,1,1,1,1,1,10
484070049,1,1,1,10,5,1,1,1,10,10,1,3,6,4,1,10,10,5,10
484070050,1,1,1,1,1,7,6,1,10,7,1,7,1,1,1,1,7,1,1
484070051,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070052,5,1,1,1,1,1,1,1,10,10,1,1,1,10,5,1,1,1,1
484070053,1,1,1,1,4,5,5,5,5,2,2,8,2,4,5,1,1,1,3
484070054,1,1,1,1,1,1,6,1,7,10,5,7,1,1,1,1,10,1,1
484070055,10,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1
484070056,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1
484070057,5,10,1,2,-1,1,1,1,10,1,1,1,1,1,1,-1,-1,1,10
484070058,7,8,1,1,1,10,5,1,10,10,1,1,1,1,1,1,1,1,5
484070059,1,1,1,1,1,5,1,1,7,6,1,1,1,1,1,1,1,1,1
484070060,1,1,1,1,9,10,10,10,10,10,1,1,1,1,1,1,1,1,1
484070061,1,1,7,1,1,10,5,1,10,10,1,8,1,1,1,1,1,1,5
484070062,4,5,3,4,3,5,1,4,7,-1,1,7,1,3,-1,1,-1,1,-1
484070063,3,2,8,9,7,9,8,3,10,8,3,2,2,4,5,1,8,2,3
484070064,1,6,6,3,10,1,1,1,10,1,1,1,1,10,10,1,10,10,10
484070065,1,6,1,1,1,10,10,10,10,10,10,10,1,1,1,1,10,1,1
484070066,2,10,1,2,1,6,1,1,7,7,1,1,1,1,1,1,-1,1,5
484070067,5,9,2,3,1,7,6,10,8,7,3,5,8,9,6,2,7,8,6
484070068,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070069,3,2,1,3,1,9,9,1,10,10,3,7,2,3,5,1,10,1,1
484070070,1,1,1,1,5,1,5,10,5,5,1,1,3,1,1,5,1,1,1
484070071,7,7,2,2,2,2,1,3,9,4,1,2,3,8,3,2,2,3,9
484070072,1,1,1,10,1,-2,10,1,10,-2,1,10,1,1,1,1,-2,1,10
484070073,3,8,1,1,1,7,1,1,7,-1,1,6,1,3,1,1,-1,1,5
484070074,2,3,1,10,1,3,9,10,10,5,1,1,1,1,1,1,10,2,3
484070075,1,1,1,1,1,10,2,10,10,10,10,10,1,1,1,1,1,1,10
484070076,9,8,3,4,2,8,8,1,2,2,4,2,3,2,2,2,3,2,2
484070077,10,5,1,5,1,7,1,1,7,7,1,8,1,3,1,1,1,1,6
484070078,4,8,7,9,8,9,3,2,7,10,4,3,7,4,8,2,1,9,2
484070079,9,10,1,1,1,1,5,5,10,1,1,1,1,1,1,1,1,1,1
484070080,10,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070081,10,1,1,1,1,1,5,1,10,5,1,1,1,1,1,1,1,1,10
484070082,1,1,1,1,1,5,1,1,5,5,1,5,1,5,1,1,5,1,1
484070083,3,8,9,8,2,4,2,2,3,2,3,1,1,2,7,2,2,1,3
484070084,3,-1,1,1,1,7,1,4,10,1,1,5,1,1,2,1,5,1,3
484070085,3,3,3,8,9,2,2,2,2,2,2,2,2,2,2,2,2,2,3
484070086,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070087,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,5,1,1
484070088,4,8,1,1,1,-1,1,1,7,-1,1,6,1,1,1,1,-1,-1,-1
484070089,5,5,10,5,1,1,8,1,8,8,1,1,1,5,1,1,1,1,1
484070090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070091,8,9,7,10,7,8,9,2,2,10,8,2,1,1,1,2,3,2,2
484070092,1,5,1,1,1,6,4,1,5,5,5,5,1,2,1,1,5,1,5
484070093,1,1,1,1,3,5,10,8,10,10,5,1,1,1,1,5,5,5,1
484070094,10,1,3,1,1,10,4,2,2,5,10,10,1,1,1,1,3,7,6
484070095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070096,1,1,1,1,1,1,1,1,10,2,1,1,3,1,1,1,1,10,10
484070097,6,4,1,4,1,10,6,2,5,8,2,3,1,6,1,1,3,1,10
484070098,1,10,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,10
484070099,4,10,1,1,1,9,1,4,7,7,7,8,1,4,1,1,1,1,3
484070100,6,5,5,4,5,7,7,1,6,7,1,9,1,2,1,5,2,1,6
484070101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070102,5,1,9,1,5,5,6,1,10,10,5,10,1,10,1,9,10,1,10
484070103,1,3,1,1,1,5,1,3,3,3,1,1,1,1,1,1,-1,1,1
484070104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070105,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070106,5,10,1,1,1,1,2,1,10,1,1,10,1,1,1,1,1,1,10
484070107,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1
484070108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
484070109,3,5,7,1,1,7,4,3,9,9,1,5,1,5,1,1,6,1,1
484070110,10,1,1,1,1,9,1,1,8,9,2,2,1,1,1,1,1,1,1
484070111,1,10,1,1,1,5,5,1,5,5,1,1,1,1,1,1,5,1,10
484070112,6,1,1,3,5,6,8,1,1,4,1,7,1,1,1,1,5,1,3
484070113,1,10,1,1,1,10,1,10,10,10,1,10,1,10,1,10,10,1,10
484070114,3,7,1,1,1,1,1,1,1,5,1,9,1,5,1,1,1,1,1
484070115,1,10,1,1,1,10,1,9,10,10,1,9,1,7,1,4,9,1,10
