D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
484070001,10.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
484070002,7.0,1.0,1.0,8.0,2.0,10.0,10.0,3.0,10.0,8.0,9.0,10.0,1.0,8.0,3.0,4.0,5.0,2.0,4.0
484070003,4.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,7.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
484070004,10.0,5.0,1.0,5.0,1.0,1.0,9.0,10.0,10.0,5.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
484070005,8.0,1.0,1.0,1.0,1.0,10.0,6.0,7.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
484070006,10.0,2.0,3.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0
484070007,5.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,6.0
484070008,4.0,1.0,1.0,10.0,1.0,10.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,1.0,9.0
484070009,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0
484070010,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,6.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,8.0
484070011,8.0,10.0,7.0,9.0,8.0,7.0,10.0,8.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0
484070012,2.0,2.0,1.0,5.0,10.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
484070013,1.0,2.0,1.0,1.0,6.0,10.0,8.0,1.0,10.0,10.0,1.0,5.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0
484070014,5.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,2.0,1.0
484070015,10.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
484070016,2.0,2.0,4.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070017,10.0,8.0,8.0,2.0,2.0,7.0,10.0,1.0,1.0,1.0,10.0,1.0,8.0,9.0,5.0,1.0,1.0,1.0,9.0
484070018,7.0,7.0,5.0,5.0,5.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
484070019,5.0,1.0,1.0,9.0,2.0,10.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,2.0,10.0,10.0,10.0,1.0
484070020,5.0,2.0,1.0,1.0,2.0,6.0,3.0,3.0,7.0,7.0,2.0,7.0,1.0,7.0,6.0,4.0,6.0,4.0,2.0
484070021,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0
484070022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070023,7.0,4.0,3.0,8.0,3.0,5.0,6.0,1.0,5.0,1.0,1.0,4.0,3.0,4.0,5.0,1.0,4.0,1.0,4.0
484070024,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
484070025,7.0,8.0,5.0,5.0,6.0,1.0,5.0,5.0,5.0,5.0,1.0,10.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0
484070026,10.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
484070027,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,5.0
484070028,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070029,10.0,10.0,1.0,10.0,1.0,5.0,5.0,1.0,5.0,10.0,1.0,5.0,1.0,1.0,1.0,1.0,10.0,1.0,10.0
484070030,6.0,2.0,1.0,1.0,1.0,10.0,2.0,2.0,10.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,3.0
484070031,3.0,1.0,1.0,1.0,1.0,6.0,7.0,2.0,7.0,8.0,4.0,9.0,2.0,2.0,5.0,1.0,6.0,6.0,5.0
484070032,9.0,9.0,4.0,5.0,4.0,5.0,6.0,7.0,6.0,8.0,5.0,5.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0
484070033,-1.0,-1.0,1.0,-1.0,-1.0,5.0,1.0,1.0,5.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
484070034,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,-1.0
484070035,9.0,6.0,6.0,5.0,5.0,9.0,5.0,6.0,9.0,8.0,9.0,4.0,7.0,9.0,9.0,8.0,9.0,9.0,6.0
484070036,7.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0
484070037,10.0,8.0,1.0,8.0,10.0,1.0,10.0,10.0,10.0,8.0,9.0,5.0,9.0,9.0,10.0,5.0,10.0,6.0,10.0
484070038,10.0,9.0,1.0,1.0,1.0,10.0,1.0,9.0,9.0,10.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
484070039,10.0,5.0,5.0,8.0,7.0,-1.0,-1.0,-1.0,7.0,3.0,5.0,-1.0,10.0,9.0,5.0,-1.0,-1.0,-1.0,-1.0
