D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
528070001,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070002,1,1,1,1,1,10,5,10,10,10,5,10,1,1,1,1,10,1,1
528070003,2,2,1,2,2,8,8,6,9,9,2,2,1,1,1,1,9,2,6
528070004,1,1,1,1,1,10,5,7,10,10,5,10,1,1,1,1,10,1,1
528070005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1
528070006,1,1,1,4,1,10,7,10,9,9,1,8,1,2,2,1,9,1,3
528070007,2,2,2,2,1,10,7,9,10,10,9,9,1,2,2,1,10,3,2
528070008,1,1,1,1,1,-2,-2,-2,-2,10,-2,10,1,1,1,1,-2,1,1
528070009,1,1,1,1,1,10,10,8,10,10,8,9,1,1,1,1,8,1,1
528070010,1,1,1,1,1,10,5,5,5,7,5,5,1,1,1,1,5,2,1
528070011,1,1,1,1,1,10,9,9,9,9,1,9,1,1,1,1,10,1,1
528070012,1,3,1,2,1,10,5,10,10,10,2,9,1,1,2,1,10,1,2
528070013,1,4,1,1,1,10,6,8,8,9,3,10,1,1,1,1,10,2,7
528070014,1,1,1,1,1,10,-1,8,8,10,7,10,1,1,1,1,8,1,1
528070015,1,1,1,1,1,10,1,10,10,10,1,10,1,1,1,1,10,1,1
528070016,1,1,1,1,1,10,3,3,3,8,3,5,1,1,1,1,2,1,5
528070017,1,1,1,1,1,10,4,5,5,8,5,7,1,1,1,1,10,1,5
528070018,1,1,1,1,4,10,3,10,10,10,6,9,1,1,1,1,9,1,9
528070019,1,1,1,1,1,10,8,8,8,10,8,10,1,1,1,1,8,1,8
528070020,1,1,1,1,1,6,6,6,6,10,1,4,1,1,1,1,4,1,1
528070021,1,7,1,1,5,10,6,6,6,8,1,7,1,1,1,1,7,1,1
528070022,2,2,2,4,2,9,9,6,8,9,7,8,2,2,2,2,7,2,2
528070023,1,1,1,1,1,10,5,10,10,10,-1,10,1,1,1,1,6,1,10
528070024,1,1,1,1,1,10,-1,-1,10,9,9,10,1,1,1,1,-1,1,2
528070025,1,1,1,1,1,10,6,10,10,10,6,10,1,1,1,1,10,1,1
528070026,2,2,2,2,2,9,6,8,9,9,3,9,5,4,3,1,9,4,5
528070027,1,1,1,1,1,10,10,10,10,10,10,10,1,5,5,1,10,1,1
528070028,1,1,1,1,1,10,5,5,5,10,5,5,1,2,1,1,5,1,2
528070029,1,1,1,1,1,10,5,10,5,10,7,10,1,1,1,1,10,1,5
528070030,1,1,1,1,1,10,5,5,10,10,5,8,1,1,1,1,10,1,2
528070031,1,1,1,1,1,10,5,5,5,10,5,5,1,1,1,1,10,1,5
528070032,2,10,1,1,8,10,-1,10,10,10,-1,-1,1,1,1,1,10,1,1
528070033,1,1,1,1,1,10,5,10,10,10,1,8,1,1,1,1,7,1,1
528070034,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070035,1,1,1,4,1,10,10,10,10,10,1,10,1,1,1,1,10,1,10
528070036,1,2,1,5,1,10,10,10,10,10,10,10,1,1,1,1,10,1,1
528070037,1,1,1,1,1,7,6,9,9,9,5,9,1,3,1,1,5,1,5
528070038,1,1,1,1,1,10,10,10,10,10,10,10,1,1,1,1,8,1,1
528070039,1,2,1,2,1,9,5,8,9,9,5,9,1,2,1,1,7,1,1
528070040,1,1,1,1,1,10,10,10,10,10,10,10,1,1,1,1,10,1,10
528070041,1,1,1,1,1,10,10,10,10,10,5,10,1,1,1,1,5,5,5
528070042,2,4,1,1,1,10,8,8,9,10,9,10,1,3,1,1,7,1,2
528070043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070044,1,1,1,1,1,6,1,3,5,4,4,4,1,1,1,1,3,1,3
528070045,3,3,3,3,3,10,5,5,6,7,6,7,2,2,-5,2,7,3,7
528070046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,1,1,1,-1,10,-1,1
528070047,1,1,1,2,2,6,6,3,5,10,2,3,2,1,3,2,6,2,9
