D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
604070001,5,5,6,6,5,1,5,10,5,5,1,10,1,1,4,1,5,1,10
604070002,1,4,2,3,2,3,1,1,2,2,1,1,3,4,3,3,2,4,3
604070003,1,5,1,1,1,10,5,5,10,10,1,5,1,1,1,1,1,1,5
604070004,1,1,1,1,1,5,1,5,10,10,1,10,1,1,1,1,5,1,5
604070005,1,1,1,1,1,8,1,5,10,10,1,1,1,1,1,1,8,1,1
604070006,5,1,1,4,1,3,5,5,5,5,1,8,1,3,1,1,2,10,8
604070007,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
604070008,1,7,10,6,5,8,7,4,4,4,1,10,1,1,1,1,6,1,8
604070009,1,2,1,1,1,1,10,1,5,7,1,1,1,1,7,1,1,1,10
604070010,10,10,1,1,1,2,3,1,2,2,2,7,1,1,1,1,1,1,6
604070011,3,1,1,1,1,3,1,1,5,3,1,1,1,1,1,1,1,1,6
604070012,2,2,1,1,1,1,1,1,7,5,1,1,1,1,1,1,3,1,5
604070013,2,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,-1
604070014,1,1,1,1,1,5,1,5,7,5,1,1,1,1,1,1,6,1,6
604070015,3,2,1,1,1,2,1,1,5,5,1,2,1,1,1,1,6,1,1
604070016,2,1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4
604070017,5,1,1,1,1,2,1,1,7,7,1,2,2,1,1,1,5,1,5
604070018,2,1,1,1,1,1,1,1,7,5,1,1,1,1,1,1,2,1,3
604070019,2,1,1,1,1,7,3,2,5,8,1,1,1,1,3,1,7,1,4
604070020,1,1,1,1,1,7,5,2,7,8,1,3,1,1,1,1,10,1,4
604070021,1,1,2,1,2,3,2,2,2,2,1,9,2,1,1,2,6,3,10
604070022,9,1,1,2,1,6,5,1,10,7,1,10,1,1,1,1,4,1,10
604070023,8,4,2,3,1,7,4,1,9,5,1,10,1,1,1,1,3,1,10
604070024,1,1,1,1,1,3,3,1,1,1,1,-1,1,1,1,1,5,1,10
604070025,2,1,1,1,1,2,3,1,7,6,1,9,1,1,1,1,5,1,1
604070026,3,2,1,1,1,7,7,8,10,9,6,9,1,1,1,1,8,1,7
604070027,3,1,1,1,1,1,3,1,4,5,1,2,1,1,1,1,4,1,1
604070028,1,2,1,1,1,5,7,2,10,6,2,8,1,1,1,1,2,1,1
604070029,1,1,1,1,1,4,7,5,6,9,2,5,1,1,1,1,7,1,1
604070030,3,3,1,1,5,4,6,6,10,9,3,7,1,1,1,1,9,1,8
604070031,6,2,1,1,1,6,5,7,9,7,4,8,1,1,1,1,1,1,6
604070032,2,1,1,1,1,1,3,1,8,5,1,1,1,1,1,1,4,1,4
604070033,5,2,1,1,2,2,7,6,9,9,2,8,2,1,1,1,8,1,8
604070034,4,2,1,1,1,5,2,2,8,6,1,6,1,1,1,1,4,1,4
604070035,5,1,1,1,1,-1,7,5,8,7,1,6,1,1,1,1,5,1,7
604070036,3,1,1,1,1,6,3,1,9,8,1,1,1,1,1,1,8,1,10
604070037,1,3,1,1,1,6,3,1,7,6,1,1,1,1,1,1,5,1,10
604070038,8,10,1,1,1,1,6,1,9,6,1,1,1,1,1,2,1,1,10
604070039,10,10,1,1,1,1,1,5,10,4,1,1,1,1,1,1,10,1,10
604070040,10,10,1,3,2,6,7,3,7,6,3,5,1,1,1,1,5,2,6
604070041,1,2,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1
604070042,8,1,1,1,1,4,3,1,6,5,1,1,1,1,1,1,5,1,1
604070043,9,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1
604070044,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070045,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070046,8,2,1,1,1,4,1,1,6,4,1,1,1,1,1,1,4,1,1
604070047,6,2,2,2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1
604070048,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
604070049,2,3,1,1,1,2,1,1,6,6,1,1,1,1,1,1,1,1,1
604070050,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070051,5,1,1,1,1,1,1,1,8,3,1,1,1,1,1,1,1,1,10
604070052,2,8,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,2,2
604070053,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070054,5,5,2,3,3,1,1,1,4,5,1,4,1,1,2,3,3,2,8
604070055,8,2,1,3,2,2,2,2,2,2,1,1,1,1,1,1,2,1,8
604070056,10,5,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,3,2
604070057,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070058,1,1,1,1,1,1,1,3,6,4,1,3,1,1,1,1,1,1,10
604070059,2,8,1,1,1,1,7,1,7,1,1,1,1,1,7,2,1,1,2
604070060,8,8,1,1,1,1,1,1,1,8,1,1,7,2,2,2,1,2,7
604070061,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070062,1,1,1,1,1,10,1,1,10,10,1,7,1,1,1,1,1,1,1
604070063,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070066,3,3,3,2,2,3,3,2,5,4,1,6,2,2,3,3,3,2,6
604070067,2,3,3,4,2,3,3,2,4,3,4,2,1,1,2,4,2,5,7
604070068,3,2,3,4,2,4,2,2,2,1,3,1,2,2,2,3,5,4,6
604070069,2,3,3,1,2,5,3,3,2,4,1,5,2,2,1,5,4,2,4
604070070,3,1,4,4,2,2,2,3,4,5,2,6,2,1,2,3,5,3,6
604070071,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1
604070072,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070073,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070076,3,1,2,1,2,2,1,2,3,2,1,3,2,1,3,2,1,1,1
604070077,1,3,1,3,1,1,1,2,1,1,1,2,1,3,2,3,3,2,2
604070078,6,1,2,4,1,3,1,1,1,1,1,2,1,2,1,2,2,1,2
604070079,3,1,3,2,1,1,3,2,1,1,2,1,2,1,2,2,2,2,2
604070080,2,1,1,1,3,1,1,1,4,2,3,4,1,4,3,3,2,3,3
604070081,2,1,1,2,2,4,5,5,5,6,1,5,1,1,1,1,2,1,1
604070082,1,1,1,1,1,1,1,1,10,10,1,1,1,1,1,1,1,1,1
604070083,1,1,1,1,1,1,1,6,7,7,1,6,1,3,1,1,1,1,1
604070084,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
604070085,1,1,1,1,1,5,1,5,5,9,1,6,1,1,1,1,1,6,1
604070086,7,1,1,1,1,1,1,4,5,7,1,1,1,1,1,1,1,1,8
604070087,2,1,1,3,1,10,10,10,10,5,5,5,1,1,1,1,2,1,7
604070088,1,1,1,1,1,1,1,1,5,5,1,2,1,1,1,1,1,1,8
604070089,5,1,1,1,1,5,5,1,10,10,1,1,1,5,1,1,1,1,10
