D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
604070001,5.0,5.0,6.0,6.0,5.0,1.0,5.0,10.0,5.0,5.0,1.0,10.0,1.0,1.0,4.0,1.0,5.0,1.0,10.0
604070002,1.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0
604070003,1.0,5.0,1.0,1.0,1.0,10.0,5.0,5.0,10.0,10.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
604070004,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,10.0,10.0,1.0,10.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0
604070005,1.0,1.0,1.0,1.0,1.0,8.0,1.0,5.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0
604070006,5.0,1.0,1.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,1.0,8.0,1.0,3.0,1.0,1.0,2.0,10.0,8.0
604070007,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
604070008,1.0,7.0,10.0,6.0,5.0,8.0,7.0,4.0,4.0,4.0,1.0,10.0,1.0,1.0,1.0,1.0,6.0,1.0,8.0
604070009,1.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,5.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,10.0
604070010,10.0,10.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
604070011,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
604070012,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0
604070013,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
604070014,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0
604070015,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0
604070016,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
604070017,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,5.0
604070018,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0
604070019,2.0,1.0,1.0,1.0,1.0,7.0,3.0,2.0,5.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,4.0
604070020,1.0,1.0,1.0,1.0,1.0,7.0,5.0,2.0,7.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,10.0,1.0,4.0
604070021,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,9.0,2.0,1.0,1.0,2.0,6.0,3.0,10.0
