D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
840071001,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
840071002,5,5,5,5,5,5,5,2,8,8,1,3,1,1,1,1,-2,-2,-2
840071003,1,1,1,10,1,-2,1,-2,10,-2,1,-2,1,1,1,-2,-2,1,-2
840071004,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1
840071005,1,1,1,1,1,5,5,5,5,7,1,5,1,1,1,1,5,1,3
840071006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
840071007,1,1,1,5,1,10,6,7,10,10,5,5,1,1,5,1,10,1,5
840071008,10,9,10,1,1,6,4,1,6,3,1,5,1,1,1,1,1,1,1
840071009,5,5,1,5,1,5,5,5,5,5,5,1,1,5,1,1,3,1,1
840071010,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10
840071011,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1
840071012,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,5,1,1
840071013,6,10,1,6,10,10,10,10,10,10,5,10,7,6,6,3,10,10,10
840071014,1,5,1,1,1,7,1,1,7,7,7,7,1,1,1,1,7,1,1
840071015,6,3,3,2,1,10,2,10,10,10,5,8,1,4,4,1,10,1,5
840071016,2,6,5,5,1,3,4,8,8,6,7,2,1,1,1,1,5,1,5
840071017,8,1,1,1,1,5,1,1,8,5,1,5,1,1,1,1,1,1,1
840071018,1,1,1,1,1,5,1,5,5,3,3,6,1,6,3,6,3,7,5
840071019,1,1,1,1,1,5,1,5,3,5,1,5,1,5,1,1,5,1,5
840071020,1,2,1,1,1,1,1,2,2,6,1,1,1,3,1,1,4,1,7
840071021,1,1,1,1,1,9,1,2,2,9,1,9,1,1,2,8,7,1,9
840071022,5,1,3,4,3,7,3,8,3,8,-2,-2,-2,-2,-2,3,8,9,-2
840071023,1,1,1,1,1,5,1,5,10,6,1,5,1,1,1,1,5,1,1
840071024,5,4,4,5,6,5,2,5,4,3,2,5,4,8,5,7,3,1,3
840071025,1,4,1,2,4,8,5,8,5,10,3,10,1,5,7,1,8,5,5
840071026,1,1,1,1,1,1,1,1,4,1,3,1,1,1,5,1,1,4,7
840071027,1,1,1,1,1,5,2,5,8,3,2,9,1,1,7,1,1,1,8
840071028,6,9,8,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1
840071029,7,4,7,1,1,1,10,10,7,5,1,8,3,5,6,6,9,9,8
840071030,5,6,1,1,1,10,4,1,10,5,5,9,1,6,1,1,6,1,10
840071031,1,1,1,1,1,1,5,4,3,3,5,6,1,1,3,1,5,3,7
840071032,5,6,6,6,5,5,1,5,6,7,1,1,1,1,6,1,10,3,8
840071033,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
840071034,2,1,1,1,1,10,1,5,5,5,1,5,1,1,1,1,8,1,7
840071035,4,2,3,3,3,10,2,7,7,10,6,7,2,2,6,1,9,1,7
840071036,1,1,1,1,1,1,1,1,10,1,1,1,1,1,6,1,1,1,1
840071037,1,1,1,1,1,5,1,1,5,5,1,1,1,1,1,1,-2,1,5
840071038,4,5,5,4,4,5,6,5,5,5,4,4,5,4,5,4,5,6,4
840071039,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
840071040,5,5,1,1,1,10,7,5,5,9,1,6,1,1,1,1,8,1,6
840071041,1,5,1,1,1,5,1,1,1,5,1,7,1,5,8,1,1,5,8
840071042,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
840071043,3,1,1,1,1,1,2,1,5,4,1,1,1,1,1,1,1,1,7
840071044,5,5,5,5,5,5,1,7,7,8,1,7,1,1,8,1,10,8,8
840071045,7,8,5,5,5,10,6,1,10,10,1,1,1,1,7,2,10,1,1
840071046,5,6,5,3,1,10,5,8,10,10,3,8,1,1,3,1,8,2,4
840071047,6,5,6,3,4,5,1,1,5,4,5,3,1,1,1,1,1,1,1
840071048,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
840071049,7,7,7,7,6,5,5,5,5,4,4,5,5,5,7,7,6,7,6
840071050,1,1,1,1,1,-2,3,5,7,7,1,10,1,-2,5,1,3,1,10
840071051,5,5,5,5,5,5,10,5,5,5,5,5,5,5,5,5,5,10,5
840071052,5,7,8,1,1,1,1,5,5,5,1,5,1,7,1,1,5,1,5
840071053,1,5,1,1,5,10,5,1,5,10,5,5,1,5,1,4,5,1,10
840071054,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
840071055,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
840071056,2,5,1,2,1,9,6,8,6,10,7,6,1,1,1,1,9,1,7
840071057,5,5,5,1,1,10,4,10,10,10,5,5,1,1,1,1,10,1,7
840071058,1,5,1,2,1,8,5,5,10,8,1,3,1,1,1,1,4,1,10
840071059,1,1,1,10,1,10,10,10,10,10,10,10,1,4,3,1,10,2,10
840071060,5,1,1,5,1,5,1,5,5,5,1,5,1,1,1,1,5,1,5
840071061,5,4,10,10,1,9,6,10,1,1,6,1,1,1,1,1,1,1,10
840071062,5,5,5,5,5,1,5,10,10,5,1,1,1,1,1,1,5,5,5
840071063,1,1,1,1,1,10,1,5,5,1,1,5,1,5,1,1,1,1,10
840071064,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,1,1
840071065,1,1,1,1,1,10,5,10,10,10,5,10,1,1,1,1,10,1,8
840071066,5,7,4,3,1,1,1,4,6,5,1,4,1,5,4,4,3,1,3
840071067,5,1,1,1,1,1,1,5,5,5,1,1,1,5,1,1,1,1,5
840071068,5,5,1,2,3,10,1,5,10,10,6,5,1,1,3,1,7,1,6
840071069,5,5,5,3,2,10,5,1,5,10,1,5,1,1,5,5,5,5,5
840071070,5,5,1,1,1,9,1,1,6,6,1,1,1,2,3,1,5,4,1
840071071,1,5,1,1,5,5,1,5,5,5,1,5,1,1,7,4,10,1,1
840071072,1,1,1,10,1,8,9,4,8,9,9,9,1,1,4,1,8,1,10
840071073,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
