D_INTERVIEW,Q177,Q178,Q179,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q190,Q191,Q192,Q193,Q194,Q195
840071001,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
840071002,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,8.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0
840071003,1.0,1.0,1.0,10.0,1.0,-2.0,1.0,-2.0,10.0,-2.0,1.0,-2.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-2.0
840071004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071005,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0
840071006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071007,1.0,1.0,1.0,5.0,1.0,10.0,6.0,7.0,10.0,10.0,5.0,5.0,1.0,1.0,5.0,1.0,10.0,1.0,5.0
840071008,10.0,9.0,10.0,1.0,1.0,6.0,4.0,1.0,6.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071009,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0
840071010,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
840071011,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,5.0,1.0,1.0
840071013,6.0,10.0,1.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,7.0,6.0,6.0,3.0,10.0,10.0,10.0
840071014,1.0,5.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0
840071015,6.0,3.0,3.0,2.0,1.0,10.0,2.0,10.0,10.0,10.0,5.0,8.0,1.0,4.0,4.0,1.0,10.0,1.0,5.0
840071016,2.0,6.0,5.0,5.0,1.0,3.0,4.0,8.0,8.0,6.0,7.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0
840071017,8.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,8.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840071018,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,3.0,3.0,6.0,1.0,6.0,3.0,6.0,3.0,7.0,5.0
840071019,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0
840071020,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,7.0
840071021,1.0,1.0,1.0,1.0,1.0,9.0,1.0,2.0,2.0,9.0,1.0,9.0,1.0,1.0,2.0,8.0,7.0,1.0,9.0
840071022,5.0,1.0,3.0,4.0,3.0,7.0,3.0,8.0,3.0,8.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.0,8.0,9.0,-2.0
840071023,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,10.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
840071024,5.0,4.0,4.0,5.0,6.0,5.0,2.0,5.0,4.0,3.0,2.0,5.0,4.0,8.0,5.0,7.0,3.0,1.0,3.0
840071025,1.0,4.0,1.0,2.0,4.0,8.0,5.0,8.0,5.0,10.0,3.0,10.0,1.0,5.0,7.0,1.0,8.0,5.0,5.0
840071026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,7.0
840071027,1.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,8.0,3.0,2.0,9.0,1.0,1.0,7.0,1.0,1.0,1.0,8.0
840071028,6.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0
840071029,7.0,4.0,7.0,1.0,1.0,1.0,10.0,10.0,7.0,5.0,1.0,8.0,3.0,5.0,6.0,6.0,9.0,9.0,8.0
840071030,5.0,6.0,1.0,1.0,1.0,10.0,4.0,1.0,10.0,5.0,5.0,9.0,1.0,6.0,1.0,1.0,6.0,1.0,10.0
840071031,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,5.0,6.0,1.0,1.0,3.0,1.0,5.0,3.0,7.0
840071032,5.0,6.0,6.0,6.0,5.0,5.0,1.0,5.0,6.0,7.0,1.0,1.0,1.0,1.0,6.0,1.0,10.0,3.0,8.0
840071033,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
840071034,2.0,1.0,1.0,1.0,1.0,10.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,8.0,1.0,7.0
840071035,4.0,2.0,3.0,3.0,3.0,10.0,2.0,7.0,7.0,10.0,6.0,7.0,2.0,2.0,6.0,1.0,9.0,1.0,7.0
840071036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0
840071037,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,5.0
840071038,4.0,5.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,4.0
840071039,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
840071040,5.0,5.0,1.0,1.0,1.0,10.0,7.0,5.0,5.0,9.0,1.0,6.0,1.0,1.0,1.0,1.0,8.0,1.0,6.0
