D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
51070001,4,4,4,4,4
51070002,4,4,4,1,4
51070003,4,4,4,4,4
51070004,4,4,4,4,4
51070005,4,1,4,4,4
51070006,3,4,1,1,4
51070007,4,4,4,4,4
51070008,4,4,4,4,4
51070009,4,4,4,4,4
51070010,4,4,4,3,4
51070011,4,4,1,3,3
51070012,4,4,4,4,4
51070013,2,4,4,1,4
51070014,4,4,4,3,4
51070015,4,4,3,3,4
51070016,4,4,4,4,4
51070017,4,4,4,4,4
51070018,4,4,4,4,4
51070019,4,4,4,4,4
51070020,4,4,4,-2,4
51070021,1,1,1,3,4
51070022,2,4,2,2,4
51070023,3,2,3,2,4
51070024,4,4,1,4,1
51070025,4,4,4,4,1
51070026,4,4,4,4,2
51070027,3,4,4,4,4
51070028,2,4,2,2,4
51070029,4,4,3,1,4
51070030,4,4,4,2,4
51070031,4,4,1,1,4
51070032,4,4,4,3,4
51070033,4,4,4,4,4
51070034,4,4,4,1,3
51070035,4,4,4,4,4
51070036,2,4,2,1,4
51070037,4,4,4,1,4
51070038,4,4,4,4,4
51070039,4,4,4,4,4
51070040,4,4,4,3,4
51070041,4,4,4,4,4
51070042,4,4,4,1,4
51070043,4,4,4,3,4
51070044,4,4,2,2,4
51070045,4,4,3,4,2
51070046,3,4,1,1,1
51070047,4,4,4,4,4
51070048,4,4,4,4,4
51070049,4,4,1,2,4
51070050,4,4,4,4,4
51070051,3,4,1,1,4
51070052,4,4,2,1,4
51070053,4,4,4,3,4
51070054,4,4,4,4,4
51070055,4,4,4,4,4
51070056,4,4,4,3,4
51070057,3,4,1,1,4
51070058,1,3,1,1,4
51070059,4,2,4,4,4
51070060,4,4,4,3,3
51070061,4,4,4,3,4
51070062,4,4,4,2,4
51070063,2,4,3,2,4
51070064,3,4,4,2,4
51070065,4,4,2,4,4
51070066,4,4,4,4,4
51070067,4,4,1,3,3
51070068,3,4,4,4,3
51070069,4,4,4,4,4
51070070,4,4,4,4,4
51070071,3,4,1,1,4
51070072,4,4,4,1,4
51070073,4,4,4,4,4
51070074,3,4,1,2,4
51070075,3,4,2,3,4
51070076,4,4,4,4,4
51070077,3,4,4,4,4
51070078,1,4,4,2,4
51070079,4,4,4,4,4
51070080,4,4,1,4,4
51070081,4,4,4,3,4
51070082,4,4,4,4,4
51070083,3,4,4,3,4
51070084,4,4,4,4,4
51070085,2,4,4,1,4
51070086,4,4,4,1,4
51070087,4,4,3,4,4
51070088,4,4,4,4,4
51070089,1,4,1,1,4
51070090,4,4,4,2,4
51070091,4,4,4,4,2
51070092,4,4,4,2,4
51070093,1,4,1,1,4
51070094,4,4,4,4,4
51070095,1,1,1,1,4
51070096,3,4,4,2,4
51070097,2,4,1,1,3
51070098,2,4,4,2,4
51070099,2,4,4,4,4
51070100,4,2,4,4,4
51070101,2,4,3,3,4
51070102,4,4,2,2,4
51070103,4,4,4,3,4
51070104,4,4,4,4,4
51070105,4,4,2,3,4
51070106,4,4,4,4,4
51070107,1,4,1,1,4
51070108,4,4,4,4,4
51070109,4,4,4,3,4
51070110,4,4,4,4,4
51070111,4,4,4,4,4
51070112,4,4,4,4,4
51070113,2,4,4,2,4
51070114,4,4,1,1,4
51070115,4,4,4,4,4
51070116,4,4,4,2,4
51070117,3,4,1,1,4
51070118,4,4,4,4,4
51070119,4,4,3,4,4
51070120,3,3,2,2,2
51070121,2,4,2,1,4
51070122,4,4,4,4,4
51070123,3,4,2,2,4
51070124,4,4,4,4,4
51070125,4,4,4,4,4
51070126,4,4,4,4,4
51070127,4,4,4,2,4
51070128,4,4,4,4,4
51070129,2,4,1,1,4
51070130,4,4,3,2,4
51070131,4,4,4,4,4
51070132,4,4,4,4,4
51070133,4,4,4,4,4
51070134,3,4,4,3,4
51070135,3,4,4,4,4
51070136,3,4,4,4,4
51070137,4,4,4,4,4
51070138,4,4,4,4,4
51070139,4,4,4,3,4
51070140,3,4,3,1,4
51070141,4,4,4,1,4
51070142,1,3,2,1,2
51070143,4,2,4,2,4
51070144,4,4,4,4,4
51070145,4,4,4,4,4
51070146,4,4,4,4,4
51070147,4,4,4,4,4
51070148,4,4,4,4,4
51070149,4,4,4,3,4
51070150,3,4,4,1,4
51070151,4,4,4,4,4
51070152,4,4,4,3,4
51070153,4,4,4,3,4
51070154,4,4,4,4,4
51070155,4,4,4,3,4
51070156,4,4,4,4,4
51070157,4,4,3,3,2
51070158,4,4,4,4,4
51070159,1,4,1,1,4
51070160,2,4,4,2,4
51070161,2,4,2,1,2
51070162,4,4,4,2,4
51070163,4,4,4,4,4
51070164,4,4,4,4,3
51070165,4,4,4,4,4
51070166,4,4,3,3,4
51070167,3,3,4,1,4
51070168,4,4,4,4,4
51070169,4,3,3,3,4
51070170,2,4,4,2,4
51070171,4,4,4,4,4
51070172,4,4,4,4,4
51070173,4,1,4,4,4
51070174,4,4,3,1,1
51070175,4,4,4,4,4
51070176,4,4,4,4,4
51070177,4,4,4,4,4
51070178,4,3,4,4,4
51070179,2,4,4,4,4
51070180,4,4,4,4,4
51070181,4,4,4,4,4
51070182,4,4,4,4,4
51070183,3,4,4,1,1
51070184,4,4,4,3,3
51070185,4,4,4,3,4
51070186,4,4,4,3,4
51070187,4,4,4,4,4
51070188,4,4,4,4,4
51070189,4,3,4,3,3
51070190,4,4,4,1,4
51070191,4,3,4,3,4
51070192,4,4,4,4,4
51070193,4,4,4,4,4
51070194,4,4,4,4,4
51070195,4,4,4,4,4
51070196,4,4,4,2,4
51070197,4,4,2,2,4
51070198,1,4,4,3,4
51070199,4,4,4,4,4
51070200,4,4,4,4,4
51070201,4,4,4,3,4
51070202,3,3,1,1,4
51070203,4,4,4,2,4
51070204,4,4,4,4,4
51070205,4,4,2,2,4
51070206,4,4,4,4,4
51070207,4,4,4,4,4
51070208,4,4,4,4,4
51070209,2,4,2,2,4
51070210,3,3,4,2,4
51070211,4,4,1,1,4
51070212,4,4,4,3,4
51070213,4,4,3,2,4
51070214,2,4,1,1,4
51070215,4,4,4,4,4
51070216,4,4,4,4,4
51070217,1,4,2,1,4
51070218,4,4,4,4,4
51070219,4,4,4,4,4
51070220,2,3,1,2,4
51070221,4,4,4,4,4
51070222,4,4,4,4,4
51070223,2,4,3,3,4
51070224,4,4,4,4,4
51070225,4,4,4,2,4
51070226,4,4,4,3,4
51070227,4,4,4,4,4
51070228,4,4,4,4,4
51070229,1,4,2,1,4
51070230,4,4,4,4,4
51070231,4,4,4,2,4
51070232,4,4,2,2,4
51070233,3,4,2,1,4
51070234,4,4,4,4,4
51070235,4,4,4,3,4
51070236,4,4,4,4,4
51070237,4,4,4,4,4
51070238,4,4,4,2,4
51070239,3,4,3,3,4
51070240,3,4,4,3,3
51070241,3,4,3,3,3
51070242,4,4,3,3,4
51070243,4,4,4,4,4
51070244,4,4,2,2,4
51070245,4,4,4,4,4
51070246,4,4,4,4,4
51070247,4,4,4,4,4
51070248,4,4,4,4,4
51070249,1,4,1,1,4
51070250,4,4,4,4,4
51070251,4,4,3,2,4
51070252,1,4,2,3,4
51070253,4,4,4,4,4
51070254,4,4,4,4,4
51070255,3,4,1,1,4
51070256,3,4,4,4,4
51070257,4,4,4,4,4
51070258,2,4,4,4,4
51070259,3,3,1,1,4
51070260,4,3,4,3,4
51070261,4,4,4,3,4
51070262,2,4,2,2,4
51070263,3,4,4,2,4
51070264,3,4,4,1,1
51070265,1,4,4,3,4
51070266,2,4,4,2,4
51070267,3,4,4,4,4
51070268,4,4,4,2,4
51070269,4,4,4,4,4
51070270,4,4,4,4,4
