D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
170070052,4,1,3,3,3
170070053,2,3,1,2,3
170070054,4,4,4,2,4
170070057,3,2,4,3,3
170070069,2,2,3,1,1
170070074,4,4,3,3,4
170070075,4,4,3,3,4
170070076,3,4,1,2,4
170070080,4,4,4,3,4
170070085,3,1,1,3,4
170070087,1,1,3,4,3
170070093,4,3,4,3,1
170070104,4,4,2,4,4
170070105,3,4,3,2,3
170070112,2,4,3,2,1
170070113,4,4,3,2,4
170070122,4,4,4,4,4
170070126,3,3,4,3,4
170070128,1,1,2,2,1
170070132,3,3,2,1,4
170070154,4,4,4,2,4
170070156,4,4,4,4,4
170070197,4,4,4,3,4
170070198,3,3,1,2,3
170070210,3,4,4,3,4
170070213,1,4,2,1,1
170070214,4,4,2,3,4
170070215,2,4,2,2,4
170070219,2,3,4,2,1
170070222,3,3,3,3,3
170070224,4,4,2,3,1
170070253,4,3,4,4,4
170070255,1,4,1,2,4
170070261,4,4,4,4,4
170070308,4,4,4,3,4
170070312,4,4,3,3,4
170070323,4,4,3,3,4
170070332,4,4,3,2,4
170070334,4,4,2,2,4
170070337,4,4,1,2,4
170070341,1,4,2,3,1
170070344,3,4,2,2,4
170070358,4,4,4,3,2
170070366,3,1,3,3,4
170070369,1,4,4,4,4
170070378,3,4,1,2,2
170070385,4,4,3,1,4
170070388,2,2,2,2,2
170070389,2,4,2,1,3
170070390,2,4,2,2,4
170070393,4,2,1,2,4
170070394,1,4,4,1,1
170070395,4,3,4,3,2
170070407,1,4,1,1,4
170070408,4,4,4,1,4
170070414,3,4,3,3,4
170070415,2,4,2,2,2
170070418,4,4,2,3,4
170070421,3,4,4,3,4
170070422,2,4,4,2,4
170070423,4,3,4,3,4
170070426,2,4,2,2,4
170070432,3,4,4,2,4
170070442,1,4,2,2,2
170070465,1,4,3,1,1
170070471,4,4,1,2,4
170070497,4,4,4,1,4
170070503,2,2,4,2,4
170070507,3,3,4,3,3
170070510,3,4,4,3,3
170070514,4,4,4,3,4
170070515,2,4,2,4,4
170070522,2,4,4,3,2
170070530,3,2,3,1,4
170070531,4,4,4,2,2
170070534,3,4,4,3,4
170070538,3,4,2,1,1
170070541,3,2,2,1,1
170070544,1,3,2,4,2
170070545,2,4,2,2,2
170070553,2,4,3,3,4
170070558,3,4,2,2,2
170070559,1,4,2,2,4
170070560,4,4,4,3,4
170070561,4,4,4,2,4
170070562,3,4,4,2,4
170070565,4,4,4,2,4
170070585,3,4,3,3,4
170070593,4,2,2,3,4
170070598,4,2,3,3,3
170070601,4,3,3,3,4
170070621,4,2,4,4,4
170070626,4,4,4,4,4
170070630,4,4,4,3,1
170070631,4,4,2,2,4
170070663,1,3,3,3,4
170070666,3,1,2,1,4
170070669,1,1,2,2,1
170070672,3,1,1,3,4
170070673,3,2,3,2,4
170070676,4,4,2,2,4
170070680,4,3,4,3,4
170070682,4,4,3,4,4
170070686,2,4,2,1,4
170070699,3,3,1,1,4
170070703,3,3,3,3,3
170070704,2,4,3,3,4
170070706,4,3,1,3,4
170070723,1,4,2,1,1
170070731,3,3,3,3,4
170070734,4,4,3,2,2
170070737,3,4,4,3,3
170070749,4,3,3,2,4
170070750,2,4,3,1,4
170070751,3,1,2,3,3
170070752,2,2,2,2,4
170070756,3,2,3,1,3
170070760,3,3,3,3,3
170070762,3,3,3,3,3
170070763,2,4,3,2,4
170070764,3,4,4,1,4
170070769,3,4,4,2,2
170070776,4,4,4,2,4
170070779,3,4,4,2,4
170070805,3,3,3,2,4
170070809,1,3,2,2,4
