D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
170070052,4.0,1.0,3.0,3.0,3.0
170070053,2.0,3.0,1.0,2.0,3.0
170070054,4.0,4.0,4.0,2.0,4.0
170070057,3.0,2.0,4.0,3.0,3.0
170070069,2.0,2.0,3.0,1.0,1.0
170070074,4.0,4.0,3.0,3.0,4.0
170070075,4.0,4.0,3.0,3.0,4.0
170070076,3.0,4.0,1.0,2.0,4.0
170070080,4.0,4.0,4.0,3.0,4.0
170070085,3.0,1.0,1.0,3.0,4.0
170070087,1.0,1.0,3.0,4.0,3.0
170070093,4.0,3.0,4.0,3.0,1.0
170070104,4.0,4.0,2.0,4.0,4.0
170070105,3.0,4.0,3.0,2.0,3.0
170070112,2.0,4.0,3.0,2.0,1.0
170070113,4.0,4.0,3.0,2.0,4.0
170070122,4.0,4.0,4.0,4.0,4.0
170070126,3.0,3.0,4.0,3.0,4.0
170070128,1.0,1.0,2.0,2.0,1.0
170070132,3.0,3.0,2.0,1.0,4.0
170070154,4.0,4.0,4.0,2.0,4.0
170070156,4.0,4.0,4.0,4.0,4.0
170070197,4.0,4.0,4.0,3.0,4.0
170070198,3.0,3.0,1.0,2.0,3.0
170070210,3.0,4.0,4.0,3.0,4.0
170070213,1.0,4.0,2.0,1.0,1.0
170070214,4.0,4.0,2.0,3.0,4.0
170070215,2.0,4.0,2.0,2.0,4.0
170070219,2.0,3.0,4.0,2.0,1.0
170070222,3.0,3.0,3.0,3.0,3.0
170070224,4.0,4.0,2.0,3.0,1.0
170070253,4.0,3.0,4.0,4.0,4.0
170070255,1.0,4.0,1.0,2.0,4.0
170070261,4.0,4.0,4.0,4.0,4.0
170070308,4.0,4.0,4.0,3.0,4.0
170070312,4.0,4.0,3.0,3.0,4.0
170070323,4.0,4.0,3.0,3.0,4.0
170070332,4.0,4.0,3.0,2.0,4.0
170070334,4.0,4.0,2.0,2.0,4.0
170070337,4.0,4.0,1.0,2.0,4.0
170070341,1.0,4.0,2.0,3.0,1.0
170070344,3.0,4.0,2.0,2.0,4.0
170070358,4.0,4.0,4.0,3.0,2.0
170070366,3.0,1.0,3.0,3.0,4.0
170070369,1.0,4.0,4.0,4.0,4.0
170070378,3.0,4.0,1.0,2.0,2.0
170070385,4.0,4.0,3.0,1.0,4.0
170070388,2.0,2.0,2.0,2.0,2.0
170070389,2.0,4.0,2.0,1.0,3.0
170070390,2.0,4.0,2.0,2.0,4.0
170070393,4.0,2.0,1.0,2.0,4.0
170070394,1.0,4.0,4.0,1.0,1.0
170070395,4.0,3.0,4.0,3.0,2.0
170070407,1.0,4.0,1.0,1.0,4.0
170070408,4.0,4.0,4.0,1.0,4.0
170070414,3.0,4.0,3.0,3.0,4.0
170070415,2.0,4.0,2.0,2.0,2.0
170070418,4.0,4.0,2.0,3.0,4.0
170070421,3.0,4.0,4.0,3.0,4.0
170070422,2.0,4.0,4.0,2.0,4.0
170070423,4.0,3.0,4.0,3.0,4.0
170070426,2.0,4.0,2.0,2.0,4.0
170070432,3.0,4.0,4.0,2.0,4.0
170070442,1.0,4.0,2.0,2.0,2.0
170070465,1.0,4.0,3.0,1.0,1.0
170070471,4.0,4.0,1.0,2.0,4.0
170070497,4.0,4.0,4.0,1.0,4.0
170070503,2.0,2.0,4.0,2.0,4.0
170070507,3.0,3.0,4.0,3.0,3.0
170070510,3.0,4.0,4.0,3.0,3.0
170070514,4.0,4.0,4.0,3.0,4.0
170070515,2.0,4.0,2.0,4.0,4.0
170070522,2.0,4.0,4.0,3.0,2.0
170070530,3.0,2.0,3.0,1.0,4.0
170070531,4.0,4.0,4.0,2.0,2.0
170070534,3.0,4.0,4.0,3.0,4.0
170070538,3.0,4.0,2.0,1.0,1.0
170070541,3.0,2.0,2.0,1.0,1.0
170070544,1.0,3.0,2.0,4.0,2.0
170070545,2.0,4.0,2.0,2.0,2.0
170070553,2.0,4.0,3.0,3.0,4.0
170070558,3.0,4.0,2.0,2.0,2.0
170070559,1.0,4.0,2.0,2.0,4.0
170070560,4.0,4.0,4.0,3.0,4.0
170070561,4.0,4.0,4.0,2.0,4.0
170070562,3.0,4.0,4.0,2.0,4.0
170070565,4.0,4.0,4.0,2.0,4.0
170070585,3.0,4.0,3.0,3.0,4.0
170070593,4.0,2.0,2.0,3.0,4.0
170070598,4.0,2.0,3.0,3.0,3.0
170070601,4.0,3.0,3.0,3.0,4.0
170070621,4.0,2.0,4.0,4.0,4.0
170070626,4.0,4.0,4.0,4.0,4.0
170070630,4.0,4.0,4.0,3.0,1.0
170070631,4.0,4.0,2.0,2.0,4.0
170070663,1.0,3.0,3.0,3.0,4.0
170070666,3.0,1.0,2.0,1.0,4.0
170070669,1.0,1.0,2.0,2.0,1.0
170070672,3.0,1.0,1.0,3.0,4.0
170070673,3.0,2.0,3.0,2.0,4.0
170070676,4.0,4.0,2.0,2.0,4.0
170070680,4.0,3.0,4.0,3.0,4.0
170070682,4.0,4.0,3.0,4.0,4.0
170070686,2.0,4.0,2.0,1.0,4.0
170070699,3.0,3.0,1.0,1.0,4.0
170070703,3.0,3.0,3.0,3.0,3.0
170070704,2.0,4.0,3.0,3.0,4.0
170070706,4.0,3.0,1.0,3.0,4.0
170070723,1.0,4.0,2.0,1.0,1.0
170070731,3.0,3.0,3.0,3.0,4.0
170070734,4.0,4.0,3.0,2.0,2.0
170070737,3.0,4.0,4.0,3.0,3.0
170070749,4.0,3.0,3.0,2.0,4.0
170070750,2.0,4.0,3.0,1.0,4.0
170070751,3.0,1.0,2.0,3.0,3.0
170070752,2.0,2.0,2.0,2.0,4.0
170070756,3.0,2.0,3.0,1.0,3.0
170070760,3.0,3.0,3.0,3.0,3.0
170070762,3.0,3.0,3.0,3.0,3.0
170070763,2.0,4.0,3.0,2.0,4.0
170070764,3.0,4.0,4.0,1.0,4.0
170070769,3.0,4.0,4.0,2.0,2.0
170070776,4.0,4.0,4.0,2.0,4.0
170070779,3.0,4.0,4.0,2.0,4.0
170070805,3.0,3.0,3.0,2.0,4.0
170070809,1.0,3.0,2.0,2.0,4.0
170070810,4.0,3.0,4.0,3.0,3.0
170070836,3.0,4.0,1.0,3.0,4.0
170070856,4.0,4.0,4.0,3.0,4.0
170070868,4.0,4.0,4.0,4.0,4.0
170070881,4.0,3.0,4.0,3.0,4.0
170070884,1.0,2.0,1.0,2.0,4.0
170070890,3.0,4.0,3.0,3.0,1.0
170070904,4.0,2.0,4.0,3.0,4.0
170071000,4.0,4.0,1.0,2.0,4.0
170071009,4.0,4.0,4.0,3.0,4.0
170071010,2.0,4.0,2.0,2.0,4.0
170071012,2.0,4.0,4.0,3.0,4.0
170071013,1.0,4.0,1.0,1.0,1.0
170071014,3.0,4.0,2.0,2.0,4.0
170071018,4.0,4.0,4.0,4.0,4.0
170071020,4.0,4.0,4.0,4.0,4.0
170071024,4.0,4.0,4.0,3.0,4.0
170071029,2.0,4.0,4.0,1.0,4.0
170071042,3.0,4.0,1.0,3.0,4.0
170071045,2.0,3.0,3.0,2.0,3.0
170071046,2.0,4.0,2.0,2.0,2.0
170071051,1.0,4.0,3.0,1.0,4.0
170071052,2.0,4.0,2.0,2.0,4.0
170071053,4.0,4.0,4.0,3.0,4.0
170071059,4.0,2.0,4.0,4.0,4.0
170071060,3.0,4.0,3.0,3.0,4.0
170071061,3.0,4.0,3.0,3.0,1.0
170071062,4.0,2.0,2.0,2.0,1.0
170071083,4.0,4.0,4.0,2.0,4.0
170071092,1.0,4.0,1.0,3.0,1.0
170071094,4.0,4.0,4.0,4.0,4.0
170071095,1.0,4.0,1.0,4.0,4.0
170071096,4.0,4.0,4.0,3.0,4.0
170071097,3.0,2.0,2.0,2.0,2.0
170071101,1.0,4.0,3.0,4.0,3.0
170071104,1.0,1.0,4.0,2.0,4.0
170071110,4.0,4.0,4.0,2.0,4.0
170071113,4.0,3.0,4.0,2.0,4.0
170071124,3.0,4.0,1.0,1.0,1.0
170071131,4.0,4.0,2.0,4.0,4.0
170071152,4.0,3.0,2.0,3.0,3.0
170071153,4.0,2.0,1.0,3.0,4.0
170071158,4.0,4.0,4.0,4.0,4.0
170071160,1.0,1.0,1.0,1.0,1.0
170071163,3.0,3.0,4.0,2.0,4.0
170071164,4.0,4.0,4.0,2.0,3.0
170071165,4.0,2.0,2.0,2.0,4.0
170071166,4.0,4.0,4.0,2.0,4.0
170071178,3.0,4.0,1.0,3.0,1.0
170071181,2.0,3.0,3.0,3.0,2.0
170071187,2.0,3.0,3.0,2.0,3.0
170071188,2.0,4.0,4.0,1.0,1.0
170071191,4.0,4.0,4.0,2.0,4.0
170071216,1.0,2.0,2.0,2.0,4.0
170071219,1.0,4.0,1.0,3.0,1.0
170071222,4.0,4.0,4.0,3.0,3.0
170071225,4.0,4.0,4.0,2.0,2.0
170071226,3.0,4.0,4.0,3.0,4.0
170071230,2.0,4.0,4.0,2.0,2.0
170071231,2.0,2.0,2.0,2.0,2.0
170071234,3.0,3.0,3.0,1.0,3.0
170071248,3.0,4.0,2.0,2.0,4.0
170071249,3.0,4.0,4.0,3.0,4.0
170071252,4.0,4.0,4.0,3.0,4.0
170071255,1.0,4.0,2.0,3.0,4.0
170071258,3.0,4.0,2.0,2.0,2.0
170071259,3.0,2.0,2.0,1.0,3.0
170071261,3.0,3.0,2.0,2.0,2.0
170071263,4.0,4.0,4.0,2.0,4.0
170071264,2.0,4.0,1.0,1.0,1.0
170071265,2.0,4.0,4.0,1.0,2.0
170071276,2.0,3.0,3.0,1.0,1.0
170071279,2.0,2.0,2.0,2.0,2.0
170071284,3.0,3.0,3.0,1.0,4.0
170071296,4.0,4.0,4.0,2.0,4.0
170071297,3.0,4.0,4.0,3.0,3.0
170071302,1.0,4.0,1.0,3.0,4.0
170071303,3.0,4.0,4.0,3.0,4.0
170071304,4.0,4.0,4.0,4.0,4.0
170071305,2.0,3.0,2.0,2.0,3.0
170071306,4.0,4.0,4.0,2.0,4.0
170071307,2.0,4.0,4.0,3.0,4.0
170071308,4.0,3.0,3.0,2.0,4.0
170071309,1.0,4.0,4.0,2.0,2.0
170071310,4.0,4.0,4.0,4.0,4.0
170071311,4.0,4.0,4.0,4.0,4.0
170071313,4.0,2.0,3.0,3.0,4.0
170071317,1.0,1.0,1.0,1.0,1.0
170071320,2.0,2.0,4.0,2.0,2.0
170071327,2.0,1.0,1.0,1.0,4.0
170071429,4.0,3.0,3.0,3.0,4.0
170071432,3.0,4.0,4.0,2.0,1.0
170071433,4.0,4.0,4.0,2.0,3.0
170071444,4.0,1.0,4.0,2.0,4.0
170071448,4.0,4.0,4.0,4.0,4.0
170071454,4.0,4.0,4.0,2.0,4.0
170071463,3.0,4.0,2.0,2.0,4.0
170071472,3.0,3.0,2.0,3.0,3.0
170071473,4.0,4.0,4.0,2.0,4.0
170071474,4.0,4.0,4.0,2.0,4.0
170071481,3.0,4.0,2.0,2.0,2.0
170071484,3.0,4.0,3.0,2.0,3.0
170071491,3.0,4.0,2.0,2.0,2.0
170071494,3.0,3.0,3.0,3.0,4.0
170071495,4.0,4.0,4.0,2.0,4.0
170071496,4.0,4.0,4.0,4.0,3.0
170071497,4.0,4.0,2.0,3.0,4.0
170071504,4.0,4.0,4.0,4.0,4.0
170071505,4.0,4.0,4.0,2.0,4.0
170071506,2.0,4.0,4.0,4.0,4.0
170071513,1.0,3.0,3.0,2.0,4.0
170071514,2.0,1.0,1.0,1.0,2.0
170071515,4.0,4.0,2.0,2.0,2.0
170071516,4.0,4.0,4.0,4.0,4.0
170071517,4.0,2.0,2.0,4.0,4.0
170071525,4.0,4.0,4.0,4.0,4.0
170071527,4.0,4.0,4.0,3.0,4.0
170071528,3.0,4.0,3.0,2.0,4.0
170071530,4.0,4.0,4.0,4.0,4.0
170071532,3.0,2.0,1.0,1.0,1.0
170071533,4.0,3.0,2.0,1.0,3.0
170071534,4.0,4.0,4.0,2.0,4.0
170071537,3.0,3.0,4.0,2.0,2.0
