D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
276070001,4,4,4,4,4
276070002,4,3,4,3,4
276070003,4,4,4,4,4
276070004,4,4,4,4,4
276070005,4,4,4,4,4
276070006,4,4,4,4,4
276070007,4,4,4,4,4
276070008,4,4,4,4,4
276070009,4,4,3,4,4
276070010,4,3,4,4,4
276070011,4,3,4,4,4
276070012,4,4,4,4,4
276070013,4,4,4,4,4
276070014,4,4,4,4,4
276070015,4,4,4,4,4
276070016,4,4,4,4,4
276070017,4,4,4,4,4
276070018,4,4,3,4,4
276070019,4,1,4,4,4
276070020,4,4,4,4,4
276070021,4,3,4,4,4
276070022,4,4,4,4,4
276070023,4,4,4,4,4
276070024,4,4,4,4,4
276070025,4,4,4,4,4
276070026,4,4,4,4,4
276070027,4,4,4,4,4
276070028,4,4,4,4,4
276070029,4,4,4,4,4
276070030,4,4,4,3,4
276070031,4,4,4,4,4
276070032,4,4,4,4,4
276070033,4,4,4,4,4
276070034,4,4,4,4,4
276070035,4,4,4,4,4
276070036,4,4,4,4,4
276070037,4,3,4,4,4
276070038,4,4,4,4,4
276070039,4,4,4,4,4
276070040,4,4,3,3,4
276070041,4,4,4,4,4
276070042,4,4,4,4,4
276070043,4,4,4,4,4
276070044,4,2,2,4,4
276070045,4,4,4,2,4
276070046,4,4,4,4,4
276070047,4,4,4,4,4
276070048,4,4,4,4,4
276070049,4,4,4,4,4
276070050,4,3,4,4,4
276070051,4,4,4,4,4
276070052,4,4,4,4,4
276070053,4,4,3,4,4
276070054,4,4,4,4,4
276070055,4,4,3,4,4
276070056,2,4,4,4,4
276070057,4,4,4,4,4
276070058,4,4,4,4,4
276070059,4,4,4,4,4
276070060,4,3,3,1,4
276070061,4,3,3,2,3
276070062,4,3,4,4,4
276070063,4,4,3,4,4
276070064,4,3,4,4,4
276070065,4,3,4,4,4
276070066,4,2,3,4,4
276070067,4,3,3,1,2
276070068,3,4,4,4,4
276070069,4,2,4,3,4
276070070,4,4,4,4,4
276070071,4,4,4,4,4
276070072,4,2,4,1,4
276070073,4,4,4,3,4
276070074,4,4,4,4,4
276070075,4,3,4,4,4
276070076,3,3,4,4,4
276070077,4,4,4,4,4
276070078,4,4,4,4,4
276070079,4,4,4,4,4
276070080,4,4,4,4,4
276070081,4,4,3,4,4
276070082,4,4,4,4,4
276070083,4,3,4,4,4
276070084,4,4,4,4,4
276070085,4,4,4,4,4
276070086,4,4,4,4,4
276070087,4,4,4,4,4
276070088,4,2,4,4,4
276070089,4,4,4,4,4
276070090,4,4,3,4,4
276070091,4,4,4,4,4
276070092,4,4,4,4,4
276070093,4,2,4,4,4
276070094,4,3,4,4,4
276070095,4,4,4,2,4
276070096,4,4,4,4,4
276070097,4,4,4,4,4
276070098,4,4,4,4,4
276070099,4,4,4,4,4
276070100,4,4,3,4,4
276070101,4,4,4,4,4
276070102,4,4,4,4,4
276070103,4,4,4,3,4
276070104,4,3,4,4,4
276070105,4,4,4,4,4
276070106,4,3,4,4,4
276070107,4,4,4,4,4
276070108,4,4,4,4,4
276070109,4,4,4,4,4
276070110,4,4,4,4,4
276070111,4,4,4,4,4
276070112,4,4,4,4,4
276070113,4,4,4,4,4
276070114,4,2,4,4,4
276070115,4,2,2,4,4
276070116,4,4,4,4,4
276070117,4,4,3,4,4
276070118,4,4,4,4,4
276070119,4,4,4,4,4
276070120,3,3,1,4,4
276070121,4,4,4,4,4
