D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
276070001,4.0,4.0,4.0,4.0,4.0
276070002,4.0,3.0,4.0,3.0,4.0
276070003,4.0,4.0,4.0,4.0,4.0
276070004,4.0,4.0,4.0,4.0,4.0
276070005,4.0,4.0,4.0,4.0,4.0
276070006,4.0,4.0,4.0,4.0,4.0
276070007,4.0,4.0,4.0,4.0,4.0
276070008,4.0,4.0,4.0,4.0,4.0
276070009,4.0,4.0,3.0,4.0,4.0
276070010,4.0,3.0,4.0,4.0,4.0
276070011,4.0,3.0,4.0,4.0,4.0
276070012,4.0,4.0,4.0,4.0,4.0
276070013,4.0,4.0,4.0,4.0,4.0
276070014,4.0,4.0,4.0,4.0,4.0
276070015,4.0,4.0,4.0,4.0,4.0
276070016,4.0,4.0,4.0,4.0,4.0
276070017,4.0,4.0,4.0,4.0,4.0
276070018,4.0,4.0,3.0,4.0,4.0
276070019,4.0,1.0,4.0,4.0,4.0
276070020,4.0,4.0,4.0,4.0,4.0
276070021,4.0,3.0,4.0,4.0,4.0
276070022,4.0,4.0,4.0,4.0,4.0
276070023,4.0,4.0,4.0,4.0,4.0
276070024,4.0,4.0,4.0,4.0,4.0
276070025,4.0,4.0,4.0,4.0,4.0
276070026,4.0,4.0,4.0,4.0,4.0
276070027,4.0,4.0,4.0,4.0,4.0
276070028,4.0,4.0,4.0,4.0,4.0
276070029,4.0,4.0,4.0,4.0,4.0
276070030,4.0,4.0,4.0,3.0,4.0
276070031,4.0,4.0,4.0,4.0,4.0
276070032,4.0,4.0,4.0,4.0,4.0
276070033,4.0,4.0,4.0,4.0,4.0
276070034,4.0,4.0,4.0,4.0,4.0
276070035,4.0,4.0,4.0,4.0,4.0
276070036,4.0,4.0,4.0,4.0,4.0
276070037,4.0,3.0,4.0,4.0,4.0
276070038,4.0,4.0,4.0,4.0,4.0
276070039,4.0,4.0,4.0,4.0,4.0
276070040,4.0,4.0,3.0,3.0,4.0
276070041,4.0,4.0,4.0,4.0,4.0
276070042,4.0,4.0,4.0,4.0,4.0
276070043,4.0,4.0,4.0,4.0,4.0
276070044,4.0,2.0,2.0,4.0,4.0
276070045,4.0,4.0,4.0,2.0,4.0
276070046,4.0,4.0,4.0,4.0,4.0
276070047,4.0,4.0,4.0,4.0,4.0
276070048,4.0,4.0,4.0,4.0,4.0
276070049,4.0,4.0,4.0,4.0,4.0
276070050,4.0,3.0,4.0,4.0,4.0
276070051,4.0,4.0,4.0,4.0,4.0
276070052,4.0,4.0,4.0,4.0,4.0
276070053,4.0,4.0,3.0,4.0,4.0
276070054,4.0,4.0,4.0,4.0,4.0
276070055,4.0,4.0,3.0,4.0,4.0
276070056,2.0,4.0,4.0,4.0,4.0
276070057,4.0,4.0,4.0,4.0,4.0
276070058,4.0,4.0,4.0,4.0,4.0
