D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
300070001,2,3,1,1,1
300070002,4,1,4,4,4
300070003,3,4,4,1,4
300070004,4,4,4,4,4
300070005,4,4,4,4,4
300070006,4,1,4,3,4
300070007,1,3,1,1,2
300070008,2,3,1,1,4
300070009,4,2,4,1,4
300070010,4,4,4,4,4
300070011,3,4,4,2,4
300070012,4,4,4,4,4
300070013,2,4,4,2,4
300070014,4,4,4,4,4
300070015,4,4,4,4,4
300070016,4,4,4,4,4
300070017,4,4,4,4,4
300070018,4,2,3,4,3
300070019,3,4,4,3,4
300070020,4,4,4,4,4
300070021,4,4,4,2,4
300070022,4,4,4,2,4
300070023,4,4,4,4,4
300070024,4,4,4,4,4
300070025,4,4,4,3,4
300070026,4,4,4,4,4
300070027,4,4,4,4,4
300070028,4,4,4,4,4
300070029,4,1,4,4,4
300070030,3,4,2,4,4
300070031,2,2,3,1,4
300070032,4,2,4,3,4
300070033,4,3,4,4,4
300070034,4,4,4,2,4
300070035,4,1,2,2,4
300070036,3,3,3,2,4
300070037,4,3,4,3,4
300070038,2,4,3,2,4
300070039,4,2,4,3,4
300070040,4,3,4,2,4
300070041,4,4,4,4,4
300070042,2,4,4,4,4
300070043,2,2,2,2,4
300070044,3,3,4,3,4
300070045,4,4,4,4,4
300070046,3,3,3,3,4
300070047,4,4,4,4,4
300070048,4,4,4,4,4
300070049,4,4,4,2,4
300070050,3,3,4,4,4
300070051,4,2,4,4,4
300070052,4,1,1,2,4
300070053,4,4,4,4,4
300070054,4,4,4,2,4
300070055,4,4,4,4,4
300070056,4,3,4,3,4
300070057,4,2,4,3,4
300070058,4,2,4,2,4
300070059,4,4,4,4,4
300070060,4,3,4,4,4
300070061,4,2,4,4,4
300070062,4,2,4,3,4
300070063,4,4,4,4,4
300070064,4,4,4,4,4
300070065,4,4,4,4,4
300070066,4,4,4,4,4
300070067,4,4,4,4,4
300070068,4,4,4,4,4
300070069,4,4,4,4,4
300070070,4,4,4,4,4
300070071,3,3,4,1,4
300070072,3,4,4,1,4
300070073,4,3,4,1,1
300070074,4,1,2,1,4
300070075,1,2,1,1,4
300070076,4,4,2,1,4
300070077,4,2,4,4,4
300070078,3,2,2,1,4
300070079,4,2,4,1,4
300070080,1,2,1,1,4
300070081,4,4,4,4,4
300070082,4,3,4,3,4
300070083,4,4,3,4,4
300070084,4,4,4,4,4
300070085,4,3,4,3,4
300070086,4,3,4,4,4
300070087,4,4,4,4,4
300070088,4,3,4,4,4
300070089,4,2,3,3,4
300070090,4,3,3,3,4
300070091,4,2,4,1,4
300070092,4,3,4,1,4
300070093,4,4,4,3,4
300070094,4,3,4,3,4
300070095,4,4,4,4,4
300070096,4,4,4,2,4
300070097,4,3,3,1,1
300070098,4,4,4,1,4
300070099,4,1,4,1,4
300070100,4,4,4,4,4
