D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
300070001,2.0,3.0,1.0,1.0,1.0
300070002,4.0,1.0,4.0,4.0,4.0
300070003,3.0,4.0,4.0,1.0,4.0
300070004,4.0,4.0,4.0,4.0,4.0
300070005,4.0,4.0,4.0,4.0,4.0
300070006,4.0,1.0,4.0,3.0,4.0
300070007,1.0,3.0,1.0,1.0,2.0
300070008,2.0,3.0,1.0,1.0,4.0
300070009,4.0,2.0,4.0,1.0,4.0
300070010,4.0,4.0,4.0,4.0,4.0
300070011,3.0,4.0,4.0,2.0,4.0
300070012,4.0,4.0,4.0,4.0,4.0
300070013,2.0,4.0,4.0,2.0,4.0
300070014,4.0,4.0,4.0,4.0,4.0
300070015,4.0,4.0,4.0,4.0,4.0
300070016,4.0,4.0,4.0,4.0,4.0
300070017,4.0,4.0,4.0,4.0,4.0
300070018,4.0,2.0,3.0,4.0,3.0
300070019,3.0,4.0,4.0,3.0,4.0
300070020,4.0,4.0,4.0,4.0,4.0
300070021,4.0,4.0,4.0,2.0,4.0
300070022,4.0,4.0,4.0,2.0,4.0
300070023,4.0,4.0,4.0,4.0,4.0
300070024,4.0,4.0,4.0,4.0,4.0
300070025,4.0,4.0,4.0,3.0,4.0
300070026,4.0,4.0,4.0,4.0,4.0
300070027,4.0,4.0,4.0,4.0,4.0
300070028,4.0,4.0,4.0,4.0,4.0
300070029,4.0,1.0,4.0,4.0,4.0
300070030,3.0,4.0,2.0,4.0,4.0
300070031,2.0,2.0,3.0,1.0,4.0
300070032,4.0,2.0,4.0,3.0,4.0
300070033,4.0,3.0,4.0,4.0,4.0
300070034,4.0,4.0,4.0,2.0,4.0
300070035,4.0,1.0,2.0,2.0,4.0
300070036,3.0,3.0,3.0,2.0,4.0
300070037,4.0,3.0,4.0,3.0,4.0
300070038,2.0,4.0,3.0,2.0,4.0
300070039,4.0,2.0,4.0,3.0,4.0
300070040,4.0,3.0,4.0,2.0,4.0
300070041,4.0,4.0,4.0,4.0,4.0
300070042,2.0,4.0,4.0,4.0,4.0
300070043,2.0,2.0,2.0,2.0,4.0
300070044,3.0,3.0,4.0,3.0,4.0
300070045,4.0,4.0,4.0,4.0,4.0
300070046,3.0,3.0,3.0,3.0,4.0
300070047,4.0,4.0,4.0,4.0,4.0
300070048,4.0,4.0,4.0,4.0,4.0
300070049,4.0,4.0,4.0,2.0,4.0
300070050,3.0,3.0,4.0,4.0,4.0
300070051,4.0,2.0,4.0,4.0,4.0
300070052,4.0,1.0,1.0,2.0,4.0
300070053,4.0,4.0,4.0,4.0,4.0
300070054,4.0,4.0,4.0,2.0,4.0
300070055,4.0,4.0,4.0,4.0,4.0
300070056,4.0,3.0,4.0,3.0,4.0
300070057,4.0,2.0,4.0,3.0,4.0
300070058,4.0,2.0,4.0,2.0,4.0
300070059,4.0,4.0,4.0,4.0,4.0
300070060,4.0,3.0,4.0,4.0,4.0
300070061,4.0,2.0,4.0,4.0,4.0
300070062,4.0,2.0,4.0,3.0,4.0
300070063,4.0,4.0,4.0,4.0,4.0
300070064,4.0,4.0,4.0,4.0,4.0
300070065,4.0,4.0,4.0,4.0,4.0
300070066,4.0,4.0,4.0,4.0,4.0
300070067,4.0,4.0,4.0,4.0,4.0
300070068,4.0,4.0,4.0,4.0,4.0
300070069,4.0,4.0,4.0,4.0,4.0
300070070,4.0,4.0,4.0,4.0,4.0
300070071,3.0,3.0,4.0,1.0,4.0
300070072,3.0,4.0,4.0,1.0,4.0
300070073,4.0,3.0,4.0,1.0,1.0
300070074,4.0,1.0,2.0,1.0,4.0
300070075,1.0,2.0,1.0,1.0,4.0
300070076,4.0,4.0,2.0,1.0,4.0
300070077,4.0,2.0,4.0,4.0,4.0
300070078,3.0,2.0,2.0,1.0,4.0
300070079,4.0,2.0,4.0,1.0,4.0
300070080,1.0,2.0,1.0,1.0,4.0
300070081,4.0,4.0,4.0,4.0,4.0
300070082,4.0,3.0,4.0,3.0,4.0
300070083,4.0,4.0,3.0,4.0,4.0
300070084,4.0,4.0,4.0,4.0,4.0
300070085,4.0,3.0,4.0,3.0,4.0
300070086,4.0,3.0,4.0,4.0,4.0
300070087,4.0,4.0,4.0,4.0,4.0
300070088,4.0,3.0,4.0,4.0,4.0
300070089,4.0,2.0,3.0,3.0,4.0
300070090,4.0,3.0,3.0,3.0,4.0
300070091,4.0,2.0,4.0,1.0,4.0
300070092,4.0,3.0,4.0,1.0,4.0
300070093,4.0,4.0,4.0,3.0,4.0
300070094,4.0,3.0,4.0,3.0,4.0
300070095,4.0,4.0,4.0,4.0,4.0
300070096,4.0,4.0,4.0,2.0,4.0
300070097,4.0,3.0,3.0,1.0,1.0
300070098,4.0,4.0,4.0,1.0,4.0
300070099,4.0,1.0,4.0,1.0,4.0
300070100,4.0,4.0,4.0,4.0,4.0
300070101,4.0,4.0,4.0,4.0,4.0
300070102,4.0,4.0,4.0,4.0,4.0
300070103,4.0,4.0,4.0,4.0,4.0
300070104,4.0,3.0,4.0,4.0,4.0
300070105,4.0,4.0,4.0,3.0,4.0
300070106,4.0,4.0,4.0,4.0,4.0
300070107,4.0,4.0,4.0,4.0,4.0
300070108,4.0,4.0,4.0,4.0,4.0
300070109,4.0,4.0,4.0,4.0,4.0
300070110,4.0,3.0,4.0,4.0,4.0
300070111,4.0,2.0,3.0,3.0,4.0
300070112,4.0,2.0,4.0,2.0,4.0
300070113,1.0,4.0,4.0,1.0,4.0
300070114,4.0,1.0,4.0,4.0,4.0
300070115,2.0,1.0,4.0,2.0,4.0
300070116,4.0,1.0,4.0,1.0,4.0
300070117,4.0,4.0,4.0,4.0,4.0
300070118,4.0,2.0,4.0,4.0,4.0
300070119,1.0,4.0,1.0,1.0,4.0
300070120,4.0,3.0,4.0,4.0,4.0
300070121,1.0,4.0,4.0,2.0,4.0
300070122,4.0,4.0,4.0,4.0,4.0
300070123,4.0,4.0,4.0,4.0,4.0
300070124,4.0,2.0,4.0,3.0,4.0
300070125,4.0,3.0,4.0,3.0,4.0
300070126,4.0,3.0,4.0,3.0,4.0
300070127,4.0,4.0,4.0,2.0,4.0
300070128,2.0,3.0,3.0,1.0,4.0
300070129,3.0,3.0,4.0,2.0,4.0
300070130,4.0,4.0,4.0,4.0,4.0
300070131,4.0,3.0,4.0,4.0,4.0
300070132,4.0,3.0,4.0,4.0,4.0
300070133,2.0,4.0,4.0,2.0,4.0
300070134,4.0,2.0,4.0,4.0,4.0
300070135,4.0,3.0,4.0,4.0,4.0
300070136,4.0,4.0,-5.0,4.0,4.0
300070137,4.0,2.0,4.0,4.0,4.0
300070138,4.0,3.0,4.0,4.0,4.0
300070139,4.0,3.0,4.0,4.0,4.0
300070140,4.0,4.0,4.0,4.0,4.0
300070141,4.0,2.0,4.0,4.0,4.0
300070142,4.0,4.0,4.0,4.0,4.0
300070143,4.0,3.0,4.0,2.0,4.0
300070144,4.0,3.0,4.0,4.0,4.0
300070145,4.0,4.0,2.0,3.0,4.0
300070146,4.0,3.0,-5.0,3.0,4.0
300070147,4.0,3.0,4.0,4.0,4.0
300070148,2.0,1.0,4.0,4.0,4.0
300070149,4.0,3.0,4.0,4.0,4.0
300070150,4.0,3.0,4.0,4.0,4.0
300070151,2.0,1.0,2.0,1.0,4.0
300070152,3.0,4.0,4.0,3.0,4.0
300070153,2.0,3.0,4.0,2.0,4.0
300070154,2.0,4.0,4.0,2.0,4.0
300070155,1.0,1.0,4.0,1.0,3.0
300070156,4.0,3.0,4.0,2.0,4.0
300070157,1.0,1.0,4.0,1.0,4.0
300070158,1.0,2.0,1.0,1.0,4.0
300070159,3.0,1.0,4.0,2.0,4.0
300070160,3.0,2.0,4.0,2.0,4.0
300070161,4.0,4.0,4.0,2.0,4.0
300070162,4.0,4.0,4.0,4.0,4.0
300070163,2.0,4.0,4.0,3.0,4.0
300070164,3.0,4.0,4.0,4.0,4.0
300070165,4.0,2.0,4.0,4.0,4.0
300070166,4.0,1.0,4.0,3.0,4.0
300070167,4.0,4.0,4.0,4.0,4.0
300070168,2.0,4.0,4.0,2.0,4.0
300070169,4.0,4.0,4.0,2.0,4.0
300070170,2.0,2.0,2.0,2.0,4.0
300070171,4.0,2.0,4.0,2.0,4.0
300070172,4.0,3.0,4.0,4.0,4.0
300070173,4.0,3.0,4.0,3.0,4.0
300070174,2.0,3.0,4.0,1.0,4.0
300070175,4.0,4.0,4.0,4.0,4.0
300070176,2.0,2.0,3.0,1.0,4.0
300070177,4.0,4.0,4.0,4.0,4.0
300070178,4.0,4.0,4.0,4.0,4.0
300070179,4.0,4.0,4.0,4.0,4.0
300070180,3.0,3.0,4.0,3.0,4.0
300070181,2.0,1.0,4.0,4.0,4.0
300070182,4.0,3.0,4.0,4.0,4.0
300070183,4.0,4.0,4.0,4.0,4.0
300070184,4.0,4.0,4.0,4.0,4.0
300070185,4.0,2.0,4.0,4.0,4.0
300070186,4.0,4.0,4.0,4.0,4.0
300070187,4.0,3.0,4.0,4.0,4.0
300070188,4.0,2.0,4.0,4.0,4.0
300070189,4.0,3.0,4.0,4.0,4.0
300070190,4.0,4.0,4.0,4.0,4.0
300070191,4.0,4.0,4.0,4.0,4.0
300070192,4.0,4.0,4.0,4.0,4.0
300070193,4.0,4.0,4.0,4.0,4.0
300070194,2.0,1.0,3.0,1.0,3.0
300070195,4.0,4.0,4.0,4.0,4.0
300070196,4.0,4.0,4.0,2.0,4.0
300070197,4.0,4.0,4.0,4.0,4.0
300070198,4.0,4.0,4.0,4.0,4.0
300070199,4.0,4.0,4.0,4.0,4.0
300070200,4.0,4.0,4.0,4.0,4.0
300070201,3.0,1.0,4.0,4.0,4.0
300070202,4.0,2.0,2.0,2.0,4.0
300070203,4.0,3.0,4.0,4.0,4.0
300070204,4.0,2.0,4.0,2.0,4.0
300070205,1.0,1.0,1.0,1.0,3.0
300070206,3.0,4.0,4.0,3.0,4.0
300070207,4.0,4.0,4.0,4.0,4.0
300070208,3.0,4.0,4.0,2.0,4.0
300070209,2.0,2.0,2.0,3.0,4.0
300070210,3.0,1.0,4.0,3.0,4.0
300070211,1.0,1.0,1.0,1.0,4.0
300070212,1.0,2.0,4.0,1.0,4.0
300070213,3.0,3.0,4.0,3.0,3.0
300070214,1.0,1.0,2.0,1.0,1.0
300070215,1.0,1.0,4.0,1.0,1.0
300070216,1.0,1.0,1.0,2.0,4.0
300070217,1.0,1.0,4.0,1.0,2.0
300070218,4.0,4.0,4.0,4.0,4.0
300070219,3.0,1.0,4.0,4.0,4.0
