D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
392070001,4,4,4,4,4
392070002,4,4,4,3,4
392070003,4,3,4,2,4
392070004,4,2,3,2,1
392070005,3,3,3,3,3
392070006,4,3,4,4,4
392070007,2,3,4,2,4
392070008,4,4,4,4,4
392070009,1,4,4,2,1
392070010,4,3,4,4,4
392070011,3,4,3,4,4
392070012,4,3,3,4,4
392070013,3,3,3,3,3
392070014,4,4,4,4,4
392070015,4,4,4,4,4
392070016,3,3,4,3,4
392070017,4,3,4,1,4
392070018,4,4,4,4,4
392070019,4,4,4,4,4
392070020,1,4,4,4,4
392070021,-2,-2,-2,-2,-2
392070022,4,4,4,4,4
392070023,4,4,4,4,4
392070024,4,4,4,4,4
392070025,4,4,4,4,4
392070026,1,3,1,2,3
392070027,4,3,4,4,4
392070028,4,4,4,4,4
392070029,4,4,4,4,4
392070030,4,4,4,4,4
392070031,4,3,4,4,4
392070032,4,3,4,4,4
392070033,4,4,4,4,4
392070034,4,4,4,4,4
392070035,4,4,4,4,4
392070036,3,3,3,3,4
392070037,4,4,4,4,4
392070038,4,4,4,4,4
392070039,4,4,4,4,4
392070040,3,3,3,3,3
392070041,3,4,4,4,4
392070042,3,-1,3,3,4
392070043,4,4,4,4,4
392070044,4,4,4,4,4
392070045,3,3,4,4,4
392070046,4,4,4,4,4
392070047,4,3,4,4,4
392070048,4,4,4,4,4
392070049,4,4,4,4,4
392070050,4,4,4,4,4
392070051,4,4,4,3,4
392070052,4,4,4,4,4
392070053,4,4,4,4,4
392070054,4,3,4,4,4
392070055,3,4,4,2,4
392070056,3,4,4,4,3
392070057,4,4,4,4,4
392070058,4,4,4,4,4
392070059,4,3,3,4,4
392070060,4,4,3,4,4
392070061,3,3,3,3,3
392070062,4,3,4,3,4
392070063,4,3,4,4,4
392070064,4,4,4,4,4
392070065,4,3,4,4,4
392070066,4,4,4,4,4
392070067,4,4,3,2,4
392070068,4,4,4,4,4
392070069,4,4,4,4,4
392070070,4,3,2,4,4
392070071,1,-1,1,1,1
392070072,4,4,4,4,4
392070073,4,2,4,4,4
392070074,4,4,4,4,4
392070075,4,3,4,4,4
392070076,4,3,4,4,4
392070077,4,4,4,4,4
392070078,4,4,4,4,4
392070079,3,3,3,3,3
392070080,4,4,4,4,4
392070081,4,4,4,4,4
392070082,4,4,4,4,4
392070083,4,4,4,4,4
392070084,4,4,3,4,4
392070085,2,3,4,4,4
392070086,4,3,4,4,4
392070087,4,4,4,4,4
392070088,3,3,3,3,3
392070089,1,3,1,1,1
392070090,4,4,4,4,4
392070091,2,4,4,2,4
392070092,3,2,3,1,4
392070093,3,2,3,3,4
392070094,4,4,4,4,4
392070095,4,4,4,4,4
392070096,4,4,4,4,4
392070097,3,4,4,1,4
392070098,3,3,4,3,4
392070099,4,3,3,4,4
392070100,4,4,4,4,4
392070101,3,3,3,4,4
392070102,4,3,3,4,4
392070103,3,2,3,2,3
392070104,4,4,4,4,4
392070105,4,4,4,4,4
392070106,4,4,4,4,4
392070107,4,3,4,4,4
392070108,4,4,4,4,4
392070109,4,4,4,4,4
392070110,4,4,4,4,4
392070111,4,-1,4,4,4
392070112,3,3,3,3,3
392070113,4,4,4,4,4
392070114,4,4,2,2,4
392070115,3,3,3,3,4
392070116,4,4,4,4,4
392070117,4,4,4,4,4
392070118,4,4,4,4,4
392070119,4,4,4,4,4
392070120,4,4,4,4,4
392070121,4,3,3,3,4
392070122,4,4,4,4,4
392070123,4,4,4,4,4
392070124,1,4,1,2,1
392070125,3,3,4,4,4
392070126,4,4,4,4,4
