D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
392070001,4.0,4.0,4.0,4.0,4.0
392070002,4.0,4.0,4.0,3.0,4.0
392070003,4.0,3.0,4.0,2.0,4.0
392070004,4.0,2.0,3.0,2.0,1.0
392070005,3.0,3.0,3.0,3.0,3.0
392070006,4.0,3.0,4.0,4.0,4.0
392070007,2.0,3.0,4.0,2.0,4.0
392070008,4.0,4.0,4.0,4.0,4.0
392070009,1.0,4.0,4.0,2.0,1.0
392070010,4.0,3.0,4.0,4.0,4.0
392070011,3.0,4.0,3.0,4.0,4.0
392070012,4.0,3.0,3.0,4.0,4.0
392070013,3.0,3.0,3.0,3.0,3.0
392070014,4.0,4.0,4.0,4.0,4.0
392070015,4.0,4.0,4.0,4.0,4.0
392070016,3.0,3.0,4.0,3.0,4.0
392070017,4.0,3.0,4.0,1.0,4.0
392070018,4.0,4.0,4.0,4.0,4.0
392070019,4.0,4.0,4.0,4.0,4.0
392070020,1.0,4.0,4.0,4.0,4.0
392070021,-2.0,-2.0,-2.0,-2.0,-2.0
392070022,4.0,4.0,4.0,4.0,4.0
392070023,4.0,4.0,4.0,4.0,4.0
392070024,4.0,4.0,4.0,4.0,4.0
392070025,4.0,4.0,4.0,4.0,4.0
392070026,1.0,3.0,1.0,2.0,3.0
392070027,4.0,3.0,4.0,4.0,4.0
392070028,4.0,4.0,4.0,4.0,4.0
392070029,4.0,4.0,4.0,4.0,4.0
392070030,4.0,4.0,4.0,4.0,4.0
392070031,4.0,3.0,4.0,4.0,4.0
392070032,4.0,3.0,4.0,4.0,4.0
392070033,4.0,4.0,4.0,4.0,4.0
392070034,4.0,4.0,4.0,4.0,4.0
392070035,4.0,4.0,4.0,4.0,4.0
392070036,3.0,3.0,3.0,3.0,4.0
392070037,4.0,4.0,4.0,4.0,4.0
392070038,4.0,4.0,4.0,4.0,4.0
392070039,4.0,4.0,4.0,4.0,4.0
392070040,3.0,3.0,3.0,3.0,3.0
392070041,3.0,4.0,4.0,4.0,4.0
392070042,3.0,-1.0,3.0,3.0,4.0
392070043,4.0,4.0,4.0,4.0,4.0
392070044,4.0,4.0,4.0,4.0,4.0
392070045,3.0,3.0,4.0,4.0,4.0
392070046,4.0,4.0,4.0,4.0,4.0
392070047,4.0,3.0,4.0,4.0,4.0
392070048,4.0,4.0,4.0,4.0,4.0
392070049,4.0,4.0,4.0,4.0,4.0
392070050,4.0,4.0,4.0,4.0,4.0
392070051,4.0,4.0,4.0,3.0,4.0
392070052,4.0,4.0,4.0,4.0,4.0
392070053,4.0,4.0,4.0,4.0,4.0
392070054,4.0,3.0,4.0,4.0,4.0
392070055,3.0,4.0,4.0,2.0,4.0
392070056,3.0,4.0,4.0,4.0,3.0
392070057,4.0,4.0,4.0,4.0,4.0
392070058,4.0,4.0,4.0,4.0,4.0
392070059,4.0,3.0,3.0,4.0,4.0
392070060,4.0,4.0,3.0,4.0,4.0
392070061,3.0,3.0,3.0,3.0,3.0
392070062,4.0,3.0,4.0,3.0,4.0
392070063,4.0,3.0,4.0,4.0,4.0
392070064,4.0,4.0,4.0,4.0,4.0
392070065,4.0,3.0,4.0,4.0,4.0
392070066,4.0,4.0,4.0,4.0,4.0
392070067,4.0,4.0,3.0,2.0,4.0
392070068,4.0,4.0,4.0,4.0,4.0
392070069,4.0,4.0,4.0,4.0,4.0
392070070,4.0,3.0,2.0,4.0,4.0
392070071,1.0,-1.0,1.0,1.0,1.0
392070072,4.0,4.0,4.0,4.0,4.0
392070073,4.0,2.0,4.0,4.0,4.0
392070074,4.0,4.0,4.0,4.0,4.0
392070075,4.0,3.0,4.0,4.0,4.0
392070076,4.0,3.0,4.0,4.0,4.0
392070077,4.0,4.0,4.0,4.0,4.0
392070078,4.0,4.0,4.0,4.0,4.0
392070079,3.0,3.0,3.0,3.0,3.0
392070080,4.0,4.0,4.0,4.0,4.0
392070081,4.0,4.0,4.0,4.0,4.0
392070082,4.0,4.0,4.0,4.0,4.0
