D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
484070001,4,1,4,4,4
484070002,4,4,4,4,4
484070003,3,1,1,2,4
484070004,4,3,4,4,4
484070005,4,1,4,4,4
484070006,4,2,2,2,4
484070007,4,4,4,4,4
484070008,4,4,4,4,4
484070009,3,3,4,3,4
484070010,4,3,4,4,4
484070011,3,4,3,3,4
484070012,2,2,3,3,4
484070013,3,1,3,3,4
484070014,4,1,4,2,4
484070015,2,4,4,4,4
484070016,1,4,4,4,4
484070017,4,1,2,2,4
484070018,2,3,3,2,4
484070019,3,4,3,3,4
484070020,4,2,4,4,4
484070021,4,1,4,3,4
484070022,2,4,2,2,4
484070023,2,3,3,2,4
484070024,2,2,2,2,2
484070025,4,2,3,3,4
484070026,2,1,2,2,4
484070027,4,1,2,2,4
484070028,3,3,4,4,4
484070029,4,4,4,4,4
484070030,4,4,4,4,4
484070031,4,3,4,4,4
484070032,2,1,4,2,4
484070033,2,2,2,2,4
484070034,2,4,1,1,4
484070035,4,2,2,2,4
484070036,2,2,2,1,4
484070037,4,3,4,4,4
484070038,4,1,4,4,4
484070039,4,4,4,1,4
484070040,4,4,4,4,4
484070041,3,2,3,2,4
484070042,4,4,4,2,4
484070043,3,1,1,2,4
484070044,3,1,1,4,4
484070045,2,3,2,2,2
484070046,3,1,4,4,4
484070047,2,1,2,3,4
484070048,4,4,4,2,4
484070049,4,3,4,3,4
484070050,4,3,4,4,3
484070051,4,2,2,4,4
484070052,2,2,4,3,4
484070053,3,1,4,4,4
484070054,4,2,4,4,4
484070055,4,3,4,4,4
484070056,4,4,4,4,4
484070057,2,1,2,3,4
484070058,4,4,4,4,4
484070059,4,3,4,4,4
484070060,1,4,4,4,4
484070061,4,2,4,3,4
484070062,2,1,2,2,4
484070063,2,3,2,1,3
484070064,1,1,4,2,4
484070065,4,4,3,3,4
484070066,4,1,2,2,4
484070067,4,2,3,3,4
484070068,4,1,4,3,4
484070069,3,2,3,3,4
484070070,1,2,2,3,3
484070071,4,3,4,4,4
484070072,4,1,4,4,4
484070073,4,1,4,4,4
484070074,3,4,3,1,4
484070075,4,3,1,4,4
484070076,3,1,1,1,4
484070077,2,1,2,1,4
484070078,2,2,2,2,4
484070079,4,1,4,4,4
484070080,3,1,2,1,4
484070081,3,1,3,2,4
484070082,1,2,1,1,4
484070083,3,2,4,2,2
484070084,3,2,3,3,4
484070085,1,1,1,1,4
484070086,4,1,4,3,4
484070087,1,1,3,3,4
484070088,2,1,2,2,4
484070089,4,1,4,4,4
484070090,4,1,3,4,4
484070091,4,1,4,4,4
484070092,4,1,4,4,4
484070093,4,4,4,4,4
484070094,4,2,1,2,4
484070095,4,3,4,4,4
484070096,4,2,4,4,4
484070097,2,1,3,3,4
484070098,4,2,4,4,4
484070099,4,2,4,4,4
484070100,4,4,4,4,4
484070101,4,1,4,4,4
484070102,3,4,4,4,4
484070103,3,1,4,2,4
484070104,4,1,4,4,4
484070105,1,2,2,2,4
484070106,4,2,4,4,4
484070107,3,1,2,4,4
484070108,4,2,4,3,4
484070109,2,2,1,2,4
484070110,3,1,1,2,4
484070111,3,2,2,2,4
484070112,4,1,4,4,4
484070113,2,1,2,2,4
484070114,2,2,2,2,3
484070115,3,1,2,2,4
484070116,3,1,3,3,4
484070117,2,2,2,2,3
484070118,1,1,1,1,2
484070119,1,2,1,1,3
484070120,1,1,1,1,2
484070121,4,4,4,4,4
484070122,3,4,3,3,4
484070123,1,4,1,1,1
484070124,2,2,4,4,4
484070125,4,4,4,4,4
484070126,2,1,1,1,4
484070127,3,2,4,4,4
484070128,4,1,3,4,4
484070129,4,4,4,4,4
484070130,3,2,4,4,4
484070131,3,2,3,3,4
484070132,3,2,4,2,4
484070133,4,2,3,3,4
484070134,3,2,4,3,4
484070135,4,4,4,4,4
484070136,4,4,4,4,4
484070137,4,4,4,4,4
484070138,3,2,4,3,4
484070139,2,2,4,2,4
484070140,4,4,4,4,4
484070141,3,4,4,4,4
484070142,3,2,4,4,4
484070143,3,3,2,3,4
484070144,2,2,4,3,4
484070145,2,2,2,2,2
484070146,4,1,4,4,4
484070147,4,4,4,4,4
484070148,4,4,4,4,4
484070149,4,2,4,4,4
484070150,3,1,3,2,4
484070151,2,1,2,2,2
484070152,2,1,1,2,4
484070153,2,1,3,3,4
484070154,2,1,3,4,4
484070155,4,2,4,4,4
484070156,2,3,2,3,4
484070157,1,2,4,3,2
484070158,3,2,2,3,2
484070159,2,1,1,2,4
484070160,3,1,4,4,4
484070161,4,1,2,2,4
484070162,4,1,2,3,4
484070163,3,2,2,3,4
484070164,2,3,1,2,3
484070165,3,4,4,2,4
484070166,2,2,2,3,4
484070167,4,4,1,3,4
484070168,4,2,2,3,4
484070169,3,4,4,3,3
484070170,2,3,1,3,2
484070171,2,2,2,2,4
484070172,4,1,4,4,4
484070173,4,4,2,3,4
484070174,3,3,3,1,3
484070175,3,3,3,3,4
484070176,3,1,1,2,4
484070177,2,2,3,3,3
484070178,3,1,4,4,4
484070179,2,1,2,4,4
