D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
484070001,4.0,1.0,4.0,4.0,4.0
484070002,4.0,4.0,4.0,4.0,4.0
484070003,3.0,1.0,1.0,2.0,4.0
484070004,4.0,3.0,4.0,4.0,4.0
484070005,4.0,1.0,4.0,4.0,4.0
484070006,4.0,2.0,2.0,2.0,4.0
484070007,4.0,4.0,4.0,4.0,4.0
484070008,4.0,4.0,4.0,4.0,4.0
484070009,3.0,3.0,4.0,3.0,4.0
484070010,4.0,3.0,4.0,4.0,4.0
484070011,3.0,4.0,3.0,3.0,4.0
484070012,2.0,2.0,3.0,3.0,4.0
484070013,3.0,1.0,3.0,3.0,4.0
484070014,4.0,1.0,4.0,2.0,4.0
484070015,2.0,4.0,4.0,4.0,4.0
484070016,1.0,4.0,4.0,4.0,4.0
484070017,4.0,1.0,2.0,2.0,4.0
484070018,2.0,3.0,3.0,2.0,4.0
484070019,3.0,4.0,3.0,3.0,4.0
484070020,4.0,2.0,4.0,4.0,4.0
484070021,4.0,1.0,4.0,3.0,4.0
484070022,2.0,4.0,2.0,2.0,4.0
484070023,2.0,3.0,3.0,2.0,4.0
484070024,2.0,2.0,2.0,2.0,2.0
484070025,4.0,2.0,3.0,3.0,4.0
484070026,2.0,1.0,2.0,2.0,4.0
484070027,4.0,1.0,2.0,2.0,4.0
484070028,3.0,3.0,4.0,4.0,4.0
484070029,4.0,4.0,4.0,4.0,4.0
484070030,4.0,4.0,4.0,4.0,4.0
484070031,4.0,3.0,4.0,4.0,4.0
484070032,2.0,1.0,4.0,2.0,4.0
484070033,2.0,2.0,2.0,2.0,4.0
484070034,2.0,4.0,1.0,1.0,4.0
484070035,4.0,2.0,2.0,2.0,4.0
484070036,2.0,2.0,2.0,1.0,4.0
484070037,4.0,3.0,4.0,4.0,4.0
484070038,4.0,1.0,4.0,4.0,4.0
484070039,4.0,4.0,4.0,1.0,4.0
484070040,4.0,4.0,4.0,4.0,4.0
484070041,3.0,2.0,3.0,2.0,4.0
484070042,4.0,4.0,4.0,2.0,4.0
484070043,3.0,1.0,1.0,2.0,4.0
484070044,3.0,1.0,1.0,4.0,4.0
484070045,2.0,3.0,2.0,2.0,2.0
484070046,3.0,1.0,4.0,4.0,4.0
484070047,2.0,1.0,2.0,3.0,4.0
484070048,4.0,4.0,4.0,2.0,4.0
484070049,4.0,3.0,4.0,3.0,4.0
484070050,4.0,3.0,4.0,4.0,3.0
484070051,4.0,2.0,2.0,4.0,4.0
484070052,2.0,2.0,4.0,3.0,4.0
484070053,3.0,1.0,4.0,4.0,4.0
484070054,4.0,2.0,4.0,4.0,4.0
484070055,4.0,3.0,4.0,4.0,4.0
