D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
528070001,4,4,4,4,4
528070002,4,4,4,4,4
528070003,4,4,4,4,4
528070004,4,4,4,4,4
528070005,-5,-5,-5,-1,-1
528070006,4,4,4,4,4
528070007,4,4,4,4,4
528070008,3,2,3,3,4
528070009,4,4,4,4,4
528070010,4,4,4,4,4
528070011,4,3,4,4,4
528070012,4,4,4,4,4
528070013,4,4,4,4,4
528070014,4,4,4,4,4
528070015,4,4,4,4,4
528070016,4,4,4,4,4
528070017,4,4,4,4,4
528070018,4,1,4,4,3
528070019,4,4,4,4,4
528070020,4,3,4,4,4
528070021,4,4,4,4,4
528070022,4,4,4,4,4
528070023,4,4,4,4,4
528070024,4,4,4,4,4
528070025,4,4,4,4,4
528070026,4,4,4,4,4
528070027,4,4,4,4,4
528070028,4,4,4,4,4
528070029,4,4,4,4,4
528070030,4,4,2,4,4
528070031,4,4,4,4,4
528070032,4,4,4,4,4
528070033,4,4,4,4,4
528070034,4,4,4,4,4
528070035,4,4,4,4,4
528070036,4,4,4,4,4
528070037,1,3,4,4,4
528070038,4,4,4,4,4
528070039,4,4,4,4,4
528070040,4,4,4,4,4
528070041,4,4,4,4,4
528070042,4,4,4,4,4
528070043,-1,-1,-1,-1,-1
528070044,4,4,4,4,4
528070045,4,4,4,4,4
528070046,4,4,4,4,4
528070047,4,3,4,4,4
528070048,4,4,4,4,4
528070049,-5,-5,-5,-5,-5
528070050,4,4,4,4,4
528070051,4,4,4,4,4
528070052,4,3,3,3,4
528070053,4,4,4,4,4
528070054,4,4,4,4,4
528070055,4,4,4,4,4
528070056,4,4,4,4,4
528070057,4,4,4,4,4
528070058,4,4,4,4,4
528070059,4,4,4,4,4
528070060,4,4,4,4,4
528070061,4,4,4,4,4
528070062,4,4,4,4,4
528070063,4,4,-5,4,-5
528070064,4,4,4,4,4
528070065,4,4,4,4,4
528070066,4,4,4,4,4
528070067,4,4,4,4,4
528070068,4,4,4,4,4
528070069,4,4,4,4,4
528070070,4,4,4,4,4
528070071,4,4,4,4,4
528070072,-5,-5,-5,-5,-5
528070073,3,3,2,3,4
528070074,4,4,4,4,4
528070075,4,4,4,4,4
528070076,4,2,4,4,4
528070077,4,4,4,4,4
528070078,4,3,4,4,4
528070079,2,2,4,-5,-5
528070080,4,4,4,4,4
528070081,4,4,4,4,4
528070082,4,4,4,4,4
528070083,4,4,4,4,4
528070084,4,3,4,4,4
528070085,4,4,4,4,4
528070086,4,4,4,4,4
528070087,4,4,4,4,4
528070088,4,4,3,4,4
528070089,4,4,4,4,4
528070090,-5,3,-5,-5,-5
528070091,4,4,4,4,4
528070092,4,4,4,4,4
528070093,4,4,4,3,4
528070094,-2,4,-5,-2,4
528070095,4,4,4,4,4
528070096,4,4,4,4,4
528070097,4,4,4,4,4
528070098,4,4,4,4,4
528070099,4,4,4,4,4
528070100,4,4,4,4,4
528070101,4,4,4,4,4
528070102,4,4,4,3,4
528070103,4,4,4,4,4
528070104,4,4,3,4,4
528070105,4,4,4,4,4
528070106,4,4,4,4,4
528070107,4,4,4,4,4
528070108,4,4,4,4,4
528070109,1,4,4,4,4
528070110,4,4,4,4,4
528070111,3,4,4,2,4
528070112,4,4,4,4,4
528070113,4,3,4,4,4
528070114,4,4,4,4,4
528070115,4,4,4,4,4
528070116,4,4,2,4,4
528070117,4,1,4,2,4
528070118,3,4,4,4,4
528070119,4,4,4,4,4
528070120,4,4,4,4,4
528070121,4,4,4,4,4
528070122,4,4,4,4,4
528070123,4,4,4,4,4
528070124,4,4,4,4,4
528070125,-1,-1,-2,-1,-2
528070126,4,4,4,4,4
528070127,4,4,4,4,4
528070128,4,4,4,4,4
528070129,4,4,4,4,4
528070130,4,4,4,4,4
528070131,4,4,4,4,4
528070132,4,4,4,4,4
528070133,-5,-5,-5,-5,-5
528070134,4,4,4,4,4
528070135,4,4,4,4,4
528070136,4,4,4,4,4
528070137,4,4,4,4,4
528070138,4,4,4,4,4
528070139,4,3,4,4,4
528070140,4,4,-5,4,4
528070141,4,4,4,4,4
528070142,4,4,4,4,4
528070143,4,4,4,4,4
528070144,4,4,4,4,4
528070145,4,4,4,4,4
528070146,3,4,4,4,4
528070147,4,4,4,4,4
528070148,4,3,4,4,4
528070149,3,4,4,4,4
528070150,2,3,2,2,-1
528070151,4,4,4,4,4
528070152,4,4,4,4,4
528070153,4,4,4,4,4
528070154,4,4,4,4,4
528070155,4,4,4,4,4
528070156,4,4,4,4,4
528070157,4,4,4,4,4
528070158,4,4,4,4,4
528070159,4,4,4,4,4
528070160,4,4,4,4,4
