D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
604070001,3,-2,3,3,3
604070002,4,4,4,4,4
604070003,4,4,4,4,4
604070004,4,1,3,3,4
604070005,4,4,4,4,4
604070006,4,2,4,2,4
604070007,3,3,3,3,3
604070008,4,2,3,2,3
604070009,4,3,4,4,4
604070010,2,2,2,2,4
604070011,4,2,4,3,4
604070012,3,1,3,3,4
604070013,2,3,3,4,4
604070014,4,2,3,4,4
604070015,3,1,3,2,3
604070016,4,1,3,2,4
604070017,3,3,4,3,4
604070018,4,1,4,4,4
604070019,3,1,1,2,4
604070020,3,2,4,3,-1
604070021,4,2,4,4,4
604070022,4,2,2,2,4
604070023,4,2,2,2,4
604070024,4,3,4,4,4
604070025,4,2,4,4,4
604070026,4,2,4,4,4
604070027,3,2,2,3,4
604070028,4,2,3,3,4
604070029,4,4,4,4,4
604070030,4,2,2,3,4
604070031,4,1,4,3,4
604070032,4,2,4,4,4
604070033,4,2,3,4,4
604070034,4,1,3,3,4
604070035,4,2,4,4,4
604070036,4,2,4,3,4
604070037,3,2,4,3,4
604070038,4,2,2,2,4
604070039,4,3,4,4,4
604070040,3,2,3,2,4
604070041,4,2,3,3,4
604070042,3,2,3,4,4
604070043,2,4,4,3,4
604070044,3,2,2,3,4
604070045,3,2,2,3,3
604070046,3,2,2,2,4
604070047,4,2,4,4,4
604070048,4,2,4,4,4
604070049,4,2,4,4,4
604070050,2,1,2,2,2
604070051,3,2,3,3,4
604070052,2,2,3,2,4
604070053,4,1,2,4,4
604070054,2,1,2,2,2
604070055,2,2,2,2,2
604070056,3,4,2,2,4
604070057,2,1,2,2,2
604070058,4,2,3,4,4
604070059,2,1,2,2,4
604070060,2,1,1,2,3
604070061,4,2,4,4,4
604070062,4,4,4,4,4
604070063,4,2,4,3,4
604070064,4,4,4,4,4
604070065,4,2,4,4,4
604070066,4,2,3,3,4
604070067,3,2,3,3,4
604070068,3,2,3,3,4
604070069,4,2,3,3,4
604070070,3,2,4,3,4
604070071,4,2,3,3,4
604070072,4,4,4,4,4
604070073,4,2,4,3,4
604070074,4,3,4,4,4
604070075,4,1,4,4,4
604070076,2,2,2,2,3
604070077,2,1,2,3,2
604070078,2,1,2,3,2
604070079,2,3,2,2,4
604070080,2,2,2,2,3
604070081,4,4,4,4,4
604070082,4,3,4,4,4
604070083,3,1,2,3,4
604070084,4,2,3,4,4
604070085,4,1,3,4,4
604070086,4,2,3,2,4
604070087,4,1,2,4,4
604070088,4,2,2,3,4
604070089,4,1,4,4,4
604070090,3,1,2,2,4
604070091,4,1,3,4,4
604070092,4,2,4,4,4
604070093,4,1,4,4,4
604070094,3,2,3,3,4
604070095,3,2,3,4,4
604070096,4,4,4,4,4
604070097,4,1,3,4,4
604070098,4,1,2,3,4
604070099,4,1,1,3,4
604070100,4,1,2,3,4
604070101,3,4,2,3,4
604070102,3,2,3,2,3
604070103,3,2,2,2,4
604070104,2,2,2,2,2
604070105,4,4,4,4,4
604070106,3,2,2,2,4
604070107,3,3,3,3,3
604070108,1,2,1,2,2
604070109,4,2,3,3,4
604070110,4,1,3,3,4
604070111,4,2,4,4,4
604070112,3,2,3,3,4
604070113,4,2,3,4,4
604070114,4,1,4,3,4
604070115,4,2,2,2,2
604070116,3,1,2,3,4
604070117,4,1,1,2,4
604070118,3,1,1,3,4
604070119,4,1,1,4,4
604070120,4,1,1,3,4
604070121,4,2,4,3,4
604070122,3,2,3,3,4
604070123,4,2,3,3,4
604070124,3,3,4,3,4
604070125,3,3,4,3,4
