D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
604070001,3.0,-2.0,3.0,3.0,3.0
604070002,4.0,4.0,4.0,4.0,4.0
604070003,4.0,4.0,4.0,4.0,4.0
604070004,4.0,1.0,3.0,3.0,4.0
604070005,4.0,4.0,4.0,4.0,4.0
604070006,4.0,2.0,4.0,2.0,4.0
604070007,3.0,3.0,3.0,3.0,3.0
604070008,4.0,2.0,3.0,2.0,3.0
604070009,4.0,3.0,4.0,4.0,4.0
604070010,2.0,2.0,2.0,2.0,4.0
604070011,4.0,2.0,4.0,3.0,4.0
604070012,3.0,1.0,3.0,3.0,4.0
604070013,2.0,3.0,3.0,4.0,4.0
604070014,4.0,2.0,3.0,4.0,4.0
604070015,3.0,1.0,3.0,2.0,3.0
604070016,4.0,1.0,3.0,2.0,4.0
604070017,3.0,3.0,4.0,3.0,4.0
604070018,4.0,1.0,4.0,4.0,4.0
604070019,3.0,1.0,1.0,2.0,4.0
604070020,3.0,2.0,4.0,3.0,-1.0
604070021,4.0,2.0,4.0,4.0,4.0
604070022,4.0,2.0,2.0,2.0,4.0
604070023,4.0,2.0,2.0,2.0,4.0
604070024,4.0,3.0,4.0,4.0,4.0
604070025,4.0,2.0,4.0,4.0,4.0
604070026,4.0,2.0,4.0,4.0,4.0
604070027,3.0,2.0,2.0,3.0,4.0
604070028,4.0,2.0,3.0,3.0,4.0
604070029,4.0,4.0,4.0,4.0,4.0
604070030,4.0,2.0,2.0,3.0,4.0
604070031,4.0,1.0,4.0,3.0,4.0
604070032,4.0,2.0,4.0,4.0,4.0
604070033,4.0,2.0,3.0,4.0,4.0
604070034,4.0,1.0,3.0,3.0,4.0
604070035,4.0,2.0,4.0,4.0,4.0
604070036,4.0,2.0,4.0,3.0,4.0
604070037,3.0,2.0,4.0,3.0,4.0
604070038,4.0,2.0,2.0,2.0,4.0
604070039,4.0,3.0,4.0,4.0,4.0
604070040,3.0,2.0,3.0,2.0,4.0
604070041,4.0,2.0,3.0,3.0,4.0
604070042,3.0,2.0,3.0,4.0,4.0
