D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
840071001,2,3,1,1,4
840071002,4,4,4,3,4
840071003,2,4,4,4,4
840071004,4,3,4,4,4
840071005,4,4,4,4,4
840071006,4,4,4,4,4
840071007,4,4,4,4,4
840071008,3,4,4,3,4
840071009,3,4,1,1,3
840071010,4,4,4,4,4
840071011,2,1,2,2,4
840071012,1,4,4,3,4
840071013,2,2,2,2,2
840071014,2,4,1,4,4
840071015,1,4,2,2,4
840071016,3,4,3,3,4
840071017,2,4,2,2,4
840071018,4,4,4,4,4
840071019,4,3,4,4,4
840071020,3,4,4,3,4
840071021,3,4,4,4,4
840071022,2,3,2,2,4
840071023,3,1,3,2,4
840071024,1,4,1,2,1
840071025,4,4,4,3,4
840071026,4,4,4,4,4
840071027,4,4,3,3,4
840071028,3,4,2,2,4
840071029,1,3,1,1,3
840071030,4,3,3,2,4
840071031,4,2,1,3,4
840071032,1,4,1,1,4
840071033,3,4,4,3,4
840071034,3,4,3,2,4
840071035,4,3,3,2,4
840071036,4,4,1,4,4
840071037,4,2,4,2,4
840071038,3,3,3,3,3
840071039,4,4,4,4,4
840071040,4,4,3,2,4
840071041,2,4,2,1,4
840071042,2,3,1,1,3
840071043,4,1,4,4,4
840071044,2,2,2,1,4
840071045,2,4,4,1,4
840071046,4,4,4,4,4
840071047,4,4,4,4,4
840071048,2,3,2,2,2
840071049,-2,-2,1,-2,-2
840071050,4,3,4,4,4
840071051,3,3,3,3,3
840071052,3,4,4,4,3
840071053,1,4,1,1,3
840071054,4,4,4,4,4
840071055,4,4,4,4,4
840071056,1,1,1,1,2
840071057,4,4,4,4,4
840071058,4,4,4,4,4
840071059,4,4,2,2,4
840071060,4,4,4,3,4
840071061,2,2,2,2,4
840071062,3,2,3,1,4
840071063,1,4,3,4,4
840071064,2,2,1,1,4
840071065,3,3,2,4,4
840071066,4,4,4,4,4
840071067,3,3,3,3,4
840071068,2,2,2,1,3
840071069,2,3,3,2,4
840071070,3,4,4,4,4
840071071,3,3,2,2,2
840071072,2,3,1,2,4
840071073,3,2,3,3,3
840071074,1,4,4,3,4
840071075,4,2,4,4,4
840071076,2,4,2,2,2
840071077,3,2,3,4,4
840071078,3,3,4,3,4
840071079,3,4,3,3,4
840071080,2,3,4,2,4
840071081,4,2,3,1,4
840071082,3,4,2,1,3
840071083,4,4,4,4,4
840071084,4,3,4,3,4
840071085,1,2,2,1,1
840071086,3,3,2,2,4
840071087,4,2,3,4,4
840071088,3,4,3,4,4
840071089,4,3,4,2,4
840071090,1,2,2,1,3
840071091,4,4,4,4,4
840071092,2,4,3,2,4
840071093,2,4,2,4,4
840071094,2,4,1,2,4
840071095,3,-2,3,1,2
840071096,4,4,4,4,4
840071097,4,4,4,4,4
840071098,3,3,2,2,4
840071099,3,3,4,1,1
840071100,4,2,3,4,4
840071101,4,4,4,4,4
840071102,4,3,4,4,4
840071103,4,4,4,4,4
840071104,2,2,3,4,4
840071105,4,4,4,2,4
840071106,4,4,4,4,4
840071107,3,-2,2,1,2
840071108,4,3,4,4,4
840071109,2,2,1,1,2
840071110,2,4,4,1,4
840071111,2,4,1,1,3
840071112,1,2,2,1,2
840071113,2,2,2,2,2
840071114,4,4,4,4,4
840071115,4,4,2,3,4
840071116,4,4,4,2,4
840071117,3,1,2,1,4
840071118,4,3,1,4,4
840071119,1,3,1,1,1
840071120,3,4,4,2,4
840071121,1,2,1,2,4
840071122,4,4,4,4,4
840071123,4,3,3,4,4
840071124,4,4,1,4,4
840071125,4,4,4,4,4
840071126,3,4,4,4,4
840071127,4,4,4,4,4
840071128,4,4,4,4,4
840071129,4,2,3,2,4
840071130,4,4,4,4,4
840071131,4,2,4,4,4
840071132,4,4,4,4,4
840071133,4,4,4,4,4
840071134,4,4,4,4,4
840071135,3,4,2,1,4
840071136,2,3,1,1,3
840071137,4,4,3,4,4
840071138,2,4,3,2,4
840071139,4,4,4,3,4
840071140,2,3,1,3,4
840071141,3,4,3,3,3
840071142,4,4,4,4,4
840071143,4,2,1,4,4
840071144,3,4,4,3,4
840071145,3,3,4,3,4
840071146,-2,3,3,3,4
840071147,4,4,4,4,4
840071148,4,4,4,4,4
840071149,3,4,3,4,4
840071150,4,4,3,3,4
840071151,4,4,4,4,4
840071152,4,4,4,4,4
840071153,3,3,3,4,4
840071154,4,3,2,4,2
840071155,1,2,2,1,3
840071156,3,2,2,1,3
840071157,2,3,2,2,4
840071158,4,4,4,4,4
840071159,4,4,4,2,4
840071160,3,3,3,4,4
840071161,4,2,2,3,4
840071162,2,1,4,2,4
840071163,4,3,3,3,4
840071164,3,2,2,3,2
840071165,4,4,4,4,4
840071166,3,2,1,2,2
840071167,2,2,3,3,3
840071168,4,4,4,4,4
840071169,4,3,3,2,2
840071170,-2,4,4,1,4
840071171,2,2,4,2,4
840071172,2,2,1,1,3
840071173,2,3,2,3,1
840071174,1,4,4,1,4
840071175,3,1,2,3,3
840071176,4,4,4,4,4
840071177,4,4,4,4,4
840071178,4,2,2,2,4
840071179,1,3,2,1,4
840071180,2,2,3,3,2
840071181,3,2,2,3,-2
840071182,4,4,3,1,4
840071183,2,3,3,2,4
840071184,3,3,3,2,4
840071185,3,4,3,1,2
840071186,4,2,4,4,4
840071187,4,4,4,4,4
840071188,4,4,4,4,4
840071189,2,3,4,2,3
840071190,4,4,4,4,4
840071191,4,3,3,4,4
840071192,4,4,3,3,4
840071193,2,4,2,3,4
840071194,3,3,4,2,4
840071195,2,2,2,1,4
840071196,2,4,2,2,4
840071197,4,4,4,4,4
840071198,4,4,2,2,4
840071199,3,4,4,1,4
840071200,4,3,2,3,4
840071201,2,3,1,1,4
840071202,2,3,3,2,4
840071203,3,2,2,3,4
840071204,3,2,1,3,3
840071205,3,2,4,2,1
840071206,4,4,3,4,4
840071207,4,4,4,4,4
840071208,4,4,4,4,4
840071209,4,4,4,2,4
840071210,4,3,1,2,4
840071211,4,2,4,3,4
840071212,2,4,4,3,4
840071213,1,1,1,1,3
840071214,4,4,4,4,4
840071215,2,4,4,4,4
840071216,2,3,2,2,4
840071217,4,3,4,1,4
840071218,3,3,2,2,4
840071219,3,4,4,4,4
840071220,3,4,4,4,4
840071221,4,4,4,4,4
840071222,4,2,2,3,4
840071223,3,4,4,4,4
840071224,3,2,2,3,4
840071225,3,4,2,4,4
840071226,4,4,3,3,4
840071227,4,4,4,3,4
840071228,4,4,4,4,4
840071229,2,2,2,3,3
840071230,1,3,2,2,4
840071231,4,2,4,1,4
840071232,3,3,3,3,3
840071233,4,4,4,2,4
840071234,3,4,4,2,4
840071235,4,4,4,4,4
840071236,4,4,4,4,4
840071237,2,4,1,2,4
840071238,4,3,3,3,3
840071239,3,4,4,3,4
840071240,3,2,3,2,4
840071241,3,4,4,2,4
840071242,3,4,3,3,4
840071243,2,4,1,2,3
840071244,2,4,2,4,4
840071245,3,4,3,2,4
840071246,4,4,4,4,4
840071247,3,3,3,4,4
840071248,2,2,2,1,3
840071249,2,3,2,3,4
840071250,3,1,2,2,4
840071251,3,2,2,2,4
840071252,4,4,3,3,4
840071253,3,2,2,2,3
840071254,4,4,4,2,4
840071255,4,4,4,1,4
840071256,2,2,1,3,2
840071257,3,4,3,3,4
840071258,3,3,3,2,3
840071259,4,2,4,2,4
840071260,2,2,3,3,4
840071261,2,3,4,3,3
840071262,2,4,3,3,4
840071263,1,3,2,2,4
840071264,4,2,1,2,4
840071265,3,4,3,2,4
840071266,4,4,2,2,4
840071267,2,3,3,2,3
840071268,4,2,2,4,4
840071269,2,4,1,2,4
840071270,4,4,4,4,4
840071271,1,4,4,4,4
