D_INTERVIEW,Q51,Q52,Q53,Q54,Q55
840071001,2.0,3.0,1.0,1.0,4.0
840071002,4.0,4.0,4.0,3.0,4.0
840071003,2.0,4.0,4.0,4.0,4.0
840071004,4.0,3.0,4.0,4.0,4.0
840071005,4.0,4.0,4.0,4.0,4.0
840071006,4.0,4.0,4.0,4.0,4.0
840071007,4.0,4.0,4.0,4.0,4.0
840071008,3.0,4.0,4.0,3.0,4.0
840071009,3.0,4.0,1.0,1.0,3.0
840071010,4.0,4.0,4.0,4.0,4.0
840071011,2.0,1.0,2.0,2.0,4.0
840071012,1.0,4.0,4.0,3.0,4.0
840071013,2.0,2.0,2.0,2.0,2.0
840071014,2.0,4.0,1.0,4.0,4.0
840071015,1.0,4.0,2.0,2.0,4.0
840071016,3.0,4.0,3.0,3.0,4.0
840071017,2.0,4.0,2.0,2.0,4.0
840071018,4.0,4.0,4.0,4.0,4.0
840071019,4.0,3.0,4.0,4.0,4.0
840071020,3.0,4.0,4.0,3.0,4.0
840071021,3.0,4.0,4.0,4.0,4.0
840071022,2.0,3.0,2.0,2.0,4.0
840071023,3.0,1.0,3.0,2.0,4.0
840071024,1.0,4.0,1.0,2.0,1.0
840071025,4.0,4.0,4.0,3.0,4.0
840071026,4.0,4.0,4.0,4.0,4.0
840071027,4.0,4.0,3.0,3.0,4.0
840071028,3.0,4.0,2.0,2.0,4.0
840071029,1.0,3.0,1.0,1.0,3.0
840071030,4.0,3.0,3.0,2.0,4.0
840071031,4.0,2.0,1.0,3.0,4.0
840071032,1.0,4.0,1.0,1.0,4.0
840071033,3.0,4.0,4.0,3.0,4.0
840071034,3.0,4.0,3.0,2.0,4.0
840071035,4.0,3.0,3.0,2.0,4.0
840071036,4.0,4.0,1.0,4.0,4.0
840071037,4.0,2.0,4.0,2.0,4.0
840071038,3.0,3.0,3.0,3.0,3.0
840071039,4.0,4.0,4.0,4.0,4.0
840071040,4.0,4.0,3.0,2.0,4.0
840071041,2.0,4.0,2.0,1.0,4.0
840071042,2.0,3.0,1.0,1.0,3.0
840071043,4.0,1.0,4.0,4.0,4.0
840071044,2.0,2.0,2.0,1.0,4.0
840071045,2.0,4.0,4.0,1.0,4.0
840071046,4.0,4.0,4.0,4.0,4.0
840071047,4.0,4.0,4.0,4.0,4.0
840071048,2.0,3.0,2.0,2.0,2.0
840071049,-2.0,-2.0,1.0,-2.0,-2.0
840071050,4.0,3.0,4.0,4.0,4.0
840071051,3.0,3.0,3.0,3.0,3.0
840071052,3.0,4.0,4.0,4.0,3.0
840071053,1.0,4.0,1.0,1.0,3.0
840071054,4.0,4.0,4.0,4.0,4.0
840071055,4.0,4.0,4.0,4.0,4.0
840071056,1.0,1.0,1.0,1.0,2.0
840071057,4.0,4.0,4.0,4.0,4.0
840071058,4.0,4.0,4.0,4.0,4.0
840071059,4.0,4.0,2.0,2.0,4.0
840071060,4.0,4.0,4.0,3.0,4.0
840071061,2.0,2.0,2.0,2.0,4.0
840071062,3.0,2.0,3.0,1.0,4.0
840071063,1.0,4.0,3.0,4.0,4.0
840071064,2.0,2.0,1.0,1.0,4.0
840071065,3.0,3.0,2.0,4.0,4.0
840071066,4.0,4.0,4.0,4.0,4.0
840071067,3.0,3.0,3.0,3.0,4.0
840071068,2.0,2.0,2.0,1.0,3.0
840071069,2.0,3.0,3.0,2.0,4.0
840071070,3.0,4.0,4.0,4.0,4.0
840071071,3.0,3.0,2.0,2.0,2.0
840071072,2.0,3.0,1.0,2.0,4.0
840071073,3.0,2.0,3.0,3.0,3.0
840071074,1.0,4.0,4.0,3.0,4.0
840071075,4.0,2.0,4.0,4.0,4.0
840071076,2.0,4.0,2.0,2.0,2.0
840071077,3.0,2.0,3.0,4.0,4.0
840071078,3.0,3.0,4.0,3.0,4.0
840071079,3.0,4.0,3.0,3.0,4.0
840071080,2.0,3.0,4.0,2.0,4.0
840071081,4.0,2.0,3.0,1.0,4.0
840071082,3.0,4.0,2.0,1.0,3.0
840071083,4.0,4.0,4.0,4.0,4.0
840071084,4.0,3.0,4.0,3.0,4.0
840071085,1.0,2.0,2.0,1.0,1.0
840071086,3.0,3.0,2.0,2.0,4.0
840071087,4.0,2.0,3.0,4.0,4.0
840071088,3.0,4.0,3.0,4.0,4.0
840071089,4.0,3.0,4.0,2.0,4.0
840071090,1.0,2.0,2.0,1.0,3.0
840071091,4.0,4.0,4.0,4.0,4.0
840071092,2.0,4.0,3.0,2.0,4.0
840071093,2.0,4.0,2.0,4.0,4.0
840071094,2.0,4.0,1.0,2.0,4.0
840071095,3.0,-2.0,3.0,1.0,2.0
840071096,4.0,4.0,4.0,4.0,4.0
840071097,4.0,4.0,4.0,4.0,4.0
840071098,3.0,3.0,2.0,2.0,4.0
840071099,3.0,3.0,4.0,1.0,1.0
840071100,4.0,2.0,3.0,4.0,4.0
840071101,4.0,4.0,4.0,4.0,4.0
840071102,4.0,3.0,4.0,4.0,4.0
840071103,4.0,4.0,4.0,4.0,4.0
840071104,2.0,2.0,3.0,4.0,4.0
840071105,4.0,4.0,4.0,2.0,4.0
840071106,4.0,4.0,4.0,4.0,4.0
840071107,3.0,-2.0,2.0,1.0,2.0
840071108,4.0,3.0,4.0,4.0,4.0
840071109,2.0,2.0,1.0,1.0,2.0
840071110,2.0,4.0,4.0,1.0,4.0
840071111,2.0,4.0,1.0,1.0,3.0
840071112,1.0,2.0,2.0,1.0,2.0
840071113,2.0,2.0,2.0,2.0,2.0
840071114,4.0,4.0,4.0,4.0,4.0
840071115,4.0,4.0,2.0,3.0,4.0
840071116,4.0,4.0,4.0,2.0,4.0
840071117,3.0,1.0,2.0,1.0,4.0
840071118,4.0,3.0,1.0,4.0,4.0
840071119,1.0,3.0,1.0,1.0,1.0
840071120,3.0,4.0,4.0,2.0,4.0
840071121,1.0,2.0,1.0,2.0,4.0
840071122,4.0,4.0,4.0,4.0,4.0
840071123,4.0,3.0,3.0,4.0,4.0
840071124,4.0,4.0,1.0,4.0,4.0
840071125,4.0,4.0,4.0,4.0,4.0
840071126,3.0,4.0,4.0,4.0,4.0
840071127,4.0,4.0,4.0,4.0,4.0
840071128,4.0,4.0,4.0,4.0,4.0
840071129,4.0,2.0,3.0,2.0,4.0
840071130,4.0,4.0,4.0,4.0,4.0
840071131,4.0,2.0,4.0,4.0,4.0
840071132,4.0,4.0,4.0,4.0,4.0
840071133,4.0,4.0,4.0,4.0,4.0
840071134,4.0,4.0,4.0,4.0,4.0
840071135,3.0,4.0,2.0,1.0,4.0
840071136,2.0,3.0,1.0,1.0,3.0
840071137,4.0,4.0,3.0,4.0,4.0
840071138,2.0,4.0,3.0,2.0,4.0
840071139,4.0,4.0,4.0,3.0,4.0
840071140,2.0,3.0,1.0,3.0,4.0
840071141,3.0,4.0,3.0,3.0,3.0
840071142,4.0,4.0,4.0,4.0,4.0
840071143,4.0,2.0,1.0,4.0,4.0
840071144,3.0,4.0,4.0,3.0,4.0
840071145,3.0,3.0,4.0,3.0,4.0
840071146,-2.0,3.0,3.0,3.0,4.0
840071147,4.0,4.0,4.0,4.0,4.0
840071148,4.0,4.0,4.0,4.0,4.0
840071149,3.0,4.0,3.0,4.0,4.0
840071150,4.0,4.0,3.0,3.0,4.0
840071151,4.0,4.0,4.0,4.0,4.0
840071152,4.0,4.0,4.0,4.0,4.0
840071153,3.0,3.0,3.0,4.0,4.0
840071154,4.0,3.0,2.0,4.0,2.0
840071155,1.0,2.0,2.0,1.0,3.0
840071156,3.0,2.0,2.0,1.0,3.0
840071157,2.0,3.0,2.0,2.0,4.0
840071158,4.0,4.0,4.0,4.0,4.0
840071159,4.0,4.0,4.0,2.0,4.0
840071160,3.0,3.0,3.0,4.0,4.0
840071161,4.0,2.0,2.0,3.0,4.0
840071162,2.0,1.0,4.0,2.0,4.0
840071163,4.0,3.0,3.0,3.0,4.0
840071164,3.0,2.0,2.0,3.0,2.0
840071165,4.0,4.0,4.0,4.0,4.0
840071166,3.0,2.0,1.0,2.0,2.0
840071167,2.0,2.0,3.0,3.0,3.0
840071168,4.0,4.0,4.0,4.0,4.0
840071169,4.0,3.0,3.0,2.0,2.0
840071170,-2.0,4.0,4.0,1.0,4.0
840071171,2.0,2.0,4.0,2.0,4.0
840071172,2.0,2.0,1.0,1.0,3.0
840071173,2.0,3.0,2.0,3.0,1.0
840071174,1.0,4.0,4.0,1.0,4.0
840071175,3.0,1.0,2.0,3.0,3.0
840071176,4.0,4.0,4.0,4.0,4.0
840071177,4.0,4.0,4.0,4.0,4.0
840071178,4.0,2.0,2.0,2.0,4.0
840071179,1.0,3.0,2.0,1.0,4.0
840071180,2.0,2.0,3.0,3.0,2.0
840071181,3.0,2.0,2.0,3.0,-2.0
840071182,4.0,4.0,3.0,1.0,4.0
840071183,2.0,3.0,3.0,2.0,4.0
840071184,3.0,3.0,3.0,2.0,4.0
840071185,3.0,4.0,3.0,1.0,2.0
840071186,4.0,2.0,4.0,4.0,4.0
840071187,4.0,4.0,4.0,4.0,4.0
840071188,4.0,4.0,4.0,4.0,4.0
840071189,2.0,3.0,4.0,2.0,3.0
840071190,4.0,4.0,4.0,4.0,4.0
840071191,4.0,3.0,3.0,4.0,4.0
840071192,4.0,4.0,3.0,3.0,4.0
840071193,2.0,4.0,2.0,3.0,4.0
840071194,3.0,3.0,4.0,2.0,4.0
840071195,2.0,2.0,2.0,1.0,4.0
840071196,2.0,4.0,2.0,2.0,4.0
840071197,4.0,4.0,4.0,4.0,4.0
840071198,4.0,4.0,2.0,2.0,4.0
840071199,3.0,4.0,4.0,1.0,4.0
840071200,4.0,3.0,2.0,3.0,4.0
840071201,2.0,3.0,1.0,1.0,4.0
