D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
51070001,-1,-2,2,-2,-2
51070002,1,-1,-1,1,-1
51070003,4,1,4,1,4
51070004,4,2,2,1,1
51070005,1,1,4,4,4
51070006,-1,1,1,-1,4
51070007,1,3,4,1,4
51070008,3,1,4,2,4
51070009,3,3,3,1,4
51070010,4,2,3,4,3
51070011,1,1,1,3,4
51070012,-1,-1,-1,1,1
51070013,2,2,2,2,1
51070014,1,4,4,1,4
51070015,1,1,2,2,2
51070016,2,2,2,1,2
51070017,1,-1,-1,-1,-1
51070018,2,1,3,3,3
51070019,4,1,1,1,1
51070020,2,2,-1,2,3
51070021,1,1,4,1,4
51070022,4,3,1,2,4
51070023,1,1,2,1,-1
51070024,4,-1,-1,4,-1
51070025,1,4,2,2,3
51070026,1,3,3,2,4
51070027,1,3,2,2,3
51070028,1,4,3,2,2
51070029,-1,-1,4,-1,-1
51070030,2,3,4,1,4
51070031,2,2,1,1,1
51070032,1,3,2,4,4
51070033,1,2,2,2,4
51070034,1,-1,-1,-1,-1
51070035,-1,4,4,1,1
51070036,1,2,1,2,-1
51070037,2,1,-1,1,-1
51070038,3,4,4,1,3
51070039,2,2,1,3,2
51070040,-1,-1,-1,-1,-1
51070041,-1,-1,1,-1,-1
51070042,4,4,4,1,4
51070043,1,4,4,1,4
51070044,-1,-1,4,1,-1
51070045,1,3,2,2,3
51070046,1,-1,-1,-1,-1
51070047,1,2,1,1,4
51070048,3,3,4,3,-1
51070049,1,1,2,2,4
51070050,2,1,-1,2,4
51070051,1,3,2,3,3
51070052,1,3,1,2,2
51070053,2,1,-1,-1,-1
51070054,2,1,3,1,4
51070055,2,2,2,1,4
51070056,4,2,4,1,4
51070057,4,4,4,1,4
51070058,2,3,4,1,4
51070059,1,-2,4,1,4
51070060,4,4,4,1,4
51070061,4,4,3,4,1
51070062,1,2,4,1,3
51070063,1,4,1,2,2
51070064,2,3,-1,2,3
51070065,1,2,-1,1,4
51070066,2,3,-1,2,4
51070067,1,2,2,2,4
51070068,3,3,3,2,2
51070069,1,3,3,3,3
51070070,2,3,3,1,4
51070071,2,3,3,1,4
51070072,3,2,2,2,2
51070073,3,2,2,3,4
51070074,2,1,3,2,3
51070075,1,2,3,-1,4
51070076,3,3,3,2,3
51070077,2,3,-1,2,-1
51070078,2,3,2,2,3
51070079,1,3,3,1,4
51070080,1,2,3,2,3
51070081,1,2,1,1,4
51070082,2,-1,-1,-1,-1
51070083,1,2,1,2,2
51070084,2,4,4,2,2
51070085,2,2,2,3,3
51070086,2,2,2,2,4
51070087,3,2,1,-1,4
51070088,3,3,3,1,3
51070089,-1,1,4,4,3
51070090,1,2,2,2,2
51070091,3,3,2,1,2
51070092,2,2,1,2,4
51070093,3,2,3,1,3
51070094,2,1,1,1,1
51070095,1,2,3,1,4
51070096,1,3,4,1,-1
51070097,1,-1,-1,1,-1
51070098,2,2,3,1,-2
51070099,2,2,2,2,2
51070100,1,4,1,2,2
51070101,1,2,3,3,3
51070102,1,1,2,1,1
51070103,2,2,2,1,4
51070104,1,3,-1,1,4
51070105,1,2,3,1,4
51070106,1,2,-1,1,3
51070107,1,3,2,2,2
51070108,1,1,2,1,1
51070109,2,1,2,2,3
51070110,1,2,2,1,4
51070111,-1,3,1,1,4
51070112,2,4,3,1,4
51070113,2,2,2,2,3
51070114,4,3,4,2,1
51070115,1,4,4,1,2
51070116,-1,2,3,1,2
51070117,1,2,1,1,1
51070118,1,1,-1,1,1
51070119,3,4,3,4,3
51070120,1,4,1,4,4
51070121,2,2,3,2,2
51070122,3,3,2,3,2
51070123,3,3,2,2,2
51070124,3,2,2,2,2
51070125,1,1,1,1,1
51070126,2,2,-1,1,2
51070127,1,3,1,3,4
51070128,1,2,1,2,-1
51070129,3,2,1,1,4
51070130,2,2,3,2,3
51070131,4,4,4,4,4
51070132,1,1,1,2,4
51070133,1,2,3,1,4
51070134,1,1,2,2,3
51070135,1,2,1,-1,4
51070136,1,2,3,2,4
51070137,1,2,3,2,4
51070138,1,2,3,3,4
51070139,1,2,4,3,4
51070140,1,1,2,2,1
51070141,2,1,1,1,4
51070142,2,2,2,2,4
51070143,2,2,2,2,1
51070144,1,1,1,2,3
51070145,3,2,4,2,4
51070146,1,1,4,1,4
51070147,3,1,3,1,3
51070148,4,2,2,2,2
51070149,3,2,-1,1,4
51070150,1,3,2,1,4
51070151,1,4,4,4,4
51070152,1,3,1,-1,-1
51070153,1,2,-1,-1,2
51070154,1,3,3,2,-1
51070155,1,1,3,1,4
51070156,2,4,1,-1,-1
51070157,1,1,-1,-1,1
51070158,2,1,4,2,2
51070159,2,2,3,2,3
51070160,2,2,3,1,2
51070161,2,2,3,2,3
51070162,2,2,1,1,1
51070163,2,3,-1,-1,4
51070164,-2,4,4,3,4
51070165,4,4,4,1,4
51070166,3,3,2,2,3
51070167,3,2,1,3,4
51070168,2,3,1,2,3
51070169,1,2,2,-1,4
51070170,2,2,3,2,3
51070171,2,3,2,2,2
51070172,1,2,2,2,3
51070173,2,4,4,1,4
51070174,1,2,1,3,2
51070175,1,2,2,2,4
51070176,1,2,2,2,3
51070177,1,2,2,2,2
51070178,4,2,3,2,3
51070179,2,4,4,4,2
51070180,3,3,2,3,2
51070181,4,2,2,2,2
51070182,3,1,3,3,3
51070183,3,3,2,2,2
51070184,2,3,4,3,4
51070185,-1,-1,-1,-1,3
51070186,1,2,3,1,3
51070187,3,3,1,2,4
51070188,4,3,4,1,4
51070189,3,2,4,1,4
51070190,3,3,2,2,2
51070191,1,2,4,2,3
51070192,1,3,3,3,4
51070193,1,3,3,2,2
51070194,2,3,3,2,3
51070195,3,2,1,1,1
51070196,1,2,-1,-2,3
51070197,1,2,2,2,-1
51070198,3,1,2,2,2
51070199,1,2,3,2,4
51070200,2,2,3,3,4
51070201,2,2,4,2,4
51070202,1,2,4,2,4
51070203,2,2,2,2,2
51070204,2,2,3,2,2
51070205,2,2,3,2,2
51070206,2,2,2,2,3
51070207,2,2,4,2,2
51070208,1,1,1,3,2
51070209,2,-1,4,4,4
51070210,1,3,-1,1,4
51070211,1,2,3,3,4
51070212,4,1,1,3,4
51070213,3,3,2,2,4
51070214,1,-1,2,2,2
51070215,3,3,3,2,3
51070216,1,4,3,2,3
51070217,3,2,2,2,2
51070218,2,2,2,2,2
51070219,-1,-1,3,-1,4
51070220,1,4,2,2,2
51070221,2,2,4,1,4
51070222,4,1,2,2,4
51070223,-1,1,1,3,3
51070224,1,2,4,2,4
51070225,1,4,-1,1,4
51070226,-2,1,4,1,4
51070227,1,1,1,3,4
51070228,4,2,4,1,4
51070229,1,4,4,1,-1
51070230,2,4,-1,1,4
51070231,1,4,4,1,-1
51070232,3,1,1,1,1
51070233,-1,-1,-1,-1,-1
51070234,2,3,2,3,2
51070235,1,2,4,1,4
51070236,1,2,4,1,4
51070237,1,1,1,1,4
51070238,1,4,4,2,-1
51070239,4,-1,-1,-1,-1
51070240,1,4,4,1,4
51070241,4,4,4,1,4
51070242,2,4,1,2,4
51070243,2,3,1,1,4
51070244,1,2,4,2,4
51070245,1,2,4,1,4
51070246,2,3,3,2,4
51070247,1,1,-1,-1,-1
51070248,1,1,4,3,4
51070249,2,2,3,1,4
51070250,1,3,3,2,4
51070251,2,2,-1,1,3
51070252,4,4,3,1,4
51070253,2,4,3,1,4
51070254,3,2,2,1,2
51070255,2,4,2,1,4
51070256,-2,1,4,1,1
51070257,2,3,4,2,4
51070258,2,3,4,1,4
51070259,1,2,1,1,4
51070260,2,2,2,3,2
51070261,2,-1,4,2,4
51070262,2,2,3,2,2
51070263,2,3,3,4,4
51070264,2,2,4,2,2
51070265,2,2,3,2,3
51070266,1,3,1,2,2
51070267,2,3,1,2,4
51070268,1,3,3,1,4
51070269,3,3,2,1,1
51070270,2,2,2,2,4
51070271,-1,3,1,-1,1
51070272,2,3,3,1,4
51070273,1,4,3,2,4
51070274,-1,1,1,-1,2
51070275,1,3,2,2,4
51070276,4,4,3,1,4
51070277,4,1,1,4,4
51070278,-1,-1,3,-1,4
51070279,1,4,1,1,4
51070280,1,1,2,1,1
51070281,3,4,4,1,4
51070282,2,3,4,2,4
51070283,2,2,4,1,3
51070284,3,2,3,1,3
51070285,-1,-1,-1,-1,-1
51070286,3,4,4,1,4
51070287,1,2,1,2,1
51070288,3,3,4,2,4
51070289,3,3,3,-1,4
51070290,1,-1,2,2,4
51070291,1,2,-1,2,-1
51070292,4,1,1,4,4
51070293,2,2,-1,2,-1
51070294,1,2,-1,1,4
51070295,2,1,1,1,3
51070296,1,-1,-1,1,3
51070297,1,2,-1,1,-1
51070298,-2,-2,-2,-2,-2
51070299,3,3,3,-1,3
51070300,4,-1,2,1,2
51070301,2,3,1,1,3
51070302,1,-1,1,1,4
51070303,1,1,2,1,2
51070304,2,-1,-1,2,4
51070305,1,2,4,1,2
51070306,1,2,2,3,3
51070307,-1,1,2,1,4
51070308,1,2,2,2,3
51070309,2,2,3,1,4
51070310,-1,3,4,3,4
51070311,4,-1,2,2,2
51070312,3,2,-1,3,-1
51070313,1,1,1,1,4
51070314,-2,-2,4,1,4
51070315,2,1,4,2,4
51070316,3,2,2,2,3
51070317,1,3,3,1,4
51070318,1,3,3,1,4
51070319,1,2,3,1,4
51070320,1,1,4,2,4
51070321,3,1,2,3,4
51070322,1,2,1,1,1
51070323,4,-1,2,3,2
51070324,1,3,3,2,4
51070325,1,1,3,1,4
51070326,1,4,4,1,4
51070327,-2,-1,-1,-1,-1
51070328,1,1,4,4,4
51070329,4,1,2,2,3
51070330,2,4,1,3,-1
51070331,3,1,1,2,4
51070332,4,3,-1,2,3
51070333,3,3,-1,1,4
51070334,1,1,1,1,3
51070335,-1,1,2,1,-1
51070336,1,1,1,1,4
51070337,1,1,-1,1,1
51070338,1,4,4,1,4
51070339,1,2,2,2,4
51070340,4,1,2,1,4
51070341,1,3,3,3,4
51070342,4,4,3,1,4
51070343,3,3,3,1,3
51070344,2,1,4,2,4
51070345,1,4,4,1,4
51070346,3,2,3,1,3
51070347,2,2,3,3,2
51070348,1,2,3,3,4
51070349,2,-1,4,1,3
51070350,2,4,2,3,4
51070351,1,2,2,1,4
51070352,2,2,2,2,2
51070353,1,1,1,1,1
51070354,1,2,1,1,1
51070355,4,4,1,1,-1
51070356,1,1,1,1,1
51070357,2,-1,4,1,2
51070358,-2,2,3,1,4
51070359,2,4,4,1,4
51070360,3,2,3,1,4
51070361,3,2,3,1,4
51070362,2,-1,-1,-1,2
51070363,2,-1,3,3,4
51070364,1,2,4,1,4
51070365,1,2,-1,1,4
51070366,2,1,2,2,2
51070367,2,3,4,1,4
51070368,1,4,4,2,4
51070369,2,3,4,3,3
51070370,4,2,1,1,2
51070371,3,-1,3,1,3
51070372,2,1,3,2,3
51070373,1,3,2,3,3
51070374,4,3,-1,2,3
51070375,4,-1,2,2,4
51070376,1,3,1,2,4
51070377,1,4,1,2,-1
51070378,3,2,4,1,4
51070379,1,4,4,1,4
51070380,1,1,1,1,4
51070381,1,4,4,2,2
51070382,1,3,4,3,4
51070383,1,4,4,4,3
51070384,2,2,3,2,3
51070385,1,3,2,1,4
51070386,1,2,3,1,4
51070387,1,4,4,1,4
51070388,-1,4,1,1,1
51070389,3,2,4,2,4
51070390,-1,1,-1,-1,4
51070391,-1,-1,-1,-1,-1
51070392,1,-1,-1,2,2
51070393,1,1,3,1,4
51070394,2,3,3,1,3
51070395,2,2,4,1,4
51070396,2,4,1,3,3
51070397,4,4,2,2,3
51070398,1,2,1,3,4
51070399,3,-1,4,2,3
51070400,1,1,1,1,3
51070401,1,3,4,-1,4
51070402,1,2,-1,3,3
51070403,3,2,4,2,4
51070404,-1,-1,4,2,4
51070405,3,4,4,1,4
51070406,1,3,2,1,3
51070407,1,4,-1,-1,3
51070408,1,3,2,1,-1
51070409,1,2,3,1,2
51070410,3,3,2,2,2
51070411,1,1,1,2,2
51070412,1,3,1,1,4
51070413,2,2,1,-1,4
51070414,1,-1,1,-2,4
51070415,2,3,1,2,4
51070416,2,3,2,1,3
51070417,1,2,4,4,3
51070418,4,4,4,2,4
51070419,4,4,2,1,-1
51070420,4,4,4,4,4
51070421,1,2,4,2,4
51070422,1,1,4,1,1
51070423,3,4,4,1,4
51070424,2,2,2,2,3
51070425,4,1,3,4,3
51070426,3,2,2,2,3
51070427,2,2,3,2,3
51070428,3,2,2,2,2
51070429,2,2,3,2,4
51070430,2,2,3,3,4
51070431,2,3,2,2,2
51070432,4,4,4,1,2
51070433,-1,-1,-1,-1,-1
51070434,4,4,4,3,4
51070435,1,4,1,1,1
51070436,-1,-1,-1,-1,-1
51070437,-1,2,4,1,1
51070438,-1,-1,4,1,4
51070439,2,3,3,3,3
51070440,2,-2,2,1,4
51070441,2,2,1,1,2
51070442,2,2,2,3,4
51070443,1,1,4,1,4
51070444,1,2,2,2,4
51070445,1,4,2,1,4
51070446,1,2,1,1,4
51070447,4,4,2,2,3
51070448,-1,2,2,2,2
51070449,-1,3,-1,-1,1
51070450,2,4,2,2,4
51070451,2,2,2,2,2
51070452,2,2,3,1,1
51070453,1,4,1,1,2
51070454,1,3,2,2,3
51070455,1,1,1,1,4
51070456,-1,2,2,1,3
51070457,1,2,1,1,2
51070458,2,1,3,4,4
51070459,1,1,1,3,4
51070460,4,-1,4,1,4
51070461,2,2,2,-1,2
51070462,2,2,3,2,2
51070463,3,3,4,1,3
51070464,4,4,3,3,3
51070465,4,4,4,2,4
51070466,1,4,1,1,2
51070467,1,2,2,1,2
51070468,1,3,4,1,4
51070469,3,3,1,1,4
51070470,2,-1,3,2,4
51070471,2,-1,-1,-1,4
51070472,4,1,3,1,4
51070473,-1,4,-1,2,-1
51070474,1,4,1,2,4
51070475,1,2,2,2,2
51070476,2,2,2,1,4
51070477,4,1,1,1,2
51070478,2,2,-2,1,4
51070479,2,3,3,1,4
51070480,2,3,4,1,4
51070481,2,-1,2,1,2
51070482,3,1,3,1,4
51070483,2,3,3,2,4
51070484,2,-1,2,2,4
51070485,2,2,2,2,4
51070486,1,2,1,1,4
51070487,1,2,2,2,4
51070488,1,2,1,2,3
51070489,3,2,3,1,4
51070490,1,-1,-1,2,4
51070491,1,2,1,1,3
51070492,2,2,3,2,3
51070493,1,2,1,1,2
51070494,2,2,1,1,-1
51070495,1,4,4,1,1
51070496,1,1,1,1,-1
51070497,1,4,1,1,4
51070498,3,4,4,4,2
51070499,-1,-1,-1,-1,-1
51070500,1,4,4,1,4
51070501,1,4,4,1,4
51070502,1,4,4,4,4
51070503,1,4,4,1,4
51070504,4,2,3,1,4
51070505,4,4,1,1,4
51070506,1,1,1,4,3
51070507,4,4,2,1,4
51070508,1,2,1,1,2
51070509,1,1,1,1,4
51070510,1,1,1,-1,-1
51070511,3,3,2,2,3
51070512,1,2,2,1,-1
51070513,1,3,2,2,4
51070514,1,3,1,1,1
51070515,2,3,-1,3,3
51070516,1,2,1,3,3
51070517,1,4,1,1,4
51070518,2,3,2,2,-1
51070519,2,2,3,2,4
51070520,3,2,3,3,2
51070521,1,2,3,3,4
51070522,4,3,4,2,3
51070523,2,2,2,2,3
51070524,1,1,2,2,4
51070525,1,3,2,2,3
51070526,3,3,3,2,3
51070527,1,-1,4,1,4
51070528,1,4,2,-1,4
51070529,2,-1,-1,-1,-1
51070530,3,-1,-1,-1,-1
51070531,1,1,1,1,1
51070532,-2,-2,-2,-2,-2
51070533,2,3,2,2,2
51070534,1,-1,4,-1,4
51070535,-1,2,-1,-1,-1
51070536,1,3,3,1,1
51070537,4,4,4,1,4
51070538,1,1,1,2,1
51070539,1,3,4,2,4
51070540,2,3,3,2,3
51070541,-1,2,3,1,2
51070542,1,-1,1,2,3
51070543,2,2,3,2,-1
51070544,1,1,1,1,4
51070545,1,3,3,3,4
51070546,2,2,-1,1,-1
51070547,1,-1,-1,2,-1
51070548,2,-1,-1,2,-1
51070549,1,4,2,1,4
51070550,-1,-1,-1,1,2
51070551,1,4,3,1,3
51070552,2,-1,1,-1,2
51070553,1,2,3,1,4
