D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
51070001,-1.0,-2.0,2.0,-2.0,-2.0
51070002,1.0,-1.0,-1.0,1.0,-1.0
51070003,4.0,1.0,4.0,1.0,4.0
51070004,4.0,2.0,2.0,1.0,1.0
51070005,1.0,1.0,4.0,4.0,4.0
51070006,-1.0,1.0,1.0,-1.0,4.0
51070007,1.0,3.0,4.0,1.0,4.0
51070008,3.0,1.0,4.0,2.0,4.0
51070009,3.0,3.0,3.0,1.0,4.0
51070010,4.0,2.0,3.0,4.0,3.0
51070011,1.0,1.0,1.0,3.0,4.0
51070012,-1.0,-1.0,-1.0,1.0,1.0
51070013,2.0,2.0,2.0,2.0,1.0
51070014,1.0,4.0,4.0,1.0,4.0
51070015,1.0,1.0,2.0,2.0,2.0
51070016,2.0,2.0,2.0,1.0,2.0
51070017,1.0,-1.0,-1.0,-1.0,-1.0
51070018,2.0,1.0,3.0,3.0,3.0
51070019,4.0,1.0,1.0,1.0,1.0
51070020,2.0,2.0,-1.0,2.0,3.0
51070021,1.0,1.0,4.0,1.0,4.0
51070022,4.0,3.0,1.0,2.0,4.0
51070023,1.0,1.0,2.0,1.0,-1.0
51070024,4.0,-1.0,-1.0,4.0,-1.0
51070025,1.0,4.0,2.0,2.0,3.0
51070026,1.0,3.0,3.0,2.0,4.0
51070027,1.0,3.0,2.0,2.0,3.0
51070028,1.0,4.0,3.0,2.0,2.0
51070029,-1.0,-1.0,4.0,-1.0,-1.0
51070030,2.0,3.0,4.0,1.0,4.0
51070031,2.0,2.0,1.0,1.0,1.0
51070032,1.0,3.0,2.0,4.0,4.0
51070033,1.0,2.0,2.0,2.0,4.0
51070034,1.0,-1.0,-1.0,-1.0,-1.0
51070035,-1.0,4.0,4.0,1.0,1.0
51070036,1.0,2.0,1.0,2.0,-1.0
51070037,2.0,1.0,-1.0,1.0,-1.0
51070038,3.0,4.0,4.0,1.0,3.0
51070039,2.0,2.0,1.0,3.0,2.0
51070040,-1.0,-1.0,-1.0,-1.0,-1.0
51070041,-1.0,-1.0,1.0,-1.0,-1.0
51070042,4.0,4.0,4.0,1.0,4.0
51070043,1.0,4.0,4.0,1.0,4.0
51070044,-1.0,-1.0,4.0,1.0,-1.0
51070045,1.0,3.0,2.0,2.0,3.0
51070046,1.0,-1.0,-1.0,-1.0,-1.0
51070047,1.0,2.0,1.0,1.0,4.0
51070048,3.0,3.0,4.0,3.0,-1.0
51070049,1.0,1.0,2.0,2.0,4.0
51070050,2.0,1.0,-1.0,2.0,4.0
51070051,1.0,3.0,2.0,3.0,3.0
51070052,1.0,3.0,1.0,2.0,2.0
51070053,2.0,1.0,-1.0,-1.0,-1.0
51070054,2.0,1.0,3.0,1.0,4.0
51070055,2.0,2.0,2.0,1.0,4.0
51070056,4.0,2.0,4.0,1.0,4.0
51070057,4.0,4.0,4.0,1.0,4.0
51070058,2.0,3.0,4.0,1.0,4.0
51070059,1.0,-2.0,4.0,1.0,4.0
51070060,4.0,4.0,4.0,1.0,4.0
51070061,4.0,4.0,3.0,4.0,1.0
51070062,1.0,2.0,4.0,1.0,3.0
51070063,1.0,4.0,1.0,2.0,2.0
51070064,2.0,3.0,-1.0,2.0,3.0
51070065,1.0,2.0,-1.0,1.0,4.0
51070066,2.0,3.0,-1.0,2.0,4.0
51070067,1.0,2.0,2.0,2.0,4.0
51070068,3.0,3.0,3.0,2.0,2.0
51070069,1.0,3.0,3.0,3.0,3.0
51070070,2.0,3.0,3.0,1.0,4.0
51070071,2.0,3.0,3.0,1.0,4.0
51070072,3.0,2.0,2.0,2.0,2.0
51070073,3.0,2.0,2.0,3.0,4.0
51070074,2.0,1.0,3.0,2.0,3.0
51070075,1.0,2.0,3.0,-1.0,4.0
51070076,3.0,3.0,3.0,2.0,3.0
51070077,2.0,3.0,-1.0,2.0,-1.0
51070078,2.0,3.0,2.0,2.0,3.0
51070079,1.0,3.0,3.0,1.0,4.0
51070080,1.0,2.0,3.0,2.0,3.0
51070081,1.0,2.0,1.0,1.0,4.0
51070082,2.0,-1.0,-1.0,-1.0,-1.0
51070083,1.0,2.0,1.0,2.0,2.0
51070084,2.0,4.0,4.0,2.0,2.0
51070085,2.0,2.0,2.0,3.0,3.0
51070086,2.0,2.0,2.0,2.0,4.0
51070087,3.0,2.0,1.0,-1.0,4.0
51070088,3.0,3.0,3.0,1.0,3.0
51070089,-1.0,1.0,4.0,4.0,3.0
51070090,1.0,2.0,2.0,2.0,2.0
51070091,3.0,3.0,2.0,1.0,2.0
51070092,2.0,2.0,1.0,2.0,4.0
51070093,3.0,2.0,3.0,1.0,3.0
51070094,2.0,1.0,1.0,1.0,1.0
51070095,1.0,2.0,3.0,1.0,4.0
51070096,1.0,3.0,4.0,1.0,-1.0
51070097,1.0,-1.0,-1.0,1.0,-1.0
51070098,2.0,2.0,3.0,1.0,-2.0
51070099,2.0,2.0,2.0,2.0,2.0
51070100,1.0,4.0,1.0,2.0,2.0
51070101,1.0,2.0,3.0,3.0,3.0
51070102,1.0,1.0,2.0,1.0,1.0
51070103,2.0,2.0,2.0,1.0,4.0
51070104,1.0,3.0,-1.0,1.0,4.0
51070105,1.0,2.0,3.0,1.0,4.0
51070106,1.0,2.0,-1.0,1.0,3.0
51070107,1.0,3.0,2.0,2.0,2.0
51070108,1.0,1.0,2.0,1.0,1.0
51070109,2.0,1.0,2.0,2.0,3.0
51070110,1.0,2.0,2.0,1.0,4.0
51070111,-1.0,3.0,1.0,1.0,4.0
51070112,2.0,4.0,3.0,1.0,4.0
51070113,2.0,2.0,2.0,2.0,3.0
51070114,4.0,3.0,4.0,2.0,1.0
51070115,1.0,4.0,4.0,1.0,2.0
51070116,-1.0,2.0,3.0,1.0,2.0
51070117,1.0,2.0,1.0,1.0,1.0
51070118,1.0,1.0,-1.0,1.0,1.0
51070119,3.0,4.0,3.0,4.0,3.0
51070120,1.0,4.0,1.0,4.0,4.0
51070121,2.0,2.0,3.0,2.0,2.0
51070122,3.0,3.0,2.0,3.0,2.0
51070123,3.0,3.0,2.0,2.0,2.0
51070124,3.0,2.0,2.0,2.0,2.0
51070125,1.0,1.0,1.0,1.0,1.0
51070126,2.0,2.0,-1.0,1.0,2.0
51070127,1.0,3.0,1.0,3.0,4.0
51070128,1.0,2.0,1.0,2.0,-1.0
51070129,3.0,2.0,1.0,1.0,4.0
51070130,2.0,2.0,3.0,2.0,3.0
51070131,4.0,4.0,4.0,4.0,4.0
51070132,1.0,1.0,1.0,2.0,4.0
51070133,1.0,2.0,3.0,1.0,4.0
51070134,1.0,1.0,2.0,2.0,3.0
51070135,1.0,2.0,1.0,-1.0,4.0
51070136,1.0,2.0,3.0,2.0,4.0
51070137,1.0,2.0,3.0,2.0,4.0
