D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
170070052,3,2,3,2,3
170070053,3,1,4,1,4
170070054,2,1,2,1,1
170070057,4,4,4,1,1
170070069,2,2,4,2,2
170070074,1,1,4,1,1
170070075,4,4,4,4,4
170070076,4,4,4,1,4
170070080,2,1,4,2,3
170070085,4,1,4,3,2
170070087,4,3,4,1,2
170070093,1,1,2,1,2
170070104,1,1,3,1,3
170070105,1,1,3,1,3
170070112,1,1,1,1,1
170070113,1,1,2,1,1
170070122,1,1,3,4,4
170070126,4,4,4,1,1
170070128,1,1,2,1,1
170070132,1,2,3,3,3
170070154,1,1,4,1,1
170070156,1,2,3,1,4
170070197,2,2,3,1,4
170070198,1,1,3,2,2
170070210,2,2,4,1,4
170070213,1,1,2,1,1
170070214,1,1,3,2,1
170070215,1,2,1,1,1
170070219,1,1,1,1,4
170070222,3,2,4,2,4
170070224,3,1,4,1,1
170070253,3,2,4,2,4
170070255,1,1,4,1,1
170070261,4,4,2,4,1
170070308,1,1,4,1,4
170070312,4,1,4,1,4
170070323,3,2,3,1,4
170070332,1,1,4,2,3
170070334,1,1,1,1,1
170070337,1,4,1,1,1
170070341,2,1,3,1,1
170070344,4,4,4,1,4
170070358,3,2,3,3,3
170070366,1,2,4,1,1
170070369,4,2,3,2,4
170070378,3,1,4,4,4
170070385,4,4,4,2,1
170070388,4,4,4,1,4
170070389,2,2,4,1,1
170070390,1,1,4,1,4
170070393,4,1,2,1,1
170070394,4,4,4,4,4
170070395,4,3,4,2,2
170070407,4,1,4,4,1
170070408,1,1,1,1,1
170070414,2,3,4,1,4
170070415,4,2,1,1,1
170070418,1,1,4,1,4
170070421,2,2,1,1,4
170070422,4,4,4,2,4
170070423,1,2,1,2,1
170070426,1,1,4,1,1
170070432,1,1,4,2,2
170070442,4,1,4,1,1
170070465,1,1,1,1,1
170070471,1,1,4,1,1
170070497,1,1,3,2,3
170070503,1,1,4,4,4
170070507,2,2,3,2,3
170070510,4,4,3,4,1
170070514,2,2,3,1,3
170070515,4,4,1,1,1
170070522,4,4,4,4,4
170070530,4,4,4,4,4
170070531,4,4,1,1,4
170070534,4,1,4,4,4
170070538,1,1,4,1,1
170070541,3,2,4,1,3
170070544,1,1,1,1,2
170070545,4,3,4,4,3
170070553,4,1,4,1,4
170070558,3,3,4,4,4
170070559,2,2,2,2,2
170070560,3,4,4,1,4
170070561,2,2,2,2,2
170070562,4,4,4,4,4
170070565,2,2,3,1,2
170070585,1,1,1,1,2
170070593,4,3,4,1,4
170070598,3,2,4,2,3
170070601,4,4,4,1,4
170070621,1,1,1,2,1
170070626,1,1,1,2,4
170070630,4,1,1,1,4
170070631,4,2,4,4,4
170070663,1,2,3,1,3
170070666,3,4,3,4,3
170070669,1,2,4,2,1
170070672,3,3,4,3,4
