D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
170070052,3.0,2.0,3.0,2.0,3.0
170070053,3.0,1.0,4.0,1.0,4.0
170070054,2.0,1.0,2.0,1.0,1.0
170070057,4.0,4.0,4.0,1.0,1.0
170070069,2.0,2.0,4.0,2.0,2.0
170070074,1.0,1.0,4.0,1.0,1.0
170070075,4.0,4.0,4.0,4.0,4.0
170070076,4.0,4.0,4.0,1.0,4.0
170070080,2.0,1.0,4.0,2.0,3.0
170070085,4.0,1.0,4.0,3.0,2.0
170070087,4.0,3.0,4.0,1.0,2.0
170070093,1.0,1.0,2.0,1.0,2.0
170070104,1.0,1.0,3.0,1.0,3.0
170070105,1.0,1.0,3.0,1.0,3.0
170070112,1.0,1.0,1.0,1.0,1.0
170070113,1.0,1.0,2.0,1.0,1.0
170070122,1.0,1.0,3.0,4.0,4.0
170070126,4.0,4.0,4.0,1.0,1.0
170070128,1.0,1.0,2.0,1.0,1.0
170070132,1.0,2.0,3.0,3.0,3.0
170070154,1.0,1.0,4.0,1.0,1.0
170070156,1.0,2.0,3.0,1.0,4.0
170070197,2.0,2.0,3.0,1.0,4.0
170070198,1.0,1.0,3.0,2.0,2.0
170070210,2.0,2.0,4.0,1.0,4.0
170070213,1.0,1.0,2.0,1.0,1.0
170070214,1.0,1.0,3.0,2.0,1.0
170070215,1.0,2.0,1.0,1.0,1.0
170070219,1.0,1.0,1.0,1.0,4.0
170070222,3.0,2.0,4.0,2.0,4.0
170070224,3.0,1.0,4.0,1.0,1.0
170070253,3.0,2.0,4.0,2.0,4.0
170070255,1.0,1.0,4.0,1.0,1.0
170070261,4.0,4.0,2.0,4.0,1.0
170070308,1.0,1.0,4.0,1.0,4.0
170070312,4.0,1.0,4.0,1.0,4.0
170070323,3.0,2.0,3.0,1.0,4.0
170070332,1.0,1.0,4.0,2.0,3.0
170070334,1.0,1.0,1.0,1.0,1.0
170070337,1.0,4.0,1.0,1.0,1.0
170070341,2.0,1.0,3.0,1.0,1.0
