D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
276070001,3,3,3,2,3
276070002,1,4,4,1,4
276070003,4,2,4,1,4
276070004,4,4,4,1,4
276070005,2,2,4,2,2
276070006,4,4,4,1,4
276070007,-1,2,4,1,4
276070008,3,2,4,2,4
276070009,4,-1,4,1,4
276070010,4,2,4,1,4
276070011,4,2,4,1,4
276070012,4,4,4,3,4
276070013,4,4,4,1,4
276070014,4,3,4,1,4
276070015,4,4,4,1,4
276070016,3,3,4,2,4
276070017,4,3,4,1,4
276070018,4,3,4,1,4
276070019,4,3,4,1,4
276070020,4,4,4,1,4
276070021,4,3,4,1,4
276070022,4,4,4,1,4
276070023,4,2,4,1,4
276070024,4,3,4,1,4
276070025,4,3,4,1,4
276070026,4,2,4,1,4
276070027,4,2,4,1,4
276070028,4,3,4,2,3
276070029,4,2,4,1,4
276070030,4,3,4,1,4
276070031,4,3,4,1,4
276070032,-1,4,4,-1,4
276070033,4,4,4,1,4
276070034,1,3,4,1,4
276070035,4,3,4,1,4
276070036,4,1,4,1,4
276070037,4,3,4,1,4
276070038,4,3,4,1,3
276070039,4,4,4,1,4
276070040,-1,2,4,1,4
276070041,2,1,4,1,4
276070042,4,2,4,1,4
276070043,4,3,4,1,4
276070044,4,3,4,1,4
276070045,4,4,4,1,4
276070046,4,3,4,1,4
276070047,-1,3,4,1,4
276070048,4,3,4,1,3
276070049,3,3,4,1,4
276070050,4,2,4,1,4
276070051,2,2,4,2,3
276070052,4,4,4,1,4
276070053,1,2,4,2,4
276070054,2,2,4,1,4
276070055,4,2,4,1,4
276070056,3,4,4,-1,4
276070057,3,-1,4,1,4
276070058,3,3,4,2,4
276070059,4,3,4,1,4
276070060,4,1,4,1,4
276070061,3,2,4,2,3
276070062,4,2,4,2,4
276070063,3,3,4,1,4
276070064,2,3,4,1,3
276070065,4,2,4,1,4
276070066,4,3,4,1,3
276070067,2,3,4,1,2
276070068,4,4,4,-1,4
276070069,-1,2,4,2,3
276070070,4,3,4,1,4
276070071,2,2,4,1,4
276070072,4,3,4,1,4
276070073,4,4,4,1,4
276070074,4,4,4,1,4
276070075,4,4,4,1,4
276070076,2,3,4,2,3
276070077,2,1,4,1,4
276070078,4,2,4,1,4
276070079,3,3,4,1,4
276070080,2,2,3,1,3
276070081,3,2,3,1,3
276070082,1,2,4,1,4
276070083,3,3,4,1,4
276070084,3,3,4,1,4
276070085,4,3,4,1,4
276070086,4,4,4,1,4
276070087,4,4,4,1,4
276070088,4,3,4,1,3
276070089,3,2,4,1,4
276070090,4,3,4,1,4
276070091,4,3,4,1,4
276070092,4,4,4,1,4
276070093,2,2,2,1,2
276070094,2,2,4,1,4
276070095,1,2,4,1,4
276070096,4,2,4,1,4
276070097,3,2,3,1,3
276070098,2,2,4,1,4
276070099,2,3,4,2,4
276070100,4,2,4,1,4
276070101,4,4,4,1,4
276070102,4,3,4,1,4
276070103,4,2,4,1,4
276070104,2,3,4,1,4
276070105,4,3,4,1,4
276070106,2,3,4,1,4
276070107,4,4,4,2,4
276070108,4,-1,4,2,-1
276070109,2,3,4,2,4
276070110,3,2,4,2,4
276070111,4,3,4,1,4
276070112,3,3,4,1,3
276070113,4,1,1,1,4
276070114,4,2,4,1,4
276070115,1,2,3,2,-1
276070116,4,3,4,1,4
276070117,3,1,4,1,4
276070118,4,4,4,1,4
276070119,4,2,4,1,-1
276070120,3,2,4,1,4
276070121,4,2,4,1,4
276070122,4,3,4,1,4
276070123,3,3,3,1,4
276070124,4,3,4,1,4
