D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
276070001,3.0,3.0,3.0,2.0,3.0
276070002,1.0,4.0,4.0,1.0,4.0
276070003,4.0,2.0,4.0,1.0,4.0
276070004,4.0,4.0,4.0,1.0,4.0
276070005,2.0,2.0,4.0,2.0,2.0
276070006,4.0,4.0,4.0,1.0,4.0
276070007,-1.0,2.0,4.0,1.0,4.0
276070008,3.0,2.0,4.0,2.0,4.0
276070009,4.0,-1.0,4.0,1.0,4.0
276070010,4.0,2.0,4.0,1.0,4.0
276070011,4.0,2.0,4.0,1.0,4.0
276070012,4.0,4.0,4.0,3.0,4.0
276070013,4.0,4.0,4.0,1.0,4.0
276070014,4.0,3.0,4.0,1.0,4.0
276070015,4.0,4.0,4.0,1.0,4.0
276070016,3.0,3.0,4.0,2.0,4.0
276070017,4.0,3.0,4.0,1.0,4.0
276070018,4.0,3.0,4.0,1.0,4.0
276070019,4.0,3.0,4.0,1.0,4.0
276070020,4.0,4.0,4.0,1.0,4.0
276070021,4.0,3.0,4.0,1.0,4.0
276070022,4.0,4.0,4.0,1.0,4.0
276070023,4.0,2.0,4.0,1.0,4.0
276070024,4.0,3.0,4.0,1.0,4.0
276070025,4.0,3.0,4.0,1.0,4.0
276070026,4.0,2.0,4.0,1.0,4.0
276070027,4.0,2.0,4.0,1.0,4.0
276070028,4.0,3.0,4.0,2.0,3.0
276070029,4.0,2.0,4.0,1.0,4.0
276070030,4.0,3.0,4.0,1.0,4.0
276070031,4.0,3.0,4.0,1.0,4.0
276070032,-1.0,4.0,4.0,-1.0,4.0
276070033,4.0,4.0,4.0,1.0,4.0
276070034,1.0,3.0,4.0,1.0,4.0
276070035,4.0,3.0,4.0,1.0,4.0
276070036,4.0,1.0,4.0,1.0,4.0
276070037,4.0,3.0,4.0,1.0,4.0
276070038,4.0,3.0,4.0,1.0,3.0
276070039,4.0,4.0,4.0,1.0,4.0
276070040,-1.0,2.0,4.0,1.0,4.0
276070041,2.0,1.0,4.0,1.0,4.0
276070042,4.0,2.0,4.0,1.0,4.0
276070043,4.0,3.0,4.0,1.0,4.0
276070044,4.0,3.0,4.0,1.0,4.0
276070045,4.0,4.0,4.0,1.0,4.0
276070046,4.0,3.0,4.0,1.0,4.0
276070047,-1.0,3.0,4.0,1.0,4.0
276070048,4.0,3.0,4.0,1.0,3.0
276070049,3.0,3.0,4.0,1.0,4.0
276070050,4.0,2.0,4.0,1.0,4.0
276070051,2.0,2.0,4.0,2.0,3.0
276070052,4.0,4.0,4.0,1.0,4.0
276070053,1.0,2.0,4.0,2.0,4.0
276070054,2.0,2.0,4.0,1.0,4.0
276070055,4.0,2.0,4.0,1.0,4.0
276070056,3.0,4.0,4.0,-1.0,4.0
276070057,3.0,-1.0,4.0,1.0,4.0
276070058,3.0,3.0,4.0,2.0,4.0
276070059,4.0,3.0,4.0,1.0,4.0
276070060,4.0,1.0,4.0,1.0,4.0
276070061,3.0,2.0,4.0,2.0,3.0
276070062,4.0,2.0,4.0,2.0,4.0
276070063,3.0,3.0,4.0,1.0,4.0
276070064,2.0,3.0,4.0,1.0,3.0
276070065,4.0,2.0,4.0,1.0,4.0
276070066,4.0,3.0,4.0,1.0,3.0
276070067,2.0,3.0,4.0,1.0,2.0
276070068,4.0,4.0,4.0,-1.0,4.0
276070069,-1.0,2.0,4.0,2.0,3.0
276070070,4.0,3.0,4.0,1.0,4.0
276070071,2.0,2.0,4.0,1.0,4.0
276070072,4.0,3.0,4.0,1.0,4.0
276070073,4.0,4.0,4.0,1.0,4.0
276070074,4.0,4.0,4.0,1.0,4.0
276070075,4.0,4.0,4.0,1.0,4.0
276070076,2.0,3.0,4.0,2.0,3.0
276070077,2.0,1.0,4.0,1.0,4.0
276070078,4.0,2.0,4.0,1.0,4.0
276070079,3.0,3.0,4.0,1.0,4.0
276070080,2.0,2.0,3.0,1.0,3.0
276070081,3.0,2.0,3.0,1.0,3.0
276070082,1.0,2.0,4.0,1.0,4.0
276070083,3.0,3.0,4.0,1.0,4.0
276070084,3.0,3.0,4.0,1.0,4.0
276070085,4.0,3.0,4.0,1.0,4.0
276070086,4.0,4.0,4.0,1.0,4.0
276070087,4.0,4.0,4.0,1.0,4.0
276070088,4.0,3.0,4.0,1.0,3.0
276070089,3.0,2.0,4.0,1.0,4.0
276070090,4.0,3.0,4.0,1.0,4.0
276070091,4.0,3.0,4.0,1.0,4.0
276070092,4.0,4.0,4.0,1.0,4.0
276070093,2.0,2.0,2.0,1.0,2.0
276070094,2.0,2.0,4.0,1.0,4.0
276070095,1.0,2.0,4.0,1.0,4.0
276070096,4.0,2.0,4.0,1.0,4.0
276070097,3.0,2.0,3.0,1.0,3.0
276070098,2.0,2.0,4.0,1.0,4.0
276070099,2.0,3.0,4.0,2.0,4.0
276070100,4.0,2.0,4.0,1.0,4.0
276070101,4.0,4.0,4.0,1.0,4.0
276070102,4.0,3.0,4.0,1.0,4.0
276070103,4.0,2.0,4.0,1.0,4.0
276070104,2.0,3.0,4.0,1.0,4.0
276070105,4.0,3.0,4.0,1.0,4.0
276070106,2.0,3.0,4.0,1.0,4.0
276070107,4.0,4.0,4.0,2.0,4.0
276070108,4.0,-1.0,4.0,2.0,-1.0
276070109,2.0,3.0,4.0,2.0,4.0
276070110,3.0,2.0,4.0,2.0,4.0
276070111,4.0,3.0,4.0,1.0,4.0
276070112,3.0,3.0,4.0,1.0,3.0
276070113,4.0,1.0,1.0,1.0,4.0
276070114,4.0,2.0,4.0,1.0,4.0
276070115,1.0,2.0,3.0,2.0,-1.0
276070116,4.0,3.0,4.0,1.0,4.0
276070117,3.0,1.0,4.0,1.0,4.0
276070118,4.0,4.0,4.0,1.0,4.0
276070119,4.0,2.0,4.0,1.0,-1.0
276070120,3.0,2.0,4.0,1.0,4.0
276070121,4.0,2.0,4.0,1.0,4.0
276070122,4.0,3.0,4.0,1.0,4.0
276070123,3.0,3.0,3.0,1.0,4.0
276070124,4.0,3.0,4.0,1.0,4.0
276070125,2.0,3.0,4.0,1.0,3.0
276070126,2.0,3.0,4.0,1.0,4.0
276070127,4.0,2.0,4.0,2.0,3.0
276070128,3.0,2.0,4.0,2.0,4.0
276070129,4.0,3.0,4.0,1.0,4.0
276070130,3.0,2.0,3.0,1.0,4.0
276070131,3.0,3.0,4.0,2.0,3.0
276070132,4.0,2.0,4.0,1.0,4.0
276070133,3.0,3.0,4.0,1.0,3.0
276070134,4.0,3.0,4.0,1.0,4.0
276070135,4.0,4.0,4.0,1.0,4.0
276070136,3.0,2.0,3.0,2.0,4.0
276070137,4.0,2.0,4.0,1.0,4.0
276070138,2.0,3.0,4.0,1.0,3.0
276070139,4.0,2.0,4.0,1.0,4.0
276070140,4.0,3.0,4.0,1.0,4.0
276070141,4.0,2.0,4.0,1.0,4.0
276070142,4.0,2.0,4.0,1.0,4.0
276070143,4.0,4.0,4.0,1.0,4.0
276070144,4.0,4.0,4.0,1.0,4.0
276070145,-2.0,-2.0,-2.0,-2.0,-2.0
276070146,3.0,3.0,4.0,1.0,4.0
276070147,4.0,3.0,4.0,1.0,4.0
276070148,4.0,3.0,4.0,1.0,4.0
276070149,-1.0,-1.0,-1.0,-1.0,-1.0
276070150,3.0,3.0,4.0,1.0,4.0
276070151,2.0,4.0,4.0,1.0,4.0
276070152,4.0,3.0,3.0,2.0,4.0
276070153,3.0,3.0,4.0,2.0,3.0
276070154,2.0,1.0,4.0,1.0,3.0
276070155,3.0,3.0,4.0,2.0,4.0
276070156,4.0,3.0,4.0,1.0,3.0
276070157,2.0,3.0,4.0,1.0,4.0
276070158,4.0,4.0,4.0,1.0,4.0
276070159,3.0,2.0,4.0,1.0,4.0
276070160,2.0,1.0,4.0,1.0,4.0
276070161,4.0,1.0,4.0,1.0,4.0
276070162,4.0,1.0,4.0,2.0,4.0
276070163,4.0,1.0,4.0,1.0,4.0
276070164,1.0,3.0,4.0,1.0,4.0
276070165,2.0,2.0,4.0,1.0,4.0
276070166,4.0,4.0,4.0,1.0,4.0
276070167,4.0,3.0,4.0,1.0,4.0
276070168,4.0,3.0,4.0,1.0,4.0
276070169,4.0,3.0,4.0,1.0,4.0
276070170,4.0,2.0,4.0,1.0,4.0
276070171,3.0,2.0,4.0,1.0,4.0
276070172,2.0,2.0,4.0,1.0,4.0
276070173,4.0,3.0,3.0,1.0,4.0
276070174,2.0,2.0,4.0,2.0,3.0
276070175,2.0,3.0,4.0,1.0,3.0
276070176,3.0,2.0,4.0,1.0,4.0
276070177,4.0,4.0,3.0,1.0,4.0
276070178,2.0,3.0,4.0,2.0,4.0
276070179,4.0,4.0,4.0,1.0,4.0
276070180,3.0,4.0,4.0,1.0,4.0
276070181,-2.0,-2.0,4.0,1.0,-1.0
276070182,4.0,4.0,4.0,1.0,4.0
276070183,2.0,1.0,4.0,1.0,4.0
276070184,-2.0,-2.0,-2.0,-2.0,-2.0
276070185,4.0,3.0,4.0,1.0,4.0
276070186,-1.0,-1.0,-1.0,1.0,4.0
276070187,4.0,4.0,4.0,2.0,4.0
276070188,4.0,3.0,4.0,1.0,4.0
276070189,2.0,2.0,4.0,2.0,4.0
276070190,4.0,3.0,4.0,1.0,4.0
276070191,4.0,3.0,4.0,1.0,4.0
276070192,4.0,4.0,4.0,1.0,4.0
276070193,4.0,4.0,4.0,1.0,4.0
276070194,3.0,3.0,4.0,1.0,4.0
276070195,3.0,1.0,3.0,1.0,4.0
276070196,2.0,-1.0,4.0,1.0,4.0
276070197,-2.0,-2.0,-2.0,-2.0,-2.0
276070198,-1.0,2.0,4.0,2.0,4.0
276070199,2.0,4.0,4.0,1.0,4.0
276070200,1.0,2.0,3.0,1.0,4.0
276070201,4.0,4.0,4.0,1.0,4.0
276070202,4.0,2.0,4.0,1.0,3.0
276070203,3.0,4.0,4.0,2.0,4.0
276070204,4.0,4.0,4.0,1.0,4.0
276070205,1.0,2.0,4.0,1.0,4.0
276070206,3.0,3.0,4.0,1.0,4.0
276070207,4.0,2.0,4.0,1.0,4.0
276070208,4.0,3.0,4.0,1.0,4.0
276070209,4.0,4.0,4.0,1.0,4.0
276070210,2.0,2.0,4.0,2.0,4.0
276070211,4.0,1.0,3.0,1.0,3.0
276070212,3.0,4.0,4.0,1.0,3.0
276070213,2.0,2.0,3.0,1.0,3.0
276070214,2.0,2.0,3.0,1.0,3.0
276070215,4.0,4.0,4.0,1.0,4.0
276070216,4.0,4.0,4.0,1.0,4.0
276070217,4.0,2.0,4.0,1.0,4.0
276070218,4.0,4.0,4.0,1.0,4.0
276070219,3.0,2.0,4.0,1.0,4.0
276070220,2.0,3.0,4.0,3.0,4.0
276070221,4.0,4.0,4.0,1.0,4.0
276070222,4.0,3.0,4.0,1.0,4.0
276070223,2.0,3.0,4.0,1.0,4.0
276070224,3.0,3.0,4.0,1.0,3.0
276070225,-1.0,4.0,4.0,1.0,4.0
276070226,4.0,3.0,4.0,1.0,4.0
276070227,3.0,-2.0,4.0,1.0,4.0
276070228,2.0,2.0,4.0,1.0,4.0
276070229,3.0,2.0,4.0,1.0,4.0
276070230,4.0,3.0,4.0,1.0,4.0
276070231,3.0,4.0,4.0,1.0,3.0
276070232,1.0,3.0,4.0,2.0,4.0
276070233,2.0,-1.0,4.0,2.0,3.0
276070234,3.0,3.0,4.0,1.0,4.0
276070235,4.0,4.0,4.0,1.0,4.0
276070236,3.0,2.0,4.0,3.0,4.0
276070237,3.0,3.0,4.0,1.0,4.0
276070238,2.0,3.0,3.0,2.0,3.0
276070239,3.0,4.0,4.0,2.0,4.0
276070240,4.0,3.0,4.0,1.0,4.0
276070241,3.0,2.0,4.0,1.0,4.0
276070242,4.0,1.0,3.0,1.0,4.0
276070243,1.0,2.0,4.0,1.0,4.0
276070244,3.0,2.0,4.0,2.0,4.0
276070245,1.0,2.0,-1.0,2.0,3.0
276070246,1.0,2.0,2.0,2.0,3.0
276070247,3.0,3.0,4.0,2.0,4.0
276070248,4.0,2.0,4.0,1.0,4.0
276070249,4.0,4.0,4.0,1.0,4.0
276070250,4.0,2.0,3.0,1.0,4.0
276070251,1.0,1.0,3.0,1.0,4.0
276070252,3.0,2.0,4.0,1.0,4.0
276070253,2.0,2.0,3.0,1.0,4.0
276070254,3.0,2.0,4.0,1.0,4.0
276070255,4.0,3.0,4.0,1.0,4.0
276070256,4.0,4.0,4.0,1.0,4.0
276070257,4.0,3.0,4.0,2.0,4.0
276070258,2.0,1.0,4.0,1.0,4.0
276070259,4.0,3.0,4.0,1.0,4.0
276070260,1.0,2.0,3.0,1.0,4.0
276070261,4.0,2.0,4.0,1.0,4.0
276070262,3.0,4.0,3.0,1.0,4.0
276070263,4.0,4.0,4.0,1.0,4.0
276070264,3.0,4.0,4.0,1.0,3.0
276070265,3.0,4.0,4.0,1.0,4.0
276070266,4.0,2.0,4.0,1.0,3.0
276070267,1.0,3.0,4.0,1.0,4.0
276070268,4.0,3.0,4.0,1.0,4.0
276070269,1.0,2.0,4.0,2.0,4.0
276070270,2.0,3.0,4.0,2.0,3.0
276070271,1.0,2.0,4.0,1.0,4.0
276070272,4.0,3.0,4.0,2.0,3.0
276070273,4.0,2.0,4.0,2.0,4.0
276070274,3.0,3.0,4.0,1.0,4.0
276070275,4.0,4.0,4.0,1.0,4.0
276070276,3.0,3.0,4.0,1.0,4.0
276070277,4.0,4.0,4.0,1.0,4.0
276070278,2.0,2.0,3.0,1.0,4.0
276070279,4.0,-2.0,4.0,2.0,3.0
276070280,2.0,2.0,4.0,1.0,4.0
276070281,3.0,3.0,3.0,2.0,3.0
276070282,2.0,3.0,3.0,2.0,4.0
276070283,2.0,4.0,4.0,2.0,3.0
276070284,4.0,-1.0,4.0,1.0,4.0
276070285,4.0,4.0,4.0,4.0,4.0
276070286,2.0,1.0,4.0,2.0,4.0
276070287,4.0,3.0,4.0,1.0,4.0
276070288,4.0,3.0,3.0,1.0,4.0
276070289,4.0,3.0,4.0,2.0,4.0
276070290,3.0,4.0,3.0,2.0,4.0
276070291,2.0,3.0,4.0,1.0,4.0
276070292,4.0,3.0,4.0,2.0,2.0
276070293,-1.0,-1.0,-1.0,-1.0,-1.0
276070294,-1.0,-1.0,-1.0,-1.0,-1.0
276070295,-1.0,-1.0,2.0,-1.0,-1.0
276070296,4.0,4.0,4.0,1.0,4.0
276070297,4.0,1.0,4.0,1.0,4.0
276070298,4.0,2.0,4.0,1.0,4.0
276070299,4.0,3.0,4.0,1.0,4.0
276070300,4.0,4.0,4.0,1.0,4.0
276070301,4.0,4.0,4.0,1.0,4.0
276070302,4.0,4.0,4.0,2.0,4.0
276070303,2.0,4.0,4.0,1.0,4.0
276070304,2.0,-1.0,4.0,1.0,4.0
276070305,4.0,4.0,4.0,1.0,4.0
276070306,2.0,3.0,3.0,1.0,4.0
276070307,4.0,4.0,4.0,1.0,4.0
276070308,4.0,4.0,4.0,1.0,4.0
276070309,4.0,4.0,4.0,1.0,4.0
276070310,4.0,4.0,4.0,1.0,4.0
276070311,4.0,1.0,4.0,1.0,4.0
276070312,4.0,4.0,4.0,2.0,4.0
276070313,4.0,2.0,4.0,1.0,-1.0
276070314,3.0,3.0,4.0,4.0,4.0
276070315,3.0,4.0,4.0,1.0,4.0
276070316,4.0,3.0,4.0,1.0,4.0
276070317,-1.0,-1.0,4.0,1.0,4.0
276070318,2.0,2.0,4.0,1.0,4.0
276070319,4.0,3.0,4.0,1.0,4.0
276070320,4.0,2.0,3.0,1.0,4.0
276070321,4.0,-1.0,4.0,1.0,4.0
276070322,4.0,4.0,4.0,1.0,4.0
276070323,3.0,3.0,3.0,2.0,3.0
276070324,4.0,4.0,4.0,1.0,4.0
276070325,1.0,2.0,4.0,2.0,4.0
276070326,4.0,2.0,4.0,1.0,4.0
276070327,2.0,2.0,2.0,3.0,4.0
276070328,3.0,2.0,4.0,2.0,3.0
276070329,4.0,3.0,4.0,1.0,4.0
276070330,3.0,3.0,3.0,1.0,4.0
276070331,4.0,3.0,4.0,2.0,3.0
276070332,4.0,4.0,4.0,1.0,4.0
276070333,4.0,4.0,4.0,1.0,4.0
276070334,4.0,3.0,4.0,1.0,4.0
276070335,2.0,3.0,4.0,1.0,4.0
276070336,4.0,3.0,4.0,1.0,4.0
276070337,4.0,4.0,4.0,1.0,4.0
276070338,3.0,4.0,4.0,1.0,4.0
276070339,4.0,2.0,4.0,1.0,4.0
276070340,2.0,3.0,4.0,2.0,4.0
276070341,3.0,3.0,4.0,2.0,4.0
276070342,4.0,4.0,4.0,1.0,4.0
276070343,4.0,2.0,4.0,1.0,4.0
276070344,3.0,2.0,4.0,2.0,3.0
276070345,4.0,3.0,4.0,1.0,4.0
276070346,3.0,3.0,4.0,2.0,4.0
276070347,4.0,2.0,4.0,1.0,4.0
276070348,-1.0,-1.0,4.0,-1.0,-1.0
276070349,4.0,4.0,4.0,1.0,4.0
276070350,4.0,4.0,4.0,1.0,4.0
276070351,4.0,3.0,4.0,1.0,4.0
276070352,4.0,3.0,4.0,1.0,4.0
276070353,4.0,4.0,4.0,1.0,4.0
276070354,3.0,2.0,4.0,1.0,4.0
276070355,3.0,2.0,4.0,2.0,4.0
276070356,4.0,2.0,4.0,1.0,4.0
276070357,2.0,3.0,4.0,1.0,4.0
276070358,2.0,3.0,4.0,1.0,4.0
276070359,2.0,3.0,4.0,1.0,4.0
276070360,4.0,3.0,4.0,1.0,4.0
276070361,3.0,3.0,4.0,1.0,4.0
276070362,4.0,3.0,4.0,1.0,4.0
276070363,4.0,3.0,4.0,2.0,4.0
276070364,4.0,4.0,4.0,1.0,4.0
276070365,4.0,4.0,4.0,1.0,4.0
276070366,4.0,4.0,4.0,1.0,4.0
276070367,4.0,2.0,4.0,1.0,4.0
276070368,3.0,3.0,4.0,2.0,4.0
276070369,4.0,4.0,4.0,1.0,4.0
276070370,4.0,3.0,4.0,1.0,4.0
276070371,3.0,3.0,4.0,1.0,4.0
276070372,3.0,-1.0,3.0,2.0,3.0
276070373,4.0,2.0,4.0,1.0,4.0
276070374,4.0,3.0,4.0,1.0,4.0
276070375,4.0,4.0,4.0,1.0,4.0
276070376,1.0,2.0,4.0,2.0,4.0
276070377,4.0,3.0,4.0,2.0,4.0
276070378,4.0,3.0,4.0,1.0,3.0
276070379,4.0,3.0,4.0,1.0,4.0
276070380,-2.0,2.0,4.0,2.0,1.0
276070381,2.0,4.0,4.0,1.0,4.0
276070382,4.0,1.0,4.0,1.0,4.0
276070383,4.0,4.0,4.0,1.0,3.0
276070384,4.0,3.0,4.0,1.0,4.0
276070385,3.0,3.0,4.0,2.0,4.0
276070386,3.0,3.0,4.0,2.0,4.0
276070387,4.0,2.0,4.0,1.0,4.0
276070388,4.0,3.0,4.0,1.0,4.0
276070389,2.0,2.0,4.0,1.0,4.0
276070390,4.0,2.0,4.0,1.0,4.0
276070391,4.0,4.0,4.0,1.0,4.0
276070392,2.0,2.0,3.0,1.0,3.0
276070393,4.0,2.0,4.0,2.0,4.0
