D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
300070001,4,-1,4,1,4
300070002,4,4,4,1,4
300070003,4,4,-1,2,-1
300070004,4,2,4,1,4
300070005,4,4,4,1,4
300070006,4,4,3,1,4
300070007,4,-1,4,1,4
300070008,4,-1,3,1,4
300070009,3,-1,4,1,4
300070010,4,1,4,1,4
300070011,4,4,4,1,3
300070012,4,3,4,1,3
300070013,4,4,4,1,4
300070014,4,3,4,1,3
300070015,4,4,4,1,3
300070016,4,4,4,1,3
300070017,4,4,4,1,4
300070018,4,3,4,1,3
300070019,4,3,4,1,3
300070020,4,3,4,1,4
300070021,2,4,4,1,-1
300070022,4,4,4,1,4
300070023,4,4,4,1,3
300070024,1,4,4,4,4
300070025,3,1,3,1,4
300070026,4,4,4,1,4
300070027,4,4,4,1,4
300070028,4,4,4,1,3
300070029,4,4,4,1,4
300070030,4,4,4,1,4
300070031,1,1,4,1,4
300070032,3,3,4,1,2
300070033,3,2,4,1,3
300070034,4,1,4,1,3
300070035,4,2,4,1,4
300070036,4,3,4,1,4
300070037,4,3,4,1,3
300070038,3,2,4,1,3
300070039,2,2,4,1,4
300070040,4,2,4,1,3
300070041,1,4,4,1,4
300070042,4,4,4,1,4
300070043,3,4,3,1,1
300070044,4,1,4,4,4
300070045,4,3,2,2,4
300070046,1,2,4,1,4
300070047,4,3,4,1,-1
300070048,4,4,4,1,4
300070049,3,3,4,1,-1
300070050,4,3,4,1,4
300070051,-1,-1,4,1,4
300070052,4,4,4,4,1
300070053,-1,2,4,1,4
300070054,3,2,4,1,4
300070055,4,-1,4,1,4
300070056,4,-1,4,1,4
300070057,3,2,1,4,4
300070058,-1,-1,4,1,-1
300070059,2,-1,3,2,-1
300070060,1,3,1,3,4
300070061,3,-1,4,1,4
300070062,3,-1,4,1,4
300070063,3,2,4,1,4
300070064,4,4,4,2,4
300070065,4,2,4,1,4
300070066,2,-1,-1,2,4
300070067,2,1,2,1,2
300070068,3,2,4,1,4
300070069,4,1,4,1,4
300070070,3,-1,4,1,4
300070071,4,2,4,1,4
300070072,4,3,4,1,4
300070073,4,-1,4,1,4
300070074,4,-1,4,1,4
300070075,3,-1,4,1,-1
300070076,4,2,4,1,4
300070077,4,-1,4,1,4
300070078,4,4,4,1,4
300070079,4,4,4,1,4
300070080,4,3,4,1,4
300070081,4,4,4,1,4
300070082,4,3,4,1,3
300070083,4,2,4,1,4
300070084,4,3,3,1,3
300070085,4,2,3,1,3
300070086,4,3,4,1,4
300070087,4,3,4,1,4
300070088,4,3,4,1,4
300070089,4,3,4,1,4
300070090,4,2,4,1,2
300070091,4,2,4,1,4
300070092,4,3,4,1,4
300070093,4,2,4,1,4
300070094,4,-1,4,1,4
300070095,4,2,4,1,4
300070096,4,2,4,1,4
300070097,4,-1,4,1,4
300070098,4,3,4,1,4
300070099,4,-1,3,1,4
300070100,4,1,4,1,4
300070101,4,4,4,1,4
300070102,4,4,4,1,4
300070103,4,4,4,1,4
300070104,4,4,4,1,4
300070105,4,3,4,1,4
300070106,4,4,4,1,4
300070107,4,4,4,1,4
300070108,4,4,4,1,4
300070109,4,4,4,1,4
300070110,4,4,4,1,4
300070111,3,-1,3,2,3
300070112,4,4,4,1,3
300070113,4,4,4,1,4
300070114,2,4,2,4,4
300070115,4,4,4,1,4
300070116,4,4,4,1,4
300070117,4,4,4,2,4
300070118,4,4,-1,1,-1
300070119,4,4,1,4,3
300070120,4,4,4,1,4
300070121,1,3,3,1,3
300070122,4,2,4,1,4
300070123,3,2,4,1,4
300070124,3,2,4,1,4
300070125,4,3,4,1,4
300070126,3,3,4,1,4
300070127,4,4,4,1,4
300070128,2,3,2,2,4
300070129,4,3,4,1,4
300070130,3,2,4,1,4
300070131,4,3,4,1,3
300070132,4,1,4,1,3
300070133,4,-2,4,1,3
300070134,4,1,4,1,4
300070135,3,1,2,3,3
300070136,4,2,4,1,3
300070137,4,2,4,1,2
300070138,4,3,4,1,4
300070139,4,1,4,1,3
300070140,4,2,4,1,3
300070141,4,4,4,1,4
300070142,4,4,4,1,4
300070143,2,4,4,2,2
300070144,-1,-1,4,2,4
300070145,3,3,4,1,4
300070146,4,2,4,1,4
300070147,4,4,4,1,4
300070148,4,1,4,1,4
300070149,4,-1,4,1,-1
300070150,4,2,4,1,3
300070151,4,4,4,1,4
300070152,4,2,4,1,4
300070153,4,3,4,1,4
300070154,4,2,4,1,4
300070155,2,2,2,2,4
300070156,3,3,2,2,4
300070157,2,2,1,2,3
300070158,3,4,3,1,4
300070159,4,4,4,1,4
300070160,4,4,4,1,4
300070161,3,4,4,1,4
300070162,4,2,4,1,3
300070163,4,1,4,1,4
300070164,4,2,4,1,4
300070165,3,3,4,1,4
300070166,4,2,4,1,4
300070167,4,2,4,1,4
300070168,4,3,4,1,4
300070169,4,2,4,1,4
300070170,4,3,4,1,3
300070171,4,2,4,1,4
300070172,4,2,4,1,3
300070173,4,4,4,1,4
300070174,4,4,4,1,4
300070175,4,4,4,1,4
300070176,4,2,4,1,4
300070177,4,3,4,1,4
300070178,3,3,4,1,4
300070179,4,4,4,1,4
300070180,4,2,4,1,4
300070181,4,4,4,1,4
300070182,4,3,4,1,4
300070183,4,3,4,1,4
300070184,4,3,4,1,4
300070185,4,4,4,1,4
300070186,4,4,4,1,4
300070187,4,4,4,1,4
300070188,4,3,4,1,4
300070189,4,4,4,1,4
300070190,4,4,4,1,4
300070191,4,4,4,1,4
300070192,4,4,4,1,4
300070193,4,3,4,1,3
300070194,4,4,4,1,4
300070195,4,4,4,1,4
300070196,4,4,4,1,4
300070197,4,4,4,1,4
300070198,4,4,4,1,3
300070199,4,4,4,1,4
300070200,4,4,4,1,4
300070201,4,3,3,1,4
300070202,3,2,4,1,4
300070203,4,4,4,1,4
300070204,3,2,4,1,4
300070205,3,2,2,1,3
300070206,4,2,4,1,4
300070207,4,4,4,1,4
300070208,3,3,4,1,4
300070209,3,3,2,1,3
300070210,4,4,4,1,4
300070211,3,4,2,3,4
300070212,4,4,4,1,4
300070213,3,3,4,2,4
300070214,2,3,1,2,4
300070215,3,3,4,2,4
300070216,4,4,4,1,4
300070217,4,2,4,1,4
300070218,4,4,4,2,4
300070219,4,4,4,1,4
300070220,4,4,4,1,4
300070221,4,3,4,1,4
300070222,4,4,4,1,4
300070223,3,3,2,2,4
300070224,4,4,4,1,4
300070225,3,2,2,3,3
300070226,4,4,4,1,4
300070227,4,4,4,1,4
300070228,4,3,4,1,4
300070229,2,3,3,1,4
300070230,3,2,3,1,3
300070231,4,4,3,1,3
300070232,4,4,4,1,4
300070233,4,4,3,1,4
300070234,4,4,4,1,4
300070235,4,4,4,1,4
300070236,3,3,4,1,4
300070237,4,4,4,1,4
300070238,4,3,2,2,3
300070239,4,4,4,1,4
300070240,4,4,4,1,4
300070241,4,3,4,1,4
300070242,4,3,4,1,4
