D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
300070001,4.0,-1.0,4.0,1.0,4.0
300070002,4.0,4.0,4.0,1.0,4.0
300070003,4.0,4.0,-1.0,2.0,-1.0
300070004,4.0,2.0,4.0,1.0,4.0
300070005,4.0,4.0,4.0,1.0,4.0
300070006,4.0,4.0,3.0,1.0,4.0
300070007,4.0,-1.0,4.0,1.0,4.0
300070008,4.0,-1.0,3.0,1.0,4.0
300070009,3.0,-1.0,4.0,1.0,4.0
300070010,4.0,1.0,4.0,1.0,4.0
300070011,4.0,4.0,4.0,1.0,3.0
300070012,4.0,3.0,4.0,1.0,3.0
300070013,4.0,4.0,4.0,1.0,4.0
300070014,4.0,3.0,4.0,1.0,3.0
300070015,4.0,4.0,4.0,1.0,3.0
300070016,4.0,4.0,4.0,1.0,3.0
300070017,4.0,4.0,4.0,1.0,4.0
300070018,4.0,3.0,4.0,1.0,3.0
300070019,4.0,3.0,4.0,1.0,3.0
300070020,4.0,3.0,4.0,1.0,4.0
300070021,2.0,4.0,4.0,1.0,-1.0
300070022,4.0,4.0,4.0,1.0,4.0
300070023,4.0,4.0,4.0,1.0,3.0
300070024,1.0,4.0,4.0,4.0,4.0
300070025,3.0,1.0,3.0,1.0,4.0
300070026,4.0,4.0,4.0,1.0,4.0
300070027,4.0,4.0,4.0,1.0,4.0
300070028,4.0,4.0,4.0,1.0,3.0
300070029,4.0,4.0,4.0,1.0,4.0
300070030,4.0,4.0,4.0,1.0,4.0
300070031,1.0,1.0,4.0,1.0,4.0
300070032,3.0,3.0,4.0,1.0,2.0
300070033,3.0,2.0,4.0,1.0,3.0
300070034,4.0,1.0,4.0,1.0,3.0
300070035,4.0,2.0,4.0,1.0,4.0
300070036,4.0,3.0,4.0,1.0,4.0
300070037,4.0,3.0,4.0,1.0,3.0
300070038,3.0,2.0,4.0,1.0,3.0
300070039,2.0,2.0,4.0,1.0,4.0
300070040,4.0,2.0,4.0,1.0,3.0
300070041,1.0,4.0,4.0,1.0,4.0
300070042,4.0,4.0,4.0,1.0,4.0
300070043,3.0,4.0,3.0,1.0,1.0
300070044,4.0,1.0,4.0,4.0,4.0
300070045,4.0,3.0,2.0,2.0,4.0
300070046,1.0,2.0,4.0,1.0,4.0
300070047,4.0,3.0,4.0,1.0,-1.0
300070048,4.0,4.0,4.0,1.0,4.0
300070049,3.0,3.0,4.0,1.0,-1.0
300070050,4.0,3.0,4.0,1.0,4.0
300070051,-1.0,-1.0,4.0,1.0,4.0
300070052,4.0,4.0,4.0,4.0,1.0
300070053,-1.0,2.0,4.0,1.0,4.0
300070054,3.0,2.0,4.0,1.0,4.0
300070055,4.0,-1.0,4.0,1.0,4.0
300070056,4.0,-1.0,4.0,1.0,4.0
300070057,3.0,2.0,1.0,4.0,4.0
300070058,-1.0,-1.0,4.0,1.0,-1.0
300070059,2.0,-1.0,3.0,2.0,-1.0
300070060,1.0,3.0,1.0,3.0,4.0
300070061,3.0,-1.0,4.0,1.0,4.0
300070062,3.0,-1.0,4.0,1.0,4.0
300070063,3.0,2.0,4.0,1.0,4.0
300070064,4.0,4.0,4.0,2.0,4.0
300070065,4.0,2.0,4.0,1.0,4.0
300070066,2.0,-1.0,-1.0,2.0,4.0
300070067,2.0,1.0,2.0,1.0,2.0
300070068,3.0,2.0,4.0,1.0,4.0
300070069,4.0,1.0,4.0,1.0,4.0
300070070,3.0,-1.0,4.0,1.0,4.0
300070071,4.0,2.0,4.0,1.0,4.0
300070072,4.0,3.0,4.0,1.0,4.0
300070073,4.0,-1.0,4.0,1.0,4.0
300070074,4.0,-1.0,4.0,1.0,4.0
300070075,3.0,-1.0,4.0,1.0,-1.0
300070076,4.0,2.0,4.0,1.0,4.0
300070077,4.0,-1.0,4.0,1.0,4.0
300070078,4.0,4.0,4.0,1.0,4.0
300070079,4.0,4.0,4.0,1.0,4.0
300070080,4.0,3.0,4.0,1.0,4.0
300070081,4.0,4.0,4.0,1.0,4.0
300070082,4.0,3.0,4.0,1.0,3.0
300070083,4.0,2.0,4.0,1.0,4.0
300070084,4.0,3.0,3.0,1.0,3.0
300070085,4.0,2.0,3.0,1.0,3.0
300070086,4.0,3.0,4.0,1.0,4.0
300070087,4.0,3.0,4.0,1.0,4.0
300070088,4.0,3.0,4.0,1.0,4.0
300070089,4.0,3.0,4.0,1.0,4.0
300070090,4.0,2.0,4.0,1.0,2.0
300070091,4.0,2.0,4.0,1.0,4.0
300070092,4.0,3.0,4.0,1.0,4.0
300070093,4.0,2.0,4.0,1.0,4.0
300070094,4.0,-1.0,4.0,1.0,4.0
300070095,4.0,2.0,4.0,1.0,4.0
300070096,4.0,2.0,4.0,1.0,4.0
300070097,4.0,-1.0,4.0,1.0,4.0
300070098,4.0,3.0,4.0,1.0,4.0
300070099,4.0,-1.0,3.0,1.0,4.0
300070100,4.0,1.0,4.0,1.0,4.0
300070101,4.0,4.0,4.0,1.0,4.0
300070102,4.0,4.0,4.0,1.0,4.0
300070103,4.0,4.0,4.0,1.0,4.0
300070104,4.0,4.0,4.0,1.0,4.0
300070105,4.0,3.0,4.0,1.0,4.0
300070106,4.0,4.0,4.0,1.0,4.0
300070107,4.0,4.0,4.0,1.0,4.0
300070108,4.0,4.0,4.0,1.0,4.0
300070109,4.0,4.0,4.0,1.0,4.0
300070110,4.0,4.0,4.0,1.0,4.0
300070111,3.0,-1.0,3.0,2.0,3.0
300070112,4.0,4.0,4.0,1.0,3.0
300070113,4.0,4.0,4.0,1.0,4.0
300070114,2.0,4.0,2.0,4.0,4.0
300070115,4.0,4.0,4.0,1.0,4.0
300070116,4.0,4.0,4.0,1.0,4.0
300070117,4.0,4.0,4.0,2.0,4.0
300070118,4.0,4.0,-1.0,1.0,-1.0
300070119,4.0,4.0,1.0,4.0,3.0
300070120,4.0,4.0,4.0,1.0,4.0
300070121,1.0,3.0,3.0,1.0,3.0
300070122,4.0,2.0,4.0,1.0,4.0
300070123,3.0,2.0,4.0,1.0,4.0
300070124,3.0,2.0,4.0,1.0,4.0
300070125,4.0,3.0,4.0,1.0,4.0
300070126,3.0,3.0,4.0,1.0,4.0
300070127,4.0,4.0,4.0,1.0,4.0
300070128,2.0,3.0,2.0,2.0,4.0
300070129,4.0,3.0,4.0,1.0,4.0
300070130,3.0,2.0,4.0,1.0,4.0
300070131,4.0,3.0,4.0,1.0,3.0
300070132,4.0,1.0,4.0,1.0,3.0
300070133,4.0,-2.0,4.0,1.0,3.0
300070134,4.0,1.0,4.0,1.0,4.0
300070135,3.0,1.0,2.0,3.0,3.0
300070136,4.0,2.0,4.0,1.0,3.0
300070137,4.0,2.0,4.0,1.0,2.0
300070138,4.0,3.0,4.0,1.0,4.0
300070139,4.0,1.0,4.0,1.0,3.0
300070140,4.0,2.0,4.0,1.0,3.0
300070141,4.0,4.0,4.0,1.0,4.0
300070142,4.0,4.0,4.0,1.0,4.0
300070143,2.0,4.0,4.0,2.0,2.0
300070144,-1.0,-1.0,4.0,2.0,4.0
300070145,3.0,3.0,4.0,1.0,4.0
300070146,4.0,2.0,4.0,1.0,4.0
300070147,4.0,4.0,4.0,1.0,4.0
300070148,4.0,1.0,4.0,1.0,4.0
300070149,4.0,-1.0,4.0,1.0,-1.0
300070150,4.0,2.0,4.0,1.0,3.0
300070151,4.0,4.0,4.0,1.0,4.0
300070152,4.0,2.0,4.0,1.0,4.0
300070153,4.0,3.0,4.0,1.0,4.0
300070154,4.0,2.0,4.0,1.0,4.0
300070155,2.0,2.0,2.0,2.0,4.0
300070156,3.0,3.0,2.0,2.0,4.0
300070157,2.0,2.0,1.0,2.0,3.0
300070158,3.0,4.0,3.0,1.0,4.0
300070159,4.0,4.0,4.0,1.0,4.0
300070160,4.0,4.0,4.0,1.0,4.0
300070161,3.0,4.0,4.0,1.0,4.0
300070162,4.0,2.0,4.0,1.0,3.0
300070163,4.0,1.0,4.0,1.0,4.0
300070164,4.0,2.0,4.0,1.0,4.0
300070165,3.0,3.0,4.0,1.0,4.0
300070166,4.0,2.0,4.0,1.0,4.0
300070167,4.0,2.0,4.0,1.0,4.0
300070168,4.0,3.0,4.0,1.0,4.0
300070169,4.0,2.0,4.0,1.0,4.0
300070170,4.0,3.0,4.0,1.0,3.0
300070171,4.0,2.0,4.0,1.0,4.0
300070172,4.0,2.0,4.0,1.0,3.0
300070173,4.0,4.0,4.0,1.0,4.0
300070174,4.0,4.0,4.0,1.0,4.0
300070175,4.0,4.0,4.0,1.0,4.0
300070176,4.0,2.0,4.0,1.0,4.0
300070177,4.0,3.0,4.0,1.0,4.0
300070178,3.0,3.0,4.0,1.0,4.0
300070179,4.0,4.0,4.0,1.0,4.0
300070180,4.0,2.0,4.0,1.0,4.0
300070181,4.0,4.0,4.0,1.0,4.0
300070182,4.0,3.0,4.0,1.0,4.0
300070183,4.0,3.0,4.0,1.0,4.0
300070184,4.0,3.0,4.0,1.0,4.0
300070185,4.0,4.0,4.0,1.0,4.0
300070186,4.0,4.0,4.0,1.0,4.0
300070187,4.0,4.0,4.0,1.0,4.0
300070188,4.0,3.0,4.0,1.0,4.0
300070189,4.0,4.0,4.0,1.0,4.0
300070190,4.0,4.0,4.0,1.0,4.0
300070191,4.0,4.0,4.0,1.0,4.0
300070192,4.0,4.0,4.0,1.0,4.0
300070193,4.0,3.0,4.0,1.0,3.0
300070194,4.0,4.0,4.0,1.0,4.0
300070195,4.0,4.0,4.0,1.0,4.0
300070196,4.0,4.0,4.0,1.0,4.0
300070197,4.0,4.0,4.0,1.0,4.0
300070198,4.0,4.0,4.0,1.0,3.0
300070199,4.0,4.0,4.0,1.0,4.0
300070200,4.0,4.0,4.0,1.0,4.0
300070201,4.0,3.0,3.0,1.0,4.0
300070202,3.0,2.0,4.0,1.0,4.0
300070203,4.0,4.0,4.0,1.0,4.0
300070204,3.0,2.0,4.0,1.0,4.0
300070205,3.0,2.0,2.0,1.0,3.0
300070206,4.0,2.0,4.0,1.0,4.0
300070207,4.0,4.0,4.0,1.0,4.0
300070208,3.0,3.0,4.0,1.0,4.0
300070209,3.0,3.0,2.0,1.0,3.0
300070210,4.0,4.0,4.0,1.0,4.0
300070211,3.0,4.0,2.0,3.0,4.0
300070212,4.0,4.0,4.0,1.0,4.0
300070213,3.0,3.0,4.0,2.0,4.0
300070214,2.0,3.0,1.0,2.0,4.0
300070215,3.0,3.0,4.0,2.0,4.0
300070216,4.0,4.0,4.0,1.0,4.0
300070217,4.0,2.0,4.0,1.0,4.0
300070218,4.0,4.0,4.0,2.0,4.0
300070219,4.0,4.0,4.0,1.0,4.0
300070220,4.0,4.0,4.0,1.0,4.0
300070221,4.0,3.0,4.0,1.0,4.0
300070222,4.0,4.0,4.0,1.0,4.0
300070223,3.0,3.0,2.0,2.0,4.0
300070224,4.0,4.0,4.0,1.0,4.0
300070225,3.0,2.0,2.0,3.0,3.0
300070226,4.0,4.0,4.0,1.0,4.0
300070227,4.0,4.0,4.0,1.0,4.0
300070228,4.0,3.0,4.0,1.0,4.0
300070229,2.0,3.0,3.0,1.0,4.0
300070230,3.0,2.0,3.0,1.0,3.0
300070231,4.0,4.0,3.0,1.0,3.0
300070232,4.0,4.0,4.0,1.0,4.0
300070233,4.0,4.0,3.0,1.0,4.0
300070234,4.0,4.0,4.0,1.0,4.0
300070235,4.0,4.0,4.0,1.0,4.0
300070236,3.0,3.0,4.0,1.0,4.0
300070237,4.0,4.0,4.0,1.0,4.0
300070238,4.0,3.0,2.0,2.0,3.0
300070239,4.0,4.0,4.0,1.0,4.0
300070240,4.0,4.0,4.0,1.0,4.0
300070241,4.0,3.0,4.0,1.0,4.0
300070242,4.0,3.0,4.0,1.0,4.0
300070243,4.0,4.0,4.0,2.0,3.0
300070244,4.0,3.0,4.0,1.0,4.0
300070245,4.0,4.0,4.0,1.0,4.0
300070246,4.0,3.0,4.0,1.0,4.0
300070247,4.0,-1.0,4.0,1.0,4.0
300070248,4.0,3.0,4.0,1.0,4.0
300070249,4.0,3.0,4.0,1.0,4.0
300070250,4.0,-1.0,4.0,1.0,4.0
300070251,4.0,2.0,4.0,1.0,4.0
300070252,4.0,3.0,4.0,1.0,4.0
300070253,4.0,3.0,4.0,1.0,4.0
300070254,4.0,4.0,4.0,1.0,4.0
300070255,4.0,-1.0,4.0,1.0,4.0
300070256,4.0,3.0,4.0,1.0,4.0
300070257,4.0,-1.0,4.0,1.0,4.0
300070258,4.0,4.0,4.0,1.0,4.0
300070259,3.0,-1.0,-1.0,1.0,3.0
300070260,4.0,-1.0,2.0,1.0,4.0
300070261,4.0,3.0,4.0,1.0,3.0
300070262,4.0,3.0,4.0,1.0,3.0
300070263,4.0,3.0,4.0,1.0,4.0
300070264,4.0,3.0,4.0,1.0,3.0
300070265,4.0,4.0,4.0,1.0,3.0
300070266,4.0,4.0,4.0,1.0,3.0
300070267,4.0,3.0,4.0,1.0,3.0
300070268,4.0,3.0,4.0,1.0,4.0
300070269,4.0,3.0,4.0,1.0,4.0
300070270,4.0,3.0,4.0,1.0,4.0
300070271,4.0,4.0,4.0,1.0,1.0
300070272,4.0,4.0,4.0,1.0,4.0
300070273,4.0,2.0,4.0,1.0,4.0
300070274,4.0,3.0,4.0,1.0,4.0
300070275,4.0,3.0,4.0,2.0,4.0
300070276,4.0,4.0,4.0,1.0,4.0
300070277,4.0,3.0,4.0,1.0,4.0
300070278,4.0,3.0,4.0,1.0,4.0
300070279,4.0,3.0,4.0,1.0,4.0
300070280,4.0,3.0,4.0,1.0,4.0
300070281,4.0,4.0,4.0,1.0,4.0
300070282,4.0,4.0,4.0,1.0,4.0
300070283,4.0,4.0,4.0,1.0,4.0
300070284,4.0,4.0,4.0,1.0,4.0
300070285,4.0,4.0,4.0,1.0,4.0
300070286,4.0,4.0,4.0,1.0,4.0
300070287,4.0,4.0,4.0,1.0,4.0
300070288,4.0,4.0,4.0,1.0,4.0
300070289,4.0,4.0,4.0,1.0,4.0
300070290,4.0,4.0,4.0,1.0,4.0
300070291,4.0,3.0,4.0,1.0,3.0
300070292,4.0,3.0,4.0,1.0,3.0
300070293,4.0,4.0,4.0,1.0,4.0
300070294,4.0,3.0,4.0,1.0,4.0
300070295,4.0,3.0,4.0,1.0,3.0
300070296,4.0,4.0,4.0,1.0,4.0
300070297,4.0,4.0,4.0,1.0,4.0
300070298,4.0,4.0,4.0,1.0,4.0
300070299,4.0,4.0,4.0,1.0,4.0
300070300,4.0,3.0,4.0,1.0,4.0
300070301,4.0,2.0,4.0,1.0,2.0
300070302,2.0,3.0,3.0,1.0,2.0
300070303,4.0,4.0,4.0,1.0,3.0
300070304,4.0,3.0,4.0,1.0,4.0
300070305,4.0,4.0,4.0,1.0,4.0
300070306,4.0,3.0,4.0,1.0,4.0
300070307,4.0,3.0,4.0,1.0,4.0
300070308,4.0,3.0,4.0,1.0,4.0
300070309,4.0,4.0,4.0,1.0,4.0
300070310,4.0,3.0,4.0,1.0,4.0
300070311,3.0,-1.0,4.0,1.0,3.0
300070312,1.0,1.0,4.0,1.0,4.0
300070313,2.0,4.0,2.0,3.0,4.0
300070314,-1.0,-1.0,4.0,2.0,4.0
300070315,4.0,4.0,4.0,2.0,4.0
300070316,4.0,-1.0,4.0,1.0,4.0
300070317,4.0,2.0,4.0,1.0,4.0
300070318,4.0,1.0,4.0,1.0,4.0
300070319,4.0,4.0,4.0,1.0,2.0
300070320,4.0,2.0,4.0,1.0,4.0
300070321,4.0,1.0,1.0,2.0,3.0
300070322,4.0,-1.0,4.0,1.0,4.0
300070323,4.0,-1.0,4.0,1.0,4.0
300070324,4.0,-1.0,4.0,-1.0,4.0
300070325,3.0,-1.0,4.0,1.0,4.0
300070326,3.0,2.0,4.0,1.0,4.0
300070327,4.0,4.0,3.0,2.0,4.0
300070328,4.0,-1.0,2.0,-1.0,4.0
300070329,4.0,-1.0,4.0,1.0,3.0
300070330,3.0,2.0,3.0,2.0,4.0
300070331,4.0,-1.0,4.0,1.0,4.0
300070332,4.0,3.0,4.0,1.0,4.0
300070333,4.0,4.0,4.0,1.0,4.0
300070334,4.0,2.0,4.0,1.0,4.0
300070335,4.0,4.0,4.0,1.0,4.0
300070336,4.0,-1.0,4.0,1.0,4.0
300070337,4.0,2.0,4.0,1.0,4.0
300070338,4.0,-1.0,4.0,1.0,4.0
300070339,4.0,3.0,4.0,1.0,4.0
300070340,3.0,-1.0,4.0,1.0,4.0
300070341,2.0,4.0,4.0,1.0,4.0
300070342,4.0,2.0,3.0,2.0,4.0
300070343,4.0,-1.0,4.0,1.0,4.0
300070344,4.0,-1.0,4.0,1.0,4.0
