D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
458070001,4,4,2,4,4
458070002,2,3,2,2,2
458070003,2,1,1,2,2
458070004,2,2,4,1,1
458070005,1,1,4,1,2
458070006,2,2,2,2,3
458070007,2,2,1,2,2
458070008,2,2,3,3,3
458070009,1,2,2,1,2
458070010,3,3,2,3,3
458070011,2,3,3,2,2
458070012,2,2,1,2,1
458070013,2,2,2,2,2
458070014,2,2,2,2,2
458070015,2,2,2,2,2
458070016,2,2,2,2,3
458070017,2,2,3,3,3
458070018,3,2,2,3,2
458070019,2,1,2,2,2
458070020,2,3,3,2,3
458070021,2,2,2,2,2
458070022,2,1,4,2,2
458070023,3,3,4,1,4
458070024,2,2,2,2,2
458070025,1,1,1,1,2
458070026,4,4,2,1,4
458070027,2,2,2,2,2
458070028,2,2,2,2,2
458070029,2,2,2,2,2
458070030,3,3,3,3,3
458070031,2,1,2,1,2
458070032,2,2,2,2,2
458070033,1,1,2,1,2
458070034,2,2,2,2,2
458070035,2,2,2,2,2
458070036,3,3,3,3,3
458070037,2,2,2,2,2
458070038,3,3,3,3,3
458070039,3,1,3,2,3
458070040,1,2,4,1,1
458070041,3,2,2,2,2
458070042,1,1,3,1,1
458070043,1,2,2,2,2
458070044,2,2,2,3,3
458070045,3,1,3,2,3
458070046,1,2,2,2,2
458070047,1,1,3,2,3
458070048,4,4,2,2,2
458070049,2,2,2,2,2
458070050,2,2,2,2,2
458070051,2,2,1,1,2
458070052,1,2,2,2,-1
458070053,2,2,2,1,1
458070054,1,1,3,1,1
458070055,2,1,2,2,2
458070056,2,2,1,2,2
458070057,1,1,4,1,2
458070058,1,1,1,1,1
458070059,1,1,2,1,2
458070060,2,3,2,2,-1
458070061,1,2,2,2,2
458070062,1,2,2,1,2
458070063,1,2,2,2,1
458070064,2,2,2,2,2
458070065,-1,-1,-1,-1,-1
458070066,1,1,2,3,3
458070067,1,1,1,1,1
458070068,2,2,2,2,3
458070069,2,3,2,2,2
458070070,1,2,4,1,3
458070071,1,2,4,1,2
458070072,1,1,2,1,1
458070073,2,2,1,2,2
458070074,1,3,1,1,1
458070075,1,1,2,2,2
458070076,3,4,4,1,3
458070077,1,1,3,2,2
458070078,2,1,2,1,1
458070079,1,2,1,1,3
458070080,2,2,2,2,3
458070081,2,1,2,1,1
458070082,1,2,1,1,1
458070083,1,2,1,1,1
458070084,1,3,4,1,3
458070085,1,3,4,1,4
458070086,2,3,3,2,3
458070087,2,3,3,2,3
458070088,2,2,4,2,2
458070089,1,2,4,2,2
458070090,3,4,4,1,3
458070091,1,1,1,1,1
458070092,1,1,1,1,1
458070093,2,2,3,1,2
458070094,1,1,1,1,3
458070095,3,3,3,3,3
458070096,2,2,2,2,2
458070097,1,2,2,1,2
458070098,4,4,4,4,4
458070099,4,3,3,2,2
458070100,1,1,1,1,1
458070101,1,1,2,1,2
458070102,1,3,3,1,3
458070103,1,3,1,1,2
458070104,1,2,2,1,2
458070105,1,2,1,1,1
458070106,4,4,4,4,4
458070107,1,1,2,2,2
458070108,3,3,3,3,3
458070109,3,3,3,3,3
458070110,2,1,2,1,3
458070111,1,2,2,2,2
458070112,2,3,4,1,4
458070113,1,1,1,1,1
458070114,3,3,2,3,2
458070115,2,2,3,2,2
458070116,2,2,4,2,4
458070117,1,1,1,1,1
458070118,3,3,3,2,3
458070119,1,1,1,1,1
458070120,1,1,3,1,2
458070121,1,2,4,2,3
458070122,1,1,3,2,2
458070123,2,1,2,3,2
458070124,1,1,1,1,1
458070125,4,4,4,4,4
458070126,4,4,4,4,4
458070127,4,4,3,4,4
458070128,2,2,2,2,2
458070129,1,2,2,2,1
458070130,1,2,2,1,2
458070131,2,1,2,2,1
458070132,4,1,3,4,4
458070133,2,2,1,2,2
458070134,1,3,3,2,3
458070135,2,3,3,2,3
458070136,2,3,3,3,3
458070137,3,4,4,1,2
458070138,3,4,4,2,2
458070139,4,3,4,1,3
458070140,4,4,4,1,4
458070141,4,4,4,1,3
458070142,2,2,1,2,2
458070143,1,1,1,1,1
458070144,1,2,1,1,2
458070145,2,2,2,2,3
458070146,1,1,1,1,1
458070147,2,2,1,3,2
458070148,1,1,1,1,1
458070149,2,1,2,2,1
458070150,2,2,2,2,2
458070151,2,2,2,1,2
458070152,1,1,1,1,1
458070153,1,1,4,1,4
458070154,1,2,1,2,2
458070155,2,2,2,2,2
458070156,2,2,2,2,2
458070157,2,2,3,1,2
458070158,2,2,3,2,1
458070159,1,1,3,1,2
458070160,3,2,3,1,1
458070161,1,1,1,1,1
458070162,2,3,1,1,1
458070163,2,2,1,1,1
458070164,2,2,2,2,2
458070165,2,2,2,2,2
458070166,2,2,2,1,2
458070167,3,2,3,1,3
458070168,1,1,1,1,1
458070169,1,2,3,1,2
458070170,1,1,2,1,1
458070171,1,1,3,1,2
458070172,1,1,1,1,1
458070173,2,2,2,2,2
458070174,2,2,3,2,2
458070175,2,2,2,2,2
458070176,2,2,2,2,2
458070177,2,2,2,2,2
458070178,2,2,1,2,2
458070179,1,1,2,2,2
458070180,2,1,2,2,1
458070181,4,1,1,4,4
458070182,2,2,3,2,2
458070183,3,3,2,3,3
458070184,2,1,2,2,2
458070185,3,2,2,3,4
458070186,3,4,4,2,3
458070187,2,3,2,2,3
458070188,3,2,2,3,3
458070189,2,1,2,2,2
458070190,2,1,2,2,2
458070191,2,2,3,3,3
458070192,1,2,1,2,2
458070193,1,1,1,1,1
458070194,1,1,1,1,1
458070195,2,2,1,1,1
458070196,2,2,2,2,2
458070197,1,2,2,2,2
458070198,2,1,1,2,2
458070199,4,4,4,4,4
458070200,2,2,2,2,2
458070201,2,2,2,2,2
458070202,4,1,2,3,2
458070203,4,3,3,2,3
458070204,3,1,3,2,2
458070205,3,2,2,2,2
458070206,2,2,2,2,2
458070207,2,1,2,1,2
458070208,1,1,3,1,1
458070209,2,2,2,2,2
458070210,1,1,2,1,1
458070211,2,1,3,1,2
458070212,2,2,3,2,2
458070213,2,2,2,2,2
458070214,3,2,2,2,2
458070215,2,1,3,1,2
458070216,2,1,1,2,1
458070217,1,1,1,2,2
458070218,2,1,1,1,3
458070219,2,3,2,2,2
458070220,4,3,2,4,4
458070221,2,3,3,2,3
458070222,2,2,2,2,2
458070223,2,2,3,2,3
458070224,1,1,2,2,3
458070225,2,3,3,2,3
458070226,2,3,3,2,2
458070227,2,2,2,2,2
458070228,2,2,3,2,2
458070229,2,3,4,2,4
458070230,3,2,2,3,3
458070231,2,2,3,1,2
458070232,3,2,4,2,3
458070233,2,1,2,1,3
458070234,1,2,2,2,2
458070235,1,1,3,1,1
458070236,3,2,4,1,3
458070237,1,2,1,2,1
458070238,2,3,3,3,3
458070239,1,1,4,1,1
458070240,1,1,1,1,1
458070241,3,1,4,1,2
458070242,1,1,3,1,3
458070243,1,1,2,1,1
458070244,1,1,4,1,2
458070245,1,2,2,2,2
458070246,1,1,3,1,1
458070247,2,1,3,2,4
458070248,2,3,3,2,3
458070249,3,1,3,2,2
458070250,1,2,1,2,1
458070251,2,1,2,1,1
458070252,3,2,3,3,3
458070253,3,3,2,3,3
458070254,3,3,3,3,3
458070255,2,3,3,3,3
458070256,4,4,4,2,4
458070257,2,3,4,1,2
458070258,2,3,3,3,3
458070259,3,4,4,1,2
458070260,4,3,4,1,3
458070261,2,2,1,1,1
458070262,1,1,1,1,1
458070263,2,3,2,3,2
458070264,3,3,3,3,3
458070265,2,2,4,2,3
458070266,1,1,1,1,1
458070267,4,3,2,2,4
458070268,3,3,3,2,3
458070269,3,4,4,1,2
458070270,3,4,4,1,4
458070271,2,3,3,2,2
458070272,1,3,3,3,3
458070273,1,3,3,3,3
458070274,2,2,2,2,2
458070275,2,2,4,2,3
458070276,2,1,2,1,2
458070277,1,1,1,1,1
458070278,1,1,1,1,1
458070279,3,3,3,2,4
458070280,1,2,1,1,1
458070281,3,1,4,1,2
458070282,1,1,2,1,1
458070283,2,2,1,1,2
458070284,1,1,2,1,1
458070285,4,1,4,2,1
458070286,3,3,3,3,3
458070287,1,2,1,2,1
458070288,1,2,1,3,2
458070289,1,1,2,2,1
458070290,1,2,1,2,1
458070291,2,2,2,2,2
458070292,2,2,2,2,2
458070293,2,2,2,2,4
458070294,2,1,2,1,1
458070295,3,2,1,1,2
458070296,2,1,2,1,2
458070297,1,2,1,1,1
458070298,1,2,1,2,1
458070299,1,1,1,1,2
458070300,2,2,4,1,4
458070301,3,2,4,2,4
458070302,3,2,3,1,4
