D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
484070001,3,4,4,3,1
484070002,4,2,2,1,4
484070003,1,1,1,1,1
484070004,2,-1,-1,-1,4
484070005,3,1,4,4,4
484070006,4,4,4,4,4
484070007,1,3,4,1,4
484070008,2,1,4,4,4
484070009,2,1,2,2,2
484070010,1,2,1,1,4
484070011,1,1,1,1,1
484070012,1,1,1,1,1
484070013,2,1,4,1,4
484070014,2,1,2,1,2
484070015,1,1,2,1,1
484070016,3,2,3,2,3
484070017,1,1,1,1,3
484070018,4,2,4,2,2
484070019,2,2,2,2,2
484070020,2,2,2,2,2
484070021,4,1,4,1,4
484070022,1,1,3,1,4
484070023,4,2,3,1,3
484070024,1,1,4,1,1
484070025,2,1,2,2,2
484070026,2,2,3,3,2
484070027,-1,1,3,4,3
484070028,1,1,4,1,4
484070029,3,2,3,3,2
484070030,2,3,3,2,3
484070031,3,2,2,2,3
484070032,2,3,1,2,2
484070033,-1,-1,-1,-1,-1
484070034,1,1,4,1,1
484070035,2,2,2,4,4
484070036,4,1,2,1,1
484070037,2,1,1,1,3
484070038,3,1,4,1,4
484070039,4,4,4,4,4
484070040,4,4,4,4,4
484070041,2,1,2,2,3
484070042,3,1,3,1,4
484070043,2,2,3,3,2
484070044,3,3,3,2,3
484070045,2,1,1,1,1
484070046,2,2,2,2,2
484070047,2,3,3,3,3
484070048,4,2,4,4,4
484070049,1,1,4,1,1
484070050,1,1,4,1,4
484070051,1,1,3,3,3
484070052,1,1,4,1,4
484070053,4,3,1,2,2
484070054,-1,2,1,4,3
484070055,4,1,4,1,4
484070056,1,1,4,1,4
484070057,-1,-1,4,2,4
484070058,2,2,1,1,3
484070059,-1,1,-1,2,4
484070060,1,1,1,1,1
484070061,2,4,1,1,1
484070062,-1,1,-1,2,-1
484070063,2,1,2,3,3
484070064,-1,2,-1,3,1
484070065,2,2,4,2,4
484070066,1,1,4,1,-1
484070067,2,1,2,1,3
484070068,3,3,4,1,1
484070069,1,1,4,2,4
484070070,2,2,3,2,4
484070071,1,2,3,2,2
484070072,4,1,4,1,4
484070073,-1,1,3,1,3
484070074,1,1,1,3,1
484070075,4,4,4,1,4
484070076,2,3,2,3,2
484070077,2,1,3,1,2
484070078,1,2,1,1,1
484070079,1,1,4,1,4
484070080,3,3,3,1,3
484070081,4,2,4,1,4
484070082,2,2,2,2,3
484070083,2,3,2,1,1
484070084,2,1,3,2,4
484070085,1,1,4,2,3
484070086,1,1,4,1,2
484070087,2,2,4,3,3
484070088,-1,1,4,1,-1
484070089,3,3,2,1,4
484070090,4,4,4,4,4
484070091,3,3,3,3,3
484070092,2,1,4,1,4
484070093,1,4,4,2,4
484070094,3,1,1,3,4
484070095,1,1,4,1,4
484070096,4,1,4,1,4
484070097,1,1,4,1,4
484070098,3,-1,3,1,4
484070099,1,1,2,1,2
