D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
484070001,3.0,4.0,4.0,3.0,1.0
484070002,4.0,2.0,2.0,1.0,4.0
484070003,1.0,1.0,1.0,1.0,1.0
484070004,2.0,-1.0,-1.0,-1.0,4.0
484070005,3.0,1.0,4.0,4.0,4.0
484070006,4.0,4.0,4.0,4.0,4.0
484070007,1.0,3.0,4.0,1.0,4.0
484070008,2.0,1.0,4.0,4.0,4.0
484070009,2.0,1.0,2.0,2.0,2.0
484070010,1.0,2.0,1.0,1.0,4.0
484070011,1.0,1.0,1.0,1.0,1.0
484070012,1.0,1.0,1.0,1.0,1.0
484070013,2.0,1.0,4.0,1.0,4.0
484070014,2.0,1.0,2.0,1.0,2.0
484070015,1.0,1.0,2.0,1.0,1.0
484070016,3.0,2.0,3.0,2.0,3.0
484070017,1.0,1.0,1.0,1.0,3.0
484070018,4.0,2.0,4.0,2.0,2.0
484070019,2.0,2.0,2.0,2.0,2.0
484070020,2.0,2.0,2.0,2.0,2.0
484070021,4.0,1.0,4.0,1.0,4.0
484070022,1.0,1.0,3.0,1.0,4.0
484070023,4.0,2.0,3.0,1.0,3.0
484070024,1.0,1.0,4.0,1.0,1.0
484070025,2.0,1.0,2.0,2.0,2.0
484070026,2.0,2.0,3.0,3.0,2.0
484070027,-1.0,1.0,3.0,4.0,3.0
484070028,1.0,1.0,4.0,1.0,4.0
484070029,3.0,2.0,3.0,3.0,2.0
484070030,2.0,3.0,3.0,2.0,3.0
484070031,3.0,2.0,2.0,2.0,3.0
484070032,2.0,3.0,1.0,2.0,2.0
484070033,-1.0,-1.0,-1.0,-1.0,-1.0
484070034,1.0,1.0,4.0,1.0,1.0
484070035,2.0,2.0,2.0,4.0,4.0
484070036,4.0,1.0,2.0,1.0,1.0
484070037,2.0,1.0,1.0,1.0,3.0
484070038,3.0,1.0,4.0,1.0,4.0
484070039,4.0,4.0,4.0,4.0,4.0
484070040,4.0,4.0,4.0,4.0,4.0
484070041,2.0,1.0,2.0,2.0,3.0
484070042,3.0,1.0,3.0,1.0,4.0
484070043,2.0,2.0,3.0,3.0,2.0
484070044,3.0,3.0,3.0,2.0,3.0
484070045,2.0,1.0,1.0,1.0,1.0
484070046,2.0,2.0,2.0,2.0,2.0
484070047,2.0,3.0,3.0,3.0,3.0
484070048,4.0,2.0,4.0,4.0,4.0
484070049,1.0,1.0,4.0,1.0,1.0
484070050,1.0,1.0,4.0,1.0,4.0
484070051,1.0,1.0,3.0,3.0,3.0
484070052,1.0,1.0,4.0,1.0,4.0
484070053,4.0,3.0,1.0,2.0,2.0
484070054,-1.0,2.0,1.0,4.0,3.0
484070055,4.0,1.0,4.0,1.0,4.0
484070056,1.0,1.0,4.0,1.0,4.0
484070057,-1.0,-1.0,4.0,2.0,4.0
484070058,2.0,2.0,1.0,1.0,3.0
484070059,-1.0,1.0,-1.0,2.0,4.0
484070060,1.0,1.0,1.0,1.0,1.0
484070061,2.0,4.0,1.0,1.0,1.0
484070062,-1.0,1.0,-1.0,2.0,-1.0
484070063,2.0,1.0,2.0,3.0,3.0
484070064,-1.0,2.0,-1.0,3.0,1.0
484070065,2.0,2.0,4.0,2.0,4.0
484070066,1.0,1.0,4.0,1.0,-1.0
