D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
604070001,2,2,3,2,3
604070002,3,3,3,2,3
604070003,2,2,3,2,2
604070004,2,2,4,2,2
604070005,2,2,4,1,2
604070006,2,2,3,2,3
604070007,2,1,2,2,2
604070008,2,3,2,2,3
604070009,2,2,3,2,3
604070010,2,1,2,2,2
604070011,-1,-1,3,2,-1
604070012,2,2,3,2,-1
604070013,2,-1,4,2,-2
604070014,2,2,3,1,2
604070015,2,2,4,1,-2
604070016,3,3,3,1,3
604070017,3,3,3,1,2
604070018,2,3,3,1,3
604070019,2,3,4,1,-1
604070020,2,2,4,1,-1
604070021,1,2,3,2,3
604070022,4,2,4,2,3
604070023,2,2,4,2,2
604070024,2,2,4,2,4
604070025,2,2,4,1,3
604070026,3,3,4,1,4
604070027,3,3,3,1,3
604070028,2,3,3,2,3
604070029,3,3,3,2,3
604070030,3,3,3,1,3
604070031,3,3,3,2,3
604070032,2,2,3,2,3
604070033,2,3,3,2,3
604070034,3,3,3,2,3
604070035,3,3,3,1,4
604070036,2,2,4,3,2
604070037,2,2,4,3,3
604070038,3,1,4,2,3
604070039,2,2,3,1,3
604070040,2,2,4,3,3
604070041,2,2,3,2,3
604070042,2,3,3,2,3
604070043,2,2,3,2,2
604070044,1,2,3,2,3
604070045,2,3,2,2,2
604070046,2,2,3,2,2
604070047,2,2,3,2,2
604070048,2,3,3,1,2
604070049,2,3,3,2,2
604070050,1,2,3,2,2
604070051,1,2,3,1,3
604070052,2,2,2,2,2
604070053,3,3,3,2,2
604070054,2,3,2,2,3
604070055,2,2,2,3,3
604070056,2,2,2,3,2
604070057,1,1,2,-1,3
604070058,3,3,2,3,2
604070059,3,1,2,3,3
604070060,2,2,2,2,2
604070061,2,2,3,1,3
604070062,3,4,3,1,3
604070063,3,1,2,2,3
604070064,4,3,2,3,2
604070065,4,3,3,2,3
604070066,2,2,3,2,2
604070067,2,2,3,1,2
604070068,2,2,3,1,2
604070069,2,2,3,1,2
604070070,2,2,3,1,3
604070071,3,3,3,2,2
604070072,2,3,4,2,3
604070073,2,1,3,1,3
604070074,2,4,4,1,3
604070075,3,2,3,1,3
604070076,2,1,2,3,2
604070077,1,2,1,3,2
604070078,2,3,2,3,3
604070079,2,2,3,2,2
604070080,-1,-1,-1,-1,-1
604070081,2,2,3,2,3
