D_INTERVIEW,Q235,Q236,Q237,Q238,Q239
840071001,1,4,4,2,3
840071002,4,4,4,4,4
840071003,-1,-1,1,4,4
840071004,4,3,4,2,3
840071005,2,2,-2,3,4
840071006,4,4,4,4,4
840071007,3,4,4,1,4
840071008,2,2,2,1,2
840071009,4,-2,4,-2,2
840071010,4,3,3,3,4
840071011,-1,-1,-1,-1,-1
840071012,1,4,4,4,1
840071013,1,2,4,3,3
840071014,3,1,4,1,1
840071015,2,2,3,1,3
840071016,4,3,4,2,4
840071017,2,2,3,2,3
840071018,4,3,3,2,4
840071019,4,1,3,1,4
840071020,3,1,2,3,3
840071021,2,1,1,2,2
840071022,3,3,4,3,3
840071023,2,1,2,1,3
840071024,3,3,3,3,3
840071025,2,3,1,2,2
840071026,3,3,3,2,4
840071027,3,2,3,2,3
840071028,3,3,2,2,2
840071029,3,3,3,2,3
840071030,1,3,3,4,3
840071031,4,2,3,2,3
840071032,3,4,4,4,4
840071033,2,-2,-2,-2,-2
840071034,1,2,3,2,4
840071035,2,2,2,4,4
840071036,2,3,4,1,2
840071037,3,3,4,2,3
840071038,3,3,3,3,3
840071039,2,2,2,2,2
840071040,2,4,3,3,3
840071041,2,4,4,3,3
840071042,2,4,4,1,4
840071043,4,4,4,4,4
840071044,3,2,4,1,2
840071045,2,1,1,1,2
840071046,3,2,4,1,4
840071047,1,1,-1,-1,4
840071048,3,3,2,2,4
840071049,4,4,4,4,4
840071050,3,3,4,2,4
840071051,1,1,1,1,1
840071052,3,3,4,2,3
840071053,3,3,3,3,3
840071054,4,4,4,1,4
840071055,3,3,3,3,3
840071056,4,1,4,3,4
840071057,2,2,2,3,2
840071058,3,2,3,4,2
840071059,4,2,2,2,3
840071060,3,3,4,2,3
840071061,1,3,4,1,2
840071062,4,4,4,1,4
840071063,4,4,4,1,4
840071064,2,2,2,2,2
840071065,-2,2,3,-2,3
840071066,3,2,4,4,3
840071067,3,1,4,1,2
840071068,4,4,4,4,4
840071069,3,3,2,3,3
840071070,4,1,3,2,3
840071071,4,2,4,3,4
840071072,4,3,4,2,4
840071073,3,3,3,3,3
840071074,2,1,4,2,4
840071075,4,4,4,4,4
840071076,2,2,2,2,2
840071077,2,4,4,4,4
840071078,4,4,4,4,4
840071079,3,3,3,3,2
840071080,3,3,3,2,4
840071081,-2,1,2,-2,4
840071082,2,3,2,3,3
840071083,2,2,2,2,2
840071084,4,3,2,4,3
840071085,4,3,4,1,3
840071086,2,3,2,2,3
840071087,2,2,4,1,2
840071088,2,3,3,2,3
840071089,2,1,3,1,3
840071090,2,1,2,1,2
840071091,3,2,4,2,2
840071092,4,4,4,3,3
840071093,4,2,4,1,4
840071094,4,2,4,2,3
840071095,2,2,4,2,3
840071096,2,2,2,3,4
840071097,2,2,2,2,2
840071098,1,1,2,2,2
840071099,2,2,2,2,2
840071100,-2,2,4,1,2
840071101,1,4,2,1,4
840071102,2,2,3,2,4
840071103,1,4,4,4,4
840071104,2,2,4,1,4
840071105,3,3,2,-2,4
840071106,3,2,3,2,4
840071107,3,3,-2,1,1
840071108,2,2,3,2,3
840071109,2,2,2,2,2
840071110,1,2,3,3,2
840071111,1,1,3,2,4
840071112,3,4,4,3,3
840071113,3,4,4,4,2
840071114,3,4,4,2,4
840071115,4,1,4,1,4
840071116,2,2,2,2,2
840071117,4,1,2,2,4
840071118,4,3,4,2,4
840071119,4,2,4,2,4
840071120,3,4,4,1,4
840071121,3,-2,4,2,4
840071122,4,1,4,1,4
840071123,4,4,3,2,3
840071124,4,1,4,1,4
840071125,4,4,4,1,4
840071126,3,3,1,1,2
840071127,4,2,4,1,4
840071128,1,2,2,2,2
840071129,2,2,4,2,4
840071130,4,4,4,1,4
840071131,1,4,4,4,4
840071132,3,2,3,3,2
840071133,1,4,4,1,4
840071134,1,1,3,2,2
840071135,3,1,4,1,4
840071136,3,2,4,2,4
840071137,4,1,4,1,4
840071138,4,3,3,2,4
840071139,2,3,3,2,4
840071140,1,1,2,2,2
840071141,4,4,4,4,1
840071142,2,2,4,2,4
840071143,4,1,3,1,4
840071144,4,2,4,1,4
840071145,3,2,4,-2,3
840071146,4,2,3,2,4
840071147,-2,-2,-2,-2,-2
840071148,-2,-2,-2,-2,-2
840071149,3,2,4,2,4
840071150,2,2,2,2,2
840071151,2,1,3,2,3
840071152,4,4,4,1,4
840071153,4,4,4,2,4
840071154,2,3,4,2,3
840071155,1,1,3,2,2
840071156,1,1,2,1,3
840071157,2,2,2,2,2
840071158,1,1,3,4,4
840071159,3,3,3,3,3
840071160,3,3,3,2,4
840071161,2,2,3,3,1
840071162,2,2,3,2,2
840071163,2,2,2,3,2
840071164,2,2,2,2,2
840071165,1,3,3,1,2
840071166,3,2,2,2,1
840071167,2,2,2,2,2
840071168,2,2,4,2,4
840071169,3,3,3,3,3
840071170,1,2,2,2,3
840071171,2,2,4,2,2
840071172,4,4,4,4,4
840071173,2,2,3,4,2
840071174,1,1,4,4,4
840071175,1,3,3,3,2
840071176,1,2,2,2,3
840071177,2,2,3,2,4
840071178,3,4,4,4,3
840071179,2,4,4,4,3
840071180,2,3,4,1,2
840071181,3,4,4,4,4
840071182,2,3,3,2,2
840071183,2,2,2,2,2
840071184,3,2,2,2,2
840071185,1,2,2,2,3
840071186,3,2,2,2,2
840071187,2,2,1,3,3
840071188,2,2,3,1,4
840071189,2,3,3,2,2
840071190,3,2,3,2,3
840071191,2,3,4,3,4
840071192,3,4,4,2,3
840071193,2,3,2,-2,2
840071194,2,2,3,1,4
840071195,2,2,3,-2,3
840071196,2,1,-2,1,3
840071197,4,4,4,1,4
840071198,3,2,3,2,4
840071199,3,1,2,3,3
840071200,4,2,4,2,3
840071201,2,3,3,2,2
840071202,2,2,4,2,2
840071203,4,2,4,2,4
840071204,4,3,2,2,-2
840071205,3,3,3,2,2
840071206,4,2,3,-2,3
840071207,3,2,3,2,4
840071208,2,3,3,2,3
840071209,2,2,2,2,2
840071210,3,4,3,3,3
840071211,3,2,2,2,1
840071212,4,3,4,2,4
840071213,2,2,3,3,2
840071214,2,2,2,3,2
840071215,3,3,3,1,3
840071216,4,2,3,2,3
840071217,2,3,3,2,2
840071218,1,-2,2,2,-2
840071219,3,2,4,1,3
840071220,1,3,-2,-2,-2
840071221,3,3,2,3,3
840071222,1,2,2,2,3
840071223,2,3,2,2,3
840071224,3,3,4,2,3
840071225,2,4,2,2,2
840071226,3,2,3,1,3
840071227,2,2,2,2,3
840071228,3,2,3,1,2
840071229,2,2,3,2,2
840071230,2,3,3,3,3
840071231,1,2,3,3,2
840071232,3,2,3,3,2
840071233,3,4,3,2,3
840071234,4,2,3,2,1
840071235,3,2,4,1,4
840071236,3,2,3,3,2
840071237,2,2,2,2,2
840071238,3,3,3,3,3
840071239,2,2,1,3,3
840071240,2,2,2,2,3
840071241,1,2,2,1,2
840071242,3,3,3,3,3
840071243,3,3,3,3,3
840071244,3,3,3,3,2
840071245,2,2,2,2,2
840071246,3,2,1,3,2
840071247,2,2,3,3,3
840071248,2,2,2,3,3
840071249,3,3,4,4,4
840071250,3,2,3,3,2
840071251,1,3,4,2,3
840071252,3,2,4,2,4
840071253,3,2,3,3,3
840071254,1,4,4,4,4
840071255,2,3,1,2,2
840071256,3,2,3,1,4
840071257,3,3,3,2,2
840071258,2,2,2,2,2
840071259,4,4,4,2,2
840071260,1,1,2,1,1
840071261,1,1,3,1,3
840071262,2,2,4,3,3
840071263,3,2,2,2,3
840071264,2,2,3,4,4
840071265,1,2,3,-2,-2
840071266,2,2,2,2,2
840071267,2,3,1,2,3
840071268,3,3,3,3,3
840071269,2,1,2,3,4
840071270,1,2,4,2,4
840071271,1,1,2,1,4
840071272,3,2,3,2,2
840071273,2,3,3,3,3
840071274,2,2,3,2,1
840071275,2,3,3,4,2
840071276,2,3,2,3,3
840071277,2,2,3,2,3
840071278,1,3,3,4,4
840071279,2,2,2,3,2
840071280,3,2,2,-2,2
840071281,3,3,3,3,2
840071282,3,3,2,3,3
840071283,4,4,4,4,4
840071284,3,2,2,3,3
840071285,3,3,1,3,3
840071286,1,3,4,3,2
840071287,2,1,2,2,2
840071288,2,2,2,2,2
840071289,1,1,1,1,1
840071290,4,4,4,1,4
840071291,3,3,3,3,3
840071292,2,2,2,3,3
840071293,1,1,1,1,1
840071294,3,3,2,2,3
840071295,1,3,2,4,2
840071296,2,2,1,1,1
840071297,2,2,2,2,3
840071298,2,2,2,2,2
840071299,2,3,4,1,3
840071300,3,2,3,3,4
840071301,3,3,3,3,3
840071302,2,2,1,1,2
840071303,3,2,3,2,1
840071304,4,1,4,1,4
840071305,3,2,2,2,2
840071306,4,2,4,1,4
840071307,2,2,3,2,2
840071308,4,4,4,1,4
840071309,2,2,2,2,2
840071310,3,2,4,2,3
840071311,-2,2,3,2,3
840071312,1,3,2,2,3
840071313,3,3,4,2,4
840071314,4,4,4,2,4
840071315,2,2,4,3,4
840071316,2,1,2,3,1
840071317,3,3,4,1,2
840071318,3,2,4,2,4
840071319,3,3,4,3,4
840071320,4,3,3,2,2
840071321,3,4,4,2,3
840071322,3,3,3,3,3
840071323,1,1,2,3,4
840071324,4,4,4,4,4
840071325,2,2,2,2,2
840071326,1,1,2,3,4
840071327,3,2,4,3,2
840071328,3,2,3,3,3
840071329,2,3,4,2,3
840071330,2,2,2,2,1
840071331,3,3,1,2,2
840071332,4,4,4,2,4
840071333,3,3,4,2,4
840071334,3,3,3,2,3
840071335,3,2,4,2,4
840071336,1,1,1,1,1
840071337,4,3,3,2,3
840071338,1,3,2,2,1
840071339,3,3,4,2,4
840071340,3,3,3,3,3
840071341,2,2,2,2,2
840071342,2,3,2,2,3
840071343,3,3,3,3,3
840071344,4,3,4,1,4
840071345,2,2,2,2,2
840071346,4,2,4,4,4
840071347,2,2,3,2,3
840071348,2,2,3,2,3
840071349,3,3,3,2,3
840071350,2,4,4,3,2
840071351,2,2,3,2,3
840071352,3,2,3,2,2
840071353,2,2,4,2,4
840071354,2,3,3,2,2
840071355,-2,-2,-2,-2,-2
840071356,3,3,3,3,3
840071357,2,2,3,2,4
840071358,3,2,2,3,3
840071359,4,2,4,2,4
840071360,3,2,2,2,3
840071361,3,3,4,3,4
840071362,1,3,3,2,3
840071363,3,3,3,4,2
840071364,1,2,2,2,2
840071365,2,2,2,1,3
840071366,2,2,2,2,2
840071367,3,2,4,3,4
840071368,4,2,3,1,4
840071369,1,1,3,2,1
840071370,4,2,4,2,4
840071371,1,2,4,2,4
840071372,1,2,3,3,1
840071373,3,2,3,2,4
840071374,2,2,3,4,4
840071375,2,2,4,2,4
840071376,2,2,3,3,3
840071377,1,1,2,2,4
840071378,1,2,4,2,2
840071379,2,2,3,2,2
840071380,2,2,2,2,3
840071381,3,2,3,2,2
840071382,4,4,4,2,4
840071383,4,3,4,2,4
840071384,2,2,2,2,2
840071385,4,3,3,2,4
840071386,4,3,3,4,4
840071387,4,3,3,2,-2
840071388,4,3,3,1,4
840071389,2,2,3,3,2
840071390,2,2,3,2,2
840071391,1,2,2,1,2
840071392,4,2,3,2,4
840071393,2,1,3,2,3
840071394,-2,2,2,1,3
840071395,4,3,3,2,2
840071396,-2,-2,-2,-2,-2
840071397,2,2,2,4,4
840071398,3,3,2,3,4
840071399,3,1,4,3,4
840071400,1,3,3,2,4
840071401,3,3,3,1,3
840071402,3,2,4,2,4
840071403,4,4,4,3,4
840071404,2,1,3,3,4
840071405,4,2,3,2,4
840071406,1,3,4,2,4
840071407,4,2,4,1,3
840071408,3,2,4,2,4
840071409,4,1,4,2,4
840071410,1,1,2,1,3
840071411,2,2,3,2,4
840071412,3,2,3,1,3
840071413,2,2,3,3,2
840071414,4,2,3,1,4
840071415,3,3,4,1,2
840071416,2,2,3,2,2
840071417,4,4,4,2,4
840071418,3,2,3,2,2
840071419,4,1,4,2,4
840071420,3,2,4,2,4
840071421,4,2,4,1,4
840071422,3,2,2,-2,2
840071423,2,2,3,2,3
840071424,2,4,4,1,4
840071425,2,1,3,2,4
840071426,3,2,4,2,3
840071427,2,2,3,2,4
840071428,2,1,3,2,4
840071429,4,3,4,1,3
840071430,4,2,3,1,3
840071431,2,2,3,2,2
840071432,2,3,4,1,2
840071433,2,2,2,1,3
840071434,2,3,3,2,2
840071435,2,3,3,2,2
840071436,1,3,2,3,1
840071437,2,4,2,1,3
840071438,3,3,4,3,4
840071439,2,3,4,2,4
840071440,1,1,3,1,4
840071441,2,2,2,2,2
840071442,2,2,2,2,2
840071443,1,1,1,1,2
840071444,1,1,2,1,4
840071445,4,4,2,2,2
840071446,2,2,4,4,4
840071447,2,2,3,2,3
840071448,2,3,2,3,4
840071449,4,2,3,2,4
840071450,4,1,4,1,3
840071451,2,2,2,3,4
840071452,2,2,1,2,2
840071453,4,2,4,2,4
840071454,4,4,3,3,3
840071455,3,2,4,2,3
840071456,2,1,3,2,4
840071457,3,2,4,2,4
840071458,2,3,4,2,2
840071459,1,2,2,2,3
840071460,4,2,3,1,3
840071461,4,2,3,2,4
840071462,1,2,3,1,2
840071463,2,1,3,1,3
840071464,3,4,3,2,4
840071465,2,2,3,3,2
840071466,4,3,4,1,4
840071467,1,1,2,2,4
840071468,2,3,2,2,2
840071469,2,2,2,2,2
840071470,4,2,4,1,4
840071471,2,2,3,1,3
840071472,4,2,3,2,4
840071473,2,1,2,2,2
840071474,1,1,1,1,1
840071475,4,3,1,2,3
840071476,4,2,4,3,4
840071477,3,2,4,2,4
840071478,3,3,2,3,2
840071479,1,1,2,1,4
840071480,4,2,4,2,4
840071481,4,4,4,3,4
840071482,4,1,4,2,4
840071483,4,1,4,1,4
840071484,4,2,4,2,4
840071485,2,1,2,2,4
840071486,2,2,3,2,4
840071487,3,3,3,1,4
840071488,4,4,4,4,4
840071489,3,2,3,2,3
840071490,3,3,4,1,4
840071491,2,3,4,2,4
840071492,4,2,4,2,4
840071493,2,3,2,1,2
840071494,3,2,4,1,3
840071495,4,4,4,2,3
840071496,4,2,4,4,4
840071497,4,1,4,1,3
840071498,3,2,3,-2,4
840071499,4,2,4,2,4
840071500,4,4,4,2,4
840071501,4,2,4,2,4
840071502,2,2,3,3,3
840071503,4,1,3,1,4
840071504,3,2,2,2,4
840071505,3,2,4,2,4
840071506,1,2,2,1,3
840071507,4,4,4,1,4
840071508,4,4,4,1,4
840071509,4,2,3,1,3
840071510,4,4,4,2,4
840071511,2,2,2,3,2
840071512,3,3,3,3,3
840071513,4,2,3,1,4
840071514,4,2,4,1,4
840071515,3,1,4,2,4
840071516,3,2,4,2,4
840071517,3,2,4,2,4
840071518,4,1,4,1,4
840071519,3,3,4,4,4
840071520,3,3,3,1,4
840071521,3,2,4,2,4
840071522,4,4,3,2,4
840071523,3,3,4,1,4
840071524,3,1,4,2,4
840071525,4,3,4,2,4
840071526,3,1,3,3,2
840071527,3,2,3,2,4
840071528,3,1,3,3,4
840071529,1,3,3,1,4
840071530,2,2,3,2,4
840071531,4,1,4,1,4
840071532,3,2,4,1,4
840071533,1,1,1,4,4
840071534,4,4,4,1,4
840071535,1,2,2,1,2
840071536,4,3,4,2,4
840071537,3,4,4,3,4
840071538,4,2,4,1,4
840071539,3,2,3,2,4
840071540,3,2,3,3,2
840071541,2,2,4,2,4
840071542,4,3,4,2,4
840071543,4,3,4,1,4
840071544,3,3,4,1,4
840071545,2,2,2,2,2
840071546,2,2,2,2,2
840071547,1,1,4,1,2
840071548,4,2,4,1,4
