D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
51070001,3,7,10,-1,5,3,1,-2,10
51070002,10,1,10,-1,1,10,-1,-1,10
51070003,10,1,10,10,10,10,5,-1,10
51070004,10,1,10,10,1,10,10,10,10
51070005,1,1,10,3,10,10,5,10,10
51070006,10,-1,10,10,1,1,1,1,10
51070007,10,1,10,10,1,8,1,10,10
51070008,1,1,10,10,1,10,-1,1,10
51070009,1,1,10,1,1,5,1,1,10
51070010,5,1,10,10,1,10,8,4,10
51070011,10,1,10,1,1,0,10,1,10
51070012,1,1,10,10,1,-1,1,10,10
51070013,10,6,10,1,10,10,1,10,10
51070014,10,1,10,10,1,10,1,10,10
51070015,10,1,10,10,10,1,10,10,5
51070016,6,5,8,3,1,6,3,5,10
51070017,10,-1,10,1,1,-1,1,1,1
51070018,1,10,1,1,10,1,1,1,1
51070019,1,10,1,1,10,1,10,1,1
51070020,1,1,10,10,10,10,7,8,10
51070021,10,10,10,10,1,10,10,10,10
51070022,10,10,10,10,1,10,1,1,10
51070023,3,4,6,10,1,10,10,5,10
51070024,10,10,0,10,8,10,8,8,7
51070025,8,1,10,10,1,-1,10,8,10
51070026,4,3,10,10,2,7,8,10,7
51070027,10,1,10,5,-1,10,1,10,1
51070028,1,1,10,10,1,10,1,5,10
51070029,-1,-1,1,-1,-1,-1,-1,-1,1
51070030,5,1,10,1,10,5,1,10,10
51070031,1,1,10,10,10,1,1,10,1
51070032,10,1,1,1,1,1,1,1,10
51070033,-1,-1,-1,-1,-1,-1,-1,-1,-1
51070034,-1,-1,-1,-1,-1,-1,-1,-1,-1
51070035,1,1,10,10,0,10,10,10,10
51070036,10,10,10,1,1,10,1,10,10
51070037,10,1,10,10,-1,-1,1,10,1
51070038,1,1,10,10,1,10,10,1,10
51070039,10,10,10,10,10,10,10,10,10
51070040,1,-1,10,10,10,-1,-1,10,10
51070041,10,8,10,1,10,-1,-1,-1,10
51070042,1,1,10,10,10,10,1,10,10
51070043,5,1,10,10,1,10,1,5,10
51070044,5,-1,-1,1,1,1,1,5,10
51070045,10,10,10,1,10,10,10,5,10
51070046,1,-1,10,10,-1,-1,-1,10,1
51070047,10,1,10,10,5,10,1,10,10
51070048,10,10,1,10,10,10,10,10,10
51070049,5,1,5,10,1,10,10,1,10
51070050,9,1,10,1,1,5,1,8,10
51070051,8,1,6,9,10,8,9,9,10
51070052,10,1,10,10,1,10,10,10,10
51070053,7,1,5,2,3,3,6,1,1
51070054,10,1,10,10,1,10,10,1,10
51070055,10,1,7,3,5,9,7,10,8
51070056,10,1,10,10,1,10,10,10,10
51070057,10,-1,10,1,1,1,1,3,10
51070058,10,3,10,10,2,8,7,7,8
51070059,10,1,10,10,1,10,10,1,10
51070060,10,1,10,10,5,10,10,10,1
51070061,1,1,1,1,1,1,1,5,10
51070062,10,1,10,10,10,0,1,10,10
51070063,10,10,10,10,10,10,10,10,10
51070064,9,1,10,9,-1,-1,9,9,10
51070065,10,-1,10,10,1,10,10,-1,10
51070066,1,1,10,10,1,-1,1,10,10
51070067,10,9,10,10,10,10,10,10,10
51070068,3,2,2,6,5,6,2,7,9
51070069,10,1,10,5,10,10,1,10,10
51070070,5,1,10,10,1,10,3,5,10
51070071,5,1,10,10,1,10,2,6,10
51070072,1,3,5,1,4,4,1,10,10
51070073,10,1,10,8,7,9,9,2,8
51070074,10,3,10,10,7,8,9,4,10
51070075,10,1,10,10,1,10,10,1,1
51070076,10,1,10,10,1,1,1,1,10
51070077,2,-1,10,10,9,10,2,10,10
51070078,10,10,1,10,10,10,1,10,10
51070079,10,2,10,10,10,1,10,-1,10
51070080,4,8,10,10,2,9,3,8,10
51070081,10,1,10,10,1,10,10,1,10
51070082,7,-1,7,10,7,5,1,3,-1
51070083,9,5,6,9,3,1,10,10,10
51070084,5,4,8,8,5,9,9,5,8
51070085,5,1,10,10,1,1,8,10,5
