D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
170070052,3,5,7,7,2,2,2,4,7
170070053,3,5,1,3,6,7,8,7,3
170070054,10,5,10,6,5,5,1,5,10
170070057,7,6,8,2,2,8,7,6,10
170070069,10,5,8,7,5,6,2,8,10
170070074,9,8,10,1,6,4,4,8,8
170070075,1,1,1,1,1,1,1,1,1
170070076,1,1,1,1,10,1,1,1,1
170070080,10,9,6,3,1,1,1,5,1
170070085,10,1,8,3,10,7,10,8,10
170070087,1,1,6,1,1,1,1,1,6
170070093,10,9,9,8,8,8,6,6,10
170070104,1,1,8,1,1,7,1,8,1
170070105,9,3,9,8,5,7,10,7,10
170070112,10,10,10,1,10,1,10,10,10
170070113,8,7,9,5,6,8,7,5,4
170070122,10,10,10,10,10,1,10,10,10
170070126,6,5,10,1,1,9,1,1,1
170070128,7,7,10,6,9,1,1,1,6
170070132,6,6,6,6,6,6,6,6,10
170070154,10,9,10,9,2,10,10,9,10
170070156,3,4,10,4,3,5,5,4,10
170070197,3,3,9,3,1,6,4,3,9
170070198,5,5,5,5,5,5,5,5,5
170070210,10,1,10,10,1,10,7,10,10
170070213,5,5,10,1,8,5,1,5,10
170070214,1,1,1,1,1,1,4,1,10
170070215,10,10,10,10,10,10,10,10,10
170070219,2,2,6,7,2,2,2,6,10
170070222,5,1,10,8,1,8,5,9,1
170070224,1,4,1,1,5,1,1,1,10
170070253,7,3,10,5,1,8,4,7,9
170070255,1,10,10,1,1,1,1,1,1
170070261,10,1,1,1,1,5,1,1,1
170070308,1,1,1,3,1,1,1,3,1
170070312,6,5,5,5,7,5,8,8,5
170070323,3,4,2,1,4,3,1,2,2
170070332,10,6,10,6,10,10,6,10,10
170070334,9,8,3,8,7,6,3,2,8
170070337,10,2,7,3,3,6,3,6,10
170070341,10,10,10,2,8,10,3,9,10
170070344,8,7,7,2,6,6,2,2,10
170070358,5,5,7,5,5,5,3,2,3
170070366,1,1,5,1,1,1,1,1,1
170070369,10,4,9,5,1,10,5,5,5
170070378,10,9,10,10,10,10,1,10,10
170070385,1,1,10,10,1,10,1,1,10
170070388,1,1,10,1,1,1,1,1,1
170070389,6,6,10,5,6,6,5,5,6
170070390,10,1,10,10,1,10,1,1,1
170070393,6,5,3,4,8,6,3,3,7
170070394,6,5,4,8,8,6,7,9,5
170070395,5,5,3,7,10,5,1,1,3
170070407,5,10,10,3,5,5,2,5,10
170070408,7,4,9,7,8,8,5,7,10
170070414,3,8,7,1,5,7,1,6,8
170070415,10,10,10,10,10,10,5,10,5
170070418,5,1,10,1,10,9,2,5,10
170070421,7,3,9,8,3,8,5,3,9
170070422,1,1,1,1,1,1,1,5,10
170070423,1,10,10,10,1,1,1,1,10
170070426,1,1,9,5,1,7,1,1,8
170070432,9,5,10,3,2,8,4,3,6
170070442,1,1,1,1,1,1,1,1,1
170070465,9,8,6,4,3,7,4,8,9
170070471,10,10,10,10,10,10,2,5,10
170070497,10,1,10,1,1,10,1,1,10
170070503,10,1,1,1,1,1,1,1,10
170070507,10,9,4,5,6,7,9,5,5
170070510,10,10,10,10,1,1,1,10,10
170070514,10,3,10,10,1,10,10,10,10
170070515,10,10,10,10,10,10,10,10,10
170070522,1,1,1,7,2,2,1,1,9
170070530,1,1,1,1,1,1,1,1,1
170070531,5,7,4,1,7,2,6,9,10
170070534,1,1,1,1,1,1,1,1,10
170070538,1,1,10,1,1,1,1,10,1
170070541,4,6,6,5,1,9,6,7,10
170070544,1,1,9,10,10,1,1,10,10
170070545,5,5,5,5,5,5,7,5,10
170070553,1,1,10,1,1,1,1,10,10
170070558,1,1,1,1,1,1,1,1,10
170070559,1,1,10,10,10,10,10,10,10
170070560,10,5,10,10,10,5,10,10,10
170070561,5,5,10,4,4,6,4,5,4
170070562,10,10,10,10,10,10,10,10,10
170070565,7,6,10,3,6,9,3,5,10
170070585,6,5,5,6,3,5,6,6,8
170070593,6,1,10,5,1,10,9,8,10
170070598,3,6,10,10,1,10,8,5,10
170070601,5,5,10,10,5,5,1,1,10
170070621,10,10,10,10,1,1,1,1,10
170070626,10,1,6,6,8,10,1,5,10
170070630,10,10,10,10,10,10,10,10,10
170070631,2,3,2,2,4,3,4,2,2
170070663,5,3,1,5,9,1,1,3,10
170070666,5,7,10,1,5,5,5,5,10
170070669,9,4,10,8,6,4,9,10,3
170070672,5,4,5,5,2,6,3,2,5
170070673,8,2,10,6,5,7,1,4,10
170070676,10,10,10,10,10,10,10,10,10
170070680,10,10,10,10,10,10,10,10,10
170070682,1,3,10,3,4,5,1,3,6
170070686,5,7,1,5,7,10,2,7,1
170070699,1,1,1,10,1,1,1,1,10
170070703,10,10,9,10,10,5,5,8,10
170070704,8,8,7,2,8,8,9,5,10
170070706,4,5,8,5,6,5,1,4,10
170070723,5,5,5,10,5,5,5,5,5
170070731,6,6,5,5,6,5,6,6,8
170070734,8,8,8,3,9,8,9,3,9
170070737,1,10,10,10,1,1,1,10,10
170070749,3,2,4,3,4,5,1,3,4
170070750,5,3,7,7,6,7,6,6,9
170070751,1,1,10,6,10,10,6,10,10
170070752,9,3,10,10,9,9,2,5,10
170070756,10,7,10,8,2,8,1,2,10
170070760,10,1,10,10,10,10,10,10,10
170070762,6,6,10,1,1,1,6,5,6
170070763,5,4,6,3,6,6,5,4,3
170070764,1,1,10,10,1,10,10,10,10
170070769,5,5,5,5,5,5,5,5,1
170070776,2,7,8,3,9,9,2,1,9
170070779,1,5,1,5,2,6,1,2,7
170070805,8,1,10,10,3,10,10,10,10
170070809,10,1,10,10,10,10,10,1,10
170070810,10,4,10,10,1,10,5,10,10
170070836,6,2,7,1,1,9,4,2,5
170070856,5,5,1,1,1,1,1,1,10
170070868,6,3,10,1,1,1,1,7,8
170070881,10,1,10,5,1,3,5,9,10
170070884,1,1,10,1,1,1,1,1,1
170070890,10,5,10,10,10,10,5,5,10
170070904,8,8,8,7,1,10,10,10,10
170071000,10,1,10,10,10,10,10,10,10
170071009,6,6,6,7,5,5,5,9,10
170071010,10,10,10,10,10,10,10,10,10
170071012,10,10,10,10,1,1,1,1,1
170071013,10,10,10,10,10,10,10,10,10
170071014,2,2,1,4,2,2,4,1,5
170071018,1,10,7,1,7,5,3,5,10
170071020,1,1,1,1,4,2,1,1,8
170071024,3,1,10,3,5,5,5,6,10
170071029,1,1,10,1,1,1,1,1,1
170071042,3,4,8,3,7,2,7,3,8
170071045,3,6,7,4,6,6,6,6,7
170071046,1,3,6,1,1,4,1,4,1
170071051,4,3,7,7,2,2,7,6,10
170071052,10,6,10,5,10,8,9,6,5
170071053,8,8,8,4,7,8,4,2,2
170071059,1,2,5,4,2,5,1,5,5
170071060,1,5,1,10,5,5,1,5,1
170071061,10,6,6,7,4,10,10,5,10
170071062,10,6,8,3,10,10,5,4,10
170071083,7,1,10,5,4,5,1,4,8
170071092,10,1,10,10,10,10,1,10,10
170071094,4,3,9,4,3,10,5,6,10
170071095,7,3,8,6,9,9,5,7,10
170071096,4,4,5,1,1,3,1,1,8
170071097,1,1,9,5,1,2,10,10,10
170071101,7,4,9,3,6,5,7,6,10
170071104,4,3,8,8,8,4,4,7,8
170071110,1,1,1,1,1,1,1,1,10
170071113,1,1,5,1,1,1,1,1,10
170071124,5,5,5,1,1,1,1,1,4
170071131,10,1,10,7,10,10,1,4,3
170071152,1,1,10,1,1,1,1,10,1
170071153,10,1,10,10,10,10,1,10,10
170071158,10,10,10,10,1,1,1,10,10
170071160,1,3,5,10,5,7,2,3,8
170071163,1,1,10,1,1,4,1,10,10
170071164,6,1,6,4,7,1,2,4,3
