D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
170070052,3.0,5.0,7.0,7.0,2.0,2.0,2.0,4.0,7.0
170070053,3.0,5.0,1.0,3.0,6.0,7.0,8.0,7.0,3.0
170070054,10.0,5.0,10.0,6.0,5.0,5.0,1.0,5.0,10.0
170070057,7.0,6.0,8.0,2.0,2.0,8.0,7.0,6.0,10.0
170070069,10.0,5.0,8.0,7.0,5.0,6.0,2.0,8.0,10.0
170070074,9.0,8.0,10.0,1.0,6.0,4.0,4.0,8.0,8.0
170070075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170070076,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0
170070080,10.0,9.0,6.0,3.0,1.0,1.0,1.0,5.0,1.0
170070085,10.0,1.0,8.0,3.0,10.0,7.0,10.0,8.0,10.0
170070087,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0
170070093,10.0,9.0,9.0,8.0,8.0,8.0,6.0,6.0,10.0
170070104,1.0,1.0,8.0,1.0,1.0,7.0,1.0,8.0,1.0
170070105,9.0,3.0,9.0,8.0,5.0,7.0,10.0,7.0,10.0
170070112,10.0,10.0,10.0,1.0,10.0,1.0,10.0,10.0,10.0
170070113,8.0,7.0,9.0,5.0,6.0,8.0,7.0,5.0,4.0
170070122,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0
170070126,6.0,5.0,10.0,1.0,1.0,9.0,1.0,1.0,1.0
170070128,7.0,7.0,10.0,6.0,9.0,1.0,1.0,1.0,6.0
170070132,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0
170070154,10.0,9.0,10.0,9.0,2.0,10.0,10.0,9.0,10.0
170070156,3.0,4.0,10.0,4.0,3.0,5.0,5.0,4.0,10.0
170070197,3.0,3.0,9.0,3.0,1.0,6.0,4.0,3.0,9.0
170070198,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
170070210,10.0,1.0,10.0,10.0,1.0,10.0,7.0,10.0,10.0
170070213,5.0,5.0,10.0,1.0,8.0,5.0,1.0,5.0,10.0
170070214,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,10.0
170070215,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
170070219,2.0,2.0,6.0,7.0,2.0,2.0,2.0,6.0,10.0
170070222,5.0,1.0,10.0,8.0,1.0,8.0,5.0,9.0,1.0
170070224,1.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,10.0
170070253,7.0,3.0,10.0,5.0,1.0,8.0,4.0,7.0,9.0
170070255,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
170070261,10.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
170070308,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0
170070312,6.0,5.0,5.0,5.0,7.0,5.0,8.0,8.0,5.0
170070323,3.0,4.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0
170070332,10.0,6.0,10.0,6.0,10.0,10.0,6.0,10.0,10.0
170070334,9.0,8.0,3.0,8.0,7.0,6.0,3.0,2.0,8.0
170070337,10.0,2.0,7.0,3.0,3.0,6.0,3.0,6.0,10.0
170070341,10.0,10.0,10.0,2.0,8.0,10.0,3.0,9.0,10.0
170070344,8.0,7.0,7.0,2.0,6.0,6.0,2.0,2.0,10.0
170070358,5.0,5.0,7.0,5.0,5.0,5.0,3.0,2.0,3.0
170070366,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
170070369,10.0,4.0,9.0,5.0,1.0,10.0,5.0,5.0,5.0
170070378,10.0,9.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0
170070385,1.0,1.0,10.0,10.0,1.0,10.0,1.0,1.0,10.0
170070388,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
170070389,6.0,6.0,10.0,5.0,6.0,6.0,5.0,5.0,6.0
170070390,10.0,1.0,10.0,10.0,1.0,10.0,1.0,1.0,1.0
170070393,6.0,5.0,3.0,4.0,8.0,6.0,3.0,3.0,7.0
170070394,6.0,5.0,4.0,8.0,8.0,6.0,7.0,9.0,5.0
170070395,5.0,5.0,3.0,7.0,10.0,5.0,1.0,1.0,3.0
170070407,5.0,10.0,10.0,3.0,5.0,5.0,2.0,5.0,10.0
