D_INTERVIEW,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249
276070001,5,3,5,5,4,5,5,5,5
276070002,6,1,9,7,8,9,1,3,10
276070003,5,1,10,8,1,8,1,1,10
276070004,7,1,10,8,1,10,1,1,10
276070005,9,2,10,9,1,5,7,2,9
276070006,9,1,10,10,1,10,8,3,10
276070007,10,1,10,7,1,5,10,1,10
276070008,8,6,7,9,3,4,8,2,9
276070009,10,1,10,8,1,8,8,1,10
276070010,1,8,7,1,1,7,7,1,10
276070011,10,1,10,10,1,10,6,1,10
276070012,8,1,10,5,10,5,10,1,10
276070013,10,1,10,10,1,10,10,1,10
276070014,6,0,10,9,0,10,1,0,10
276070015,5,0,10,8,0,10,2,0,10
276070016,8,1,10,8,1,10,7,1,10
276070017,8,0,10,8,0,10,1,0,10
276070018,8,0,10,7,0,10,2,0,10
276070019,8,1,10,10,1,10,6,1,10
276070020,10,0,10,10,1,10,5,0,10
276070021,10,0,10,10,0,10,8,0,10
276070022,7,0,10,10,0,10,3,10,10
276070023,9,0,10,10,0,9,0,0,10
276070024,6,0,10,10,0,4,2,0,10
276070025,8,0,10,10,0,2,3,0,10
276070026,10,1,10,10,1,8,8,8,10
276070027,7,1,10,9,2,9,3,6,10
276070028,4,2,9,4,2,7,3,2,10
276070029,6,1,10,6,1,10,3,3,10
276070030,8,1,10,10,1,10,1,1,10
276070031,8,1,10,7,1,10,4,1,10
276070032,6,1,10,10,1,10,1,-1,10
276070033,10,1,10,10,1,10,5,1,10
276070034,8,1,10,8,1,10,5,5,10
276070035,10,1,10,10,1,10,10,5,10
276070036,8,1,10,10,1,10,1,1,10
276070037,7,1,10,10,1,10,5,1,10
276070038,9,2,10,10,1,10,4,1,10
276070039,7,1,10,9,1,-1,1,1,10
276070040,8,0,10,9,0,10,7,2,10
276070041,5,1,10,10,-1,10,1,1,10
276070042,8,1,10,8,2,10,7,1,10
276070043,1,0,10,1,1,10,1,0,10
276070044,1,1,10,10,1,10,10,1,10
276070045,9,2,10,10,1,9,6,1,10
276070046,8,1,2,2,10,2,10,3,10
276070047,7,1,9,9,1,8,8,-1,10
276070048,5,4,8,5,2,3,5,5,5
276070049,7,2,10,8,3,10,5,5,10
276070050,10,1,10,10,1,10,7,1,10
276070051,7,1,10,10,1,1,1,1,8
276070052,10,1,10,10,1,5,1,1,10
276070053,5,1,10,10,1,5,10,5,10
276070054,5,1,10,10,1,10,5,5,10
276070055,6,1,10,7,1,5,10,1,10
276070056,10,1,10,10,1,10,8,1,10
276070057,10,1,5,10,1,10,5,5,5
276070058,5,2,9,4,2,8,4,6,8
276070059,8,1,10,8,1,9,3,3,10
276070060,10,1,10,10,1,10,10,1,10
276070061,10,1,9,8,1,8,4,1,10
276070062,9,1,10,10,1,10,8,1,10
276070063,9,1,10,10,1,7,9,1,10
276070064,9,3,10,9,6,8,9,1,10
276070065,8,1,10,8,1,10,4,1,10
276070066,10,2,9,10,1,10,9,3,10
276070067,10,1,10,9,1,7,10,1,10
276070068,10,1,10,10,1,10,10,1,10
276070069,8,6,7,10,1,10,10,3,10
276070070,8,1,10,8,1,10,5,1,10
276070071,10,1,10,10,5,10,5,5,10
276070072,10,1,10,10,1,10,10,1,10
276070073,1,1,10,1,1,10,1,1,10
276070074,10,1,10,10,1,10,3,1,10
276070075,10,1,10,10,1,10,8,1,10
276070076,10,1,10,10,1,10,5,1,10
276070077,7,1,9,8,1,7,6,1,9
276070078,9,1,9,9,1,9,9,5,8
276070079,8,1,9,8,1,5,8,2,10
276070080,8,2,10,6,2,6,8,2,10
276070081,9,1,10,8,1,10,7,1,10
276070082,9,1,9,9,1,9,9,2,9
276070083,2,1,10,10,1,9,10,5,10
276070084,6,1,10,8,1,10,5,1,10
276070085,8,1,10,10,1,10,5,1,10
276070086,10,1,10,10,1,10,2,1,10
276070087,7,1,10,8,1,10,3,1,10
276070088,5,1,10,5,5,10,8,1,10
276070089,9,1,10,8,2,9,4,3,9
276070090,10,1,10,10,5,10,6,5,5
276070091,7,1,10,8,2,10,7,4,10
276070092,7,1,10,10,1,10,5,3,10
276070093,9,7,6,7,6,7,7,5,8
276070094,10,0,10,10,10,10,10,3,10
276070095,10,0,10,10,1,10,6,6,10
276070096,5,1,10,10,1,10,5,4,8
276070097,5,2,10,7,5,10,7,9,9
276070098,10,1,10,10,1,10,1,1,10
276070099,8,1,10,8,1,10,1,1,10
276070100,7,1,10,5,1,0,7,3,0
276070101,2,1,10,9,1,9,5,6,10
276070102,7,1,8,9,3,10,7,4,10
276070103,7,1,10,9,-1,10,7,9,10
276070104,9,1,10,10,1,7,10,2,10
276070105,8,1,10,5,1,10,9,3,10
276070106,10,1,10,10,3,10,6,3,10
276070107,10,1,10,10,1,10,1,1,10
276070108,10,-1,10,10,-1,10,-1,-1,10
276070109,10,1,10,10,1,10,10,1,10
276070110,9,1,10,8,1,9,9,9,10
276070111,7,1,10,8,7,10,5,5,10
276070112,10,1,10,8,1,10,7,5,10
276070113,9,1,10,9,1,10,2,2,10
276070114,5,1,10,8,1,10,1,5,10
276070115,8,1,10,5,3,9,3,2,10
276070116,6,1,10,6,1,8,10,8,10
276070117,10,1,10,8,1,8,6,7,10
276070118,9,1,10,10,1,10,1,9,10
276070119,-1,-1,-1,-1,-1,-1,-1,-1,-1
276070120,10,2,10,10,6,8,9,2,10
276070121,7,1,10,4,-1,10,8,1,10
276070122,8,1,10,10,1,10,8,1,10
276070123,3,2,10,8,6,10,7,8,10
276070124,10,1,10,10,1,10,3,10,10
276070125,7,3,10,8,5,8,4,5,7
276070126,10,1,10,8,3,10,6,1,10
276070127,8,3,7,8,2,8,7,2,9
276070128,10,1,10,10,1,10,6,3,9
276070129,10,1,10,8,1,10,4,3,10
276070130,8,1,10,9,1,10,8,1,10
276070131,8,2,10,9,3,10,9,5,10
276070132,8,1,10,6,1,10,5,7,10
276070133,9,2,10,10,2,10,10,1,10
276070134,3,1,10,10,1,8,10,1,10
276070135,10,1,10,10,1,9,4,2,10
276070136,7,1,10,7,1,10,5,5,5
276070137,1,1,10,5,1,10,5,1,10
276070138,7,1,10,8,1,2,5,3,4
276070139,-1,1,10,10,-1,10,-1,1,10
276070140,7,1,10,10,1,10,8,1,10
276070141,10,1,10,10,1,10,10,1,10
276070142,10,1,10,10,1,10,6,1,10
276070143,10,1,10,10,1,10,10,0,10
276070144,10,1,10,10,1,10,10,1,10
276070145,-1,-1,-1,-1,-1,-1,-1,-1,-1
276070146,10,1,10,10,1,10,10,3,10
276070147,10,1,10,10,1,10,5,-1,10
276070148,9,1,10,10,-1,9,9,1,10
276070149,-1,-1,10,10,1,10,1,10,10
276070150,2,2,9,5,2,5,5,8,9
276070151,-1,1,10,10,-1,10,1,8,10
276070152,8,1,10,8,6,8,2,2,10
276070153,10,3,10,10,6,6,10,8,10
276070154,10,1,10,10,1,10,6,1,10
276070155,8,1,10,10,4,8,6,1,10
276070156,7,1,10,8,1,5,1,1,10
276070157,9,2,10,7,8,10,10,3,10
276070158,8,2,10,8,2,9,5,3,10
276070159,10,1,10,10,1,2,9,1,10
276070160,9,2,9,9,4,9,7,7,9
276070161,5,5,5,3,0,6,3,6,6
276070162,10,1,8,10,1,10,6,1,10
276070163,6,0,10,6,1,10,6,0,10
276070164,9,1,10,10,1,10,2,1,10
276070165,8,2,10,8,1,10,2,1,10
276070166,10,1,10,10,1,10,7,3,10
276070167,8,1,10,7,1,10,1,1,10
276070168,10,1,10,10,1,10,3,1,10
276070169,8,1,10,10,1,10,6,4,10
276070170,10,1,10,10,1,10,10,1,10
276070171,8,1,10,10,3,10,1,6,10
276070172,8,1,10,8,1,10,7,3,10
276070173,10,1,10,10,2,10,7,1,10
276070174,6,1,6,5,1,7,1,1,9
276070175,7,1,10,8,2,10,6,4,10
276070176,9,1,10,9,2,10,7,5,10
276070177,10,1,10,10,1,10,5,1,10
276070178,10,1,10,10,1,10,5,1,10
276070179,7,1,10,7,1,10,8,1,10
276070180,10,1,10,10,1,10,1,1,10
276070181,10,1,10,10,1,10,1,1,1
276070182,10,1,10,10,1,10,1,1,10
276070183,6,3,1,10,10,10,9,1,10
276070184,-2,-2,-2,-2,-2,-2,-2,-2,-2
276070185,10,1,10,10,2,10,10,2,10
276070186,10,1,10,10,1,10,1,1,10
276070187,8,1,8,8,1,10,3,2,10
